'n	ə AL n AG
abschrecken	a AL p AH ʃ AJ ʁ AJ ɛ AL k AC ə AL n AG
abschreckend	a AL p AH ʃ AJ ʀ BB ɛ AL k AC n̩ BH t AC
abschreckung	a AL p AH ʃ AJ ʀ BB ɛ AL k AC ʊ AN ŋ AG
abschreiben	ʔ AK a AL p AH ʃ AJ ʀ BB a AL ɪ̯ AB b AH ə AL n AG
abschreibung	a AL p AH ʃ AJ ʁ AJ a AL ɪ̯ AB b AH ʊ AN ŋ AG
abschreiten	a AL p AH ʃ AJ r BB a AL ɪ̯ AB t AC ə AL n AG
abschrift	a AL p AH ʃ AJ ʁ AJ ɪ AL f BC t AC
abschub	a AL p AH ʃ AJ uː BA p AH
abschuss	a AL p AH ʃ AJ ʊ AN s AJ
abschweifen	a AL p AH ʃ AJ v BC a AL ɪ̯ AB f BC ə AL n AG
abschweifung	a AL p AH ʃ AJ v BC a AL ɪ̯ AB f BC ʊ AN ŋ AG
abschwung	a AL p AH ʃ AJ v BC ʊ AN ŋ AG
abschwächen	a AL p AH ʃ AJ v BC ɛ AL ç n̩ BH
abschwächend	a AL p AH ʃ AJ v BC ɛ AL ç n̩ BH t AC
abschwören	a AL p AH ʃ AJ v BC øː BA ʁ AJ ə AL n AG
abschälen	a AL p AH ʃ AJ ɛː AM l AE ə AL n AG
abschätzen	a AL p AH ʃ AJ ɛ AL t AC s AJ n̩ BH
abschätzig	a AL p AH ʃ AJ ɛ AL t AC s AJ ɪ AL ç
abschüssig	a AL p AH ʃ AJ ʏ AN s AJ ɪ AL ç
absehen	a AL b AH s AJ eː AM n AG
abseihen	a AL p AH z AJ a AL ɪ̯ AB ə AL n AG
abseilen	a AL p AH z AJ a AL ɪ̯ AB l AE ə AL n AG
abseits	a AL p AH z AJ a AL ɪ̯ AB t AC s AJ
abseitsfalle	a AL p AH z AJ a AL ɪ̯ AB t AC s AJ f BC a AL l AE ə AL
abseitstor	a AL p AH z AJ a AL ɪ̯ AB t AC s AJ t AC oː BA ɐ̯
abseitsverdächtig	a AL p AH z AJ a AL ɪ̯ AB t AC s AJ f BC ɛ AL ɐ̯ d AC ɛ AL ç t AC ɪ AL ç
absenden	a AL p AH z AJ ɛ AL n AG d AC n̩ BH
absenken	a AL p AH z AJ ɛ AL ŋ AG k AC ə AL n AG
absetzen	a AL p AH s AJ ɛ AL t AC s AJ ə AL n AG
absicht	a AL p AH z AJ ɪ AL ç t AC
absichtlich	a AL p AH z AJ ɪ AL ç t AC l AE ɪ AL ç
absichtserklärung	a AL p AH z AJ ɪ AL ç t AC s AJ ʔ AK ɛ AL ɐ̯ k AC l AE ɛː AM ʁ AJ ʊ AN ŋ AG
absinth	a AL p AH z AJ ɪ AL n AG t AC
absolut	a AL p AH z AJ o AN l AE uː BA t AC
absolutadjektiv	a AL p AH z AJ o AN l AE uː BA t AC ʔ AK a AL t AC j AB ɛ AL k AC t AC iː AM f BC
absolutheit	a AL p AH z AJ o AN l AE uː BA t AC h AA a AL ɪ̯ AB t AC
absolventin	a AL p AH s AJ ɔ AN l AE v BC ɛ AL n AG t AC ɪ AL n AG
absondern	a AL p AH z AJ ɔ AN n AG d AC ə AL r BB n AG
absorbieren	a AL b AH z AJ ɔ AN ʁ AJ b AH iː AM r BB ə AL n AG
abspalten	ʔ AK a AL p AH ʃ AJ p AH a AL l AE t AC ə AL n AG
abspann	a AL p AH ʃ AJ p AH a AL n AG
abspecken	a AL p AH ʃ AJ p AH ɛ AL k AC ə AL n AG
absperrhahn	a AL p AH ʃ AJ p AH ɛ AL r BB h AA aː AM n AG
absprache	a AL p AH ʃ AJ p AH ʁ AJ aː AM x AJ ə AL
absprechen	a AL p AH ʃ AJ p AH ʁ AJ ɛ AL ç n̩ BH
abspringen	a AL p AH ʃ AJ p AH ʁ AJ ɪ AL ŋ AG ə AL n AG
abstammen	a AL p AH ʃ AJ t AC a AL m AF ə AL n AG
abstammung	a AL p AH ʃ AJ t AC a AL m AF ʊ AN ŋ AG
abstand	a AL p AH ʃ AJ t AC a AL n AG t AC
abstecher	a AL p AH ʃ AJ t AC ɛ AL ç ɐ AN
abstecken	a AL p AH ʃ AJ t AC ɛ AL k AC ə AL n AG
abstehen	a AL p AH ʃ AJ t AC eː AM ə AL n AG
absteigen	a AL p AH ʃ AJ t AC a AL ɪ̯ AB ɡ AC ə AL n AG
abstellen	a AL p AH ʃ AJ t AC ɛ AL l AE ə AL n AG
abstempeln	a AL p AH ʃ AJ t AC ɛ AL m AF p AH ə AL l AE n AG
absterben	a AL p AH ʃ AJ t AC ɛ AL ʁ AJ b AH ə AL n AG
abstieg	a AL p AH ʃ AJ t AC iː AM ç
abstillen	a AL p AH ʃ AJ t AC ɪ AL l AE ə AL n AG
abstimmen	a AL p AH ʃ AJ t AC ɪ AL m AF ə AL n AG
abstimmung	ʔ AK a AL p AH ʃ AJ t AC ɪ AL m AF ʊ AN ŋ AG
abstinent	a AL p AH s AJ t AC i AL n AG ɛ AL n AG t AC
abstinenz	a AL p AH s AJ t AC i AL n AG ɛ AL n AG t AC s AJ
abstossen	ʔ AK a AL p AH ʃ AJ t AC oː BA s AJ ə AL n AG
abstossend	a AL p AH ʃ AJ t AC oː BA s AJ n̩ BH t AC
abstossung	a AL p AH ʃ AJ t AC oː BA s AJ ʊ AN ŋ AG
abstrahieren	a AL p AH s AJ t AC ʁ AJ a AL h AA iː AM ʁ AJ ə AL n AG
abstrahlung	a AL p AH ʃ AJ t AC ʁ AJ aː AM l AE ʊ AN ŋ AG
abstreifen	a AL p AH ʃ AJ t AC ʁ AJ a AL ɪ̯ AB f BC ə AL n AG
abstrich	a AL p AH ʃ AJ t AC ʁ AJ ɪ AL ç
absturz	a AL p AH ʃ AJ t AC ʊ AN ʁ AJ t AC s AJ
abstützen	a AL p AH ʃ AJ t AC ʏ AN t AC s AJ ə AL n AG
absuchen	ʔ AK a AL p AH z AJ uː BA x AJ ə AL n AG
absurdistan	a AL p AH z AJ ʊ AN ʁ AJ d AC ɪ AL s AJ t AC aː AM n AG
absurdität	a AL p AH z AJ ʊ AN ʁ AJ d AC i AL t AC ɛː AM t AC
absägen	a AL p AH z AJ ɛː AM ɡ AC ə AL n AG
abt	a AL p AH t AC
abtei	a AL p AH t AC a AL ɪ̯ AB
abteil	a AL p AH t AC a AL ɪ̯ AB l AE
abteilen	a AL p AH t AC a AL ɪ̯ AB l AE ə AL n AG
abtippen	a AL p AH t AC ɪ AL p AH ə AL n AG
abtragung	a AL p AH t AC ʁ AJ aː AM ɡ AC ʊ AN ŋ AG
abtreiben	a AL p AH t AC ʀ BB a AL ɪ̯ AB b AH ə AL n AG
abtreibung	a AL p AH t AC ʀ BB a AL ɪ̯ AB b AH ʊ AN ŋ AG
abtreibungsbefürworter	a AL p AH t AC ʀ BB a AL ɪ̯ AB b AH ʊ AN ŋ AG s AJ b AH ə AL f BC yː BA ɐ̯ v BC ɔ AN ʁ AJ t AC ɐ AN
abtreibungsbefürwortern	a AL p AH t AC ʀ BB a AL ɪ̯ AB b AH ʊ AN ŋ AG s AJ b AH ə AL f BC yː BA ɐ̯ v BC ɔ AN ʁ AJ t AC n AG
abtrennbar	a AL p AH t AC ʁ AJ ɛ AL n AG b AH aː AM ɐ̯
abtrennen	a AL p AH t AC ʁ AJ ɛ AL n AG ə AL n AG
abtrennung	a AL p AH t AC ʁ AJ ɛ AL n AG ʊ AN ŋ AG
abtreten	a AL p AH t AC ʁ AJ eː AM t AC n̩ BH
abtritt	a AL p AH t AC ʁ AJ ɪ AL t AC
abtropfen	a AL p AH t AC ʁ AJ ɔ AN p AH f BC n̩ BH
abtrünnig	ʔ AK a AL p AH t AC ʀ BB ʏ AN n AG ɪ AL ç
abtupfen	a AL p AH t AC ʊ AN p AH f BC n̩ BH
abtönen	a AL p AH t AC øː BA n AG ə AL n AG
abtönung	a AL p AH t AC øː BA n AG ʊ AN ŋ AG
abtönungspartikel	a AL p AH t AC øː BA n AG ʊ AN ŋ AG s AJ p AH a AL ʁ AJ t AC ɪ AL k AC l̩ BI
abtöten	a AL p AH t AC øː BA t AC ə AL n AG
abtötung	a AL p AH t AC øː BA t AC ʊ AN ŋ AG
abulie	a AL b AH u AN l AE iː AM
abundant	a AL b AH ʊ AN n AG d AC a AL n AG t AC
abwahl	a AL p AH v BC aː AM l AE
abwandeln	a AL p AH v BC a AL n AG d AC l̩ BI n AG
abwandern	ʔ AK a AL p AH v BC a AL n AG d AC ɐ AN n AG
abwanderung	a AL p AH v BC a AL n AG d AC ə AL ʁ AJ ʊ AN ŋ AG
abwart	a AL p AH v BC a AL ʁ AJ t AC
abwarten	a AL p AH v BC a AL ʁ AJ t AC ə AL n AG
abwaschen	a AL p AH v BC a AL ʃ AJ ə AL n AG
abwasser	a AL p AH v BC a AL s AJ ə AL ʁ AJ
abwasserkanal	a AL p AH v BC a AL s AJ ɐ AN k AC a AL n AG aː AM l AE
abwasserreinigung	a AL p AH v BC a AL s AJ ɐ AN ʁ AJ a AL ɪ̯ AB n AG ɪ AL ɡ AC ʊ AN ŋ AG
abwechslung	a AL p AH v BC ɛ AL k AC s AJ l AE ʊ AN ŋ AG
abwegig	a AL p AH v BC eː AM ɡ AC ɪ AL ç
abwehren	a AL p AH v BC eː AM ʁ AJ ə AL n AG
abwehrmechanismus	a AL p AH v BC eː AM ɐ̯ m AF e AL ç a AL n AG ɪ AL s AJ m AF ʊ AN s AJ
abwehrspieler	a AL p AH v BC ɛ AL ɐ̯ ʃ AJ p AH iː AM l AE ɐ AN
abwehrspielerin	a AL p AH v BC ɛ AL ɐ̯ ʃ AJ p AH iː AM l AE ə AL ʁ AJ ɪ AL n AG
abweichen	a AL p AH v BC a AL ɪ̯ AB ç n̩ BH
abweichend	a AL p AH v BC a AL ɪ̯ AB ç n̩ BH t AC
abweichler	a AL p AH v BC a AL ɪ̯ AB ç l AE ɐ AN
abweichlerin	a AL p AH v BC a AL ɪ̯ AB ç l AE ə AL ʁ AJ ɪ AL n AG
abweichung	a AL p AH v BC a AL ɪ̯ AB ç ʊ AN ŋ AG
abweisen	a AL p AH v BC a AL ɪ̯ AB z AJ ə AL n AG
abwenden	ʔ AK a AL p AH v BC ɛ AL n AG d AC ə AL n AG
abwendig	a AL p AH v BC ɛ AL n AG d AC ɪ AL ç
abwerben	a AL p AH v BC ɛ AL ʁ AJ b AH ə AL n AG
abwerten	a AL p AH v BC eː AM ʁ AJ t AC ə AL n AG
abwertend	a AL p AH v BC eː AM ɐ̯ t AC n̩ BH t AC
abwertung	a AL p AH v BC eː AM ɐ̯ t AC ʊ AN ŋ AG
abwesend	a AL p AH v BC eː AM z AJ ə AL n AG t AC
abwickeln	ʔ AK a AL p AH v BC ɪ AL k AC ə AL l AE n AG
abwiegen	a AL p AH v BC iː AM ɡ AC ə AL n AG
abwracken	a AL p AH v BC ʁ AJ a AL k AC ə AL n AG
abwurf	a AL p AH v BC ʊ AN ʁ AJ f BC
abwägen	a AL p AH v BC ɛː AM ɡ AC ə AL n AG
abwärts	a AL p AH v BC ɛ AL ʁ AJ t AC s AJ
abwürgen	a AL p AH v BC ʏ AN r BB ɡ AC ə AL n AG
abzeichen	a AL p AH t AC s AJ a AL ɪ̯ AB ç ə AL n AG
abzeichnen	ʔ AK a AL p AH t AC s AJ a AL ɪ̯ AB ç n AG ə AL n AG
abziehen	ʔ AK a AL p AH t AC s AJ iː AM ə AL n AG
abziehung	a AL p AH t AC s AJ iː AM ʊ AN ŋ AG
abzielen	a AL p AH t AC s AJ iː AM l AE ə AL n AG
abzocken	ʔ AK a AL p AH t AC s AJ ɔ AN k AC ə AL n AG
abzug	a AL p AH t AC s AJ uː BA k AC
abzweigung	a AL p AH t AC s AJ v BC a AL ɪ AL ɡ AC ʊ AN ŋ AG
abzwingen	a AL p AH t AC s AJ v BC ɪ AL ŋ AG ə AL n AG
abzählbar	a AL p AH t AC s AJ ɛː AM l AE b AH aː AM ɐ̯
abzählreim	a AL p AH t AC s AJ ɛː AM l AE ʁ AJ a AL ɪ̯ AB m AF
abzäumen	a AL p AH t AC s AJ ɔ AN ɪ̯ AB m AF ə AL n AG
abänderbar	a AL p AH ɛ AL n AG d AC ə AL ʁ AJ b AH aː AM ʁ AJ
abänderer	a AL p AH ɛ AL n AG d AC ɐ AN ʁ AJ ɐ AN
abändern	a AL p AH ɛ AL n AG d AC ɐ AN n AG
abänderung	ʔ AK a AL p AH ʔ AK ɛ AL n AG d AC ə AL ʀ BB ʊ AN ŋ AG
abänderungen	ʔ AK a AL p AH ʔ AK ɛ AL n AG d AC ə AL ʀ BB ʊ AN ŋ AG ə AL n AG
abäschern	a AL p AH ʔ AK ɛ AL ʃ AJ ɐ AN n AG
accessoire	a AL s AJ ɛ AL s AJ u̯ BF aː AM ʁ AJ
acetaldehyd	a AL t AC s AJ eː AM t AC ʔ AK a AL l AE d AC ə AL h AA ʏ AN t AC
acetylieren	a AL t AC s AJ e AL t AC y AN l AE iː AM ʁ AJ ə AL n AG
acetylsalicylsäure	a AL t AC s AJ e AL t AC yː BA l AE z AJ a AL l AE i AL t AC s AJ yː BA l AE z AJ ɔ AN ʏ̯ ʀ BB ə AL
ach	a AL x AJ
achaier	a AL ç aː AM ɪ AL ɐ AN
achillessehne	a AL x AJ ɪ AL l AE ɛ AL s AJ z AJ eː AM n AG ə AL
achlaut	a AL x AJ l AE a AL ʊ̯ BF t AC
achsel	a AL k AC s AJ ə AL l AE
achselhöhle	a AL k AC s AJ ə AL l AE h AA øː BA l AE ə AL
achselklappe	a AL k AC s AJ ə AL l AE k AC l AE a AL p AH ə AL
achselstück	a AL k AC s AJ ə AL l AE ʃ AJ t AC ʏ AN k AC
achselzucken	a AL k AC s AJ l̩ BI t AC s AJ ʊ AN k AC n̩ BH
achsenmacht	a AL k AC s AJ n̩ BH m AF a AL x AJ t AC
acht	a AL x AJ t AC
achtarmig	a AL x AJ t AC ʔ AK a AL ʁ AJ m AF ɪ AL ç
achtbar	a AL χ AJ t AC b AH aː AM ɐ̯
achtbarkeit	a AL χ AJ t AC b AH aː AM ɐ̯ k AC a AL ɪ̯ AB t AC
achteck	a AL x AJ t AC ɛ AL k AC
achteckig	a AL χ AJ t AC ɛ AL k AC ɪ AL ç
achteckpyramide	a AL x AJ t AC ɛ AL k AC p AH y AN ʁ AJ a AL m AF iː AM d AC ə AL
achteckpyramiden	a AL x AJ t AC ɛ AL k AC p AH y AN ʁ AJ a AL m AF iː AM d AC ə AL n AG
achtelnote	a AL x AJ t AC l̩ BI n AG oː BA t AC ə AL
achten	a AL x AJ t AC ə AL n AG
achtens	a AL x AJ t AC n̩ BH s AJ
achter	a AL x AJ t AC ɐ AN
achterbahn	ʔ AK a AL x AJ t AC ɐ AN b AH aː AM n AG
achterbahnen	ʔ AK a AL x AJ t AC ɐ AN b AH aː AM n AG ə AL n AG
achterer	a AL x AJ t AC ə AL ʁ AJ ɐ AN
achtern	a AL x AJ t AC ɐ AN n AG
achtfach	a AL x AJ t AC f BC a AL x AJ
achtflächner	a AL x AJ t AC f BC l AE ɛ AL ç n AG ɐ AN
achtfüssig	a AL x AJ t AC f BC yː BA s AJ ɪ AL ç
achtgeben	a AL χ AJ t AC ɡ AC eː AM b AH n̩ BH
achtgeschossig	a AL x AJ t AC ɡ AC ə AL ʃ AJ ɔ AN s AJ ɪ AL ç
achthundert	a AL x AJ t AC h AA ʊ AN n AG d AC ɐ AN t AC
achthundertjährig	a AL x AJ t AC h AA ʊ AN n AG d AC ɐ AN t AC j AB ɛː AM ʁ AJ ɪ AL ç
achtjährig	a AL x AJ t AC j AB ɛː AM ʁ AJ ɪ AL ç
achtmal	a AL x AJ t AC m AF aː AM l AE
achtminütig	a AL x AJ t AC m AF i AL n AG yː BA t AC ɪ AL ç
achtprozentig	a AL x AJ t AC p AH ʁ AJ o AN t AC s AJ ɛ AL n AG t AC ɪ AL ç
achtsam	a AL x AJ t AC z AJ aː AM m AF
achtsamkeit	a AL χ AJ t AC z AJ aː AM m AF k AC a AL ɪ̯ AB t AC
achtstündig	a AL x AJ t AC ʃ AJ t AC ʏ AN n AG d AC ɪ AL ç
achttägig	a AL x AJ t AC t AC ɛː AM ɡ AC ɪ AL ç
achtundachtzig	a AL x AJ t AC ʊ AN n AG t AC a AL x AJ t AC s AJ ɪ AL ç
achtundachtzigste	a AL x AJ t AC ʊ AN n AG t AC a AL x AJ t AC s AJ ɪ AL ç s AJ t AC ə AL
achtunddreissig	a AL x AJ t AC ʊ AN n AG t AC d AC ʁ AJ a AL ɪ̯ AB s AJ ɪ AL ç
achtunddreissigste	a AL x AJ t AC ʊ AN n AG t AC d AC ʁ AJ a AL ɪ̯ AB s AJ ɪ AL ç s AJ t AC ə AL
achtundfünfzig	a AL x AJ t AC ʊ AN n AG t AC f BC ʏ AN n AG f BC t AC s AJ ɪ AL ç
achtundfünfzigste	a AL x AJ t AC ʊ AN n AG t AC f BC ʏ AN n AG f BC t AC s AJ ɪ AL ç s AJ t AC ə AL
achtundneunzig	a AL x AJ t AC ʊ AN n AG t AC n AG ɔ AN ɪ̯ AB n AG t AC s AJ ɪ AL ç
achtundneunzigste	a AL x AJ t AC ʊ AN n AG t AC n AG ɔ AN ɪ̯ AB n AG t AC s AJ ɪ AL ç s AJ t AC ə AL
achtundsechzig	a AL x AJ t AC ʊ AN n AG t AC z AJ ɛ AL ç t AC s AJ ɪ AL ç
achtundsechzigste	a AL x AJ t AC ʊ AN n AG t AC z AJ ɛ AL ç t AC s AJ ɪ AL ç s AJ t AC ə AL
achtundsiebzig	a AL x AJ t AC ʊ AN n AG t AC z AJ iː AM p AH t AC s AJ ɪ AL ç
achtundsiebzigste	a AL x AJ t AC ʊ AN n AG t AC z AJ iː AM p AH t AC s AJ ɪ AL ç s AJ t AC ə AL
achtundvierzig	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ʁ AJ t AC s AJ ɪ AL ç
achtundvierzigeck	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ʁ AJ t AC s AJ ɪ AL ç ɛ AL k AC
achtundvierzigecke	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ɐ̯ t AC s AJ ɪ AL ç ɛ AL k AC ə AL
achtundvierzigeckes	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ɐ̯ t AC s AJ ɪ AL ç ɛ AL k AC ə AL s AJ
achtundvierzigeckig	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ɐ̯ t AC s AJ ɪ AL ç ɛ AL k AC ɪ AL ç
achtundvierzigecks	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ɐ̯ t AC s AJ ɪ AL ç ɛ AL k AC s AJ
achtundvierzigfach	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ʁ AJ t AC s AJ ɪ AL ç f BC a AL x AJ
achtundvierzigjährig	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ɐ̯ t AC s AJ ɪ AL ç j AB ɛː AM ʁ AJ ɪ AL ç
achtundvierzigköpfig	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ɐ̯ t AC s AJ ɪ AL ç k AC œ AN p AH f BC ɪ AL ç
achtundvierzigmal	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ɐ̯ t AC s AJ ɪ AL ç m AF aː AM l AE
achtundvierzigminütig	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ɐ̯ t AC s AJ ɪ AL ç m AF i AL n AG yː BA t AC ɪ AL ç
achtundvierzigmonatig	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ɐ̯ t AC s AJ ɪ AL ç m AF oː BA n AG a AL t AC ɪ AL ç
achtundvierzigste	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ʁ AJ t AC s AJ ɪ AL ç s AJ t AC ə AL
achtundvierzigstündig	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ɐ̯ t AC s AJ ɪ AL ç ʃ AJ t AC ʏ AN n AG d AC ɪ AL ç
achtundvierzigtägig	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ɐ̯ t AC s AJ ɪ AL ç t AC ɛː AM ɡ AC ɪ AL ç
achtundvierzigwöchig	a AL x AJ t AC ʊ AN n AG t AC f BC ɪ AL ɐ̯ t AC s AJ ɪ AL ç v BC œ AN ç ɪ AL ç
achtundzwanzig	a AL x AJ t AC ʊ AN n AG t AC t AC s AJ v BC a AL n AG t AC s AJ ɪ AL ç
achtundzwanzigste	a AL x AJ t AC ʊ AN n AG t AC t AC s AJ v BC a AL n AG t AC s AJ ɪ AL ç s AJ t AC ə AL
achtundzwanzigtägig	a AL x AJ t AC ʊ AN n AG t AC t AC s AJ v BC a AL n AG t AC s AJ ɪ AL ç t AC ɛː AM ɡ AC ɪ AL ç
achtwertig	a AL x AJ t AC v BC eː AM ɐ̯ t AC ɪ AL ç
achtwöchig	a AL x AJ t AC v BC œ AN ç ɪ AL ç
achtzehn	a AL x AJ t AC s AJ eː AM n AG
achtzehneck	a AL x AJ t AC s AJ eː AM n AG ɛ AL k AC
achtzehnecke	a AL x AJ t AC s AJ eː AM n AG ɛ AL k AC ə AL
achtzehneckes	a AL x AJ t AC s AJ eː AM n AG ɛ AL k AC ə AL s AJ
achtzehneckig	a AL x AJ t AC s AJ eː AM n AG ɛ AL k AC ɪ AL ç
achtzehnecks	a AL x AJ t AC s AJ eː AM n AG ɛ AL k AC s AJ
achtzehnfach	a AL x AJ t AC s AJ eː AM n AG f BC a AL χ AJ
achtzehnjährig	a AL x AJ t AC s AJ eː AM n AG j AB ɛː AM ʁ AJ ɪ AL ç
achtzehnmal	a AL x AJ t AC s AJ eː AM n AG m AF aː AM l AE
achtzehnminütig	a AL x AJ t AC s AJ eː AM n AG m AF i AL n AG yː BA t AC ɪ AL ç
achtzehnte	a AL x AJ t AC s AJ eː AM n AG t AC ə AL
achtzehntel	a AL x AJ t AC s AJ eː AM n AG t AC ə AL l AE
achtzehnwöchig	a AL x AJ t AC s AJ eː AM n AG v BC œ AN ç ɪ AL ç
achtzig	ʔ AK a AL x AJ t AC s AJ ɪ AL ç
achtzigeck	a AL x AJ t AC s AJ ɪ AL ç ɛ AL k AC
achtzigprozentig	a AL x AJ t AC s AJ ɪ AL ç p AH ʁ AJ o AN t AC s AJ ɛ AL n AG t AC ɪ AL ç
achtzigste	a AL x AJ t AC s AJ ɪ AL ç s AJ t AC ə AL
acidität	a AL t AC s AJ i AL d AC i AL t AC ɛː AM t AC
acker	ʔ AK a AL k AC ɐ AN
ackermann	a AL k AC ɐ AN m AF a AL n AG
ackern	ʔ AK a AL k AC ɐ AN n AG
acryl	a AL k AC ʁ AJ ʏ AN l AE
acrylfarbe	a AL k AC ʁ AJ yː BA l AE f BC a AL ʁ AJ b AH ə AL
acrylglas	a AL k AC ʁ AJ yː BA l AE ɡ AC l AE aː AM s AJ
action	ɛ AL k AC t AC ʃ AJ ə AL n AG
actionfilm	ɛ AL k AC t AC ʃ AJ n̩ BH f BC ɪ AL l AE m AF
addieren	a AL d AC iː AM r BB ə AL n AG
additiv	a AL d AC i AL t AC iː AM f BC
ade	a AL d AC eː AM
adele	a AL d AC eː AM l AE ə AL
adelig	aː AM d AC ə AL l AE ɪ AL ç
adeln	aː AM d AC ə AL l AE n AG
adelung	aː AM d AC ə AL l AE ʊ AN ŋ AG
adelungen	aː AM d AC ə AL l AE ʊ AN ŋ AG ə AL n AG
adenin	a AL d AC e AL n AG iː AM n AG
adenom	a AL d AC e AL n AG oː BA m AF
adenosintriphosphat	a AL d AC e AL n AG o AN z AJ iː AM n AG t AC ʀ BB iː AM f BC ɔ AN s AJ f BC aː AM t AC
ader	ʔ AK aː AM d AC ɐ AN
aderhaut	aː AM d AC ɐ AN h AA a AL u AN t AC
aderlass	aː AM d AC ɐ AN l AE a AL s AJ
adern	ʔ AK aː AM d AC ɐ AN n AG
adhäsion	a AL t AC h AA ɛ AL z AJ ɪ̯ AB oː BA n AG
adidas	aː AM d AC i AL d AC a AL s AJ
adjektiv	a AL d AC j AB ɛ AL k AC t AC iː AM f BC
adlatus	a AL t AC l AE aː AM t AC ʊ AN s AJ
adler	ʔ AK aː AM d AC l AE ɐ AN
adlerartig	aː AM d AC l AE ɐ AN ʔ AK a AL ʁ AJ t AC ɪ AL ç
adlerfarn	aː AM d AC l AE ɐ AN f BC a AL ʁ AJ n AG
adlernase	aː AM d AC l AE ɐ AN n AG aː AM z AJ ə AL
adlers	ʔ AK aː AM d AC l AE ɐ AN s AJ
adlig	aː AM d AC l AE ɪ AL ç
adliger	aː AM d AC l AE ɪ AL ɡ AC ɐ AN
administrativ	a AL t AC m AF i AL n AG ɪ AL s AJ t AC ʀ BB a AL t AC iː AM f BC
adobe	a AL d AC oː BA b AH ə AL
adolf	aː AM d AC ɔ AN l AE f BC
adonai	a AL d AC o AN n AG aː AM i AL
adressat	a AL d AC ʀ BB ɛ AL s AJ aː AM t AC
adressbuch	a AL d AC ʀ BB ɛ AL s AJ b AH uː BA χ AJ
adrett	a AL d AC ʁ AJ ɛ AL t AC
adria	aː AM d AC ʁ AJ i AL a AL
adrian	a AL d AC ʁ AJ i AL aː AM n AG
adriane	a AL d AC ʁ AJ i AL aː AM n AG ə AL
adrianen	a AL d AC ʁ AJ i AL aː AM n AG ə AL n AG
adrians	a AL d AC ʁ AJ i AL aː AM n AG s AJ
advent	ʔ AK a AL t AC v BC ɛ AL n AG t AC
advente	ʔ AK a AL t AC v BC ɛ AL n AG t AC ə AL
adventen	ʔ AK a AL t AC v BC ɛ AL n AG t AC ə AL n AG
adventes	ʔ AK a AL t AC v BC ɛ AL n AG t AC ə AL s AJ
advents	ʔ AK a AL t AC v BC ɛ AL n AG t AC s AJ
adventskalender	ʔ AK a AL t AC v BC ɛ AL n AG t AC s AJ k AC a AL l AE ɛ AL n AG d AC ɐ AN
adventskalendern	ʔ AK a AL t AC v BC ɛ AL n AG t AC s AJ k AC a AL l AE ɛ AL n AG d AC ɐ AN n AG
adventskalenders	ʔ AK a AL t AC v BC ɛ AL n AG t AC s AJ k AC a AL l AE ɛ AL n AG d AC ɐ AN s AJ
adventskranz	ʔ AK a AL t AC v BC ɛ AL n AG t AC s AJ k AC ʀ BB a AL n AG t AC s AJ
adverb	a AL t AC v BC ɛ AL ʁ AJ p AH
advokat	a AL t AC v BC o AN k AC aː AM t AC
adäquat	a AL d AC ɛ AL k AC v BC aː AM t AC
aerodynamik	a AL e AL ʁ AJ o AN d AC y AN n AG aː AM m AF ɪ AL k AC
aerodynamisch	a AL e AL ʁ AJ o AN d AC y AN n AG aː AM m AF ɪ AL ʃ AJ
affenbrotbaum	a AL f BC n̩ BH b AH ʁ AJ oː BA t AC b AH a AL ʊ̯ BF m AF
affinität	a AL f BC i AL n AG i AL t AC ɛː AM t AC
affirmativ	a AL f BC ɪ AL ʁ AJ m AF a AL t AC iː AM f BC
affrikate	a AL f BC ʁ AJ i AL k AC aː AM t AC ə AL
affäre	a AL f BC ɛː AM ʀ BB ə AL
afrika	aː AM f BC ʁ AJ i AL k AC a AL
afrikaans	a AL f BC ʁ AJ i AL k AC aː AM n AG s AJ
afrikaner	ʔ AK a AL f BC ʁ AJ i AL k AC aː AM n AG ɐ AN
after	aː AM f BC t AC ɐ AN
afterkind	a AL f BC t AC ɐ AN k AC ɪ AL n AG t AC
afterlehen	a AL f BC t AC ɐ AN l AE eː AM ə AL n AG
afterreden	a AL f BC t AC ɐ AN ʁ AJ eː AM d AC n̩ BH
aftershave	aː AM f BC t AC ɐ AN ʃ AJ ɛ AL ɪ̯ AB f BC
afterwelt	a AL f BC t AC ɐ AN v BC ɛ AL l AE t AC
