က	k a̰ AG
ကွမ်းမွှေး	k ʊ AE ɴ m̥ w AC e AD
ကွမ်းယာ	k ʊ AE ɴ j AB a AD
ကွမ်းရွက်ပင်	k ʊ AE ɴ j AB w AC ɛ AD ʔ p ɪ AD ɴ
ကွယ်လွန်	k w AC ɛ AD l ʊ AE ɴ
ကွာစေ့	k w AC a AD s ḭ
ကွာလာလမ်ပူ	k w AC a AD l a AD l a AD ɴ p u AE
ကွီး	k w AC i AD
ကွဲ	k w AC ɛ AD
ကဿပ	k a AD ʔ θ ə AD p a̰ AG
ကဿပဘုရား	k a AD ʔ θ ə AD p a̰ AG pʰ ə AD j AB a AD
ခ	kʰ a̰ AG
ခက်	kʰ ɛ AD ʔ
ခက်ရင်း	kʰ ə AD j AB ɪ AD ɴ
ခကွေး	kʰ a̰ AG ɡ w AC e AD
ခင်	kʰ ɪ AD ɴ
ခင်ပွန်း	kʰ ɪ AD ɴ b ʊ AE ɴ
ခင်ဗျာ	kʰ ə AD m j AB a AD
ခင်ဗျာ့	kʰ ɪ AD ɴ b j AB a̰ AG
ခင်ဗျား	kʰ ɪ AD ɴ b j AB a AD
ခင်ဗျားတို့	kʰ ɪ AD ɴ b j AB a AD d o̰ AH
ခင်မင်မှု	kʰ ɪ AD ɴ m ɪ AD ɴ m̥ ṵ
ခဏ	kʰ ə AD n a̰ AG
ခဏခဏ	kʰ ə AD n a̰ AG ɡ ə AD n a̰ AG
ခတ္တိယ	kʰ a AD ʔ t ḭ j AB a̰ AG
ခနုံထုပ်	kʰ ə AD n o AE ʊ AE ɴ d o AE ʊ AE ʔ
ခနုံအီ	kʰ ə AD n o AE ʊ AE ɴ ʔ i AD
ခန္တီ	kʰ a AD ɴ t i AD
ခန္ဓာ	kʰ a AD ɴ d a AD
ခန္ဓာငါးပါး	kʰ a AD ɴ d a AD ŋ a AD b a AD
ခန္ဓာဗေဒ	kʰ a AD ɴ d a AD b e AD d a̰ AG
ခန်တမာ	kʰ a AD ɴ t ə AD m a AD
ခန်း	kʰ a AD ɴ
ခပ်သိမ်း	kʰ a AD ʔ θ e AD ɪ AD ɴ
ခမည်းတော်	kʰ ə AD m i AD d ɔ AE
ခမာ	kʰ ə AD m a AD
ခမောက်	kʰ ə AD m a AD ʊ AE ʔ
ခယ်မ	kʰ ɛ AD m a̰ AG
ခရင်း	kʰ ə AD j AB ɪ AD ɴ
ခရစ္စမတ်	kʰ ə AD ɹ AI ɪ AD ʔ s ə AD m a AD ʔ
ခရစ်	kʰ ə AD ɹ AI ɪ AD ʔ
ခရစ်တော်	kʰ ə AD ɹ AI ɪ AD ʔ t ɔ AE
ခရစ်ယာန်	kʰ ə AD ɹ AI ɪ AD ʔ j AB a AD n
ခရမ်း	kʰ ə AD j AB a AD ɴ
ခရမ်းချဉ်	kʰ ə AD j AB a AD ɴ d ʑ ɪ AD ɴ
ခရမ်းသီး	kʰ ə AD j AB a AD ɴ θ i AD
ခရာမွှေး	kʰ ə AD j AB a AD m̥ w AC e AD
ခရိုင်	kʰ ə AD j AB a AD ɪ AD ɴ
ခရိုမီယမ်	kʰ ə AD ɹ AI o AE m i AD j AB a AD ɴ
ခရိုအေးရှား	kʰ ə AD ɹ AI o AE ʔ e AD ʃ a AD
ခရီး	kʰ ə AD j AB i AD
ခရီးသည်	kʰ ə AD j AB i AD ð e AD
ခရု	kʰ ə AD j AB ṵ
ခရုပက်ကျိ	kʰ ə AD j AB ṵ p ɛ AD ʔ t ɕ ḭ
ခရေ	kʰ ə AD j AB e AD
ခလာသီ	kʰ ə AD l a AD θ i AD
ခလုတ်	kʰ ə AD l o AE ʊ AE ʔ
ခလုတ်ခုံ	kʰ ə AD l o AE ʊ AE ʔ kʰ o AE ʊ AE ɴ
ခဝဲ	kʰ ə AD w AC ɛ AD
ခါ	kʰ a AD
ခါး	kʰ a AD
ခါးပတ်	ɡ ə AD b a AD ʔ
ခို	kʰ o AE
ခိုး	kʰ o AE
ခိုးစား	kʰ o AE s a AD
ခု	kʰ ṵ
ခုခံအားကျရောဂါ	kʰ ṵ ɡ a AD ɴ ʔ a AD t ɕ a̰ AG j AB ɔ AE ɡ a AD
ခုနစ်	kʰ ʊ AE ɴ n̥ ɪ AD ʔ
ခုနစ်လ	kʰ ʊ AE ɴ n̥ ə AD l a̰ AG
ခုန်	kʰ o AE ʊ AE ɴ
ခုံတန်းလျား	kʰ o AE ʊ AE ɴ t a AD ɴ j AB a AD
ခုံရှည်	kʰ o AE ʊ AE ɴ ʃ e AD
ခေတ္တ	kʰ ɪ AD ʔ t a̰ AG
ခေတ်	kʰ ɪ AD ʔ
ခေမာရဋ္ဌ	kʰ e AD m a AD j AB ə AD tʰ a̰ AG
ခေါက်	kʰ a AD ʊ AE ʔ
ခေါက်ဆွဲ	kʰ a AD ʊ AE ʔ sʰ w AC ɛ AD
ခေါက်ဆွဲဆိုင်	kʰ a AD ʊ AE ʔ sʰ w AC ɛ AD z a AD ɪ AD ɴ
ခေါက်ဆွဲသုပ်	kʰ a AD ʊ AE ʔ sʰ w AC ɛ AD θ o AE ʊ AE ʔ
ခေါက်မုန့်	kʰ a AD ʊ AE ʔ m o̰ AH ʊ AE ɴ
ခေါင်း	ɡ a AD ʊ AE ɴ
ခေါင်းဆောင်	ɡ a AD ʊ AE ɴ z a AD ʊ AE ɴ
ခေါင်းပေါင်း	ɡ a AD ʊ AE ɴ b a AD ʊ AE ɴ
ခေါင်းလောင်း	kʰ a AD ʊ AE ɴ l a AD ʊ AE ɴ
ခေါင်းလျှော်ရည်	ɡ a AD ʊ AE ɴ ʃ ɔ AE j AB e AD
ခေါင်းအုံး	ɡ a AD ʊ AE ɴ ʔ o AE ʊ AE ɴ
ခေါပုတ်	kʰ ɔ AE b o AE ʊ AE ʔ
ခေါပျဉ်	kʰ ɔ AE b j AB ɪ AD ɴ
ခေါ်	kʰ ɔ AE
ခေး	kʰ e AD
ခဲ	kʰ ɛ AD
ခဲတံ	kʰ ɛ AD d a AD ɴ
ခဲဖျက်	kʰ ɛ AD b j AB ɛ AD ʔ
ခဲယဉ်း	kʰ ɛ AD j AB ɪ AD ɴ
ခဲအို	kʰ ɛ AD ʔ o AE
ခဲ့	ɡ ɛ̰ AG
ခံ	kʰ a AD ɴ
ခံစား	kʰ a AD ɴ z a AD
ခံတပ်	kʰ a AD ɴ d a AD ʔ
ခံမြို့	kʰ a AD ɴ m j AB o̰ AH
ခံယူချက်	kʰ a AD ɴ j AB u AE d ʑ ɛ AD ʔ
ချက်	t ɕʰ ɛ AD ʔ
ချက်ကြိုး	t ɕʰ ɛ AD ʔ t ɕ o AE
ချက်သမ္မတ	t ɕʰ ɛ AD ʔ θ ə AD m ə AD d a̰ AG
ချင်	t ɕʰ ɪ AD ɴ
ချင်း	t ɕʰ ɪ AD ɴ
ချင်းမိုင်	t ɕʰ ɪ AD ɴ m a AD ɪ AD ɴ
ချင်းသုပ်	d ʑ ɪ AD ɴ ð o AE ʊ AE ʔ
ချစ်	t ɕʰ ɪ AD ʔ
ချစ်ခင်	t ɕʰ ɪ AD ʔ kʰ ɪ AD ɴ
ချစ်တီး	t ɕʰ ɪ AD ʔ t i AD
ချစ်သူ	t ɕʰ ɪ AD ʔ θ u AE
ချဉ်	t ɕʰ ɪ AD ɴ
ချဉ်ပေါင်	t ɕʰ ɪ AD ɴ b a AD ʊ AE ɴ
ချည်	t ɕʰ i AD
ချည်လုံး	t ɕʰ i AD l o AE ʊ AE ɴ
ချဒ်	t ɕʰ a AD d
ချပါတီ	t ɕʰ ə AD p a AD t i AD
ချပ်	d ʑ a AD ʔ
ချမ်း	t ɕʰ a AD ɴ
ချယ်ရီ	t ɕʰ ɛ AD ɹ AI i AD
ချာတိတ်	t ɕʰ a AD t e AD ɪ AD ʔ
ချားလ်	t ɕʰ a AD l
ချိတ်	d ʑ e AD ɪ AD ʔ
ချို	t ɕʰ o AE
ချိုချဉ်	t ɕʰ o AE t ɕʰ ɪ AD ɴ
ချိုး	t ɕʰ o AE
ချီလီ	t ɕʰ i AD l i AD
ချုပ်	t ɕʰ o AE ʊ AE ʔ
ချူးအင်းဂမ်း	t ɕʰ u AE ʔ ɪ AD ɴ ɡ a AD ɴ
ချေ	t ɕʰ i AD
ချော	t ɕʰ ɔ AE
ချောကလက်	t ɕʰ ɔ AE k ə AD l ɛ AD ʔ
ချောက်	t ɕʰ a AD ʊ AE ʔ
ချောင်	t ɕʰ a AD ʊ AE ɴ
ချောင်း	t ɕʰ a AD ʊ AE ɴ
ချော်	t ɕʰ ɔ AE
ချေး	t ɕʰ i AD
ချေးထုပ်	t ɕʰ e AD tʰ o AE ʊ AE ʔ
ချဲ့ချဲ့	t ɕʰ ɛ̰ AG d ʑ ɛ̰ AG
ချွန်	t ɕʰ ʊ AE ɴ
ချွန်ထက်	t ɕʰ ʊ AE ɴ tʰ ɛ AD ʔ
ချွေး	t ɕʰ w AC e AD
ချွေးမ	t ɕʰ w AC e AD m a̰ AG
ချွံချွံ	t ɕʰ ʊ AE ɴ d ʑ ʊ AE ɴ
ခြ	t ɕʰ a̰ AG
ခြင်	t ɕʰ ɪ AD ɴ
ခြင်း	t ɕʰ ɪ AD ɴ
ခြင်းလုံး	t ɕʰ ɪ AD ɴ l o AE ʊ AE ɴ
ခြင်္သေ့	t ɕʰ ɪ AD ɴ ð ḛ
ခြင်္သေ့ကလေး	t ɕʰ ɪ AD ɴ ð ḛ ɡ ə AD l e AD
ခြင်္သေ့မ	t ɕʰ ɪ AD ɴ ð ḛ m a̰ AG
ခြည်	t ɕʰ i AD
ခြတောင်ပို့	t ɕʰ a̰ AG t a AD ʊ AE ɴ b o̰ AH
ခြမ်း	t ɕʰ a AD ɴ
ခြား	t ɕʰ a AD
ခြားနား	t ɕʰ a AD n a AD
ခြားနားချက်	t ɕʰ a AD n a AD d ʑ ɛ AD ʔ
ခြေ	t ɕʰ e AD
ခြေစွပ်	t ɕʰ e AD z ʊ AE ʔ
ခြေထောက်	t ɕʰ e AD d a AD ʊ AE ʔ
ခြေနင်း	t ɕʰ e AD n ɪ AD ɴ
ခြေဖနောင့်	t ɕʰ e AD b ə AD n a̰ AG ʊ AE ɴ
ခြေဖဝါး	t ɕʰ e AD b ə AD w AC a AD
ခြေသည်း	t ɕʰ e AD ð e AD
ခြေအိတ်	t ɕʰ e AD ʔ e AD ɪ AD ʔ
ခြောက်	t ɕʰ a AD ʊ AE ʔ
ခြောက်လ	t ɕʰ a AD ʊ AE ʔ l a̰ AG
ခြံ	t ɕʰ a AD ɴ
ခွက်	kʰ w AC ɛ AD ʔ
ခွင့်လွှတ်	kʰ w AC ɪ̰ AG ɴ l̥ ʊ AE ʔ
ခွဆုံ	ɡ w AC a̰ AG z o AE ʊ AE ɴ
ခွန်	kʰ ʊ AE ɴ
ခွန်း	kʰ ʊ AE ɴ
ခွာ	kʰ w AC a AD
ခွာနာလျှာနာ	kʰ w AC a AD n a AD ʃ a AD n a AD
ခွေး	kʰ w AC e AD
ခွေးမ	kʰ w AC e AD m a̰ AG
ခွေးမသား	kʰ w AC e AD m a̰ AG ð a AD
ခွေးရူးပြန်ရောဂါ	kʰ w AC e AD j AB u AE b j AB a AD ɴ j AB ɔ AE ɡ a AD
ခွေးသူတောင်းစား	kʰ w AC e AD ð ə AD d a AD ʊ AE ɴ z a AD
ခွေးအိမ်	kʰ w AC e AD ʔ e AD ɪ AD ɴ
ခွဲ	kʰ w AC ɛ AD
ခွံ	kʰ ʊ AE ɴ
ဂငယ်	ɡ a̰ AG ŋ ɛ AD
ဂငယ်ကွေ့	ɡ a̰ AG ŋ ɛ AD ɡ w AC ḛ
ဂင်းနီဗစ်ဆော	ɡ ɪ AD ɴ n i AD b ɪ AD ʔ sʰ ɔ AE
ဂင်္ဂါ	ɡ ɪ AD ɴ ɡ a AD
ဂဏန်း	ɡ ə AD n a AD ɴ
ဂဏန်းတွက်စက်	ɡ ə AD n a AD ɴ t w AC ɛ AD ʔ s ɛ AD ʔ
ဂန္ထဗေဒ	ɡ a AD ɴ tʰ a̰ AG b e AD d a̰ AG
ဂန္ထဝင်	ɡ a AD ɴ d ə AD w AC ɪ AD ɴ
ဂန္ဒမာ	ɡ a AD ɴ d ə AD m a AD
ဂန်ဂျာ	ɡ a AD ɴ d ʑ a AD
ဂန်ဒူး	ɡ a AD ɴ d u AE
ဂမ်ဘီယာ	ɡ a AD ɴ b i AD j AB a AD
ဂယ်လက်ဆီ	ɡ ɛ AD l ɛ AD ʔ sʰ i AD
ဂရပ်	ɡ ə AD ɹ AI a AD ʔ
ဂရမ်	ɡ ə AD ɹ AI a AD ɴ
ဂရိ	ɡ ə AD ɹ AI ḭ
ဂရိတ်ဗြိတိန်	ɡ ə AD ɹ AI e AD ɪ AD ʔ b j AB ḭ t e AD ɪ AD ɴ
ဂရု	ɡ ə AD j AB ṵ
ဂလင်း	ɡ ə AD l ɪ AD ɴ
ဂဠုန်	ɡ ə AD l o AE ʊ AE ɴ
ဂါထာ	ɡ a AD tʰ a AD
ဂါနာ	ɡ a AD n a AD
ဂါဘွန်	ɡ a AD b ʊ AE ɴ
ဂိတ်	ɡ e AD ɪ AD ʔ
ဂိတ်ဆုံး	ɡ e AD ɪ AD ʔ sʰ o AE ʊ AE ɴ
ဂိမှာန်	ɡ e AD ɪ AD ɴ m̥ a AD ɴ
ဂိရိမေခလာ	ɡ ḭ ɹ AI ḭ m e AD kʰ ə AD l a AD
ဂိုင်ယာနာ	ɡ a AD ɪ AD ɴ j AB a AD n a AD
ဂိုဏ်း	ɡ o AE n
ဂိုဏ်းချုပ်	ɡ a AD ɪ AD ɴ d ʑ o AE ʊ AE ʔ
ဂိုဏ်းထောက်	ɡ o AE n d a AD ʊ AE ʔ
ဂိုဏ်းအုပ်	ɡ o AE n ʔ o AE ʊ AE ʔ
ဂိုဒေါင်	ɡ o AE d a AD ʊ AE ɴ
ဂီတ	ɡ i AD t a̰ AG
ဂီတပညာ	ɡ i AD t a̰ AG p a̰ AG ɲ a AD
ဂီတသမား	ɡ i AD t a̰ AG ð ə AD m a AD
ဂီတာ	ɡ i AD t a AD
ဂီနီ	ɡ i AD n i AD
ဂုဏ်	ɡ o AE ʊ AE ɴ
ဂုန္တန်	ɡ o AE ʊ AE ɴ d a AD ɴ
ဂုရု	ɡ ṵ ɹ AI ṵ
ဂူ	ɡ u AE
ဂေဟဗေဒ	ɡ e AD h AA a̰ AG t a̰ AG b e AD d a̰ AG
ဂေါက်	ɡ a AD ʊ AE ʔ
ဂေါတမ	ɡ ɔ AE t ə AD m a̰ AG
ဂေါတမဘုရား	ɡ ɔ AE t ə AD m a̰ AG pʰ ə AD j AB a AD
ဂေါ်	ɡ ɔ AE
ဂေါ်ဖီထုပ်	ɡ ɔ AE b i AD d o AE ʊ AE ʔ
ဂေါ်ဖီပန်း	ɡ ɔ AE b i AD p a AD ɴ
ဂေါ်မိတ်	ɡ ɔ AE m e AD ɪ AD ʔ
ဂေါ်ရခါး	ɡ ɔ AE j AB ə AD kʰ a AD
ဂေါ်ရခါးသီး	ɡ ɔ AE j AB ə AD kʰ a AD θ i AD
ဂျက်	d ʑ ɛ AD ʔ
ဂျင်	d ʑ ɪ AD ɴ
ဂျင်းဘောင်းဘီ	d ʑ ɪ AD ɴ b a AD ʊ AE ɴ b i AD
ဂျပန်	d ʑ ə AD p a AD ɴ
ဂျမေကာ	d ʑ ə AD m e AD k a AD
ဂျလေဘီ	d ʑ ə AD l e AD b i AD
ဂျာမနီ	d ʑ a AD m ə AD n i AD
ဂျာမန်	d ʑ a AD m a AD ɴ
ဂျီဘူတီ	d ʑ i AD b u AE t i AD
ဂျုံ	d ʑ o AE ʊ AE ɴ
ဂျုံမှုန့်	d ʑ o AE ʊ AE ɴ m̥ o̰ AH ʊ AE ɴ
ဂျူး	d ʑ u AE
ဂျေရုဆလင်	d ʑ e AD ɹ AI ṵ sʰ a̰ AG l ɪ AD ɴ
ဂျော့ခ်ျ	d ʑ ɔ̰ AH t ɕʰ ə AD
ဂျော်ဂျီယာ	d ʑ ɔ AE d ʑ i AD j AB a AD
ဂျော်ဒန်	d ʑ ɔ AE d a AD ɴ
ဂျော်နီ	d ʑ ɔ AE n i AD
ဂြိုဟ်	d ʑ o AE
ဂြိုဟ်တု	d ʑ o AE h AA d ṵ
ဂွမ်း	ɡ ʊ AE ɴ
ဂွါတီမာလာ	ɡ w AC a AD t i AD m a AD l a AD
ဂွေး	ɡ w AC e AD
ဃကြီး	ɡ a̰ AG d ʑ i AD
င	ŋ a̰ AG
ငချိတ်	ŋ ə AD t ɕʰ e AD ɪ AD ʔ
ငတ်	ŋ a AD ʔ
ငန်	ŋ a AD ɴ
ငန်း	ŋ a AD ɴ
ငယ်	ŋ ɛ AD
ငရုတ်	ŋ ə AD j AB o AE ʊ AE ʔ
ငရုတ်ကောင်း	ŋ ə AD j AB o AE ʊ AE ʔ ɡ a AD ʊ AE ɴ
ငရဲ	ŋ ə AD j AB ɛ AD
ငရဲကြီးရှစ်ထပ်	ŋ ə AD j AB ɛ AD d ʑ i AD ʃ ɪ AD ʔ tʰ a AD ʔ
ငရဲမင်း	ŋ ə AD j AB ɛ AD m ɪ AD ɴ
ငရဲသား	ŋ ə AD j AB ɛ AD ð a AD
ငလျင်	ŋ ə AD l j AB ɪ AD ɴ
ငါ	ŋ a AD
ငါတို့	ŋ a AD t o̰ AH
ငါ့	ŋ a̰ AG
ငါး	ŋ a AD
ငါးကျပ်တင်	ŋ a AD t ɕ a AD ʔ t ɪ AD ɴ
ငါးကြင်း	ŋ a AD d ʑ ɪ AD ɴ
ငါးခူ	ŋ ə AD kʰ u AE
ငါးပိ	ŋ ə AD p ḭ
ငါးပိထောင်း	ŋ a AD p ḭ tʰ a AD ʊ AE ɴ
ငါးပိရည်	ŋ ə AD p ḭ j AB e AD
ငါးပုဏ္ဏား	ŋ ə AD p o AE ʊ AE ɴ n a AD
ငါးပေါင်းထုပ်	ŋ ə AD b a AD ʊ AE ɴ d o AE ʊ AE ʔ
ငါးဖန်ခွက်	ŋ ə AD pʰ a AD ɴ ɡ w AC ɛ AD ʔ
ငါးဖယ်	ŋ ə AD pʰ ɛ AD
ငါးဖျင်းသလက်	ŋ ə AD pʰ j AB ɪ AD ɴ θ ə AD l ɛ AD ʔ
ငါးမန်း	ŋ ə AD m a AD ɴ
ငါးမုန့်	ŋ a AD m o̰ AH ʊ AE ɴ
ငါးမူး	ŋ a AD m u AE
ငါးမျှားတံ	ŋ ə AD m̥ j AB a AD d a AD ɴ
ငါးမြစ်ချင်း	ŋ ə AD m j AB ɪ AD ʔ t ɕʰ ɪ AD ɴ
ငါးရံ့	ŋ ə AD j AB a̰ AG ɴ
ငါးလ	ŋ a AD l a̰ AG
ငါးသလောက်	ŋ ə AD θ ə AD l a AD ʊ AE ʔ
ငါးသလောက်ပေါင်း	ŋ ə AD θ ə AD l a AD ʊ AE ʔ b a AD ʊ AE ɴ
ငါးဥ	ŋ a AD ʔ ṵ
ငို	ŋ o AE
ငု	ŋ ṵ
ငုစပ်	ŋ ṵ z a AD ʔ
ငုသိမ်	ŋ ṵ ð e AD ɪ AD ɴ
ငူတူတူ	ŋ u AE t u AE d u AE
ငံ	ŋ a AD ɴ
ငံပြာရည်	ŋ a AD ɴ b j AB a AD j AB e AD
ငြာ	ɲ a AD
ငြိမ်းချမ်းရေး	ɲ e AD ɪ AD ɴ d ʑ a AD ɴ j AB e AD
ငွေ	ŋ w AC e AD
ငွေကြေး	ŋ w AC e AD t ɕ e AD
ငွေသား	ŋ w AC e AD ð a AD
ငွေ့ငွေ့	ŋ w AC ḛ ŋ w AC ḛ
ငှက်	ŋ̊ ɛ AD ʔ
ငှက်ဆိုး	ŋ̊ ɛ AD ʔ sʰ o AE
ငှက်ပျော	ŋ ə AD p j AB ɔ AE
ငှက်ပျောပေါင်း	ŋ̊ ə AD b j AB ɔ AE b a AD ʊ AE ɴ
ငှက်ဖျား	ŋ̊ ɛ AD ʔ pʰ j AB a AD
ငှါး	ŋ̊ a AD
ငှား	ŋ̊ a AD
စ	s a̰ AG
စကတ်	s ə AD k a AD ʔ
စကား	z ə AD ɡ a AD
စကားထာ	z ə AD ɡ ə AD tʰ a AD
စကားနည်းရန်စဲ	z ə AD ɡ a AD n ɛ AD j AB a AD ɴ z ɛ AD
စကားပုံ	z ə AD ɡ ə AD b o AE ʊ AE ɴ
စကားပြန်	z ə AD ɡ ə AD b j AB a AD ɴ
စကားပြောကြေးနန်း	z ə AD ɡ a AD b j AB ɔ AE t ɕ e AD n a AD ɴ
စကားလုံး	z ə AD ɡ ə AD l o AE ʊ AE ɴ
စကားဝှက်	z ə AD ɡ ə AD ʍ AF ɛ AD ʔ
စက္ကန့်	s ɛ AD ʔ k a̰ AG ɴ
စက္ကရီတေရီ	s ɛ AD ʔ k ə AD ɹ AI i AD t e AD j AB i AD
စက္ကူ	s ɛ AD ʔ k u AE
စက်	s ɛ AD ʔ
စက်ခေါင်း	s ɛ AD ʔ ɡ a AD ʊ AE ɴ
စက်ဆရာ	s ɛ AD ʔ sʰ ə AD j AB a AD
စက်ဆုပ်	s ɛ AD ʔ sʰ o AE ʊ AE ʔ
စက်တင်ဘာ	s ɛ AD ʔ t ɪ AD ɴ b a AD
စက်ဘီး	s ɛ AD ʔ b e AD ɪ AD ɴ
စက်ရုပ်	s ɛ AD ʔ j AB o AE ʊ AE ʔ
စက်ရုံ	s ɛ AD ʔ j AB o AE ʊ AE ɴ
စက်လှေကား	s ɛ AD ʔ l̥ e AD ɡ a AD
စက်သုံးဆီဆိုင်	s ɛ AD ʔ θ o AE ʊ AE ɴ sʰ i AD sʰ a AD ɪ AD ɴ
စက်သေနတ်	s ɛ AD ʔ θ ə AD n a AD ʔ
စကြဝဠာ	s ɛ AD ʔ t ɕ a AD w AC ə AD l a AD
စကြာ	s ɛ AD ʔ t ɕ a AD
စကြာဝဠာဗေဒ	s ɛ AD ʔ t ɕ a AD w AC ə AD l a AD b e AD d a̰ AG
စခန်း	s ə AD kʰ a AD ɴ
စင်	s ɪ AD ɴ
စင်ကာပူ	s ɪ AD ɴ ɡ ə AD p u AE
စင်စင်	s ɪ AD ɴ z ɪ AD ɴ
စင်း	s ɪ AD ɴ
စင်္ကာပူ	s ɪ AD ɴ ɡ ə AD p u AE
စင်္ကြံ	z ɪ AD ɴ d ʑ a AD ɴ
စစ်	s ɪ AD ʔ
စစ်ကိုင်း	z ə AD ɡ a AD ɪ AD ɴ
စစ်ကဲ	s ɪ AD ʔ k ɛ AD
စစ်တပ်	s ɪ AD ʔ t a AD ʔ
စစ်တုရင်	s ɪ AD ʔ b ə AD j AB ɪ AD ɴ
စစ်တွေ	s ɪ AD ʔ t w AC e AD
စစ်ဗိုလ်	s ɪ AD ʔ b o AE
စစ်သား	s ɪ AD ʔ θ a AD
စဉ်းစား	s ɪ AD ɴ z a AD
စည်	s i AD
စည်ပိုင်း	s i AD b a AD ɪ AD ɴ
စည်း	s i AD
စည်းပုံ	s i AD b o AE ʊ AE ɴ
စတိုး	s ə AD t o AE
စတု	z ə AD t ṵ
စတုဂံ	s ə AD t ṵ ɡ a AD ɴ
စတုတ္ထ	z ə AD d o AE ʊ AE ʔ tʰ a̰ AG
စတုဒိသာ	s ə AD t ṵ d ḭ θ a AD
စတုရန်း	s ə AD t ṵ j AB a AD ɴ
စတေဒီယံ	s ə AD t e AD d i AD j AB a AD ɴ
စနစ်	s ə AD n ɪ AD ʔ
စနေ	s ə AD n e AD
စန္ဒရား	s a AD ɴ d ə AD j AB a AD
စန္ဒာ	s a AD ɴ d a AD
စန္ဒီ	s a AD ɴ d i AD
စန္ဒြမာသ	s a AD ɴ d ɹ AI a̰ AG m a AD θ a̰ AG
စန္ဒြာ	s a AD ɴ d ɹ AI a AD
စန်း	s a AD ɴ
စပါး	z ə AD b a AD
စပါးလင်	z ə AD b ə AD l ɪ AD ɴ
စပိန်	s ə AD p e AD ɪ AD ɴ
စပ်	s a AD ʔ
စပျစ်	z ə AD b j AB ɪ AD ʔ
စပျစ်သီး	z ə AD b j AB ɪ AD ʔ θ i AD
စပွတ်နစ်	s ə AD p ʊ AE ʔ n ɪ AD ʔ
စမတ်	s ə AD m a AD ʔ
စမူဆာ	s ə AD m u AE z a AD
စမူဆာသုပ်	s ə AD m u AE z a AD θ o AE ʊ AE ʔ
စမ်း	s a AD ɴ
စရိတ်	z ə AD j AB e AD ɪ AD ʔ
စရိုက်	z ə AD j AB a AD ɪ AD ʔ
စလုံး	s a̰ AG l o AE ʊ AE ɴ
စလွယ်	s ə AD l w AC e AD
စအို	s ə AD ʔ o AE
စာ	s a AD
စာကိုယ်	s a AD ɡ o AE
စာကြည့်တိုက်	s a AD t ɕ ḭ d a AD ɪ AD ʔ
စာချုပ်	s ə AD t ɕʰ o AE ʊ AE ʔ
စာစောင်	s a AD z a AD ʊ AE ɴ
စာဆို	s a AD z o AE
စာတိုက်	s a AD d a AD ɪ AD ʔ
စာပို့	s a AD p o̰ AH
စာပုံး	s a AD b o AE ʊ AE ɴ
စာပေ	s a AD p e AD
စာဖတ်	s a AD pʰ a AD ʔ
စာမရီ	s a AD m ə AD j AB i AD
စာမေးပွဲ	s a AD m e AD b w AC ɛ AD
စာမျက်နှာ	s a AD m j AB ɛ AD ʔ n̥ a AD
စာမွဲ	s ə AD m w AC ɛ AD
စာရင်း	s ə AD j AB ɪ AD ɴ
စာရင်းကိုင်	s ə AD j AB ɪ AD ɴ ɡ a AD ɪ AD ɴ
စာရင်းကိုင်ပညာ	s ə AD j AB ɪ AD ɴ ɡ a AD ɪ AD ɴ p j AB ɪ AD ɴ ɲ a AD
စာရင်းအင်း	s a AD j AB ɪ AD ɴ ʔ ɪ AD ɴ
စာရေး	s ə AD j AB e AD
စာရေးဆရာ	s a AD j AB e AD sʰ ə AD j AB a AD
စာရွက်စာတမ်း	s a AD j AB w AC ɛ AD ʔ s a AD d a AD ɴ
စာလုံးပေါင်းသတ်ပုံ	s ə AD l o AE ʊ AE ɴ b a AD ʊ AE ɴ θ a AD ʔ p o AE ʊ AE ɴ
စာသင်ခန်း	s a AD θ ɪ AD ɴ ɡ a AD ɴ
စာသား	s a AD ð a AD
စာအိတ်	s a AD ʔ e AD ɪ AD ʔ
စာအုပ်	s a AD ʔ o AE ʊ AE ʔ
စာအုပ်ဆိုင်	s a AD ʔ o AE ʊ AE ʔ sʰ a AD ɪ AD ɴ
စား	s a AD
စားချဉ့်ပြန်	s ə AD t ɕʰ ɪ̰ AG ɴ p j AB a AD ɴ
စားစရာ	s a AD z ə AD j AB a AD
စားတော်ဆက်	s a AD d ɔ AE z ɛ AD ʔ
စားပြီးပြီလား	s a AD p i AD b i AD l a AD
စားပွဲ	z ə AD b w AC ɛ AD
စားပွဲထိုး	z a AD b w AC ɛ AD d o AE
စားဖို	s ə AD pʰ o AE
စားဖိုဆောင်	s ə AD pʰ o AE z a AD ʊ AE ɴ
စားမြုံ့ပြန်	s ə AD m j AB o̰ AH ʊ AE ɴ p j AB a AD ɴ
စားသောက်ဆိုင်	s a AD θ a AD ʊ AE ʔ sʰ a AD ɪ AD ɴ
စိတ္တဇ	s e AD ɪ AD ʔ d ə AD z a̰ AG
စိတ္တဇပန်းချီ	s e AD ɪ AD ʔ d ə AD z a̰ AG b ə AD d ʑ i AD
စိတ္တဇရောဂါ	s e AD ɪ AD ʔ d ə AD z a̰ AG j AB ɔ AE ɡ a AD
စိတ္တဗေဒ	s e AD ɪ AD ʔ t a̰ AG b e AD d a̰ AG
စိတ်	s e AD ɪ AD ʔ
စိတ်ဆိုး	s e AD ɪ AD ʔ sʰ o AE
စိတ်ဓာတ်	s e AD ɪ AD ʔ d a AD t
