't	t AC
malaswa	m AE a AK l AD a AK s AH w AI a AK ʔ AJ
malaya	m AE ɐ AM l AD aː AL ɪ AK a AK
malibag	m AE a AK l AD i AK b AG a AK ɡ AC
malibiran	m AE a AK l AD i AK b AG i AK ɾ BD a AK n AF
malicsi	m AE a AK l AD i AK k AC s AH i AK
maligaw	m AE a AK l AD i AK ɡ AC a AK u AM
malihan	m AE a AK l AD i AK h AA a AK n AF
malikhain	m AE a AK l AD i AK k AC h AA a AK ʔ AJ i AK n AF
maliksi	m AE a AK l AD i AK k AC s AH i AK
malilom	m AE a AK l AD i AK l AD o AM m AE
malimit	m AE a AK l AD i AK m AE i AK t AC
mallare	m AE a AK l AD l AD a AK ɾ BD ɛ AK
mallorca	m AE a AK l AD l AD o AM ɾ BD k AC a AK
malubak	m AE a AK l AD u AM b AG a AK k AC
malusog	m AE a AK l AD u AM s AH o AM ɡ AC
maluwat	m AE a AK l AD u AM w AI a AK t AC
mama	m AE a AK m AE a AK ʔ AJ
mamagitan	m AE a AK m AE a AK ɡ AC i AK t AC a AK n AF
mamahagi	m AE a AK m AE a AK h AA a AK ɡ AC i AK ʔ AJ
mamakyaw	m AE a AK m AE a AK k AC j AB a AK u AM
mamanhikan	m AE a AK m AE a AK n AF h AA i AK k AC a AK n AF
mamaril	m AE a AK m AE a AK ɾ BD i AK l AD
mamasada	m AE a AK m AE a AK s AH a AK d AC a AK
mamasura	m AE a AK m AE a AK s AH u AM ɾ BD a AK
mamatay	m AE a AK m AE a AK t AC a AK j AB
mambabae	m AE a AK m AE b AG a AK b AG a AK ʔ AJ ɛ AK
mambola	m AE a AK m AE b AG o AM l AD a AK
mamboso	m AE a AK m AE b AG o AM s AH o AM
mambugaw	m AE a AK m AE b AG u AM ɡ AC a AK u AM
mambuwisit	m AE a AK m AE b AG u AM i AK s AH i AK t AC
mamigay	m AE a AK m AE i AK ɡ AC a AK i AK
mamihasa	m AE a AK m AE i AK h AA a AK s AH a AK ʔ AJ
mamilis	m AE a AK m AE i AK l AD i AK s AH
mamimili	m AE a AK m AE i AK m AE i AK l AD i AK
mamintog	m AE a AK m AE i AK n AF t AC o AM ɡ AC
mamuhunan	m AE a AK m AE u AM h AA u AM n AF a AK n AF
mamulaklak	m AE a AK m AE u AM l AD a AK k AC l AD a AK k AC
mamuti	m AE a AK m AE u AM t AC i AK ʔ AJ
mamuyac	m AE a AK m AE u AM j AB a AK k AC
man	m AE a AK n AF
mana	m AE a AK n AF a AK
manabat	m AE a AK n AF a AK b AG a AK t AC
manabunot	m AE a AK n AF a AK b AG u AM n AF o AM t AC
managinip	m AE a AK n AF a AK ɡ AC i AK n AF i AK p AG
manakit	m AE a AK n AF a AK k AC i AK t AC
manalad	m AE a AK n AF a AK l AD a AK d AC
manalo	m AE a AK n AF a AK l AD o AM
manaloto	m AE a AK n AF a AK l AD o AM t AC o AM
manamantala	m AE a AK n AF a AK m AE a AK n AF t AC a AK l AD a AK
mananahi	m AE a AK n AF a AK n AF a AK h AA i AK ʔ AJ
manananggal	m AE a AK n AF a AK n AF a AK ŋ AF ɡ AC a AK l AD
manangan	m AE a AK n AF a AK ŋ AF a AK n AF
mananghalian	m AE a AK n AF a AK ŋ AF h AA a AK l AD i AK ʔ AJ a AK n AF
mananquil	m AE a AK n AF a AK n AF k AC i AK l AD
manantan	m AE a AK n AF a AK n AF t AC a AK n AF
manaog	m AE a AK n AF a AK o AM ɡ AC
manaois	m AE a AK n AF a AK o AM i AK s AH
manarang	m AE a AK n AF a AK ɾ BD a AK ŋ AF
manatad	m AE a AK n AF a AK t AC a AK d AC
mancao	m AE a AK ŋ AF k AC a AK u AM
mandaragat	m AE a AK n AF d AC a AK ɾ BD a AK ɡ AC a AK t AC
mandirigma	m AE a AK n AF d AC i AK ɾ BD i AK ɡ AC m AE a AK ʔ AJ
mandocdoc	m AE a AK n AF d AC o AM k AC d AC o AM k AC
mandukot	m AE a AK n AF d AC u AM k AC o AM t AC
mandurukot	m AE a AK n AF d AC u AM ɾ BD u AM k AC o AM t AC
mangagat	m AE a AK ŋ AF a AK ɡ AC a AK t AC
mangailangan	m AE a AK ŋ AF a AK ʔ AJ i AK l AD a AK ŋ AF a AK n AF
mangalunya	m AE a AK ŋ AF a AK l AD u AM n AF j AB a AK ʔ AJ
mangamba	m AE a AK ŋ AF a AK m AE b AG a AK
mangamote	m AE a AK ŋ AF a AK m AE o AM t AC ɛ AK
manganak	m AE a AK ŋ AF a AK n AF a AK k AC
mangaoang	m AE a AK ŋ AF a AK w AI a AK ŋ AF
mangaway	m AE a AK ŋ AF a AK w AI a AK i AK
manggagantso	m AE a AK ŋ AF ɡ AC a AK ɡ AC a AK n AF t AC ʃ AH o AM
manggantso	m AE a AK ŋ AF ɡ AC a AK n AF t AC ʃ AH o AM
manggas	m AE a AK ŋ AF ɡ AC a AK s AH
manggulo	m AE a AK ŋ AF ɡ AC u AM l AD o AM
manghawa	m AE a AK ŋ AF h AA a AK w AI a AK
manghimasok	m AE a AK ŋ AF h AA i AK m AE a AK s AH o AM k AC
manghuhula	m AE a AK ŋ AF h AA u AM h AA u AM l AD a AK ʔ AJ
manghula	m AE a AK ŋ AF h AA u AM l AD a AK ʔ AJ
manghusga	m AE a AK ŋ AF h AA u AM s AH ɡ AC a AK
mangikil	m AE a AK ŋ AF i AK k AC i AK l AD
mangilit	m AE a AK ŋ AF i AK l AD i AK t AC
mangingisda	m AE a AK ŋ AF i AK ŋ AF i AK s AH d AC a AK ʔ AJ
mangisay	m AE a AK ŋ AF i AK s AH a AK i AK
mangisda	m AE a AK ŋ AF i AK s AH d AC a AK ʔ AJ
mangitlog	m AE a AK ŋ AF i AK t AC l AD o AM ɡ AC
mangkok	m AE a AK ŋ AF k AC o AM k AC
manglicmot	m AE a AK ŋ AF l AD i AK k AC m AE o AM t AC
mangoba	m AE a AK ŋ AF o AM b AG a AK
mangopya	m AE a AK ŋ AF o AM p AG j AB a AK
mangubra	m AE a AK ŋ AF u AM b AG ɾ BD a AK
manguha	m AE a AK ŋ AF u AM h AA a AK
manguiat	m AE a AK ŋ AF i AK a AK t AC
mangulabnan	m AE a AK ŋ AF u AM l AD a AK b AG n AF a AK n AF
mangulangot	m AE a AK ŋ AF u AM l AD a AK ŋ AF o AM t AC
mangupit	m AE a AK ŋ AF u AM p AG i AK t AC
mangwika	m AE a AK ŋ AF w AI i AK k AC a AK ʔ AJ
mangyari	m AE a AK ŋ AF j AB a AK ɾ BD i AK
manhid	m AE a AK n AF h AA i AK d AC
maniago	m AE a AK n AF i AK a AK ɡ AC o AM
maniego	m AE a AK n AF j AB ɛ AK ɡ AC o AM
manilaw	m AE a AK n AF i AK l AD a AK u AM
manilip	m AE a AK n AF i AK l AD i AK p AG
manindigan	m AE a AK n AF i AK n AF d AC i AK ɡ AC a AK n AF
maniquiz	m AE a AK n AF i AK k AC i AK s AH
manlaban	m AE a AK n AF l AD a AK b AG a AK n AF
manlait	m AE a AK n AF l AD a AK ʔ AJ i AK t AC
manlangit	m AE a AK n AF l AD a AK ŋ AF i AK t AC
manlapaz	m AE a AK n AF l AD a AK p AG a AK s AH
manlapig	m AE a AK n AF l AD a AK p AG i AK ɡ AC
manlililok	m AE a AK n AF l AD i AK l AD i AK l AD o AM k AC
manloko	m AE a AK n AF l AD o AM k AC o AM
manlutac	m AE a AK n AF l AD u AM t AC a AK k AC
manood	m AE a AK n AF o AM o AM d AC
manoy	m AE a AK n AF o AM j AB
manrique	m AE a AK n AF ɾ BD i AK k AC ɛ AK
mansiyon	m AE a AK n AF s AH j AB o AM n AF
mansusugnay	m AE a AK n AF s AH u AM s AH u AM ɡ AC n AF a AK j AB
mantika	m AE a AK n AF t AC i AK k AC a AK ʔ AJ
manuhol	m AE a AK n AF u AM h AA o AM l AD
manuntok	m AE a AK n AF u AM n AF t AC o AM k AC
mapagkawanggawa	m AE a AK p AG a AK ɡ AC k AC a AK w AI a AK ŋ AF ɡ AC a AK w AI a AK ʔ AJ
mapagmatyag	m AE a AK p AG a AK ɡ AC m AE a AK t AC j AB a AK ɡ AC
mapagsamantala	m AE a AK p AG a AK ɡ AC s AH a AK m AE a AK n AF t AC a AK l AD a AK
mapahiya	m AE a AK p AG a AK h AA i AK j AB a AK ʔ AJ
mapalad	m AE a AK p AG a AK l AD a AK d AC
mapanghusga	m AE a AK p AG a AK ŋ AF h AA u AM s AH ɡ AC a AK
mapangutya	m AE a AK p AG a AK ŋ AF u AM t AC j AB a AK ʔ AJ
mapaniil	m AE a AK p AG a AK n AF i AK i AK l AD
mapatay	m AE a AK p AG a AK t AC a AK j AB
mapua	m AE ɐ AM p AG ʊ AM w AI a AK
mapusyaw	m AE ɐ AM p AG ʊ AM s AH j AB ɐ AM u AM
maputik	m AE a AK p AG u AM t AC i AK k AC
maralit	m AE a AK ɾ BD a AK l AD i AK t AC
marapao	m AE a AK ɾ BD a AK p AG a AK o AM
maravilla	m AE a AK ɾ BD a AK b AG i AK l AD l AD a AK
marbella	m AE a AK ɾ BD b AG ɛ AK l AD l AD a AK
marcial	m AE a AK ɾ BD s AH j AB a AK l AD
marikit	m AE a AK ɾ BD i AK k AC i AK t AC
maristela	m AE a AK ɾ BD i AK s AH t AC ɛ AK l AD a AK
mariñas	m AE a AK ɾ BD i AK ɲ AF a AK s AH
marquez	m AE a AK ɾ BD k AC ɛ AK s AH
marquinez	m AE a AK ɾ BD k AC i AK n AF ɛ AK s AH
marso	m AE a AK ɾ BD s AH o AM
marupok	m AE a AK ɾ BD u AM p AG o AM k AC
masabon	m AE a AK s AH a AK b AG o AM n AF
masaker	m AE a AK s AH a AK k AC ɛ AK ɾ BD
masakit	m AE a AK s AH a AK k AC i AK t AC
masaktan	m AE a AK s AH a AK k AC t AC a AK n AF
masamain	m AE a AK s AH a AK m AE a AK i AK n AF
masamid	m AE a AK s AH a AK m AE i AK d AC
masangcay	m AE a AK s AH a AK ŋ AF k AC a AK i AK
masangkay	m AE a AK s AH a AK ŋ AF k AC a AK i AK
masaya	m AE a AK s AH a AK j AB a AK
maselan	m AE a AK s AH ɛ AK l AD a AK n AF
masikhay	m AE a AK s AH i AK k AC h AA a AK j AB
masikip	m AE a AK s AH i AK k AC i AK p AG
masipag	m AE a AK s AH i AK p AG a AK ɡ AC
maski	m AE a AK s AH k AC i AK
masukal	m AE a AK s AH u AM k AC a AK l AD
masurot	m AE a AK s AH u AM ɾ BD o AM t AC
mataasnakahoy	m AE a AK t AC a AK ʔ AJ a AK s AH n AF a AK k AC a AK h AA o AM i AK
matae	m AE a AK t AC a AK ʔ AJ ɛ AK
matalino	m AE a AK t AC a AK l AD i AK n AF o AM
matalo	m AE a AK t AC a AK l AD o AM
matapang	m AE a AK t AC a AK p AG a AK ŋ AF
matapon	m AE a AK t AC a AK p AG o AM n AF
matatakutin	m AE a AK t AC a AK t AC a AK k AC u AM t AC i AK n AF
matauhan	m AE a AK t AC a AK ʔ AJ u AM h AA a AK n AF
matibag	m AE a AK t AC i AK b AG a AK ɡ AC
matigas	m AE a AK t AC i AK ɡ AC a AK s AH
matisod	m AE a AK t AC i AK s AH o AM d AC
matrapik	m AE a AK t AC ɾ BD a AK p AG i AK k AC
matris	m AE a AK t AC ɾ BD i AK s AH
matso	m AE ɑ AK t AC ʃ AH o AM
matulin	m AE a AK t AC u AM l AD i AK n AF
matulog	m AE a AK t AC u AM l AD o AM ɡ AC
matwiran	m AE a AK t AC w AI i AK ɾ BD a AK n AF
maulanan	m AE a AK u AM l AD a AK n AF a AK n AF
mauleon	m AE a AK u AM l AD ɛ AK o AM n AF
maunahan	m AE a AK u AM n AF a AK h AA a AK n AF
mawo	m AE a AK w AI o AM ʔ AJ
maya	m AE a AK j AB a AK
maybahay	m AE a AK i AK b AG a AK h AA a AK i AK
maynila	m AE a AK j AB n AF i AK l AD a AK ʔ AJ
mayuga	m AE a AK j AB u AM ɡ AC a AK
mañago	m AE a AK ɲ AF a AK ɡ AC o AM
mañalac	m AE a AK ɲ AF a AK l AD a AK k AC
medalya	m AE ɛ AK d AC a AK l AD j AB a AK
medrano	m AE ɛ AK d AC ɾ BD a AK n AF o AM
medyor	m AE ɛ AK d AC ʒ AH o AM ɾ BD
melegrito	m AE ɛ AK l AD ɛ AK ɡ AC ɾ BD i AK t AC o AM
menchavez	m AE ɛ AK n AF t AC ʃ AH a AK b AG ɛ AK s AH
menorca	m AE ɛ AK n AF o AM ɾ BD k AC a AK
mensahe	m AE ɛ AK n AF s AH a AK h AA ɛ AK
merienda	m AE ɛ AK ɾ BD j AB ɛ AK n AF d AC a AK
meryenda	m AE ɛ AK ɾ BD j AB ɛ AK n AF d AC a AK
mesa	m AE ɛ AK s AH a AK
mga	m AE ɐ AM ŋ AF a AK
michelena	m AE i AK t AC ʃ AH ɛ AK l AD ɛ AK n AF a AK
mijares	m AE i AK d AC ʒ AH a AK ɾ BD ɛ AK s AH
miksipat	m AE i AK k AC s AH i AK p AG a AK t AC
militante	m AE i AK l AD i AK t AC a AK n AF t AC ɛ AK
minviluz	m AE i AK n AF b AG i AK l AD u AM s AH
miranda	m AE i AK ɾ BD a AK n AF d AC a AK
misay	m AE i AK s AH a AK j AB
mismo	m AE ɪ AK s AH m AE ɔ AM
misteryo	m AE i AK s AH t AC ɛ AK ɾ BD j AB o AM
mitsa	m AE i AK t AC ʃ AH a AK
miyentras	m AE i AK j AB e AK n AF t AC r BA a AK s AH
mo	m AE o AM
mohon	m AE o AM h AA o AM n AF
mondragon	m AE o AM n AF d AC ɾ BD a AK ɡ AC o AM n AF
mongol	m AE o AM ŋ AF ɡ AC o AM l AD
monte	m AE o AM n AF t AC ɛ AK
montealegre	m AE o AM n AF t AC ɛ AK a AK l AD ɛ AK ɡ AC ɾ BD ɛ AK
montecalvo	m AE o AM n AF t AC ɛ AK k AC a AK l AD b AG o AM
montejo	ʔ AJ a AK l AD k AC a AK i AK d AC ɛ AK
montillano	m AE o AM n AF t AC i AK l AD l AD a AK n AF o AM
montinola	m AE o AM n AF t AC i AK n AF o AM l AD a AK
montojo	m AE o AM n AF t AC o AM d AC ʒ AH o AM
montoya	m AE o AM n AF t AC o AM j AB a AK
morato	m AE o AM ɾ BD a AK t AC o AM
motorsiklo	m AE o AM t AC o AM ɾ BD s AH i AK k AC l AD o AM
mukha	m AE u AM k AC h AA a AK ʔ AJ
mulasik	m AE u AM l AD a AK s AH i AK k AC
mulinsigla	m AE u AM l AD i AK n AF s AH i AK ɡ AC l AD a AK
mulinyari	m AE u AM l AD i AK n AF j AB a AK ɾ BD i AK ʔ AJ
mulkaphay	m AE u AM l AD k AC a AK p AG h AA a AK j AB
mulpikan	m AE u AM l AD p AG i AK k AC a AK n AF
multa	m AE u AM l AD t AC a AK
mumshie	m AE a AK m AE ʃ AH i AK
munggo	m AE u AM ŋ AF ɡ AC o AM
mura	m AE u AM ɾ BD a AK
musika	m AE u AM s AH i AK k AC a AK
musoleyo	m AE u AM s AH o AM l AD ɛ AK j AB o AM
musta	m AE u AM s AH t AC a AK
muta	m AE u AM t AC a AK ʔ AJ
mutha	m AE u AM t AC h AA a AK ʔ AJ
mutuc	m AE u AM t AC u AM k AC
muwebles	m AE w AI ɛ AK b AG l AD ɛ AK s AH
na	n AF a AK
na'ng	n AF ɐ AM ŋ AF
nacpil	n AF a AK k AC p AG i AK l AD
nagbabaon	n AF a AK ɡ AC b AG a AK b AG a AK ʔ AJ o AM n AF
nagbaon	n AF a AK ɡ AC b AG a AK ʔ AJ o AM n AF
nagwas	n AF a AK ɡ AC w AI ɐ AM s AH
nakakaalarma	n AF a AK k AC a AK k AC a AK a AK l AD a AK ɾ BD m AE a AK
nakakabingi	n AF a AK k AC a AK k AC a AK b AG i AK ŋ AF i AK
nakakabobo	n AF ɐ AM k AC a AK k AC ɐ AM b AG ɔ AM b AG ɔ AM
nakakabuwisit	n AF a AK k AC a AK k AC a AK b AG w AI i AK s AH i AK t AC
nakakabwisit	n AF a AK k AC a AK k AC a AK b AG w AI i AK s AH i AK t AC
nakakahawa	n AF a AK k AC a AK k AC a AK h AA a AK w AI a AK
nakakaintriga	n AF a AK k AC a AK k AC a AK ʔ AJ i AK n AF t AC ɾ BD i AK ɡ AC a AK
nakakaloko	n AF a AK k AC a AK k AC a AK l AD o AM k AC o AM
nakakapagpabagabag	n AF a AK k AC a AK k AC a AK p AG a AK ɡ AC p AG a AK b AG a AK ɡ AC a AK b AG a AK ɡ AC
nakakatakot	n AF a AK k AC a AK k AC a AK t AC a AK k AC o AM t AC
nakamulaga	n AF a AK k AC a AK m AE u AM l AD a AK ɡ AC a AK ʔ AJ
nakawin	n AF a AK k AC a AK w AI i AK n AF
nakayukyok	n AF a AK k AC a AK j AB u AM k AC j AB o AM k AC
nakpil	n AF a AK k AC p AG i AK l AD
naman	n AF a AK m AE a AK n AF
namin	n AF aː AL m AE ɪ AK n AF
nang	n AF ɐ AM ŋ AF
nanlilimahid	n AF a AK n AF l AD i AK l AD i AK m AE a AK h AA i AK d AC
napnap	n AF a AK p AG n AF a AK p AG
narvaez	n AF a AK ɾ BD b AG a AK ɛ AK s AH
natae	n AF a AK t AC a AK ʔ AJ ɛ AK
natin	n AF a AK t AC ɛ AK n AF
navoa	n AF a AK b AG o AM a AK
nene	n AF ɛ AK n AF ɛ AK ʔ AJ
ng	n AF ɐ AM ŋ AF
nga	ŋ AF a AK ʔ AJ
ngalan	ŋ AF a AK l AD a AK n AF
nganga	ŋ AF a AK ŋ AF a AK ʔ AJ
ngayon	ŋ AF a AK j AB o AM n AF
ngimay	ŋ AF i AK m AE a AK i AK
ngo	ŋ AF o AM
ngumiti	ŋ AF u AM m AE i AK t AC i AK ʔ AJ
ngumuya	ŋ AF u AM m AE u AM j AB a AK ʔ AJ
nguso	ŋ AF u AM s AH o AM ʔ AJ
nguya	ŋ AF u AM j AB a AK ʔ AJ
ni	n AF iː AL
nicdao	n AF i AK k AC d AC a AK o AM
nietes	n AF j AB ɛ AK t AC ɛ AK s AH
niknik	n AF i AK k AC n AF i AK k AC
nila	n AF i AK l AD a AK
nilabhan	n AF i AK l AD a AK b AG h AA a AK n AF
ninang	n AF i AK n AF a AK ŋ AF
nino	n AF i AK n AF o AM
ninyo	n AF i AK n AF j AB o AM
nito	n AF i AK t AC o AM
nitroheno	n AF i AK t AC r BA o AM h AA e AK n AF o AM
niya	ɲ AF a AK
niyo	n AF i AK o AM
niyon	n AF u AM n AF
nobela	n AF o AM b AG ɛ AK l AD a AK
nobleza	n AF o AM b AG l AD ɛ AK s AH a AK
nolasco	n AF o AM l AD a AK s AH k AC o AM
noriega	n AF o AM ɾ BD j AB ɛ AK ɡ AC a AK
notarte	n AF o AM t AC a AK ɾ BD t AC ɛ AK
novero	n AF o AM b AG ɛ AK ɾ BD o AM
nuevo	n AF u AM ɛ AK b AG o AM
numero	n AF u AM m AE ɛ AK ɾ BD ɔ AM
o	ɔː AN
obligacion	ʔ AJ o AM b AG l AD i AK ɡ AC a AK s AH j AB o AM n AF
obrero	ʔ AJ o AM b AG ɾ BD ɛ AK ɾ BD o AM
ocampo	ʔ AJ o AM k AC a AK m AE p AG o AM
oksiheno	o AM k AC s AH i AK h AA e AK n AF o AM
olaguer	ʔ AJ o AM l AD a AK ɡ AC ɛ AK ɾ BD
olaivar	ʔ AJ o AM l AD a AK i AK b AG a AK ɾ BD
olalia	ʔ AJ o AM l AD a AK l AD i AK a AK
olayvar	ʔ AJ o AM l AD a AK i AK b AG a AK ɾ BD
oliva	ʔ AJ o AM l AD i AK b AG a AK
olivares	ʔ AJ o AM l AD i AK b AG a AK ɾ BD ɛ AK s AH
oliveros	ʔ AJ o AM l AD i AK b AG ɛ AK ɾ BD o AM s AH
olmedo	ʔ AJ o AM l AD m AE ɛ AK d AC o AM
ong	ɔ AM ŋ AF
ongkiko	ʔ AJ o AM ŋ AF k AC i AK k AC o AM
oo	oː AN ʔ AJ o AM
opeña	ʔ AJ o AM p AG ɛ AK ɲ AF a AK
opisyales	ʔ AJ o AM p AG i AK s AH j AB a AK l AD ɛ AK s AH
opyum	ʔ AJ o AM p AG j AB u AM m AE
oracion	ʔ AJ o AM ɾ BD a AK s AH j AB o AM n AF
orasan	o AM r BA a AK s AH a AK n AF
orendain	ʔ AJ o AM ɾ BD ɛ AK n AF d AC a AK i AK n AF
orense	ʔ AJ o AM ɾ BD ɛ AK n AF s AH ɛ AK
oribello	ʔ AJ o AM ɾ BD i AK b AG ɛ AK l AD l AD o AM
paalam	p AG ɐ AM ʔ AJ ɐ AM l AD a AK m AE
paano	p AG a AK ʔ AJ a AK n AF o AM
paaralan	p AG a AK a AK ɾ BD ɐ AM l AD a AK n AF
pabalikin	p AG a AK b AG a AK l AD i AK k AC i AK n AF
pabebe	p AG a AK b AG ɛ AK b AG ɛ AK
pabiyay	p AG a AK b AG i AK j AB a AK j AB
pabor	p AG a AK b AG o AM ɾ BD
paborito	p AG a AK b AG o AM ɾ BD a AK b AG l AD ɛ AK
pabuksan	p AG a AK b AG u AM k AC s AH a AK n AF
pabuya	p AG a AK b AG u AM j AB a AK ʔ AJ
pacana	p AG a AK k AC a AK n AF a AK
pacaña	p AG a AK k AC a AK ɲ AF a AK
padaanin	p AG a AK d AC a AK a AK n AF i AK n AF
padaliin	p AG a AK d AC a AK l AD i AK i AK n AF
pader	p AG a AK d AC ɛ AK ɾ BD
pagala	p AG a AK ɡ AC a AK l AD a AK ʔ AJ
pagalingin	p AG a AK ɡ AC a AK l AD i AK ŋ AF i AK n AF
pagbabalik	p AG a AK ɡ AC b AG a AK b AG a AK l AD i AK k AC
pagbasehan	p AG a AK ɡ AC b AG a AK s AH ɛ AK h AA a AK n AF
pagbati	p AG a AK ɡ AC b AG a AK t AC i AK ʔ AJ
pagbubuntis	p AG a AK ɡ AC b AG u AM b AG u AM n AF t AC i AK s AH
pagcaliwagan	p AG a AK ɡ AC k AC a AK l AD i AK w AI a AK ɡ AC a AK n AF
pagdaan	p AG a AK ɡ AC d AC a AK a AK n AF
pagdila	p AG a AK ɡ AC d AC i AK l AD a AK ʔ AJ
pagdilao	p AG a AK ɡ AC d AC i AK l AD a AK u AM
paggiba	p AG a AK ɡ AC ɡ AC i AK b AG a AK ʔ AJ
paghigantihan	p AG a AK ɡ AC h AA i AK ɡ AC a AK n AF t AC i AK h AA a AK n AF
paghuyad	p AG a AK ɡ AC h AA u AM j AB a AK d AC
pagi	p AG a AK ɡ AC i AK
pagitan	p AG a AK ɡ AC i AK t AC a AK n AF
pagkaigkasin	p AG a AK ɡ AC k AC a AK ʔ AJ i AK ɡ AC k AC a AK s AH i AK n AF
pagkakaibigan	p AG a AK ɡ AC k AC a AK k AC a AK i AK b AG i AK ɡ AC a AK n AF
pagkakasakit	p AG a AK ɡ AC k AC a AK k AC a AK s AH a AK k AC i AK t AC
pagkakataon	p AG a AK ɡ AC k AC a AK k AC a AK t AC a AK ʔ AJ o AM n AF
pagkamakabagunsakupin	p AG a AK ɡ AC k AC a AK m AE a AK k AC a AK b AG a AK ɡ AC u AM n AF s AH a AK k AC u AM p AG i AK n AF
pagkamakagahum	p AG a AK ɡ AC k AC a AK m AE a AK k AC a AK ɡ AC a AK h AA u AM m AE
pagkawakaak	p AG a AK ɡ AC k AC a AK w AI a AK k AC a AK ʔ AJ a AK k AC
pagmamadali	p AG a AK ɡ AC m AE a AK m AE a AK d AC a AK l AD i AK ʔ AJ
pagnanakaw	p AG a AK ɡ AC n AF a AK n AF a AK k AC a AK u AM
pagsamantalahan	p AG a AK ɡ AC s AH a AK m AE a AK n AF t AC a AK l AD a AK h AA a AK n AF
pagsanjan	p AG a AK ɡ AC s AH a AK n AF h AA a AK n AF
pagsuway	p AG a AK ɡ AC s AH u AM a AK i AK
pagtaban	p AG a AK ɡ AC t AC a AK b AG a AK n AF
pagtakhan	p AG a AK ɡ AC t AC a AK k AC h AA a AK n AF
pagtripan	p AG a AK ɡ AC t AC ɾ BD i AK p AG a AK n AF
pagtutulungan	p AG a AK ɡ AC t AC u AM t AC u AM l AD u AM ŋ AF a AK n AF
paguia	p AG a AK ɡ AC j AB a AK
paguio	p AG a AK ɡ AC j AB o AM
pagwawaliwali	p AG a AK ɡ AC w AI a AK l AD i AK w AI a AK l AD i AK
pagwawasak	p AG a AK ɡ AC w AI a AK w AI a AK s AH a AK k AC
pagwitwit	p AG a AK ɡ AC w AI i AK t AC w AI i AK t AC
pagwiwisik	p AG a AK ɡ AC w AI i AK w AI i AK s AH i AK k AC
pagyukyok	p AG a AK ɡ AC j AB u AM k AC j AB o AM k AC
pahayagan	p AG aː AL h AA a AK i AK a AK ɡ AC a AK n AF
pahilaga	p AG a AK h AA i AK l AD a AK ɡ AC a AK ʔ AJ
pahina	p AG a AK h AA i AK n AF a AK
pahinarya	p AG ɐ AM h AA i AK n AF a AK r BA j AB ɐ AM
pahintulot	p AG a AK h AA i AK n AF t AC u AM l AD o AM t AC
pahiyain	p AG a AK h AA i AK a AK ʔ AJ i AK n AF
painitin	p AG a AK ʔ AJ i AK n AF i AK t AC i AK n AF
pajares	p AG a AK d AC ʒ AH a AK ɾ BD ɛ AK s AH
pakialam	p AG a AK k AC ɛ AK ɐ AM l AD a AK m AE
pakialamero	p AG a AK k AC i AK ʔ AJ a AK l AD a AK m AE e AK ɾ BD o AM
pakid	p AG a AK k AC i AK d AC
pakikipagtalik	p AG a AK k AC i AK k AC i AK p AG a AK ɡ AC t AC a AK l AD i AK k AC
pakiwani	p AG a AK k AC i AK w AI a AK n AF i AK
pakla	p AG a AK k AC l AD a AK
pakulo	p AG a AK k AC u AM l AD o AM ʔ AJ
pakwan	p AG a AK k AC w AI a AK n AF
palacol	p AG a AK l AD a AK k AC o AM l AD
paladutaan	p AG a AK l AD a AK d AC u AM t AC a AK ʔ AJ a AK n AF
palafox	p AG a AK l AD a AK p AG o AM k AC s AH
palagyan	p AG a AK l AD a AK ɡ AC j AB a AK n AF
palahaw	p AG a AK l AD a AK h AA a AK u AM
palakol	p AG a AK l AD a AK k AC o AM l AD
palamakatauhan	p AG a AK l AD a AK m AE a AK k AC a AK t AC a AK ʔ AJ u AM h AA a AK n AF
palamigin	p AG a AK l AD a AK m AE i AK ɡ AC i AK n AF
palamuhayan	p AG a AK l AD a AK m AE u AM h AA a AK j AB a AK n AF
palamuti	p AG a AK l AD a AK m AE u AM t AC i AK ʔ AJ
palasihayan	p AG a AK l AD a AK s AH i AK h AA a AK j AB a AK n AF
palasihayanan	p AG a AK l AD a AK s AH i AK h AA a AK j AB a AK n AF a AK n AF
palaspas	p AG a AK l AD a AK s AH p AG a AK s AH
palatatagnan	p AG a AK l AD a AK t AC a AK t AC a AK ɡ AC n AF a AK n AF
palatumbasan	p AG a AK l AD a AK t AC u AM m AE b AG a AK s AH a AK n AF
palaulatan	p AG a AK l AD ɐ AM ʔ AJ u AM l AD ɐ AM t AC a AK n AF
palay	p AG a AK l AD a AK j AB
palayan	p AG a AK l AD a AK j AB a AK n AF
palayasin	p AG a AK l AD a AK j AB a AK s AH i AK n AF
palima	p AG a AK l AD i AK m AE a AK
paliparan	p AG ɐ AM l AD ɪ AK p AG ɐ AM ɾ BD a AK n AF
palisoc	p AG a AK l AD i AK s AH o AM k AC
palit	p AG a AK l AD i AK t AC
palitada	p AG a AK l AD i AK t AC a AK d AC a AK
palitadahan	p AG a AK l AD i AK t AC a AK d AC a AK h AA a AK n AF
palitan	p AG a AK l AD i AK t AC a AK n AF
palo	p AG a AK l AD o AM ʔ AJ
palomares	p AG a AK l AD o AM m AE a AK ɾ BD ɛ AK s AH
palos	p AG a AK l AD ɔ AM s AH
pamabat	p AG a AK m AE a AK b AG a AK t AC
pamahalaan	p AG a AK m AE a AK h AA a AK l AD a AK ʔ AJ a AK n AF
