अ	ə AG
अनुपस्थिति	ə AG n AB ʊ AH p AE ə AG s AB t̪ʰ AC ɪ AG t̪ AB iː AG
अनुपात	ə AG n AB ʊ AH p AE ɑː AG t̪ AB
अनुपूरक	ə AG n AB ʊ AH p AE uː AH ɾ AJ ə AG k AB
अनुप्रयुक्त	ə AG n AB ʊ AH p AE ɾ AJ ə AG j AA ʊ AH k AB t̪ AB
अनुप्रास	ə AG n AB ʊ AH p AE ɾ AJ ɑː AG s AB
अनुभव	ə AG n AB ʊ AH bʱ AF ə AG ʋ AK
अनुभवी	ə AG n AB ʊ AH bʱ AF ə AG ʋ AK iː AG
अनुभूति	ə AG n AB ʊ AH bʱ AF uː AH t̪ AB iː AG
अनुमति	ə AG n AB ʊ AH m AE ə AG t̪ AB iː AG
अनुमान	ə AG n AB ʊ AH m AE ɑː AG n AB
अनुमानतः	ə AG n AB ʊ AH m AE ɑː AG n AB t̪ AB ə AG ɦ AI
अनुमानित	ə AG n AB ʊ AH m AE ɑː AG n AB ɪ AG t̪ AB
अनुमेय	ə AG n AB ʊ AH m AE eː AG j AA
अनुमोदन	ə AG n AB ʊ AH m AE oː AH d̪ AB ə AG n AB
अनुमोदित	ə AG n AB ʊ AH m AE oː AH d̪ AB ɪ AG t̪ AB
अनुयायी	ə AG n AB ʊ AH j AA ɑː AG j AA iː AG
अनुरक्षण	ə AG n AB ʊ AH ɾ AJ ə AG k AB ʂ AB ə AG ɳ AB
अनुरागहीनता	ə AG n AB ʊ AH ɾ AJ ɑː AG ɡ AB ɦ AI iː AG n AB t̪ AB ɑː AG
अनुरूप	ə AG n AB ʊ AH ɾ AJ uː AH p AE
अनुरोध	ə AG n AB ʊ AH ɾ AJ oː AH d̪ʱ AC
अनुवांशिक	ə AG n AB ʊ AH ʋ AK ɑː AG n AB ʃ AB ɪ AG k AB
अनुवांशिकी	ə AG n AB ʊ AH ʋ AK ɑː AG n AB ʃ AB ɪ AG k AB iː AG
अनुवाद	ə AG n AB ʊ AH ʋ AK ɑː AG d̪ AB
अनुवादक	ə AG n AB ʊ AH ʋ AK ɑː AG d̪ AB ə AG k AB
अनुवादित	ə AG n AB ʊ AH ʋ AK ɑː AG d̪ AB ɪ AG t̪ AB
अनुशासन	ə AG n AB ʊ AH ʃ AB ɑː AG s AB ə AG n AB
अनुशासित	ə AG n AB ʊ AH ʃ AB ɑː AG s AB ɪ AG t̪ AB
अनुशीलन	ə AG n AB ʊ AH ʃ AB iː AG l AD ə AG n AB
अनुष्ठान	ə AG n AB ʊ AH ʂ AB ʈʰ AC ɑː AG n AB
अनुसंधान	ə AG n AB ʊ AH s AB ə AG n AB d̪ʱ AC ɑː AG n AB
अनुसरण	ə AG n AB ʊ AH s AB ə AG ɾ AJ ə AG ɳ AB
अनुस्वार	ə AG n AB ʊ AH s AB ʋ AK ɑː AG ɾ AJ
अनूठा	ə AG n AB uː AH ʈʰ AC ɑː AG
अनूदित	ə AG n AB uː AH d̪ AB ɪ AG t̪ AB
अनूप	ə AG n AB uː AH p AE
अनेक	ə AG n AB eː AG k AB
अनेकता	ə AG n AB eː AG k AB t̪ AB ɑː AG
अनेकानेक	ə AG n AB eː AG k AB ɑː AG n AB eː AG k AB
अनौपचारिक	ə AG n AB ɔː AH p AE t AB ʃ AB ɑː AG ɾ AJ ɪ AG k AB
अन्त	ə AG n AB t̪ AB
अन्तरिक्ष	ə AG n AB t̪ AB ə AG ɾ AJ ɪ AG k AB ʂ AB
अन्तर्गत	ə AG n AB t̪ AB ə AG ɾ AJ ɡ AB ə AG t̪ AB
अन्दर	ə AG n AB d̪ AB ə AG ɾ AJ
अन्य	ə AG n AB j AA ə AG
अन्यथा	ə AG n AB j AA ə AG t̪ʰ AC ɑː AG
अन्याय	ə AG n AB j AA ɑː AG j AA
अन्यायपूर्ण	ə AG n AB j AA ɑː AG j AA p AE uː AH ɾ AJ ɳ AB
अन्यायी	ə AG n AB j AA ɑː AG j AA iː AG
अपकार	ə AG p AE k AB ɑː AG ɾ AJ
अपकीर्ति	ə AG p AE k AB iː AG ɾ AJ t̪ AB iː AG
अपक्व	ə AG p AE ə AG k AB ʋ AK ə AG
अपतट	ə AG p AE t̪ AB ə AG ʈ AB
अपदेश	ə AG p AE d̪ AB eː AG ʃ AB
अपना	ə AG p AE n AB ɑː AG
अपमान	ə AG p AE m AE ɑː AG n AB
अपमानजनक	ə AG p AE m AE ɑː AG n AB d AB ʒ AB ə AG n AB ə AG k AB
अपमानित	ə AG p AE m AE ɑː AG n AB ɪ AG t̪ AB
अपयश	ə AG p AE j AA ə AG ʃ AB
अपर	ə AG p AE ə AG ɾ AJ
अपराध	ə AG p AE ɾ AJ ɑː AG d̪ʱ AC
अपराधिनी	ə AG p AE ɾ AJ ɑː AG d̪ʱ AC ɪ AG n AB iː AG
अपराधी	ə AG p AE ɾ AJ ɑː AG d̪ʱ AC iː AG
अपरिचित	ə AG p AE ə AG ɾ AJ ɪ AG t AB ʃ AB ɪ AG t̪ AB
अपरिमेय	ə AG p AE ə AG ɾ AJ ɪ AG m AE eː AG j AA
अपरिरुद्ध	ə AG p AE ə AG ɾ AJ ɪ AG ɾ AJ ʊ AH d̪ AB d̪ʱ AC
अपर्याप्त	ə AG p AE ə AG ɾ AJ j AA ɑː AG p AE t̪ AB
अपलक	ə AG p AE ə AG l AD ə AG k AB
अपवाद	ə AG p AE ʋ AK ɑː AG d̪ AB
अपव्यय	ə AG p AE ʋ AK j AA ə AG j AA
अपशकुन	ə AG p AE ʃ AB ə AG k AB ʊ AH n AB
अपहरण	ə AG p AE ɦ AI ə AG ɾ AJ ə AG ɳ AB
अपहर्ता	ə AG pʰ AF ə AG ɾ AJ t̪ AB ɑː AG
अपाहिज	ə AG p AE ɑː AG ɦ AI ɪ AG d AB ʒ AB
अपितु	ə AG p AE ɪ AG t̪ AB uː AH
अपुष्ट	ə AG p AE ʊ AH ʂ AB ʈ AB
अपूर्ण	ə AG p AE uː AH ɾ AJ ɳ AB
अपूर्व	ə AG p AE uː AH ɾ AJ ʋ AK
अपेक्षा	ə AG p AE eː AG k AB ʂ AB ɑː AG
अपेक्षाकृत	ə AG p AE eː AG k AB ʂ AB ɑː AG k AB ɾ AJ ɪ AG t̪ AB
अपेक्षित	ə AG p AE eː AG k AB ʂ AB ɪ AG t̪ AB
अप्रकट	ə AG p AE ɾ AJ ə AG k AB ə AG ʈ AB
अप्रकाशित	ə AG p AE ɾ AJ ə AG k AB ɑː AG ʃ AB ɪ AG t̪ AB
अप्रचलित	ə AG p AE ɾ AJ ə AG t AB ʃ AB ə AG l AD ɪ AG t̪ AB
अप्रत्यक्ष	ə AG p AE ɾ AJ ə AG t̪ AB j AA ə AG k AB ʂ AB
अप्रत्याशित	ə AG p AE ɾ AJ ə AG t̪ AB j AA ɑː AG ʃ AB ɪ AG t̪ AB
अप्रिय	ə AG p AE ɾ AJ ɪ AG j AA
अप्रैल	ə AG p AE ɾ AJ ɛː AG l AD
अप्सरा	ə AG p AE s AB ə AG ɾ AJ ɑː AG
अफगानिस्तान	ə AG pʰ AF ɡ AB ɑː AG n AB ɪ AG s AB t̪ AB ɑː AG n AB
अफरना	ə AG pʰ AF ə AG ɾ AJ n AB ɑː AG
अफसर	ə AG pʰ AF s AB ə AG ɾ AJ
अफ़लातून	ə AG pʰ AF l AD ɑː AG t̪ AB uː AH n AB
अफ़वाह	ə AG pʰ AF ʋ AK ɑː AG ɦ AI
अफ़सर	ə AG pʰ AF s AB ə AG ɾ AJ
अफ़साना	ə AG pʰ AF s AB ɑː AG n AB ɑː AG
अफ़सोसजनक	ə AG pʰ AF s AB oː AH s AB d AB ʒ AB ə AG n AB ə AG k AB
अफ़ीम	ə AG pʰ AF iː AG m AE
अफ़ीमची	ə AG pʰ AF iː AG m AE t AB ʃ AB iː AG
अफ़्ग़ानिस्तान	ə AG pʰ AF ɡ AB ɑː AG n AB ɪ AG s AB t̪ AB ɑː AG n AB
अफ़्रीका	ə AG pʰ AF ɾ AJ iː AG k AB ɑː AG
अफ़्साना	ə AG pʰ AF s AB ɑː AG n AB ɑː AG
अफीम	ə AG pʰ AF iː AG m AE
अबटाबाद	ə AG b AE ʈ AB ɑː AG b AE ɑː AG d̪ AB
अबाबील	ə AG b AE ɑː AG b AE iː AG l AD
अबिचल	ə AG b AE ɪ AG t AB ʃ AB ə AG l AD
अबिवात्त	ə AG b AE ɪ AG ʋ AK ɑː AG t̪ AB t̪ AB
अबीर	ə AG b AE iː AG ɾ AJ
अबेर	ə AG b AE eː AG ɾ AJ
अबोध	ə AG b AE oː AH d̪ʱ AC
अब्जद	ə AG b AE d AB ʒ AB ə AG d̪ AB
अब्द	ə AG b AE d̪ AB
अब्बा	ə AG b AE b AE ɑː AG
अब्रू	ə AG b AE ɾ AJ uː AH
अभागा	ə AG bʱ AF ɑː AG ɡ AB ɑː AG
अभाव	ə AG bʱ AF ɑː AG ʋ AK
अभिकथन	ə AG bʱ AF ɪ AG k AB ə AG t̪ʰ AC ə AG n AB
अभिकारक	ə AG bʱ AF ɪ AG k AB ɑː AG ɾ AJ ə AG k AB
अभिक्रिया	ə AG bʱ AF ɪ AG k AB ɾ AJ ɪ AG j AA ɑː AG
अभिगम	ə AG bʱ AF ɪ AG ɡ AB ə AG m AE
अभिदृश्यक	ə AG bʱ AF ɪ AG d̪ AB ɾ AJ ɪ AG ʃ AB j AA ə AG k AB
अभिनंदन	ə AG bʱ AF ɪ AG n AB ə AG n AB d̪ AB ə AG n AB
अभिनय	ə AG bʱ AF ɪ AG n AB ə AG j AA
अभिनेता	ə AG bʱ AF ɪ AG n AB eː AG t̪ AB ɑː AG
अभिनेत्री	ə AG bʱ AF ɪ AG n AB eː AG t̪ AB ɾ AJ iː AG
अभिप्राय	ə AG bʱ AF ɪ AG p AE ɾ AJ ɑː AG j AA
अभिभावक	ə AG bʱ AF ɪ AG bʱ AF ɑː AG ʋ AK ə AG k AB
अभिभूत	ə AG bʱ AF ɪ AG bʱ AF uː AH t̪ AB
अभिमानी	ə AG bʱ AF ɪ AG m AE ɑː AG n AB iː AG
अभियंता	ə AG bʱ AF ɪ AG j AA ə AG n AB t̪ AB ɑː AG
अभियंत्रण	ə AG bʱ AF ɪ AG j AA ə AG n AB t̪ AB ɾ AJ ə AG ɳ AB
अभियंत्रिकी	ə AG bʱ AF ɪ AG j AA ə AG n AB t̪ AB ɾ AJ ɪ AG k AB iː AG
अभियन्ता	ə AG bʱ AF ɪ AG j AA ə AG n AB t̪ AB ɑː AG
अभियांत्रिकी	ə AG bʱ AF ɪ AG j AA ɑː AG n AB t̪ AB ɾ AJ ɪ AG k AB iː AG
अभियान	ə AG bʱ AF ɪ AG j AA ɑː AG n AB
अभियुक्त	ə AG bʱ AF ɪ AG j AA ʊ AH k AB t̪ AB
अभियोक्ता	ə AG bʱ AF ɪ AG j AA oː AH k AB t̪ AB ɑː AG
अभियोग	ə AG bʱ AF ɪ AG j AA oː AH ɡ AB
अभियोजक	ə AG bʱ AF ɪ AG j AA oː AH d AB ʒ AB ə AG k AB
अभिरुचि	ə AG bʱ AF ɪ AG ɾ AJ ʊ AH t AB ʃ AB iː AG
अभिलाषा	ə AG bʱ AF ɪ AG l AD ɑː AG ʂ AB ɑː AG
अभिलेख	ə AG bʱ AF ɪ AG l AD eː AG kʰ AC
अभिवादन	ə AG bʱ AF ɪ AG ʋ AK ɑː AG d̪ AB ə AG n AB
अभिव्यक्त	ə AG bʱ AF ɪ AG ʋ AK j AA ə AG k AB t̪ AB
अभिव्यक्ति	ə AG bʱ AF ɪ AG ʋ AK j AA ə AG k AB t̪ AB iː AG
अभी	ə AG bʱ AF iː AG
अभूतपूर्व	ə AG bʱ AF uː AH t̪ AB p AE uː AH ɾ AJ ʋ AK
अभ्यंग	ə AG bʱ AF j AA ə AG ŋ AB ɡ AB
अभ्यस्त	ə AG bʱ AF j AA ə AG s AB t̪ AB
अभ्यागत	ə AG bʱ AF j AA ɑː AG ɡ AB ə AG t̪ AB
अभ्यास	ə AG bʱ AF j AA ɑː AG s AB
अभ्यासक्रम	ə AG bʱ AF j AA ɑː AG s AB k AB ɾ AJ ə AG m AE
अभ्यासवश	ə AG bʱ AF j AA ɑː AG s AB ʋ AK ə AG ʃ AB
अभ्रक	ə AG bʱ AF ɾ AJ ə AG k AB
अमचूर	ə AG m AE t AB ʃ AB uː AH ɾ AJ
अमन	ə AG m AE ə AG n AB
अमरावती	ə AG m AE ɾ AJ ɑː AG ʋ AK ə AG t̪ AB iː AG
अमरीका	ə AG m AE ɾ AJ iː AG k AB ɑː AG
अमरूद	ə AG m AE ɾ AJ uː AH d̪ AB
अमल	ə AG m AE ə AG l AD
अमानत	ə AG m AE ɑː AG n AB ə AG t̪ AB
अमानती	ə AG m AE ɑː AG n AB ə AG t̪ AB iː AG
अमानवीयता	ə AG m AE ɑː AG n AB ə AG ʋ AK iː AG j AA ə AG t̪ AB ɑː AG
अमावस	ə AG m AE ɑː AG ʋ AK ə AG s AB
अमाशय	ə AG m AE ɑː AG ʃ AB ə AG j AA
अमिट	ə AG m AE ɪ AG ʈ AB
अमीर	ə AG m AE iː AG ɾ AJ
अमीरी	ə AG m AE iː AG ɾ AJ iː AG
अमुक	ə AG m AE ʊ AH k AB
अमृत	ə AG m AE ɾ AJ ɪ AG t̪ AB
अमृतसर	ə AG m AE ɾ AJ ɪ AG t̪ AB s AB ə AG ɾ AJ
अमेरिकन	ə AG m AE eː AG ɾ AJ ɪ AG k AB ə AG n AB
अमेरिका	ə AG m AE eː AG ɾ AJ ɪ AG k AB ɑː AG
अमेरिकी	ə AG m AE eː AG ɾ AJ ɪ AG k AB iː AG
अमोघ	ə AG m AE oː AH ɡʱ AC
अम्बर	ə AG m AE b AE ə AG ɾ AJ
अम्मा	ə AG m AE m AE ɑː AG
अम्माँ	ə AG m AE m AE ɑ̃ː AG
अम्मी	ə AG m AE m AE iː AG
अम्लपित्त	ə AG m AE l AD ə AG p AE ɪ AG t̪ AB t̪ AB
अयनांत	ə AG j AA ə AG n AB ɑː AG n AB t̪ AB
अयस्	ə AG j AA ə AG s AB
अयस्क	ə AG j AA ə AG s AB k AB
अयुत	ə AG j AA ʊ AH t̪ AB
अयोग्यता	ə AG j AA oː AH ɡ AB j AA ə AG t̪ AB ɑː AG
अयोध्या	ə AG j AA oː AH d̪ʱ AC j AA ɑː AG
अरंडी	ə AG ɾ AJ ə AG ɳ AB ɖ AB iː AG
अरक्तता	ə AG ɾ AJ ə AG k AB t̪ AB t̪ AB ɑː AG
अरगनी	ə AG ɾ AJ ə AG ɡ AB n AB iː AG
अरणि	ə AG ɾ AJ ɳ AB iː AG
अरथी	ə AG ɾ AJ t̪ʰ AC iː AG
अरदली	ə AG ɾ AJ d̪ AB ə AG l AD iː AG
अरब	ə AG ɾ AJ ə AG b AE
अरबिंद	ə AG ɾ AJ b AE ɪ AG n AB d̪ AB
अरबी	ə AG ɾ AJ ə AG b AE iː AG
अरमान	ə AG ɾ AJ m AE ɑː AG n AB
अरविंद	ə AG ɾ AJ ʋ AK ɪ AG n AB d̪ AB
अरवी	ə AG ɾ AJ ʋ AK iː AG
अरसा	ə AG ɾ AJ s AB ɑː AG
अरस्तू	ə AG ɾ AJ ə AG s AB t̪ AB uː AH
अराजक	ə AG ɾ AJ ɑː AG d AB ʒ AB ə AG k AB
अराजकता	ə AG ɾ AJ ɑː AG d AB ʒ AB ə AG k AB t̪ AB ɑː AG
अराजकवाद	ə AG ɾ AJ ɑː AG d AB ʒ AB ə AG k AB ʋ AK ɑː AG d̪ AB
अराजकवादी	ə AG ɾ AJ ɑː AG d AB ʒ AB ə AG k AB ʋ AK ɑː AG d̪ AB iː AG
अरारोट	ə AG ɾ AJ ɑː AG ɾ AJ oː AH ʈ AB
अरिहंत	ə AG ɾ AJ ɪ AG ɦ AI ə AG n AB t̪ AB
अरुचि	ə AG ɾ AJ ʊ AH t AB ʃ AB iː AG
अरुचिकर	ə AG ɾ AJ ʊ AH t AB ʃ AB ɪ AG k AB ə AG ɾ AJ
अरुणोदय	ə AG ɾ AJ ʊ AH ɳ AB oː AH d̪ AB ə AG j AA
अरे	ə AG ɾ AJ eː AG
अरोगी	ə AG ɾ AJ oː AH ɡ AB iː AG
अरोरा	ə AG ɾ AJ oː AH ɾ AJ ɑː AG
अर्क़	ə AG ɾ AJ q AB
अर्ज	ə AG ɾ AJ z AB
अर्जन	ə AG ɾ AJ d AB ʒ AB ə AG n AB
अर्ज़	ə AG ɾ AJ z AB
अर्ज़ी	ə AG ɾ AJ z AB iː AG
अर्जित	ə AG ɾ AJ d AB ʒ AB ɪ AG t̪ AB
अर्जी	ə AG ɾ AJ z AB iː AG
अर्जुन	ə AG ɾ AJ d AB ʒ AB ʊ AH n AB
अर्जेंटीना	ə AG ɾ AJ d AB ʒ AB eː AG ɳ AB ʈ AB iː AG n AB ɑː AG
अर्जेण्टीना	ə AG ɾ AJ d AB ʒ AB eː AG ɳ AB ʈ AB iː AG n AB ɑː AG
अर्जेन्टीना	ɑː AG ɾ AJ d AB ʒ AB eː AG ɳ AB ʈ AB iː AG n AB ɑː AG
अर्थ	ə AG ɾ AJ t̪ʰ AC
अर्थपूर्ण	ə AG ɾ AJ t̪ʰ AC ə AG p AE uː AH ɾ AJ ɳ AB
अर्थमिति	ə AG ɾ AJ t̪ʰ AC ə AG m AE ɪ AG t̪ AB iː AG
अर्थव्यवस्था	ə AG ɾ AJ t̪ʰ AC ə AG ʋ AK j AA ə AG ʋ AK ə AG s AB t̪ʰ AC ɑː AG
अर्थशास्त्री	ə AG ɾ AJ t̪ʰ AC ə AG ʃ AB ɑː AG s AB t̪ AB ɾ AJ iː AG
अर्थहीन	ə AG ɾ AJ t̪ʰ AC ɦ AI iː AG n AB
अर्थात	ə AG ɾ AJ t̪ʰ AC ɑː AG t̪ AB
अर्थात्	ə AG ɾ AJ t̪ʰ AC ɑː AG t̪ AB
अर्थालंकार	ə AG ɾ AJ t̪ʰ AC ɑː AG l AD ə AG ŋ AB k AB ɑː AG ɾ AJ
अर्थी	ə AG ɾ AJ t̪ʰ AC iː AG
अर्दली	ə AG ɾ AJ d̪ AB ə AG l AD iː AG
अर्द्ध	ə AG ɾ AJ d̪ AB d̪ʱ AC
अर्ध	ə AG ɾ AJ d̪ʱ AC
अर्धकुशल	ə AG ɾ AJ d̪ʱ AC k AB ʊ AH ʃ AB ə AG l AD
अर्धतत्सम	ə AG ɾ AJ d̪ʱ AC ə AG t̪ AB ə AG t̪ AB s AB ə AG m AE
अर्धवार्षिक	ə AG ɾ AJ d̪ʱ AC ʋ AK ɑː AG ɾ AJ ʂ AB ɪ AG k AB
अर्धविकसित	ə AG ɾ AJ d̪ʱ AC ʋ AK ɪ AG k AB s AB ɪ AG t̪ AB
अर्धशिक्षित	ə AG ɾ AJ d̪ʱ AC ʃ AB ɪ AG k AB ʂ AB ɪ AG t̪ AB
अर्धसरकारी	ə AG ɾ AJ d̪ʱ AC s AB ə AG ɾ AJ k AB ɑː AG ɾ AJ iː AG
अर्धसाप्ताहिक	ə AG ɾ AJ d̪ʱ AC s AB ɑː AG p AE t̪ AB ɑː AG ɦ AI ɪ AG k AB
अर्धांगिनी	ə AG ɾ AJ d̪ʱ AC ɑː AG ŋ AB ɡ AB ɪ AG n AB iː AG
अर्धायु	ə AG ɾ AJ d̪ʱ AC ɑː AG j AA uː AH
अर्पण	ə AG ɾ AJ p AE ə AG ɳ AB
अर्पित	ə AG ɾ AJ p AE ɪ AG t̪ AB
अर्यमा	ə AG ɾ AJ j AA ə AG m AE ɑː AG
अर्श	ə AG ɾ AJ ʃ AB
अर्हित	ə AG ɾ AJ ɦ AI ɪ AG t̪ AB
अलंकार	ə AG l AD ə AG ŋ AB k AB ɑː AG ɾ AJ
अलंकृत	ə AG l AD ə AG ŋ AB k AB ɾ AJ ɪ AG t̪ AB
अलक़तरा	ə AG l AD q AB ə AG t̪ AB ɾ AJ ɑː AG
अलगाना	ə AG l AD ɡ AB ɑː AG n AB ɑː AG
अलगाव	ə AG l AD ɡ AB ɑː AG ʋ AK
अलगाववाद	ə AG l AD ɡ AB ɑː AG ʋ AK ʋ AK ɑː AG d̪ AB
अलगाववादी	ə AG l AD ɡ AB ɑː AG ʋ AK ʋ AK ɑː AG d̪ AB iː AG
अलबता	ə AG l AD b AE ə AG t̪ AB ɑː AG
अलबत्ता	ə AG l AD b AE ə AG t̪ AB t̪ AB ɑː AG
अलबम	ə AG l AD b AE ə AG m AE
अलम	ə AG l AD ə AG m AE
अलमारी	ə AG l AD m AE ɑː AG ɾ AJ iː AG
अलम्	ə AG l AD ə AG m AE
अलविदा	ə AG l AD ʋ AK ɪ AG d̪ AB ɑː AG
अलसाना	ə AG l AD s AB ɑː AG n AB ɑː AG
अलहदा	ə AG l AD ə AG ɦ AI d̪ AB ɑː AG
अलादीन	ə AG l AD ɑː AG d̪ AB iː AG n AB
अलापना	ə AG l AD ɑː AG p AE n AB ɑː AG
अलाव	ə AG l AD ɑː AG ʋ AK
अलि	ə AG l AD iː AG
अलिखित	ə AG l AD ɪ AG kʰ AC ɪ AG t̪ AB
अलीगढ	ə AG l AD iː AG ɡ AB ə AG ɽʱ AL
अलीगढ़	ə AG l AD iː AG ɡ AB ə AG ɽʱ AL
अलोना	ə AG l AD oː AH n AB ɑː AG
अल्जीरिया	ə AG l AD d AB ʒ AB iː AG ɾ AJ ɪ AG j AA ɑː AG
अल्टीमेटम	ə AG l AD ʈ AB iː AG m AE eː AG ʈ AB ə AG m AE
अल्पकारी	ə AG l AD p AE ə AG k AB ɑː AG ɾ AJ iː AG
अल्पसंख्यक	ə AG l AD p AE s AB ə AG ŋ AB kʰ AC j AA ə AG k AB
अल्पावस्था	ə AG l AD p AE ɑː AG ʋ AK ə AG s AB t̪ʰ AC ɑː AG
अल्पाहार	ə AG l AD p AE ɑː AG ɦ AI ɑː AG ɾ AJ
अल्फ़ा	ə AG l AD pʰ AF ɑː AG
अल्फ़ाज़	ə AG l AD pʰ AF ɑː AG d AB ʒ AB
अल्बम	ə AG l AD b AE ə AG m AE
अल्बानियन	ə AG l AD b AE ɑː AG n AB ɪ AG j AA ə AG n AB
अल्बानिया	ə AG l AD b AE ɑː AG n AB ɪ AG j AA ɑː AG
अल्लाह	ə AG l AD l AD ɑː AG ɦ AI
अल्हड़	ə AG l AD ɦ AI ə AG ɽ AJ
अवकलज	ə AG ʋ AK k AB ə AG l AD ə AG d AB ʒ AB
अवकलन	ə AG ʋ AK k AB ə AG l AD ə AG n AB
अवक्षयण	ə AG ʋ AK k AB ʂ AB ə AG j AA ə AG ɳ AB
अवक्षेपण	ə AG ʋ AK k AB ʂ AB eː AG p AE ə AG ɳ AB
अवगत	ə AG ʋ AK ɡ AB ə AG t̪ AB
अवगुण	ə AG ʋ AK ɡ AB ʊ AH ɳ AB
अवज्ञा	ə AG ʋ AK ə AG ɡ AB j AA ɑː AG
अवतल	ə AG ʋ AK t̪ AB ə AG l AD
अवतार	ə AG ʋ AK t̪ AB ɑː AG ɾ AJ
अवध	ə AG ʋ AK ə AG d̪ʱ AC
अवधारण	ə AG ʋ AK d̪ʱ AC ɑː AG ɾ AJ ə AG ɳ AB
अवधारणा	ə AG ʋ AK d̪ʱ AC ɑː AG ɾ AJ ɳ AB ɑː AG
अवधि	ə AG ʋ AK d̪ʱ AC iː AG
अवधी	ə AG ʋ AK ə AG d̪ʱ AC iː AG
अवनति	ə AG ʋ AK n AB ə AG t̪ AB iː AG
अवपंक	ə AG ʋ AK p AE ə AG ŋ AB k AB
अवयव	ə AG ʋ AK j AA ə AG ʋ AK
अवयस्क	ə AG ʋ AK ə AG j AA ə AG s AB k AB
अवर	ə AG ʋ AK ə AG ɾ AJ
अवरुद्ध	ə AG ʋ AK ɾ AJ ʊ AH d̪ AB d̪ʱ AC
अवरोध	ə AG ʋ AK ɾ AJ oː AH d̪ʱ AC
अवलंब	ə AG ʋ AK l AD ə AG m AE b AE
अवलोकन	ə AG ʋ AK l AD oː AH k AB ə AG n AB
अवशोषण	ə AG ʋ AK ʃ AB oː AH ʂ AB ə AG ɳ AB
अवशोषित	ə AG ʋ AK ʃ AB oː AH ʂ AB ɪ AG t̪ AB
अवसंरचना	ə AG ʋ AK s AB ə̃ AG ɾ AJ ə AG t AB ʃ AB n AB ɑː AG
अवसर	ə AG ʋ AK s AB ə AG ɾ AJ
अवस्था	ə AG ʋ AK ə AG s AB t̪ʰ AC ɑː AG
अवहट्ठ	ə AG ʋ AK ɦ AI ə AG ʈ AB ʈʰ AC
अवहेलना	ə AG ʋ AK ɦ AI eː AG l AD n AB ɑː AG
अवांछित	ə AG ʋ AK ɑː AG n AB t AB ʃʰ AC ɪ AG t̪ AB
अवाई	ə AG ʋ AK ɑː AG iː AG
अवाक्	ə AG ʋ AK ɑː AG k AB
अवाम	ə AG ʋ AK ɑː AG m AE
अवार्ड	ə AG ʋ AK ɑː AG ɾ AJ ɖ AB
अविकसित	ə AG ʋ AK ɪ AG k AB s AB ɪ AG t̪ AB
अविकारी	ə AG ʋ AK ɪ AG k AB ɑː AG ɾ AJ iː AG
अविचल	ə AG ʋ AK ɪ AG t AB ʃ AB ə AG l AD
अविनय	ə AG ʋ AK ɪ AG n AB ə AG j AA
अविनीत	ə AG ʋ AK ɪ AG n AB iː AG t̪ AB
अविलंब	ə AG ʋ AK ɪ AG l AD ə AG m AE b AE
अविवाहित	ə AG ʋ AK ɪ AG ʋ AK ɑː AG ɦ AI ɪ AG t̪ AB
अविश्वास	ə AG ʋ AK ɪ AG ʃ AB ʋ AK ɑː AG s AB
अवैतनिक	ʋ AK ɛː AG t̪ AB ə AG n AB ɪ AG k AB
अवोकाडो	ə AG ʋ AK oː AH k AB ɑː AG ɖ AB oː AH
अव्यक्त	ə AG ʋ AK j AA ə AG k AB t̪ AB
अव्ययी	ə AG ʋ AK j AA ə AG j AA iː AG
अव्यवस्था	ə AG ʋ AK j AA ə AG ʋ AK ə AG s AB t̪ʰ AC ɑː AG
अव्यावहारिक	ə AG ʋ AK j AA ɑː AG ʋ AK ɦ AI ɑː AG ɾ AJ ɪ AG k AB
अव्वल	ə AG ʋ AK ʋ AK ə AG l AD
अशक्त	ə AG ʃ AB ə AG k AB t̪ AB
अशरफ़ी	ə AG ʃ AB ə AG ɾ AJ pʰ AF iː AG
अशरफी	ə AG ʃ AB ə AG ɾ AJ pʰ AF iː AG
अशांत	ə AG ʃ AB ɑː AG n AB t̪ AB
अशांति	ə AG ʃ AB ɑː AG n AB t̪ AB iː AG
अशान्ति	ə AG ʃ AB ɑː AG n AB t̪ AB iː AG
अशिष्ट	ə AG ʃ AB ɪ AG ʂ AB ʈ AB
अशिष्टता	ə AG ʃ AB ɪ AG ʂ AB ʈ AB t̪ AB ɑː AG
अशुद्धि	ə AG ʃ AB ʊ AH d̪ AB d̪ʱ AC iː AG
अशुभ	ə AG ʃ AB ʊ AH bʱ AF
अश्क	ə AG ʃ AB k AB
अश्रु	ə AG ʃ AB ɾ AJ uː AH
अश्लील	ə AG ʃ AB l AD iː AG l AD
अश्लीलता	ə AG ʃ AB l AD iː AG l AD t̪ AB ɑː AG
अश्वमेध	ə AG ʃ AB ʋ AK ə AG m AE eː AG d̪ʱ AC
अश्विनी	ə AG ʃ AB ʋ AK ɪ AG n AB iː AG
अष्टकोण	ə AG ʂ AB ʈ AB k AB oː AH ɳ AB
अष्टभुज	ə AG ʂ AB ʈ AB bʱ AF ʊ AH d AB ʒ AB
असंगत	ə AG s AB ə AG ŋ AB ɡ AB ə AG t̪ AB
असंगति	ə AG s AB ə AG ŋ AB ɡ AB ə AG t̪ AB iː AG
