अ	ə AF
अपेक्षित	ə AF p eː AB k ʂ ɪ AF t̪
अप्रकट	ə AF p ɾ ə AF k ə AF ʈ
अप्रकाशित	ə AF p ɾ ə AF k ɑː AB ʃ ɪ AF t̪
अप्रचलित	ə AF p ɾ ə AF t ʃ ə AF l ɪ AF t̪
अप्रत्यक्ष	ə AF p ɾ ə AF t̪ j AA ə AF k ʂ
अप्रत्याशित	ə AF p ɾ ə AF t̪ j AA ɑː AB ʃ ɪ AF t̪
अप्रिय	ə AF p ɾ ɪ AF j AA
अप्रैल	ə AF p ɾ ɛː AB l
अप्सरा	ə AF p s ə AF ɾ ɑː AB
अफगानिस्तान	ə AF pʰ ɡ ɑː AB n ɪ AF s t̪ ɑː AB n
अफरना	ə AF pʰ ə AF ɾ n ɑː AB
अफसर	ə AF pʰ s ə AF ɾ
अफ़लातून	ə AF pʰ l ɑː AB t̪ uː AC n
अफ़वाह	ə AF pʰ ʋ AI ɑː AB ɦ AE
अफ़सर	ə AF pʰ s ə AF ɾ
अफ़साना	ə AF pʰ s ɑː AB n ɑː AB
अफ़सोसजनक	ə AF pʰ s oː AC s d ʒ ə AF n ə AF k
अफ़ीम	ə AF pʰ iː AB m
अफ़ीमची	ə AF pʰ iː AB m t ʃ iː AB
अफ़्ग़ानिस्तान	ə AF pʰ ɡ ɑː AB n ɪ AF s t̪ ɑː AB n
अफ़्रीका	ə AF pʰ ɾ iː AB k ɑː AB
अफ़्साना	ə AF pʰ s ɑː AB n ɑː AB
अफीम	ə AF pʰ iː AB m
अबटाबाद	ə AF b ʈ ɑː AB b ɑː AB d̪
अबाबील	ə AF b ɑː AB b iː AB l
अबिचल	ə AF b ɪ AF t ʃ ə AF l
अबिवात्त	ə AF b ɪ AF ʋ AI ɑː AB t̪ t̪
अबीर	ə AF b iː AB ɾ
अबेर	ə AF b eː AB ɾ
अबोध	ə AF b oː AC d̪ʱ
अब्जद	ə AF b d ʒ ə AF d̪
अब्द	ə AF b d̪
अब्बा	ə AF b b ɑː AB
अब्रू	ə AF b ɾ uː AC
अभागा	ə AF bʱ ɑː AB ɡ ɑː AB
अभाव	ə AF bʱ ɑː AB ʋ AI
अभिकथन	ə AF bʱ ɪ AF k ə AF t̪ʰ ə AF n
अभिकारक	ə AF bʱ ɪ AF k ɑː AB ɾ ə AF k
अभिक्रिया	ə AF bʱ ɪ AF k ɾ ɪ AF j AA ɑː AB
अभिगम	ə AF bʱ ɪ AF ɡ ə AF m
अभिदृश्यक	ə AF bʱ ɪ AF d̪ ɾ ɪ AF ʃ j AA ə AF k
अभिनंदन	ə AF bʱ ɪ AF n ə AF n d̪ ə AF n
अभिनय	ə AF bʱ ɪ AF n ə AF j AA
अभिनेता	ə AF bʱ ɪ AF n eː AB t̪ ɑː AB
अभिनेत्री	ə AF bʱ ɪ AF n eː AB t̪ ɾ iː AB
अभिप्राय	ə AF bʱ ɪ AF p ɾ ɑː AB j AA
अभिभावक	ə AF bʱ ɪ AF bʱ ɑː AB ʋ AI ə AF k
अभिभूत	ə AF bʱ ɪ AF bʱ uː AC t̪
अभिमानी	ə AF bʱ ɪ AF m ɑː AB n iː AB
अभियंता	ə AF bʱ ɪ AF j AA ə AF n t̪ ɑː AB
अभियंत्रण	ə AF bʱ ɪ AF j AA ə AF n t̪ ɾ ə AF ɳ
अभियंत्रिकी	ə AF bʱ ɪ AF j AA ə AF n t̪ ɾ ɪ AF k iː AB
अभियन्ता	ə AF bʱ ɪ AF j AA ə AF n t̪ ɑː AB
अभियांत्रिकी	ə AF bʱ ɪ AF j AA ɑː AB n t̪ ɾ ɪ AF k iː AB
अभियान	ə AF bʱ ɪ AF j AA ɑː AB n
अभियुक्त	ə AF bʱ ɪ AF j AA ʊ AD k t̪
अभियोक्ता	ə AF bʱ ɪ AF j AA oː AC k t̪ ɑː AB
अभियोग	ə AF bʱ ɪ AF j AA oː AC ɡ
अभियोजक	ə AF bʱ ɪ AF j AA oː AC d ʒ ə AF k
अभिरुचि	ə AF bʱ ɪ AF ɾ ʊ AD t ʃ iː AB
अभिलाषा	ə AF bʱ ɪ AF l ɑː AB ʂ ɑː AB
अभिलेख	ə AF bʱ ɪ AF l eː AB kʰ
अभिवादन	ə AF bʱ ɪ AF ʋ AI ɑː AB d̪ ə AF n
अभिव्यक्त	ə AF bʱ ɪ AF ʋ AI j AA ə AF k t̪
अभिव्यक्ति	ə AF bʱ ɪ AF ʋ AI j AA ə AF k t̪ iː AB
अभी	ə AF bʱ iː AB
अभूतपूर्व	ə AF bʱ uː AC t̪ p uː AC ɾ ʋ AI
अभ्यंग	ə AF bʱ j AA ə AF ŋ ɡ
अभ्यस्त	ə AF bʱ j AA ə AF s t̪
अभ्यागत	ə AF bʱ j AA ɑː AB ɡ ə AF t̪
अभ्यास	ə AF bʱ j AA ɑː AB s
अभ्यासक्रम	ə AF bʱ j AA ɑː AB s k ɾ ə AF m
अभ्यासवश	ə AF bʱ j AA ɑː AB s ʋ AI ə AF ʃ
अभ्रक	ə AF bʱ ɾ ə AF k
अमचूर	ə AF m t ʃ uː AC ɾ
अमन	ə AF m ə AF n
अमरावती	ə AF m ɾ ɑː AB ʋ AI ə AF t̪ iː AB
अमरीका	ə AF m ɾ iː AB k ɑː AB
अमरूद	ə AF m ɾ uː AC d̪
अमल	ə AF m ə AF l
अमानत	ə AF m ɑː AB n ə AF t̪
अमानती	ə AF m ɑː AB n ə AF t̪ iː AB
अमानवीयता	ə AF m ɑː AB n ə AF ʋ AI iː AB j AA ə AF t̪ ɑː AB
अमावस	ə AF m ɑː AB ʋ AI ə AF s
अमाशय	ə AF m ɑː AB ʃ ə AF j AA
अमिट	ə AF m ɪ AF ʈ
अमीर	ə AF m iː AB ɾ
अमीरी	ə AF m iː AB ɾ iː AB
अमुक	ə AF m ʊ AD k
अमृत	ə AF m ɾ ɪ AF t̪
अमृतसर	ə AF m ɾ ɪ AF t̪ s ə AF ɾ
अमेरिकन	ə AF m eː AB ɾ ɪ AF k ə AF n
अमेरिका	ə AF m eː AB ɾ ɪ AF k ɑː AB
अमेरिकी	ə AF m eː AB ɾ ɪ AF k iː AB
अमोघ	ə AF m oː AC ɡʱ
अम्बर	ə AF m b ə AF ɾ
अम्मा	ə AF m m ɑː AB
अम्माँ	ə AF m m ɑ̃ː AH
अम्मी	ə AF m m iː AB
अम्लपित्त	ə AF m l ə AF p ɪ AF t̪ t̪
अयनांत	ə AF j AA ə AF n ɑː AB n t̪
अयस्	ə AF j AA ə AF s
अयस्क	ə AF j AA ə AF s k
अयुत	ə AF j AA ʊ AD t̪
अयोग्यता	ə AF j AA oː AC ɡ j AA ə AF t̪ ɑː AB
अयोध्या	ə AF j AA oː AC d̪ʱ j AA ɑː AB
अरंडी	ə AF ɾ ə AF ɳ ɖ iː AB
अरक्तता	ə AF ɾ ə AF k t̪ t̪ ɑː AB
अरगनी	ə AF ɾ ə AF ɡ n iː AB
अरणि	ə AF ɾ ɳ iː AB
अरथी	ə AF ɾ t̪ʰ iː AB
अरदली	ə AF ɾ d̪ ə AF l iː AB
अरब	ə AF ɾ ə AF b
अरबिंद	ə AF ɾ b ɪ AF n d̪
अरबी	ə AF ɾ ə AF b iː AB
अरमान	ə AF ɾ m ɑː AB n
अरविंद	ə AF ɾ ʋ AI ɪ AF n d̪
अरवी	ə AF ɾ ʋ AI iː AB
अरसा	ə AF ɾ s ɑː AB
अरस्तू	ə AF ɾ ə AF s t̪ uː AC
अराजक	ə AF ɾ ɑː AB d ʒ ə AF k
अराजकता	ə AF ɾ ɑː AB d ʒ ə AF k t̪ ɑː AB
अराजकवाद	ə AF ɾ ɑː AB d ʒ ə AF k ʋ AI ɑː AB d̪
अराजकवादी	ə AF ɾ ɑː AB d ʒ ə AF k ʋ AI ɑː AB d̪ iː AB
अरारोट	ə AF ɾ ɑː AB ɾ oː AC ʈ
अरिहंत	ə AF ɾ ɪ AF ɦ AE ə AF n t̪
अरुचि	ə AF ɾ ʊ AD t ʃ iː AB
अरुचिकर	ə AF ɾ ʊ AD t ʃ ɪ AF k ə AF ɾ
अरुणोदय	ə AF ɾ ʊ AD ɳ oː AC d̪ ə AF j AA
अरे	ə AF ɾ eː AB
अरोगी	ə AF ɾ oː AC ɡ iː AB
अरोरा	ə AF ɾ oː AC ɾ ɑː AB
अर्क़	ə AF ɾ q
अर्ज	ə AF ɾ z
अर्जन	ə AF ɾ d ʒ ə AF n
अर्ज़	ə AF ɾ z
अर्ज़ी	ə AF ɾ z iː AB
अर्जित	ə AF ɾ d ʒ ɪ AF t̪
अर्जी	ə AF ɾ z iː AB
अर्जुन	ə AF ɾ d ʒ ʊ AD n
अर्जेंटीना	ə AF ɾ d ʒ eː AB ɳ ʈ iː AB n ɑː AB
अर्जेण्टीना	ə AF ɾ d ʒ eː AB ɳ ʈ iː AB n ɑː AB
अर्जेन्टीना	ɑː AB ɾ d ʒ eː AB ɳ ʈ iː AB n ɑː AB
अर्थ	ə AF ɾ t̪ʰ
अर्थपूर्ण	ə AF ɾ t̪ʰ ə AF p uː AC ɾ ɳ
अर्थमिति	ə AF ɾ t̪ʰ ə AF m ɪ AF t̪ iː AB
अर्थव्यवस्था	ə AF ɾ t̪ʰ ə AF ʋ AI j AA ə AF ʋ AI ə AF s t̪ʰ ɑː AB
अर्थशास्त्री	ə AF ɾ t̪ʰ ə AF ʃ ɑː AB s t̪ ɾ iː AB
अर्थहीन	ə AF ɾ t̪ʰ ɦ AE iː AB n
अर्थात	ə AF ɾ t̪ʰ ɑː AB t̪
अर्थात्	ə AF ɾ t̪ʰ ɑː AB t̪
अर्थालंकार	ə AF ɾ t̪ʰ ɑː AB l ə AF ŋ k ɑː AB ɾ
अर्थी	ə AF ɾ t̪ʰ iː AB
अर्दली	ə AF ɾ d̪ ə AF l iː AB
अर्द्ध	ə AF ɾ d̪ d̪ʱ
अर्ध	ə AF ɾ d̪ʱ
अर्धकुशल	ə AF ɾ d̪ʱ k ʊ AD ʃ ə AF l
अर्धतत्सम	ə AF ɾ d̪ʱ ə AF t̪ ə AF t̪ s ə AF m
अर्धवार्षिक	ə AF ɾ d̪ʱ ʋ AI ɑː AB ɾ ʂ ɪ AF k
अर्धविकसित	ə AF ɾ d̪ʱ ʋ AI ɪ AF k s ɪ AF t̪
अर्धशिक्षित	ə AF ɾ d̪ʱ ʃ ɪ AF k ʂ ɪ AF t̪
अर्धसरकारी	ə AF ɾ d̪ʱ s ə AF ɾ k ɑː AB ɾ iː AB
अर्धसाप्ताहिक	ə AF ɾ d̪ʱ s ɑː AB p t̪ ɑː AB ɦ AE ɪ AF k
अर्धांगिनी	ə AF ɾ d̪ʱ ɑː AB ŋ ɡ ɪ AF n iː AB
अर्धायु	ə AF ɾ d̪ʱ ɑː AB j AA uː AC
अर्पण	ə AF ɾ p ə AF ɳ
अर्पित	ə AF ɾ p ɪ AF t̪
अर्यमा	ə AF ɾ j AA ə AF m ɑː AB
अर्श	ə AF ɾ ʃ
अर्हित	ə AF ɾ ɦ AE ɪ AF t̪
अलंकार	ə AF l ə AF ŋ k ɑː AB ɾ
अलंकृत	ə AF l ə AF ŋ k ɾ ɪ AF t̪
अलक़तरा	ə AF l q ə AF t̪ ɾ ɑː AB
अलगाना	ə AF l ɡ ɑː AB n ɑː AB
अलगाव	ə AF l ɡ ɑː AB ʋ AI
अलगाववाद	ə AF l ɡ ɑː AB ʋ AI ʋ AI ɑː AB d̪
अलगाववादी	ə AF l ɡ ɑː AB ʋ AI ʋ AI ɑː AB d̪ iː AB
अलबता	ə AF l b ə AF t̪ ɑː AB
अलबत्ता	ə AF l b ə AF t̪ t̪ ɑː AB
अलबम	ə AF l b ə AF m
अलम	ə AF l ə AF m
अलमारी	ə AF l m ɑː AB ɾ iː AB
अलम्	ə AF l ə AF m
अलविदा	ə AF l ʋ AI ɪ AF d̪ ɑː AB
अलसाना	ə AF l s ɑː AB n ɑː AB
अलहदा	ə AF l ə AF ɦ AE d̪ ɑː AB
अलादीन	ə AF l ɑː AB d̪ iː AB n
अलापना	ə AF l ɑː AB p n ɑː AB
अलाव	ə AF l ɑː AB ʋ AI
अलि	ə AF l iː AB
अलिखित	ə AF l ɪ AF kʰ ɪ AF t̪
अलीगढ	ə AF l iː AB ɡ ə AF ɽʱ
अलीगढ़	ə AF l iː AB ɡ ə AF ɽʱ
अलोना	ə AF l oː AC n ɑː AB
अल्जीरिया	ə AF l d ʒ iː AB ɾ ɪ AF j AA ɑː AB
अल्टीमेटम	ə AF l ʈ iː AB m eː AB ʈ ə AF m
अल्पकारी	ə AF l p ə AF k ɑː AB ɾ iː AB
अल्पसंख्यक	ə AF l p s ə AF ŋ kʰ j AA ə AF k
अल्पावस्था	ə AF l p ɑː AB ʋ AI ə AF s t̪ʰ ɑː AB
अल्पाहार	ə AF l p ɑː AB ɦ AE ɑː AB ɾ
अल्फ़ा	ə AF l pʰ ɑː AB
अल्फ़ाज़	ə AF l pʰ ɑː AB d ʒ
अल्बम	ə AF l b ə AF m
अल्बानियन	ə AF l b ɑː AB n ɪ AF j AA ə AF n
अल्बानिया	ə AF l b ɑː AB n ɪ AF j AA ɑː AB
अल्लाह	ə AF l l ɑː AB ɦ AE
अल्हड़	ə AF l ɦ AE ə AF ɽ
अवकलज	ə AF ʋ AI k ə AF l ə AF d ʒ
अवकलन	ə AF ʋ AI k ə AF l ə AF n
अवक्षयण	ə AF ʋ AI k ʂ ə AF j AA ə AF ɳ
अवक्षेपण	ə AF ʋ AI k ʂ eː AB p ə AF ɳ
अवगत	ə AF ʋ AI ɡ ə AF t̪
अवगुण	ə AF ʋ AI ɡ ʊ AD ɳ
अवज्ञा	ə AF ʋ AI ə AF ɡ j AA ɑː AB
अवतल	ə AF ʋ AI t̪ ə AF l
अवतार	ə AF ʋ AI t̪ ɑː AB ɾ
अवध	ə AF ʋ AI ə AF d̪ʱ
अवधारण	ə AF ʋ AI d̪ʱ ɑː AB ɾ ə AF ɳ
अवधारणा	ə AF ʋ AI d̪ʱ ɑː AB ɾ ɳ ɑː AB
अवधि	ə AF ʋ AI d̪ʱ iː AB
अवधी	ə AF ʋ AI ə AF d̪ʱ iː AB
अवनति	ə AF ʋ AI n ə AF t̪ iː AB
अवपंक	ə AF ʋ AI p ə AF ŋ k
अवयव	ə AF ʋ AI j AA ə AF ʋ AI
अवयस्क	ə AF ʋ AI ə AF j AA ə AF s k
अवर	ə AF ʋ AI ə AF ɾ
अवरुद्ध	ə AF ʋ AI ɾ ʊ AD d̪ d̪ʱ
अवरोध	ə AF ʋ AI ɾ oː AC d̪ʱ
अवलंब	ə AF ʋ AI l ə AF m b
अवलोकन	ə AF ʋ AI l oː AC k ə AF n
अवशोषण	ə AF ʋ AI ʃ oː AC ʂ ə AF ɳ
अवशोषित	ə AF ʋ AI ʃ oː AC ʂ ɪ AF t̪
अवसंरचना	ə AF ʋ AI s ə̃ AJ ɾ ə AF t ʃ n ɑː AB
अवसर	ə AF ʋ AI s ə AF ɾ
अवस्था	ə AF ʋ AI ə AF s t̪ʰ ɑː AB
अवहट्ठ	ə AF ʋ AI ɦ AE ə AF ʈ ʈʰ
अवहेलना	ə AF ʋ AI ɦ AE eː AB l n ɑː AB
अवांछित	ə AF ʋ AI ɑː AB n t ʃʰ ɪ AF t̪
अवाई	ə AF ʋ AI ɑː AB iː AB
अवाक्	ə AF ʋ AI ɑː AB k
अवाम	ə AF ʋ AI ɑː AB m
अवार्ड	ə AF ʋ AI ɑː AB ɾ ɖ
अविकसित	ə AF ʋ AI ɪ AF k s ɪ AF t̪
अविकारी	ə AF ʋ AI ɪ AF k ɑː AB ɾ iː AB
अविचल	ə AF ʋ AI ɪ AF t ʃ ə AF l
अविनय	ə AF ʋ AI ɪ AF n ə AF j AA
अविनीत	ə AF ʋ AI ɪ AF n iː AB t̪
अविलंब	ə AF ʋ AI ɪ AF l ə AF m b
अविवाहित	ə AF ʋ AI ɪ AF ʋ AI ɑː AB ɦ AE ɪ AF t̪
अविश्वास	ə AF ʋ AI ɪ AF ʃ ʋ AI ɑː AB s
अवैतनिक	ʋ AI ɛː AB t̪ ə AF n ɪ AF k
अवोकाडो	ə AF ʋ AI oː AC k ɑː AB ɖ oː AC
अव्यक्त	ə AF ʋ AI j AA ə AF k t̪
अव्ययी	ə AF ʋ AI j AA ə AF j AA iː AB
अव्यवस्था	ə AF ʋ AI j AA ə AF ʋ AI ə AF s t̪ʰ ɑː AB
अव्यावहारिक	ə AF ʋ AI j AA ɑː AB ʋ AI ɦ AE ɑː AB ɾ ɪ AF k
अव्वल	ə AF ʋ AI ʋ AI ə AF l
अशक्त	ə AF ʃ ə AF k t̪
अशरफ़ी	ə AF ʃ ə AF ɾ pʰ iː AB
अशरफी	ə AF ʃ ə AF ɾ pʰ iː AB
अशांत	ə AF ʃ ɑː AB n t̪
अशांति	ə AF ʃ ɑː AB n t̪ iː AB
अशान्ति	ə AF ʃ ɑː AB n t̪ iː AB
अशिष्ट	ə AF ʃ ɪ AF ʂ ʈ
अशिष्टता	ə AF ʃ ɪ AF ʂ ʈ t̪ ɑː AB
अशुद्धि	ə AF ʃ ʊ AD d̪ d̪ʱ iː AB
अशुभ	ə AF ʃ ʊ AD bʱ
अश्क	ə AF ʃ k
अश्रु	ə AF ʃ ɾ uː AC
अश्लील	ə AF ʃ l iː AB l
अश्लीलता	ə AF ʃ l iː AB l t̪ ɑː AB
अश्वमेध	ə AF ʃ ʋ AI ə AF m eː AB d̪ʱ
अश्विनी	ə AF ʃ ʋ AI ɪ AF n iː AB
अष्टकोण	ə AF ʂ ʈ k oː AC ɳ
अष्टभुज	ə AF ʂ ʈ bʱ ʊ AD d ʒ
असंगत	ə AF s ə AF ŋ ɡ ə AF t̪
असंगति	ə AF s ə AF ŋ ɡ ə AF t̪ iː AB
असंतुष्ट	ə AF s ə AF n t̪ ʊ AD ʂ ʈ
असंतोष	ə AF s ə AF n t̪ oː AC ʂ
असंतोषजनक	ə AF s ə AF n t̪ oː AC ʂ d ʒ ə AF n ə AF k
असंभव	ə AF s ə AF m bʱ ə AF ʋ AI
असंभावित	ə AF s ə AF m bʱ ɑː AB ʋ AI ɪ AF t̪
असंवेदनशील	ə AF s ə AF m ʋ AI eː AB d̪ ə AF n ʃ iː AB l
असंवैधानिक	ə AF s ə AF m ʋ AI ɛː AB d̪ʱ ɑː AB n ɪ AF k
असत्याभास	ə AF s ə AF t̪ j AA ɑː AB bʱ ɑː AB s
असफल	ə AF s ə AF pʰ ə AF l
असफलता	ə AF s ə AF pʰ ə AF l t̪ ɑː AB
असबाब	ə AF s b ɑː AB b
असभ्यता	ə AF s ə AF bʱ j AA ə AF t̪ ɑː AB
असम	ə AF s ə AF m
असमंजस	ə AF s ə AF m ə AF n d ʒ ə AF s
असमय	ə AF s ə AF m ə AF j AA
असमर्थ	ə AF s ə AF m ə AF ɾ t̪ʰ
असमर्थता	ə AF s ə AF m ə AF ɾ t̪ʰ t̪ ɑː AB
असमान	ə AF s ə AF m ɑː AB n
असमानता	ə AF s ə AF m ɑː AB n t̪ ɑː AB
असमाप्त	ə AF s ə AF m ɑː AB p t̪
असमीकरण	ə AF s ə AF m iː AB k ə AF ɾ ə AF ɳ
असम्भव	ə AF s ə AF m bʱ ə AF ʋ AI
असर	ə AF s ə AF ɾ
असल	ə AF s ə AF l
असलियत	ə AF s l ɪ AF j AA ə AF t̪
असली	ə AF s l iː AB
असहमत	ə AF s ə AF ɦ AE m ə AF t̪
असहमति	ə AF s ə AF ɦ AE m ə AF t̪ iː AB
असहयोग	ə AF s ə AF ɦ AE j AA oː AC ɡ
असहाय	ə AF s ɦ AE ɑː AB j AA
असहिष्णु	ə AF s ə AF ɦ AE ɪ AF ʂ ɳ uː AC
असहिष्णुता	ə AF s ə AF ɦ AE ɪ AF ʂ ɳ ʊ AD t̪ ɑː AB
असाढ़	ə AF s ɑː AB ɽʱ
असाधारण	ə AF s ɑː AB d̪ʱ ɑː AB ɾ ə AF ɳ
असामयिक	ə AF s ɑː AB m ə AF j AA ɪ AF k
असामाजिक	ə AF s ɑː AB m ɑː AB d ʒ ɪ AF k
असार	ə AF s ɑː AB ɾ
असावधान	ə AF s ɑː AB ʋ AI d̪ʱ ɑː AB n
असावधानता	ə AF s ɑː AB ʋ AI d̪ʱ ɑː AB n t̪ ɑː AB
असिस्टेंट	ə AF s ɪ AF s ʈ eː AB ɳ ʈ
असीम	ə AF s iː AB m
असीस	ə AF s iː AB s
असुरक्षित	ə AF s ʊ AD ɾ ə AF k ʂ ɪ AF t̪
असुविधा	ə AF s ʊ AD ʋ AI ɪ AF d̪ʱ ɑː AB
असुविधाजनक	ə AF s ʊ AD ʋ AI ɪ AF d̪ʱ ɑː AB d ʒ ə AF n ə AF k
असेंबली	ə AF s eː AB m b l iː AB
असैनिक	ə AF s ɛː AB n ɪ AF k
अस्तबल	ə AF s t̪ ə AF b ə AF l
अस्तर	ə AF s t̪ ə AF ɾ
अस्तव्यस्त	ə AF s t̪ ʋ AI j AA ə AF s t̪
अस्थमा	ə AF s t̪ʰ ə AF m ɑː AB
अस्थायी	ə AF s t̪ʰ ɑː AB j AA iː AB
अस्थि	ə AF s t̪ʰ iː AB
अस्थिपंजर	ə AF s t̪ʰ ɪ AF p ə AF n d ʒ ə AF ɾ
अस्थिर	ə AF s t̪ʰ ɪ AF ɾ
अस्थिरता	ə AF s t̪ʰ ɪ AF ɾ t̪ ɑː AB
अस्पताल	ə AF s p ə AF t̪ ɑː AB l
अस्पताली	ə AF s p ə AF t̪ ɑː AB l iː AB
अस्पष्ट	ə AF s p ə AF ʂ ʈ
अस्पष्टता	ə AF s p ə AF ʂ ʈ ə AF t̪ ɑː AB
अस्पृश्यता	ə AF s p ɾ ɪ AF ʃ j AA ə AF t̪ ɑː AB
अस्मिता	ə AF s m ɪ AF t̪ ɑː AB
अस्वस्थ	ə AF s ʋ AI ə AF s t̪ʰ
अस्वस्थता	ə AF s ʋ AI ə AF s t̪ʰ ə AF t̪ ɑː AB
अस्वाभाविक	ə AF s ʋ AI ɑː AB bʱ ɑː AB ʋ AI ɪ AF k
अस्वीकार	ə AF s ʋ AI iː AB k ɑː AB ɾ
अस्वीकृत	ə AF s ʋ AI iː AB k ɾ ɪ AF t̪
अस्वीकृति	ə AF s ʋ AI iː AB k ɾ ɪ AF t̪ iː AB
अस्सी	ə AF s s iː AB
अहं	ə AF ɦ AE ə̃ AJ
अहंकार	ə AF ɦ AE ə AF ŋ k ɑː AB ɾ
अहबाब	ə AF ɦ AE b ɑː AB b
अहम	ə AF ɦ AE ə AF m
अहमदाबाद	ə AF ɦ AE m ə AF d̪ ɑː AB b ɑː AB d̪
अहमियत	ə AF ɦ AE m ɪ AF j AA ə AF t̪
अहवाल	ə AF ɦ AE ʋ AI ɑː AB l
अहसास	ə AF ɦ AE s ɑː AB s
अहाता	ə AF ɦ AE ɑː AB t̪ ɑː AB
अहिंदी	ə AF ɦ AE ɪ AF n d̪ iː AB
अहिंसक	ə AF ɦ AE ɪ AF n s ə AF k
अहिंसा	ə AF ɦ AE ɪ AF n s ɑː AB
अहिंसात्मक	ə AF ɦ AE ɪ AF n s ɑː AB t̪ m ə AF k
अहित	ə AF ɦ AE ɪ AF t̪
अहितकर	ə AF ɦ AE ɪ AF t̪ k ə AF ɾ
अहिनाह	ə AF ɦ AE ɪ AF n ɑː AB ɦ AE
अहिभृत्	ə AF ɦ AE ɪ AF bʱ ɾ ɪ AF t̪
अहिवात	ə AF ɦ AE ɪ AF ʋ AI ɑː AB t̪
अहिवाद	ə AF ɦ AE ɪ AF ʋ AI ɑː AB d̪
अहेरन	ə AF ɦ AE eː AB ɾ ə AF n
आ	ɑː AB
आँकड़ा	ɑ̃ː AH k ɽ ɑː AB
आँख	ɑ̃ː AH kʰ
आँगन	ɑ̃ː AH ɡ ə AF n
आँगनवाड़ी	ɑː AB ŋ ɡ ə AF n ʋ AI ɑː AB ɽ iː AB
आँच	ɑ̃ː AH t ʃ
आँचलिक	ɑ̃ː AH t ʃ l ɪ AF k
आँत	ɑ̃ː AH t̪
आँधी	ɑː AB n d̪ʱ iː AB
आँसू	ɑ̃ː AH s uː AC
आंगन	ɑ̃ː AH ɡ ə AF n
आंत	ɑː AB n t̪
आंतरिक	ɑː AB n t̪ ɾ ɪ AF k
आंदोलन	ɑː AB n d̪ oː AC l ə AF n
आंधी	ɑː AB n d̪ʱ iː AB
आंवला	ɑː AB m ʋ AI l ɑː AB
आंशिक	ɑː AB n ʃ ɪ AF k
आंसू	ɑː AB n s uː AC
आइंदा	ɑː AB ɪ AF n d̪ ɑː AB
आइंस्टीनियम	ɑː AB ɪ AF n s ʈ iː AB n ɪ AF j AA ə AF m
आइज़ोल	ɑː AB ɪ AF z oː AC l
आइसक्रीम	ɑː AB ɪ AF s k ɾ iː AB m
आइसलैंड	ɑː AB ɪ AF s l ɛː AB ɳ ɖ
आइस्ड	ɑː AB ɪ AF s ɖ
आई	ɑː AB iː AB
आईला	ɑː AB iː AB l ɑː AB
आउट	ɑː AB ʊ AD ʈ
आक	ɑː AB k
आकर्षक	ɑː AB k ə AF ɾ ʂ ə AF k
आकर्षण	ɑː AB k ə AF ɾ ʂ ə AF ɳ
आकर्षित	ɑː AB k ə AF ɾ ʂ ɪ AF t̪
आकर्षी	ɑː AB k ə AF ɾ ʂ iː AB
आकलन	ɑː AB k ə AF l ə AF n
आकस्मिक	ɑː AB k ə AF s m ɪ AF k
आक़ा	ɑː AB q ɑː AB
आकांक्षा	ɑː AB k ɑ̃ː AH k ʂ ɑː AB
आकांक्षी	ɑː AB k ɑ̃ː AH k ʂ iː AB
आकार	ɑː AB k ɑː AB ɾ
आकाश	ɑː AB k ɑː AB ʃ
आकाशगंगा	ɑː AB k ɑː AB ʃ ɡ ə AF ŋ ɡ ɑː AB
आकाशवाणी	ɑː AB k ɑː AB ʃ ʋ AI ɑː AB ɳ iː AB
आकाशी	ɑː AB k ɑː AB ʃ iː AB
आकृत	ɑː AB k ɾ ɪ AF t̪
आकृति	ɑː AB k ɾ ɪ AF t̪ iː AB
आकृष्ट	ɑː AB k ɾ ɪ AF ʂ ʈ
आक्रमण	ɑː AB k ɾ ə AF m ə AF ɳ
आक्रमणकारी	ɑː AB k ɾ ə AF m ə AF ɳ k ɑː AB ɾ iː AB
आक्रामक	ɑː AB k ɾ ɑː AB m ə AF k
आक्रामकता	ɑː AB k ɾ ɑː AB m ə AF k t̪ ɑː AB
आक्रोश	ɑː AB k ɾ oː AC ʃ
आक्षेप	ɑː AB k ʂ eː AB p
आखरी	ɑː AB x ɾ iː AB
आख़िर	ɑː AB x ɪ AF ɾ
आख़िरकार	ɑː AB x ɪ AF ɾ k ɑː AB ɾ
आख़िरत	ɑː AB x ɪ AF ɾ ə AF t̪
आख़िरी	ɑː AB x ɾ iː AB
आखातीज	ɑː AB kʰ ɑː AB t̪ iː AB d ʒ
आखिर	ɑː AB x ɪ AF ɾ
आखिरी	ɑː AB kʰ ɪ AF ɾ iː AB
आखेट	ɑː AB kʰ eː AB ʈ
आखेटक	ɑː AB kʰ eː AB ʈ ə AF k
आग	ɑː AB ɡ
आगंतुक	ɑː AB ɡ ə AF n t̪ ʊ AD k
आगजनी	ɑː AB ɡ d ʒ ə AF n iː AB
आगज़नी	ɑː AB ɡ z ə AF n iː AB
आगमन	ɑː AB ɡ ə AF m ə AF n
आगरा	ɑː AB ɡ ɾ ɑː AB
आग़ा	ɑː AB ɣ ɑː AB
आग़ाज़	ɑː AB ɣ ɑː AB z
आग़ोश	ɑː AB ɣ oː AC ʃ
आगा	ɑː AB ɡ ɑː AB
आगार	ɑː AB ɡ ɑː AB ɾ
आगाह	ɑː AB ɡ ɑː AB ɦ AE
