'n	ə AK n
abwehrspielerin	a AC p v ɛ AK ɐ̯ ʃ p iː AF l ə AK ʁ ɪ AK n
abweichen	a AC p v a AC ɪ̯ BB ç n̩
abweichend	a AC p v a AC ɪ̯ BB ç n̩ t
abweichler	a AC p v a AC ɪ̯ BB ç l ɐ BE
abweichlerin	a AC p v a AC ɪ̯ BB ç l ə AK ʁ ɪ AK n
abweichung	a AC p v a AC ɪ̯ BB ç ʊ AI ŋ
abweisen	a AC p v a AC ɪ̯ BB z ə AK n
abwenden	ʔ a AC p v ɛ AK n d ə AK n
abwendig	a AC p v ɛ AK n d ɪ AK ç
abwerben	a AC p v ɛ AK ʁ b ə AK n
abwerten	a AC p v eː AF ʁ t ə AK n
abwertend	a AC p v eː AF ɐ̯ t n̩ t
abwertung	a AC p v eː AF ɐ̯ t ʊ AI ŋ
abwesend	a AC p v eː AF z ə AK n t
abwickeln	ʔ a AC p v ɪ AK k ə AK l n
abwiegen	a AC p v iː AF ɡ ə AK n
abwracken	a AC p v ʁ a AC k ə AK n
abwurf	a AC p v ʊ AI ʁ f
abwägen	a AC p v ɛː AM ɡ ə AK n
abwärts	a AC p v ɛ AK ʁ t s
abwürgen	a AC p v ʏ AI r ɡ ə AK n
abzeichen	a AC p t s a AC ɪ̯ BB ç ə AK n
abzeichnen	ʔ a AC p t s a AC ɪ̯ BB ç n ə AK n
abziehen	ʔ a AC p t s iː AF ə AK n
abziehung	a AC p t s iː AF ʊ AI ŋ
abzielen	a AC p t s iː AF l ə AK n
abzocken	ʔ a AC p t s ɔ AI k ə AK n
abzug	a AC p t s uː AH k
abzweigung	a AC p t s v a AC ɪ AK ɡ ʊ AI ŋ
abzwingen	a AC p t s v ɪ AK ŋ ə AK n
abzählbar	a AC p t s ɛː AM l b aː AD ɐ̯
abzählreim	a AC p t s ɛː AM l ʁ a AC ɪ̯ BB m
abzäumen	a AC p t s ɔ AI ɪ̯ BB m ə AK n
abänderbar	a AC p ɛ AK n d ə AK ʁ b aː AD ʁ
abänderer	a AC p ɛ AK n d ɐ BE ʁ ɐ BE
abändern	a AC p ɛ AK n d ɐ BE n
abänderung	ʔ a AC p ʔ ɛ AK n d ə AK ʀ ʊ AI ŋ
abänderungen	ʔ a AC p ʔ ɛ AK n d ə AK ʀ ʊ AI ŋ ə AK n
abäschern	a AC p ʔ ɛ AK ʃ ɐ BE n
accessoire	a AC s ɛ AK s u̯ BF aː AD ʁ
acetaldehyd	a AC t s eː AF t ʔ a AC l d ə AK h AA ʏ AI t
acetylieren	a AC t s e AE t y AG l iː AF ʁ ə AK n
acetylsalicylsäure	a AC t s e AE t yː AH l z a AC l i AE t s yː AH l z ɔ AI ʏ̯ ʀ ə AK
ach	a AC x
achaier	a AC ç aː AD ɪ AK ɐ BE
achillessehne	a AC x ɪ AK l ɛ AK s z eː AF n ə AK
achlaut	a AC x l a AC ʊ̯ BC t
achsel	a AC k s ə AK l
achselhöhle	a AC k s ə AK l h AA øː AH l ə AK
achselklappe	a AC k s ə AK l k l a AC p ə AK
achselstück	a AC k s ə AK l ʃ t ʏ AI k
achselzucken	a AC k s l̩ t s ʊ AI k n̩
achsenmacht	a AC k s n̩ m a AC x t
acht	a AC x t
achtarmig	a AC x t ʔ a AC ʁ m ɪ AK ç
achtbar	a AC χ t b aː AD ɐ̯
achtbarkeit	a AC χ t b aː AD ɐ̯ k a AC ɪ̯ BB t
achteck	a AC x t ɛ AK k
achteckig	a AC χ t ɛ AK k ɪ AK ç
achteckpyramide	a AC x t ɛ AK k p y AG ʁ a AC m iː AF d ə AK
achteckpyramiden	a AC x t ɛ AK k p y AG ʁ a AC m iː AF d ə AK n
achtelnote	a AC x t l̩ n oː AH t ə AK
achten	a AC x t ə AK n
achtens	a AC x t n̩ s
achter	a AC x t ɐ BE
achterbahn	ʔ a AC x t ɐ BE b aː AD n
achterbahnen	ʔ a AC x t ɐ BE b aː AD n ə AK n
achterer	a AC x t ə AK ʁ ɐ BE
achtern	a AC x t ɐ BE n
achtfach	a AC x t f a AC x
achtflächner	a AC x t f l ɛ AK ç n ɐ BE
achtfüssig	a AC x t f yː AH s ɪ AK ç
achtgeben	a AC χ t ɡ eː AF b n̩
achtgeschossig	a AC x t ɡ ə AK ʃ ɔ AI s ɪ AK ç
achthundert	a AC x t h AA ʊ AI n d ɐ BE t
achthundertjährig	a AC x t h AA ʊ AI n d ɐ BE t j AB ɛː AM ʁ ɪ AK ç
achtjährig	a AC x t j AB ɛː AM ʁ ɪ AK ç
achtmal	a AC x t m aː AD l
achtminütig	a AC x t m i AE n yː AH t ɪ AK ç
achtprozentig	a AC x t p ʁ o AG t s ɛ AK n t ɪ AK ç
achtsam	a AC x t z aː AD m
achtsamkeit	a AC χ t z aː AD m k a AC ɪ̯ BB t
achtstündig	a AC x t ʃ t ʏ AI n d ɪ AK ç
achttägig	a AC x t t ɛː AM ɡ ɪ AK ç
achtundachtzig	a AC x t ʊ AI n t a AC x t s ɪ AK ç
achtundachtzigste	a AC x t ʊ AI n t a AC x t s ɪ AK ç s t ə AK
achtunddreissig	a AC x t ʊ AI n t d ʁ a AC ɪ̯ BB s ɪ AK ç
achtunddreissigste	a AC x t ʊ AI n t d ʁ a AC ɪ̯ BB s ɪ AK ç s t ə AK
achtundfünfzig	a AC x t ʊ AI n t f ʏ AI n f t s ɪ AK ç
achtundfünfzigste	a AC x t ʊ AI n t f ʏ AI n f t s ɪ AK ç s t ə AK
achtundneunzig	a AC x t ʊ AI n t n ɔ AI ɪ̯ BB n t s ɪ AK ç
achtundneunzigste	a AC x t ʊ AI n t n ɔ AI ɪ̯ BB n t s ɪ AK ç s t ə AK
achtundsechzig	a AC x t ʊ AI n t z ɛ AK ç t s ɪ AK ç
achtundsechzigste	a AC x t ʊ AI n t z ɛ AK ç t s ɪ AK ç s t ə AK
achtundsiebzig	a AC x t ʊ AI n t z iː AF p t s ɪ AK ç
achtundsiebzigste	a AC x t ʊ AI n t z iː AF p t s ɪ AK ç s t ə AK
achtundvierzig	a AC x t ʊ AI n t f ɪ AK ʁ t s ɪ AK ç
achtundvierzigeck	a AC x t ʊ AI n t f ɪ AK ʁ t s ɪ AK ç ɛ AK k
achtundvierzigecke	a AC x t ʊ AI n t f ɪ AK ɐ̯ t s ɪ AK ç ɛ AK k ə AK
achtundvierzigeckes	a AC x t ʊ AI n t f ɪ AK ɐ̯ t s ɪ AK ç ɛ AK k ə AK s
achtundvierzigeckig	a AC x t ʊ AI n t f ɪ AK ɐ̯ t s ɪ AK ç ɛ AK k ɪ AK ç
achtundvierzigecks	a AC x t ʊ AI n t f ɪ AK ɐ̯ t s ɪ AK ç ɛ AK k s
achtundvierzigfach	a AC x t ʊ AI n t f ɪ AK ʁ t s ɪ AK ç f a AC x
achtundvierzigjährig	a AC x t ʊ AI n t f ɪ AK ɐ̯ t s ɪ AK ç j AB ɛː AM ʁ ɪ AK ç
achtundvierzigköpfig	a AC x t ʊ AI n t f ɪ AK ɐ̯ t s ɪ AK ç k œ AI p f ɪ AK ç
achtundvierzigmal	a AC x t ʊ AI n t f ɪ AK ɐ̯ t s ɪ AK ç m aː AD l
achtundvierzigminütig	a AC x t ʊ AI n t f ɪ AK ɐ̯ t s ɪ AK ç m i AE n yː AH t ɪ AK ç
achtundvierzigmonatig	a AC x t ʊ AI n t f ɪ AK ɐ̯ t s ɪ AK ç m oː AH n a AC t ɪ AK ç
achtundvierzigste	a AC x t ʊ AI n t f ɪ AK ʁ t s ɪ AK ç s t ə AK
achtundvierzigstündig	a AC x t ʊ AI n t f ɪ AK ɐ̯ t s ɪ AK ç ʃ t ʏ AI n d ɪ AK ç
achtundvierzigtägig	a AC x t ʊ AI n t f ɪ AK ɐ̯ t s ɪ AK ç t ɛː AM ɡ ɪ AK ç
achtundvierzigwöchig	a AC x t ʊ AI n t f ɪ AK ɐ̯ t s ɪ AK ç v œ AI ç ɪ AK ç
achtundzwanzig	a AC x t ʊ AI n t t s v a AC n t s ɪ AK ç
achtundzwanzigste	a AC x t ʊ AI n t t s v a AC n t s ɪ AK ç s t ə AK
achtundzwanzigtägig	a AC x t ʊ AI n t t s v a AC n t s ɪ AK ç t ɛː AM ɡ ɪ AK ç
achtwertig	a AC x t v eː AF ɐ̯ t ɪ AK ç
achtwöchig	a AC x t v œ AI ç ɪ AK ç
achtzehn	a AC x t s eː AF n
achtzehneck	a AC x t s eː AF n ɛ AK k
achtzehnecke	a AC x t s eː AF n ɛ AK k ə AK
achtzehneckes	a AC x t s eː AF n ɛ AK k ə AK s
achtzehneckig	a AC x t s eː AF n ɛ AK k ɪ AK ç
achtzehnecks	a AC x t s eː AF n ɛ AK k s
achtzehnfach	a AC x t s eː AF n f a AC χ
achtzehnjährig	a AC x t s eː AF n j AB ɛː AM ʁ ɪ AK ç
achtzehnmal	a AC x t s eː AF n m aː AD l
achtzehnminütig	a AC x t s eː AF n m i AE n yː AH t ɪ AK ç
achtzehnte	a AC x t s eː AF n t ə AK
achtzehntel	a AC x t s eː AF n t ə AK l
achtzehnwöchig	a AC x t s eː AF n v œ AI ç ɪ AK ç
achtzig	ʔ a AC x t s ɪ AK ç
achtzigeck	a AC x t s ɪ AK ç ɛ AK k
achtzigprozentig	a AC x t s ɪ AK ç p ʁ o AG t s ɛ AK n t ɪ AK ç
achtzigste	a AC x t s ɪ AK ç s t ə AK
acidität	a AC t s i AE d i AE t ɛː AM t
acker	ʔ a AC k ɐ BE
ackermann	a AC k ɐ BE m a AC n
ackern	ʔ a AC k ɐ BE n
acryl	a AC k ʁ ʏ AI l
acrylfarbe	a AC k ʁ yː AH l f a AC ʁ b ə AK
acrylglas	a AC k ʁ yː AH l ɡ l aː AD s
action	ɛ AK k t ʃ ə AK n
actionfilm	ɛ AK k t ʃ n̩ f ɪ AK l m
addieren	a AC d iː AF r ə AK n
additiv	a AC d i AE t iː AF f
ade	a AC d eː AF
adele	a AC d eː AF l ə AK
adelig	aː AD d ə AK l ɪ AK ç
adeln	aː AD d ə AK l n
adelung	aː AD d ə AK l ʊ AI ŋ
adelungen	aː AD d ə AK l ʊ AI ŋ ə AK n
adenin	a AC d e AE n iː AF n
adenom	a AC d e AE n oː AH m
adenosintriphosphat	a AC d e AE n o AG z iː AF n t ʀ iː AF f ɔ AI s f aː AD t
ader	ʔ aː AD d ɐ BE
aderhaut	aː AD d ɐ BE h AA a AC u AG t
aderlass	aː AD d ɐ BE l a AC s
adern	ʔ aː AD d ɐ BE n
adhäsion	a AC t h AA ɛ AK z ɪ̯ BB oː AH n
adidas	aː AD d i AE d a AC s
adjektiv	a AC d j AB ɛ AK k t iː AF f
adlatus	a AC t l aː AD t ʊ AI s
adler	ʔ aː AD d l ɐ BE
adlerartig	aː AD d l ɐ BE ʔ a AC ʁ t ɪ AK ç
adlerfarn	aː AD d l ɐ BE f a AC ʁ n
adlernase	aː AD d l ɐ BE n aː AD z ə AK
adlers	ʔ aː AD d l ɐ BE s
adlig	aː AD d l ɪ AK ç
adliger	aː AD d l ɪ AK ɡ ɐ BE
administrativ	a AC t m i AE n ɪ AK s t ʀ a AC t iː AF f
adobe	a AC d oː AH b ə AK
adolf	aː AD d ɔ AI l f
adonai	a AC d o AG n aː AD i AE
adressat	a AC d ʀ ɛ AK s aː AD t
adressbuch	a AC d ʀ ɛ AK s b uː AH χ
adrett	a AC d ʁ ɛ AK t
adria	aː AD d ʁ i AE a AC
adrian	a AC d ʁ i AE aː AD n
adriane	a AC d ʁ i AE aː AD n ə AK
adrianen	a AC d ʁ i AE aː AD n ə AK n
adrians	a AC d ʁ i AE aː AD n s
advent	ʔ a AC t v ɛ AK n t
advente	ʔ a AC t v ɛ AK n t ə AK
adventen	ʔ a AC t v ɛ AK n t ə AK n
adventes	ʔ a AC t v ɛ AK n t ə AK s
advents	ʔ a AC t v ɛ AK n t s
adventskalender	ʔ a AC t v ɛ AK n t s k a AC l ɛ AK n d ɐ BE
adventskalendern	ʔ a AC t v ɛ AK n t s k a AC l ɛ AK n d ɐ BE n
adventskalenders	ʔ a AC t v ɛ AK n t s k a AC l ɛ AK n d ɐ BE s
adventskranz	ʔ a AC t v ɛ AK n t s k ʀ a AC n t s
adverb	a AC t v ɛ AK ʁ p
advokat	a AC t v o AG k aː AD t
adäquat	a AC d ɛ AK k v aː AD t
aerodynamik	a AC e AE ʁ o AG d y AG n aː AD m ɪ AK k
aerodynamisch	a AC e AE ʁ o AG d y AG n aː AD m ɪ AK ʃ
affenbrotbaum	a AC f n̩ b ʁ oː AH t b a AC ʊ̯ BC m
affinität	a AC f i AE n i AE t ɛː AM t
affirmativ	a AC f ɪ AK ʁ m a AC t iː AF f
affrikate	a AC f ʁ i AE k aː AD t ə AK
affäre	a AC f ɛː AM ʀ ə AK
afrika	aː AD f ʁ i AE k a AC
afrikaans	a AC f ʁ i AE k aː AD n s
afrikaner	ʔ a AC f ʁ i AE k aː AD n ɐ BE
after	aː AD f t ɐ BE
afterkind	a AC f t ɐ BE k ɪ AK n t
afterlehen	a AC f t ɐ BE l eː AF ə AK n
afterreden	a AC f t ɐ BE ʁ eː AF d n̩
aftershave	aː AD f t ɐ BE ʃ ɛ AK ɪ̯ BB f
afterwelt	a AC f t ɐ BE v ɛ AK l t
afterwissenschaft	a AC f t ɐ BE v ɪ AK s ə AK n ʃ a AC f t
agenda	a AC ɡ ɛ AK n d a AC
agens	aː AD ɡ ɛ AK n s
agentur	a AC ɡ ɛ AK n t uː AH ɐ̯
agglutinierend	a AC ɡ l u AG t i AE n iː AF ʀ ə AK n t
agglutinierende	a AC ɡ l u AG t i AE n iː AF ʀ ə AK n d ə AK
aggressiv	a AC ɡ ʁ ɛ AK s iː AF f
aggressivität	a AC ɡ ʁ ɛ AK s i AE v i AE t ɛː AM t
agieren	a AC ɡ iː AF ʀ ə AK n
agil	a AC ɡ iː AF l
agnes	aː AD k n ə AK s
agnostiker	a AC ɡ n ɔ AI s t i AE k ɐ BE
agnostikerin	a AC ɡ n ɔ AI s t i AE k ə AK ʀ ɪ AK n
agnostisch	a AC ɡ n ɔ AI s t ɪ AK ʃ
agon	a AC ɡ oː AH n
agoraphobie	a AC ɡ o AG ʁ a AC f o AG b iː AF
agraffe	a AC ɡ ʁ a AC f ə AK
agrammatismus	a AC ɡ ʁ a AC m a AC t ɪ AK s m ʊ AI s
aha	ʔ a AC h AA a AC
ahistorisch	a AC h AA ɪ AK s t oː AH ʁ ɪ AK ʃ
ahmed	a AC x m ɛ AK t
ahn	ʔ aː AD n
ahndung	aː AD n d ʊ AI ŋ
ahnen	ʔ aː AD n ə AK n
ahnherr	aː AD n h AA ɛ AK ʁ
ahnung	ʔ aː AD n ʊ AI ŋ
ahnungen	ʔ aː AD n ʊ AI ŋ ə AK n
ahnungslos	aː AD n ʊ AI ŋ s l oː AH s
ahorn	ʔ aː AD h AA ɔ AI ʁ n
ahornblättrig	aː AD h AA ɔ AI ʁ n b l ɛ AK t ʁ ɪ AK ç
aids	ɛ AK ɪ̯ BB t s
aikido	a AC ɪ AK k iː AF d ə AK ʊ AI
aische	a AC ɪ̯ BB ʃ ə AK
akademie	a AC k a AC d e AE m iː AF
akazie	a AC k aː AD t s i AE ə AK
akelei	a AC k ə AK l a AC ɪ̯ BB
akkordarbeit	a AC k ɔ AI ʁ t ʔ a AC ʁ b a AC ɪ̯ BB t
akkordeon	a AC k ɔ AI ʁ d e AE ɔ AI n
akkordeonspieler	a AC k ɔ AI ʁ d e AE ɔ AI n ʃ p iː AF l ɐ BE
akkordeonspielerin	a AC k ɔ AI ʁ d e AE ɔ AI n ʃ p iː AF l ɐ BE ʁ ɪ AK n
akku	a AC k u AG
akkumulieren	a AC k u AG m u AG l iː AF ʁ ə AK n
akkusativ	a AC k u AG z a AC t iː AF f
akolyth	a AC k o AG l yː AH t
akquirieren	a AC k v i AE ʁ iː AF ʁ ə AK n
akribie	a AC k ʀ i AE b iː AF
akribisch	a AC k ʁ iː AF b ɪ AK ʃ
akrobat	a AC k ʁ o AG b aː AD t
akt	a AC k t
akte	a AC k t ə AK
aktenkoffer	a AC k t ə AK n k ɔ AI f ə AK r
aktenschrank	a AC k t n̩ ʃ ʁ a AC ŋ k
aktentasche	a AC k t ə AK n t a AC ʃ ə AK
aktenzeichen	a AC k t n̩ t s a AC ɪ̯ BB ç n̩
akteur	a AC k t øː AH ɐ̯
aktivator	a AC k t i AE v aː AD t oː AH ɐ̯
aktivieren	a AC k t i AE v iː AF ʀ ə AK n
aktivist	a AC k t i AE v ɪ AK s t
aktivität	a AC k t i AE v i AE t ɛː AM t
aktualisieren	a AC k t u AG a AC l i AE z iː AF ʁ ə AK n
aktuell	a AC k t u̯ BF ɛ AK l
akut	a AC k uː AH t
akzeptieren	a AC k t s ɛ AK p t iː AF ʀ ə AK n
akzeptor	a AC k t s ɛ AK p t oː AH ɐ̯
alabaster	a AC l a AC b a AC s t ɐ BE
alane	a AC l aː AD n ə AK
alantbeere	a AC l a AC n t b eː AF ʁ ə AK
alarm	a AC l a AC ʁ m
alarmieren	a AC l a AC ʁ m iː AF ʁ ə AK n
alarmismus	a AC l a AC ʁ m ɪ AK s m ʊ AI s
alaska	a AC l a AC s k a AC
alaunhaltig	a AC l a AC ʊ̯ BC n h AA a AC l t ɪ AK ç
alb	a AC l p
albanesisch	ʔ a AC l b a AC n eː AF z ɪ AK ʃ
albe	a AC l b ə AK
albern	a AC l b ə AK r n
albino	a AC l b iː AF n o AG
albtraum	a AC l p t ʁ a AC ʊ̯ BC m
alchemie	a AC l ç e AE m iː AF
alchemist	a AC l ç e AE m ɪ AK s t
alchimie	a AC l ç i AE m iː AF
ale	eː AF l
alemanne	a AC l e AE m a AC n ə AK
aleppo	a AC l ɛ AK p o AG
alex	aː AD l ɛ AK k s
alexandria	a AC l ɛ AK k s a AC n d ʁ i AE a AC
alexandrien	a AC l ɛ AK k s a AC n d ʁ i AE ə AK n
alexithymie	a AC l ɛ AK k s i AE t y AG m iː AF
alexithymien	a AC l ɛ AK k s i AE t y AG m iː AF ə AK n
alfalfa	a AC l f a AC l f a AC
alfred	a AC l f ʁ eː AF t
alge	a AC l ɡ ə AK
algebra	a AC l ɡ e AE b ʁ aː AD
algebraisch	a AC l ɡ ə AK b ʁ aː AD ɪ AK ʃ
algerier	a AC l ɡ e AE r i AE ɛ AK r
algerisch	a AC l ɡ eː AF ʁ ɪ AK ʃ
algorithmen	ʔ a AC l ɡ o AG ʀ ɪ AK t m ə AK n
algorithmisch	a AC l ɡ o AG ʁ ɪ AK t m ɪ AK ʃ
ali	aː AD l i AE
alice	a AC l iː AF s ə AK
alimente	a AC l i AE m ɛ AK n t ə AK
alimentär	a AC l i AE m ɛ AK n t ɛː AM ɐ̯
alinea	a AC l i AE n e AE a AC
alk	a AC l k
alkohol	a AC l k o AG h AA oː AH l
alkoholfrei	a AC l k o AG h AA oː AH l f ʁ a AC ɪ̯ BB
alkoholhaltig	a AC l k o AG h AA oː AH l h AA a AC l t ɪ AK ç
alkoholkonsum	a AC l k o AG h AA o AG l k ɔ AI n z uː AH m
alkoholkrank	a AC l k o AG h AA oː AH l k ʁ a AC ŋ k
alkoholspiegel	a AC l k o AG h AA oː AH l ʃ p iː AF ɡ l̩
alkoholsucht	a AC l k o AG h AA oː AH l z ʊ AI x t
alkoholtest	a AC l k o AG h AA oː AH l t ɛ AK s t
alkoven	a AC l k oː AH v ə AK n
all	a AC l
allah	a AC l aː AD
allda	a AC l d aː AD
alldem	a AC l d eː AF m
alle	a AC l ə AK
allein	a AC l a AC ɪ AK n
alleinerziehend	a AC l a AC ɪ AK n ɛ AK ɐ̯ t s iː AF ə AK n t
alleinerziehende	a AC l a AC ɪ̯ BB n ʔ ɛ AK ɐ̯ t s iː AF ə AK n d ə AK
alleinerziehenden	a AC l a AC ɪ̯ BB n ʔ ɛ AK ɐ̯ t s iː AF ə AK n d ə AK n
alleinerziehender	a AC l a AC ɪ̯ BB n ʔ ɛ AK ɐ̯ t s iː AF ə AK n d ɐ BE
alleinlassen	a AC l a AC ɪ̯ BB n l a AC s n̩
alleinschuld	a AC l a AC ɪ̯ BB n ʃ ʊ AI l t
alleinstehende	a AC l a AC ɪ̯ BB n ʃ t eː AF ə AK n d ə AK
alleinstehender	a AC l a AC ɪ̯ BB n ʃ t eː AF ə AK n d ɐ BE
alleinstellungsmerkmal	a AC l a AC ɪ̯ BB n ʃ t ɛ AK l ʊ AI ŋ s m ɛ AK ʁ k m aː AD l
allem	a AC l ə AK m
allemal	a AC l ə AK m aː AD l
allen	a AC l ə AK n
allenfallsig	a AC l ə AK n f a AC l z ɪ AK ç
aller	a AC l ɐ BE
allerdings	ʔ a AC l ɐ BE d ɪ AK ŋ s
allerdurchlauchtig	a AC l ɐ BE d ʊ AI ɐ̯ x l a AC ʊ̯ BC x t ɪ AK k
allergiker	a AC l ɛ AK ʁ ɡ i AE k ɐ BE
allergisch	a AC l ɛ AK ʁ ɡ ɪ AK ʃ
allerheiligen	a AC l ɐ BE h AA a AC ɪ̯ BB l ɪ AK ɡ ə AK n
allerlei	a AC l ɐ BE l a AC ɪ̯ BB
allerleiweise	a AC l ɐ BE l a AC ɪ̯ BB v a AC ɪ̯ BB z ə AK
allerorten	a AC l ɐ BE ʔ ɔ AI ʁ t n̩
allerorts	a AC l ɐ BE ʔ ɔ AI ʁ t s
allerseelen	a AC l ɐ BE z eː AF l ə AK n
alles	a AC l ə AK s
allesamt	a AC l ə AK z a AC m t
allesfresser	a AC l ə AK s f ʀ ɛ AK s ɐ BE
allfällig	a AC l f ɛ AK l ɪ AK ç
allgegenwärtig	a AC l ɡ eː AF ɡ n̩ v ɛ AK ʁ t ɪ AK ç
allgegenwärtigkeit	a AC l ɡ eː AF ɡ n̩ v ɛ AK ʁ t ɪ AK ç k a AC ɪ̯ BB t
allgemein	a AC l ɡ ə AK m a AC ɪ̯ BB n
allheit	a AC l h AA a AC ɪ̯ BB t
allhier	a AC l h AA iː AF ɐ̯
alligator	a AC l i AE ɡ aː AD t oː AH ɐ̯
alliierter	a AC l i AE ʔ iː AF ɐ̯ t ɐ BE
alljährlich	a AC l j AB ɛː AM ɐ̯ l ɪ AK ç
allmonatlich	a AC l m oː AH n a AC t l ɪ AK ç
allmächtig	ʔ a AC l m ɛ AK ç t ɪ AK ç
allmächtiger	a AC l m ɛ AK ç t ɪ AK ɡ ɐ BE
allmählich	ʔ a AC l m ɛː AM l ɪ AK ç
allnächtlich	a AC l n ɛ AK ç t l ɪ AK ç
allopathie	a AC l o AG p a AC t iː AF
allophon	a AC l o AG f oː AH n
allotria	ʔ a AC l oː AH t ʀ i AE a AC
allseitig	a AC l z a AC ɪ̯ BB t ɪ AK ç
allseits	a AC l z a AC ɪ̯ BB t s
allstündlich	a AC l ʃ t ʏ AI n t l ɪ AK ç
alltag	a AC l t aː AD ɡ
alltäglich	a AC l t ɛː AM k l ɪ AK ç
allumfassend	a AC l ʔ ʊ AI m f a AC s n̩ t
allwo	a AC l v oː AH
allwöchentlich	a AC l v œ AI ç n̩ t l ɪ AK ç
allzumal	a AC l t s uː AH m aː AD l
almanach	a AC l m a AC n aː AD x
almosen	a AC l m oː AH z ə AK n
alpaka	a AC l p a AC k a AC
alpen	ʔ a AC l p ə AK n
alpenrhein	a AC l p n̩ ʁ a AC ɪ̯ BB n
alpenstrandläufer	ʔ a AC l p ə AK n ʃ t r a AC n t l ɔ AI ɪ̯ BB f ɐ BE
alpenveilchen	ʔ a AC l p ə AK n f a AC ɪ̯ BB l ç ə AK n
alphabet	a AC l f a AC b eː AF t
alphabetisch	a AC l f a AC b eː AF t ɪ AK ʃ
alphorn	a AC l p h AA ɔ AI ʁ n
alptraum	a AC l p t ʁ a AC ʊ̯ BC m
alptraumes	ʔ a AC l p t ʀ a AC ʊ̯ BC m ə AK s
alptraums	ʔ a AC l p t ʀ a AC ʊ̯ BC m s
alpträume	ʔ a AC l p t ʀ ɔ AI ɪ̯ BB m ə AK
als	a AC l s
alsbald	a AC l s b a AC l t
also	ʔ a AC l z oː AH
alsterwasser	a AC l s t ɐ BE v a AC s ɐ BE
alt	ʔ a AC l t
altar	a AC l t aː AD ɐ̯
altarbild	a AC l t aː AD b ɪ AK l t
altarretabel	a AC l t aː AD ɐ̯ ʁ e AE t aː AD b l̩
altarweihe	a AC l t aː AD ɐ̯ v a AC ɪ̯ BB ə AK
altbacken	a AC l t b a AC k ə AK n
altbewährt	a AC l t b ə AK v ɛː AM ɐ̯ t
altblau	a AC l t b l a AC ʊ̯ BC
altbraun	a AC l t b ʀ a AC ʊ̯ BC n
altdeutsch	a AC l t d ɔ AI ɪ̯ BB t ʃ
alte	a AC l t ə AK
alten	ʔ a AC l t ə AK n
altenheim	a AC l t ə AK n h AA a AC ɪ̯ BB m
alter	ʔ a AC l t ɐ BE
alterität	a AC l t ə AK ʁ i AE t ɛː AM t
altern	ʔ a AC l t ɐ BE n
alternativhypothese	a AC l t ɐ BE n a AC t iː AF f h AA y AG p o AG t eː AF z ə AK
alternativlos	a AC l t ɐ BE n a AC t iː AF f l oː AH s
altersaufbau	a AC l t ɐ BE s a AC ʊ̯ BC f b a AC ʊ̯ BC
altersaufbaues	a AC l t ɐ BE s a AC ʊ̯ BC f b a AC ʊ̯ BC ə AK s
altersaufbaus	a AC l t ɐ BE s a AC ʊ̯ BC f b a AC ʊ̯ BC s
altersaufbauten	a AC l t ɐ BE s a AC ʊ̯ BC f b a AC ʊ̯ BC t ə AK n
altersgruppe	a AC l t ɐ BE s ɡ ʀ ʊ AI p ə AK
altersgruppen	a AC l t ɐ BE s ɡ ʀ ʊ AI p n̩
altersheim	a AC l t ɐ BE s h AA a AC ɪ̯ BB m
altersheime	ʔ a AC l t ɐ BE s h AA a AC ɪ̯ BB m ə AK
altersheimes	ʔ a AC l t ɐ BE s h AA a AC ɪ̯ BB m ə AK s
altersheims	ʔ a AC l t ɐ BE s h AA a AC ɪ̯ BB m s
alterspyramide	a AC l t ɐ BE s p y AG ʁ a AC m iː AF d ə AK
alterspyramiden	a AC l t ɐ BE s p y AG ʁ a AC m iː AF d ə AK n
altertumswissenschaft	a AC l t ɐ BE t uː AH m s v ɪ AK s n̩ ʃ a AC f t
altertümlich	a AC l t ɐ BE t yː AH m l ɪ AK ç
altes	ʔ a AC l t ə AK s
altglas	a AC l t ɡ l aː AD s
altgriechisch	a AC l t ɡ ʁ iː AF ç ɪ AK ʃ
althergebracht	a AC l t h AA eː AF ɐ̯ ɡ ə AK b ʁ a AC x t
altkirchenslawisch	a AC l t k ɪ AK ʁ ç n̩ s l aː AD v ɪ AK ʃ
altkunststoff	a AC l t k ʊ AI n s t ʃ t ɔ AI f
altmodisch	a AC l t m oː AH d ɪ AK ʃ
altniederländisch	a AC l t n iː AF d ɐ BE l ɛ AK n d ɪ AK ʃ
altpapier	a AC l t p a AC p iː AF ɐ̯
altrosa	a AC l t ʁ oː AH z a AC
altrot	a AC l t ʀ oː AH t
altsprachlich	a AC l t ʃ p r aː AD x l ɪ AK ç
altstimme	a AC l t ʃ t ɪ AK m ə AK
altstoff	a AC l t ʃ t ɔ AI f
altvorderer	a AC l t f ɔ AI ʁ d ə AK ʁ ɐ BE
altweibersommer	a AC l t v a AC ɪ̯ BB b ɐ BE z ɔ AI m ɐ BE
altweiss	a AC l t v a AC ɪ AK s
alublech	a AC l u AG b l ɛ AK ç
aluminieren	a AC l u AG m i AE n iː AF ʁ ə AK n
alzheimer	a AC l t s h AA a AC ɪ̯ BB m ə AK r
am	a AC m
amarant	a AC m a AC ʁ a AC n t
amateurfunk	a AC m a AC t øː AH ɐ̯ f ʊ AI ŋ k
ambig	a AC m b iː AF k
ambiguität	a AC m b i AE ɡ u AG i AE t ɛː AM t
