あ	a̠ AI
あてはめる	a̠ AI t e̞ AC h AA a̠ AI m e̞ AC ɾ ɯ̟ᵝ
あてる	a̠ AI t e̞ AC ɾ ɯ̟ᵝ
あと	a̠ AI t o̞ AF
あとあじ	a̠ AI t o̞ AF a̠ AI ʑ i AC
あとかぶ	a̠ AI t o̞ AF k a̠ AI b ɯ̟ᵝ
あとがき	a̠ AI t o̞ AF ɡ a̠ AI kʲ i AC
あとさき	a̠ AI t o̞ AF s a̠ AI kʲ i AC
あとじたぼいん	k o̞ː AE z e̞ AC t s ɨᵝ b o̞ AF ĩ ɴ
あとつぎ	a̠ AI t o̞ AF t s ɨᵝ ɡʲ i AC
あとにする	a̠ AI t o̞ AF ɲ̟ i AC s ɨᵝ ɾ ɯ̟ᵝ
あとのまつり	a̠ AI t o̞ AF n o̞ AF m a̠ AI t s ɨᵝ ɾʲ i AC
あとまわし	a̠ AI t o̞ AF m a̠ AI ɰᵝ a̠ AI ɕ i AC
あとり	a̠ AI t o̞ AF ɾʲ i AC
あどけない	a̠ AI d o̞ AF k e̞ AC n a̠ AI i AC
あな	a̠ AI n a̠ AI
あなうさぎ	a̠ AI n a̠ AI ɯ̟ᵝ s a̠ AI ɡʲ i AC
あながあったらはいりたい	a̠ AI n a̠ AI ɡ a̠ AI a̠ AI t̚ t a̠ AI ɾ a̠ AI h AA a̠ AI i AC ɾʲ i AC t a̠ AI i AC
あなぐま	a̠ AI n a̠ AI ɡ ɯ̟ᵝ m a̠ AI
あなご	a̠ AI n a̠ AI ɡ o̞ AF
あなた	a̠ AI n a̠ AI t a̠ AI
あなたがた	a̠ AI n a̠ AI t a̠ AI ɡ a̠ AI t a̠ AI
あなたたち	a̠ AI n a̠ AI t a̠ AI t a̠ AI t ɕ i AC
あなどり	a̠ AI n a̠ AI d o̞ AF ɾʲ i AC
あなどる	a̠ AI n a̠ AI d o̞ AF ɾ ɯ̟ᵝ
あなば	a̠ AI n a̠ AI b a̠ AI
あなん	a̠ AI n ã̠ ɴ
あに	a̠ AI ɲ̟ i AC
あにうえ	a̠ AI ɲ̟ i AC ɯ̟ᵝ e̞ AC
あにき	a̠ AI ɲ̟ i AC kʲ i AC
あにぶん	a̠ AI ɲ̟ i AC b ɯ̟̃ᵝ ɴ
あね	a̠ AI n e̞ AC
あねうえ	a̠ AI n e̞ AC ɯ̟ᵝ e̞ AC
あねき	a̠ AI n e̞ AC kʲ i AC
あねったい	a̠ AI n e̞ AC t̚ t a̠ AI i AC
あねはづる	a̠ AI n e̞ AC h AA a̠ AI z ɨᵝ ɾ ɯ̟ᵝ
あねぶん	a̠ AI n e̞ AC b ɯ̟̃ᵝ ɴ
あの	a̠ AI n o̞ AF
あのう	a̠ AI n o̞ː AE
あのかた	a̠ AI n o̞ AF k a̠ AI t a̠ AI
あのかたがた	a̠ AI n o̞ AF k a̠ AI t a̠ AI ɡ a̠ AI t a̠ AI
あのくたらさんみゃくさんぼだい	a̠ AI n o̞ AF k ɯ̟ᵝ t a̠ AI ɾ a̠ AI s ã̠ mʲː a̠ AI k ɯ̟ᵝ s ã̠ m b o̞ AF d a̠ AI i AC
あのね	a̠ AI n o̞ AF n e̞ AC
あのひと	a̠ AI n o̞ AF ç i̥ AC t o̞ AF
あのひとたち	a̠ AI n o̞ AF ç i̥ AC t o̞ AF t a̠ AI t ɕ i AC
あのよ	a̠ AI n o̞ AF j AB o̞ AF
あば	a̠ AI b a̠ AI
あばく	a̠ AI b a̠ AI k ɯ̟ᵝ
あばずれ	a̠ AI b a̠ AI z ɨᵝ ɾ e̞ AC
あばよ	a̠ AI b a̠ AI j AB o̞ AF
あばら	a̠ AI b a̠ AI ɾ a̠ AI
あばらぼね	a̠ AI b a̠ AI ɾ a̠ AI b o̞ AF n e̞ AC
あばれる	a̠ AI b a̠ AI ɾ e̞ AC ɾ ɯ̟ᵝ
あひさん	a̠ AI ç i AC s ã̠ ɴ
あひる	a̠ AI ç i AC ɾ ɯ̟ᵝ
あひるすわり	a̠ AI ç i AC ɾ ɯ̟ᵝ s ɨᵝ ɰᵝ a̠ AI ɾʲ i AC
あび	a̠ AI bʲ i AC
あびきょうかん	a̠ AI bʲ i AC kʲ o̞ː AE k ã̠ ɴ
あびこ	a̠ AI bʲ i AC k o̞ AF
あびる	a̠ AI bʲ i AC ɾ ɯ̟ᵝ
あふれかえる	a̠ AI ɸ ɯ̟ᵝ ɾ e̞ AC k a̠ AI e̞ AC ɾ ɯ̟ᵝ
あふれでる	a̠ AI ɸ ɯ̟ᵝ ɾ e̞ AC d e̞ AC ɾ ɯ̟ᵝ
あふれる	a̠ AI ɸ ɯ̟ᵝ ɾ e̞ AC ɾ ɯ̟ᵝ
あぶ	a̠ AI b ɯ̟ᵝ
あぶない	a̠ AI b ɯ̟ᵝ n a̠ AI i AC
あぶなっかしい	a̠ AI b ɯ̟ᵝ n a̠ AI k̚ k a̠ AI ɕ iː AD
あぶら	a̠ AI b ɯ̟ᵝ ɾ a̠ AI
あぶらつのざめ	a̠ AI b ɯ̟ᵝ ɾ a̠ AI t s ɨᵝ n o̞ AF z a̠ AI m e̞ AC
あぶらとりがみ	a̠ AI b ɯ̟ᵝ ɾ a̠ AI t o̞ AF ɾʲ i AC ɡ a̠ AI mʲ i AC
あぶらよたか	a̠ AI b ɯ̟ᵝ ɾ a̠ AI j AB o̞ AF t a̠ AI k a̠ AI
あぶる	a̠ AI b ɯ̟ᵝ ɾ ɯ̟ᵝ
あへがお	a̠ AI h AA e̞ AC ɡ a̠ AI o̞ AF
あへん	a̠ AI h AA ẽ̞ ɴ
あほう	a̠ AI h AA o̞ː AE
あほうどり	a̠ AI h AA o̞ː AE d o̞ AF ɾʲ i AC
あほくさい	a̠ AI h AA o̞ AF k ɯ̟ᵝ s a̠ AI i AC
あま	a̠ AI m a̠ AI
あまい	a̠ AI m a̠ AI i AC
あまいろ	a̠ AI m a̠ AI i AC ɾ o̞ AF
あまえる	a̠ AI m a̠ AI e̞ AC ɾ ɯ̟ᵝ
あまえんぼう	a̠ AI m a̠ AI ẽ̞ m b o̞ː AE
あまおと	a̠ AI m a̠ AI o̞ AF t o̞ AF
あまからい	a̠ AI m a̠ AI k a̠ AI ɾ a̠ AI i AC
あまがえる	a̠ AI m a̠ AI ɡ a̠ AI e̞ AC ɾ ɯ̟ᵝ
あまがつ	a̠ AI m a̠ AI ɡ a̠ AI t s ɨᵝ
あまがみ	a̠ AI m a̠ AI ɡ a̠ AI mʲ i AC
あまぎ	a̠ AI m a̠ AI ɡʲ i AC
あまくさ	a̠ AI m a̠ AI k ɯ̟ᵝ s a̠ AI
あまくだり	a̠ AI m a̠ AI k ɯ̟ᵝ d a̠ AI ɾʲ i AC
あまぐつ	a̠ AI m a̠ AI ɡ ɯ̟ᵝ t s ɨᵝ
あまぐも	a̠ AI m a̠ AI ɡ ɯ̟ᵝ m o̞ AF
あます	a̠ AI m a̠ AI s ɨᵝ
あまた	a̠ AI m a̠ AI t a̠ AI
あまだれ	a̠ AI m a̠ AI d a̠ AI ɾ e̞ AC
あまっちょろい	a̠ AI m a̠ AI t̚ t ɕ o̞ AF ɾ o̞ AF i AC
あまつばめ	a̠ AI m a̠ AI t s ɨᵝ b a̠ AI m e̞ AC
あまつまら	a̠ AI m a̠ AI t s ɨᵝ m a̠ AI ɾ a̠ AI
あまてらす	a̠ AI m a̠ AI t e̞ AC ɾ a̠ AI s ɨᵝ
あまでら	a̠ AI m a̠ AI d e̞ AC ɾ a̠ AI
あまとう	a̠ AI m a̠ AI t o̞ː AE
あまねく	a̠ AI m a̠ AI n e̞ AC k ɯ̟ᵝ
あまねし	a̠ AI m a̠ AI n e̞ AC ɕ i AC
あまのがわ	a̠ AI m a̠ AI n o̞ AF ɡ a̠ AI ɰᵝ a̠ AI
あまのじゃく	a̠ AI m a̠ AI n o̞ AF ʑ a̠ AI k ɯ̟ᵝ
あまのむらくものつるぎ	a̠ AI m a̠ AI n o̞ AF m ɯ̟ᵝ ɾ a̠ AI k ɯ̟ᵝ m o̞ AF n o̞ AF t s ɨᵝ ɾ ɯ̟ᵝ ɡʲ i AC
あまみ	a̠ AI m a̠ AI mʲ i AC
あまみず	a̠ AI m a̠ AI mʲ i AC z ɨᵝ
あまみなみ	a̠ AI m a̠ AI mʲ i AC n a̠ AI mʲ i AC
あまみや	a̠ AI m a̠ AI mʲ i AC j AB a̠ AI
あまやかす	a̠ AI m a̠ AI j AB a̠ AI k a̠ AI s ɨᵝ
あまり	a̠ AI m a̠ AI ɾʲ i AC
あまる	a̠ AI m a̠ AI ɾ ɯ̟ᵝ
あみ	a̠ AI mʲ i AC
あみぐるみ	a̠ AI mʲ i AC ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ mʲ i AC
あみだくじ	a̠ AI mʲ i AC d a̠ AI k ɯ̟ᵝ ʑ i AC
あみだな	a̠ AI mʲ i AC d a̠ AI n a̠ AI
あみだぶつ	a̠ AI mʲ i AC d a̠ AI b ɯ̟ᵝ t s ɨᵝ
あみてん	a̠ AI mʲ i AC t ẽ̞ ɴ
あみの	a̠ AI mʲ i AC n o̞ AF
あみめにしきへび	a̠ AI mʲ i AC m e̞ AC ɲ̟ i AC ɕ i AC kʲ i AC h AA e̞ AC bʲ i AC
あみもの	a̠ AI mʲ i AC m o̞ AF n o̞ AF
あむ	a̠ AI m ɯ̟ᵝ
あめ	a̠ AI m e̞ AC
あめあがり	a̠ AI m e̞ AC a̠ AI ɡ a̠ AI ɾʲ i AC
あめがした	a̠ AI m e̞ AC ŋ a̠ AI ɕ i̥ AC t a̠ AI
あめだま	a̠ AI m e̞ AC d a̠ AI m a̠ AI
あめのした	a̠ AI m e̞ AC n o̞ AF ɕ i̥ AC t a̠ AI
あめふり	a̠ AI m e̞ AC ɸ ɯ̟ᵝ ɾʲ i AC
あめもよう	a̠ AI m e̞ AC m o̞ AF j AB o̞ː AE
あめんぼ	s ɨᵝ i AC b a̠ AI
あめんぼう	a̠ AI m ẽ̞ m b o̞ː AE
あもく	a̠ AI m o̞ AF k ɯ̟ᵝ
あやうい	a̠ AI j AB a̠ AI ɯ̟ᵝ i AC
あやか	a̠ AI j AB a̠ AI k a̠ AI
あやかる	a̠ AI j AB a̠ AI k a̠ AI ɾ ɯ̟ᵝ
あやしい	a̠ AI j AB a̠ AI ɕ iː AD
あやつる	a̠ AI j AB a̠ AI t s ɨᵝ ɾ ɯ̟ᵝ
あやとり	a̠ AI j AB a̠ AI t o̞ AF ɾʲ i AC
あやぶむ	a̠ AI j AB a̠ AI b ɯ̟ᵝ m ɯ̟ᵝ
あやまち	a̠ AI j AB a̠ AI m a̠ AI t ɕ i AC
あやまつ	a̠ AI j AB a̠ AI m a̠ AI t s ɨᵝ
あやまる	a̠ AI j AB a̠ AI m a̠ AI ɾ ɯ̟ᵝ
あやめ	a̠ AI j AB a̠ AI m e̞ AC
あやめる	a̠ AI j AB a̠ AI m e̞ AC ɾ ɯ̟ᵝ
あゆ	a̠ AI j AB ɯ̟ᵝ
あゆこ	a̠ AI j AB ɯ̟ᵝ k o̞ AF
あゆみ	a̠ AI j AB ɯ̟ᵝ mʲ i AC
あゆむ	a̠ AI j AB ɯ̟ᵝ m ɯ̟ᵝ
あら	a̠ AI ɾ a̠ AI
あらあら	a̠ AI ɾ a̠ː AJ ɾ a̠ AI
あらあらしい	a̠ AI ɾ a̠ AI a̠ AI ɾ a̠ AI ɕ i AC i AC
あらい	a̠ AI ɾ a̠ AI i AC
あらいぐま	a̠ AI ɾ a̠ AI i AC ɡ ɯ̟ᵝ m a̠ AI
あらう	a̠ AI ɾ a̠ AI ɯ̟ᵝ
あらかた	a̠ AI ɾ a̠ AI k a̠ AI t a̠ AI
あらかん	a̠ AI ɾ a̠ AI k ã̠ ɴ
あらがう	a̠ AI ɾ a̠ AI ɡ a̠ AI ɯ̟ᵝ
あらけずり	a̠ AI ɾ a̠ AI k e̞ AC z ɨᵝ ɾʲ i AC
あらさき	a̠ AI ɾ a̠ AI s a̠ AI kʲ i AC
あらし	a̠ AI ɾ a̠ AI ɕ i AC
あらす	a̠ AI ɾ a̠ AI s ɨᵝ
あらすじ	a̠ AI ɾ a̠ AI s ɨᵝ ʑ i AC
あらそい	a̠ AI ɾ a̠ AI s o̞ AF i AC
あらそう	a̠ AI ɾ a̠ AI s o̞ AF ɯ̟ᵝ
あらた	a̠ AI ɾ a̠ AI t a̠ AI
あらたまる	a̠ AI ɾ a̠ AI t a̠ AI m a̠ AI ɾ ɯ̟ᵝ
あらためて	a̠ AI ɾ a̠ AI t a̠ AI m e̞ AC t e̞ AC
あらためる	a̠ AI ɾ a̠ AI t a̠ AI m e̞ AC ɾ ɯ̟ᵝ
あらっぽい	a̠ AI ɾ a̠ AI p̚ p o̞ AF i AC
あらて	a̠ AI ɾ a̠ AI t e̞ AC
あらぬ	a̠ AI ɾ a̠ AI n ɯ̟ᵝ
あらねつ	a̠ AI ɾ a̠ AI n e̞ AC t s ɨᵝ
あらぶる	a̠ AI ɾ a̠ AI b ɯ̟ᵝ ɾ ɯ̟ᵝ
あらまあ	a̠ AI ɾ a̠ AI m a̠ː AJ
あらみたま	a̠ AI ɾ a̠ AI mʲ i AC t a̠ AI m a̠ AI
あらめ	a̠ AI ɾ a̠ AI m e̞ AC
あらやしき	a̠ AI ɾ a̠ AI j AB a̠ AI ɕ i AC kʲ i AC
あらゆる	a̠ AI ɾ a̠ AI j AB ɯ̟ᵝ ɾ ɯ̟ᵝ
あらら	a̠ AI ɾ a̠ AI ɾ a̠ AI
あられ	a̠ AI ɾ a̠ AI ɾ e̞ AC
あられいし	a̠ AI ɾ a̠ AI ɾ e̞ AC i AC ɕ i AC
あられもない	a̠ AI ɾ a̠ AI ɾ e̞ AC m o̞ AF n a̠ AI i AC
あらわす	a̠ AI ɾ a̠ AI ɰᵝ a̠ AI s ɨᵝ
あらわれる	a̠ AI ɾ a̠ AI ɰᵝ a̠ AI ɾ e̞ AC ɾ ɯ̟ᵝ
ありあけ	a̠ AI ɾʲ i AC a̠ AI k e̞ AC
ありうる	a̠ AI ɾʲ i AC ɯ̟ᵝ ɾ ɯ̟ᵝ
ありがたい	a̠ AI ɾʲ i AC ɡ a̠ AI t a̠ AI i AC
ありがと	a̠ AI ɾʲ i AC ɡ a̠ AI t o̞ AF
ありがとう	a̠ AI ɾʲ i AC ɡ a̠ AI t o̞ː AE
ありきたり	a̠ AI ɾʲ i AC kʲ i AC t a̠ AI ɾʲ i AC
ありくい	a̠ AI ɾʲ i AC k ɯ̟ᵝ i AC
ありじごく	a̠ AI ɾʲ i AC ʑ i AC ɡ o̞ AF k ɯ̟ᵝ
ありすがわ	a̠ AI ɾʲ i AC s ɨᵝ ɡ a̠ AI ɰᵝ a̠ AI
ありのこ	a̠ AI ɾʲ i AC n o̞ AF k o̞ AF
ありふれる	a̠ AI ɾʲ i AC ɸ ɯ̟ᵝ ɾ e̞ AC ɾ ɯ̟ᵝ
ありやす	a̠ AI ɾʲ i AC j AB a̠ AI s ɨᵝ
ありゅうさん	a̠ AI ɾʲ ɨᵝː s ã̠ ɴ
ありんさん	a̠ AI ɾʲ ĩ ɰ̃ AK s ã̠ ɴ
ある	a̠ AI ɾ ɯ̟ᵝ
あるある	a̠ AI ɾ ɯ̟ᵝ a̠ AI ɾ ɯ̟ᵝ
あるいは	a̠ AI ɾ ɯ̟ᵝ i AC ɰᵝ a̠ AI
あるきまわる	a̠ AI ɾ ɯ̟ᵝ kʲ i AC m a̠ AI ɰᵝ a̠ AI ɾ ɯ̟ᵝ
あるきみこ	a̠ AI ɾ ɯ̟ᵝ kʲ i AC mʲ i AC k o̞ AF
あるく	a̠ AI ɾ ɯ̟ᵝ k ɯ̟ᵝ
あるじ	a̠ AI ɾ ɯ̟ᵝ ʑ i AC
あれ	a̠ AI ɾ e̞ AC
あれい	a̠ AI ɾ e̞ː AD
あれこれ	a̠ AI ɾ e̞ AC k o̞ AF ɾ e̞ AC
あれはだ	a̠ AI ɾ e̞ AC h AA a̠ AI d a̠ AI
あれはてる	a̠ AI ɾ e̞ AC h AA a̠ AI t e̞ AC ɾ ɯ̟ᵝ
あれら	a̠ AI ɾ e̞ AC ɾ a̠ AI
あれる	a̠ AI ɾ e̞ AC ɾ ɯ̟ᵝ
あろうことか	a̠ AI ɾ o̞ː AE k o̞ AF t o̞ AF k a̠ AI
あわ	a̠ AI ɰᵝ a̠ AI
あわうみ	a̠ AI ɰᵝ a̠ AI ɯ̟ᵝ mʲ i AC
あわす	a̠ AI ɰᵝ a̠ AI s ɨᵝ
あわせ	a̠ AI ɰᵝ a̠ AI s e̞ AC
あわせる	a̠ AI ɰᵝ a̠ AI s e̞ AC ɾ ɯ̟ᵝ
あわただしい	a̠ AI ɰᵝ a̠ AI t a̠ AI d a̠ AI ɕ i AC i AC
あわだてき	a̠ AI ɰᵝ a̠ AI d a̠ AI t e̞ AC kʲ i AC
あわてる	a̠ AI ɰᵝ a̠ AI t e̞ AC ɾ ɯ̟ᵝ
あわもり	a̠ AI ɰᵝ a̠ AI m o̞ AF ɾʲ i AC
あわや	a̠ AI ɰᵝ a̠ AI j AB a̠ AI
あわよくば	a̠ AI ɰᵝ a̠ AI j AB o̞ AF k ɯ̟ᵝ b a̠ AI
あわれ	a̠ AI ɰᵝ a̠ AI ɾ e̞ AC
あわれみ	a̠ AI ɰᵝ a̠ AI ɾ e̞ AC mʲ i AC
あわれむ	a̠ AI ɰᵝ a̠ AI ɾ e̞ AC m ɯ̟ᵝ
あん	ã̠ ɴ
あんうつ	ã̠ ɰ̃ AK ɯ̟ᵝ t s ɨᵝ
あんえい	a̠ AI ɴ e̞ː AD
あんき	ã̠ ŋʲ kʲ i AC
あんきも	ã̠ ŋʲ kʲ i AC m o̞ AF
あんこ	ã̠ ŋ k o̞ AF
あんこう	ã̠ ŋ k o̞ː AE
あんこく	ã̠ ŋ k o̞ AF k ɯ̟ᵝ
あんこくたいりく	ã̠ ŋ k o̞ AF k ɯ̟ᵝ t a̠ AI i AC ɾʲ i AC k ɯ̟ᵝ
あんこくぶっしつ	ã̠ ŋ k o̞ AF k ɯ̟ᵝ b ɯ̟ᵝ ɕː i̥ AC t s ɨᵝ
あんごう	ã̠ ŋ ɡ o̞ː AE
あんごうつうか	ã̠ ŋ ɡ o̞ː AE t s ɨᵝː k a̠ AI
あんさつ	ã̠ ɰ̃ AK s a̠ AI t s ɨᵝ
あんざん	ã̠ n d z ã̠ ɴ
あんざんし	ã̠ n d z ã̠ ɰ̃ AK ɕ i AC
あんしじゅつ	ã̠ ɰ̃ AK ɕ i AC ʑ ɨᵝ t s ɨᵝ
あんしつ	ã̠ ɰ̃ AK ɕ i̥ AC t s ɨᵝ
あんしょ	ã̠ ɰ̃ AK ɕ o̞ AF
あんしょう	ã̠ ɰ̃ AK ɕ o̞ː AE
あんしん	ã̠ ɰ̃ AK ɕ ĩ ɴ
あんしんりつめい	ã̠ ɰ̃ AK ɕ ĩ n ɾʲ i AC t s ɨᵝ m e̞ː AD
あんじる	ã̠ ɲ̟ d ʑ i AC ɾ ɯ̟ᵝ
あんず	ã̠ n d z ɨᵝ
あんせい	ã̠ ɰ̃ AK s e̞ː AD
あんぜん	ã̠ n d z ẽ̞ ɴ
あんぜんかみそり	ã̠ n d z ẽ̞ ŋ k a̠ AI mʲ i AC s o̞ AF ɾʲ i AC
あんぜんこうきてい	ã̠ n d z ẽ̞ ŋ k o̞ː AE kʲ i AC t e̞ː AD
あんぜんだいいち	ã̠ n d z ẽ̞ n d a̠ AI i AC i AC t ɕ i AC
あんそくじつ	ã̠ ɰ̃ AK s o̞ AF k ɯ̟ᵝ ɲ̟ i AC t ɕ i AC
あんた	ã̠ n t a̠ AI
あんたい	ã̠ n t a̠ AI i AC
あんちょく	ã̠ ɲ̟ t ɕ o̞ AF k ɯ̟ᵝ
あんていざい	ã̠ n t e̞ː AD z a̠ AI i AC
あんてん	ã̠ n t ẽ̞ ɴ
あんどん	ã̠ n d õ̞ ɴ
あんな	ã̠ nː a̠ AI
あんない	ã̠ nː a̠ AI i AC
あんないしょ	ã̠ nː a̠ AI i AC ɕ o̞ AF
あんないじょう	ã̠ nː a̠ AI i AC ʑ o̞ː AE
あんなに	ã̠ nː a̠ AI ɲ̟ i AC
あんなん	ã̠ nː ã̠ ɴ
あんにんどうふ	ã̠ ɲ̟ ɲ̟ ĩ n d o̞ː AE ɸ ɯ̟ᵝ
あんねい	ã̠ nː e̞ː AD
あんのじょう	ã̠ nː o̞ AF ʑ o̞ː AE
あんのん	ã̠ nː õ̞ ɴ
あんばい	ã̠ m b a̠ AI i AC
あんぴ	ã̠ m pʲ i AC
あんぶん	ã̠ m b ɯ̟̃ᵝ ɴ
あんぽんたん	ã̠ m p õ̞ n t ã̠ ɴ
あんまり	ã̠ mː a̠ AI ɾʲ i AC
あんまん	ã̠ mː ã̠ ɴ
あんもち	ã̠ mː o̞ AF t ɕ i AC
あんらく	ã̠ n ɾ a̠ AI k ɯ̟ᵝ
あんらくし	ã̠ n ɾ a̠ AI k ɯ̟ᵝ ɕ i AC
い	i AC
いあつ	i AC a̠ AI t s ɨᵝ
いあんふ	i AC ã̠ ɰ̃ AK ɸ ɯ̟ᵝ
いいあう	i AC i AC a̠ AI ɯ̟ᵝ
いいえ	iː AD e̞ AC
いいおよぶ	i AC i AC o̞ AF j AB o̞ AF b ɯ̟ᵝ
いいかえす	iː AD k a̠ AI e̞ AC s ɨᵝ
いいかえる	i AC i AC k a̠ AI e̞ AC ɾ ɯ̟ᵝ
いいかげん	i AC i AC k a̠ AI ɡ ẽ̞ ɴ
いいかた	i AC i AC k a̠ AI t a̠ AI
いいから	iː AD k a̠ AI ɾ a̠ AI
いいがかり	iː AD ɡ a̠ AI k a̠ AI ɾʲ i AC
いいきかせる	iː AD kʲ i AC k a̠ AI s e̞ AC ɾ ɯ̟ᵝ
いいきる	i AC i AC kʲ i AC ɾ ɯ̟ᵝ
いいこなす	iː AD k o̞ AF n a̠ AI s ɨᵝ
いいずな	iː AD z ɨᵝ n a̠ AI
いいそびれる	iː AD s o̞ AF bʲ i AC ɾ e̞ AC ɾ ɯ̟ᵝ
いいたてる	iː AD t a̠ AI t e̞ AC ɾ ɯ̟ᵝ
いいだ	iː AD d a̠ AI
いいだす	i AC i AC d a̠ AI s ɨᵝ
いいつける	i AC i AC t s ɨᵝ k e̞ AC ɾ ɯ̟ᵝ
いいなずけ	iː AD n a̠ AI z ɨᵝ k e̞ AC
いいね	i AC i AC n e̞ AC
いいはなつ	i AC i AC h AA a̠ AI n a̠ AI t s ɨᵝ
いいまわし	i AC i AC m a̠ AI ɰᵝ a̠ AI ɕ i AC
いいまわす	i AC i AC m a̠ AI ɰᵝ a̠ AI s ɨᵝ
いいん	i AC ĩ ɴ
いいんかい	i AC ĩ ŋ k a̠ AI i AC
いう	i AC ɯ̟ᵝ
いうはやすくおこなうはかたし	i AC ɯ̟ᵝ ɰᵝ a̠ AI j AB a̠ AI s ɨᵝ k ɯ̟ᵝ o̞ AF k o̞ AF n a̠ AI ɯ̟ᵝ ɰᵝ a̠ AI k a̠ AI t a̠ AI ɕ i AC
いうまでもない	i AC ɯ̟ᵝ m a̠ AI d e̞ AC m o̞ AF n a̠ AI i AC
いぇ	j AB e̞ AC
いえ	i AC e̞ AC
いえい	i AC e̞ː AD
いえいえ	i AC e̞ː AD e̞ AC
いえじ	i AC e̞ AC ʑ i AC
いえで	i AC e̞ AC d e̞ AC
いえでにん	i AC e̞ AC d e̞ AC ɲ̟ ĩ ɴ
いえもち	i AC e̞ AC m o̞ AF t ɕ i AC
いおう	i AC o̞ː AE
いおうとう	i AC o̞ː AE t o̞ː AE
いおり	i AC o̞ AF ɾʲ i AC
いおん	i AC õ̞ ɴ
いか	i AC k a̠ AI
いかいよう	i AC k a̠ AI i AC j AB o̞ː AE
いかが	i AC k a̠ AI ɡ a̠ AI
いかがわしい	i AC k a̠ AI ɡ a̠ AI ɰᵝ a̠ AI ɕ iː AD
いかく	i AC k a̠ AI k ɯ̟ᵝ
いかけ	i AC k a̠ AI k e̞ AC
いかけし	i AC k a̠ AI k e̞ AC ɕ i AC
いかけや	i AC k a̠ AI k e̞ AC j AB a̠ AI
いかす	i AC k a̠ AI s ɨᵝ
いかすい	i AC k a̠ AI s ɨᵝ i AC
いかすみ	i AC k a̠ AI s ɨᵝ mʲ i AC
いかだ	i AC k a̠ AI d a̠ AI
いかめしい	i AC k a̠ AI m e̞ AC ɕ iː AD
いかり	i AC k a̠ AI ɾʲ i AC
いかる	i AC k a̠ AI ɾ ɯ̟ᵝ
いかれる	i AC k a̠ AI ɾ e̞ AC ɾ ɯ̟ᵝ
いかん	i AC k ã̠ ɴ
いがい	i AC ɡ a̠ AI i AC
いがく	i AC ɡ a̠ AI k ɯ̟ᵝ
いがらし	i AC ɡ a̠ AI ɾ a̠ AI ɕ i AC
いき	i AC kʲ i AC
いきうめ	i AC kʲ i AC ɯ̟ᵝ m e̞ AC
いきおい	i AC kʲ i AC o̞ AF i AC
いきか	i AC kʲ i AC k a̠ AI
いきかえる	i AC kʲ i AC k a̠ AI e̞ AC ɾ ɯ̟ᵝ
いきがい	i AC kʲ i AC ɡ a̠ AI i AC
いきがきれる	i AC kʲ i AC ɡ a̠ AI kʲ i AC ɾ e̞ AC ɾ ɯ̟ᵝ
いきぐすり	i AC kʲ i AC ɡ ɯ̟ᵝ s ɨᵝ ɾʲ i AC
いきぐるしい	i AC kʲ i AC ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː AD
いきごみ	i AC kʲ i AC ɡ o̞ AF mʲ i AC
いきごむ	i AC kʲ i AC ɡ o̞ AF m ɯ̟ᵝ
いきじ	i AC kʲ i AC ʑ i AC
いきじごく	i AC kʲ i AC ʑ i AC ɡ o̞ AF k ɯ̟ᵝ
いきじびき	i AC kʲ i AC d ʑ i AC bʲ i AC kʲ i AC
いきつぎ	i AC kʲ i AC t s ɨᵝ ɡʲ i AC
いきづかい	i AC kʲ i AC z ɨᵝ k a̠ AI i AC
いきづまる	i AC kʲ i AC z ɨᵝ m a̠ AI ɾ ɯ̟ᵝ
いきとうごう	i AC kʲ i̥ AC t o̞ː AE ɡ o̞ː AE
いきどまり	i AC kʲ i AC d o̞ AF m a̠ AI ɾʲ i AC
いきなり	i AC kʲ i AC n a̠ AI ɾʲ i AC
いきぬき	i AC kʲ i AC n ɯ̟ᵝ kʲ i AC
いきのこる	i AC kʲ i AC n o̞ AF k o̞ AF ɾ ɯ̟ᵝ
いきのびる	i AC kʲ i AC n o̞ AF bʲ i AC ɾ ɯ̟ᵝ
いきもの	i AC kʲ i AC m o̞ AF n o̞ AF
いきょ	i AC kʲ o̞ AF
いきょう	i AC kʲ o̞ː AE
いきょうと	i AC kʲ o̞ː AE t o̞ AF
いきょく	i AC kʲ o̞ AF k ɯ̟ᵝ
いきようよう	i AC kʲ i AC j AB o̞ː AE j AB o̞ː AE
いきる	i AC kʲ i AC ɾ ɯ̟ᵝ
いきわかれ	i AC kʲ i AC ɰᵝ a̠ AI k a̠ AI ɾ e̞ AC
いきわかれる	i AC kʲ i AC ɰᵝ a̠ AI k a̠ AI ɾ e̞ AC ɾ ɯ̟ᵝ
いきをきらす	i AC kʲ i AC o̞ AF kʲ i AC ɾ a̠ AI s ɨᵝ
いぎ	i AC ɡʲ i AC
いぎょう	i AC ɡʲ o̞ː AE
いく	i AC k ɯ̟ᵝ
いくぐすり	i AC k ɯ̟ᵝ ɡ ɯ̟ᵝ s ɨᵝ ɾʲ i AC
いくさ	i AC k ɯ̟ᵝ s a̠ AI
いくせいそう	i AC k ɯ̟ᵝ s e̞ː AD s o̞ː AE
