ᆜ	j AB ɯ AD
개장국	k ɛː AD d ʑ a̠ AF ŋ k͈ u AE k̚
개정	k ɛː AD d ʑ ʌ̹ ŋ
개정판	k ɛː AD d ʑ ʌ̹ ŋ pʰ a̠ AF n
개지랄	k ɛː AD d ʑ i AD ɾ a̠ AF ɭ
개지랄하다	k ɛː AD d ʑ i AD ɾ a̠ AF ɾ ɦ AA a̠ AF d a̠ AF
개집	k ɛː AD d ʑ i AD p̚
개천	k ɛː AD t ɕʰ ʌ̹ n
개체	k ɛː AD t ɕʰ e̞ AD
개판	k ɛː AD pʰ a̠ AF n
개혁	k ɛː AD ʝ j AB ʌ̹ k̚
갯과	k ɛː AD t̚ k͈ w AC a̠ AF
갸름하다	k j AB a̠ AF ɾ ɯ AD m ɦ AA a̠ AF d a̠ AF
갸울다	k j AB a̠ AF u AE ɭ d a̠ AF
갸웃	k j AB a̠ AF u AE t̚
갸웃거리다	k j AB a̠ AF u AE t̚ k͈ ʌ̹ ɾ i AD d a̠ AF
갹출	k j AB a̠ AF k̚ t ɕʰ u AE ɭ
거	k ʌ̹
거기	k ʌ̹ ɡ i AD
거꾸로	k ʌ̹ k͈ u AE ɾ o̞ AE
거두다	k ʌ̹ d u AE d a̠ AF
거드름	k ɘː AD d ɯ AD ɾ ɯ AD m
거든	k ʌ̹ d ɯ AD n
거듭	k ʌ̹ d ɯ AD p̚
거듭씨	k ʌ̹ d ɯ AD p ɕ͈ i AD
거듭홀소리	k ʌ̹ d ɯ AD pʰ o̞ AE ɭ sʰ o̞ AE ɾ i AD
거뜨다	k ʌ̹ t͈ ɯ AD d a̠ AF
거룩하다	k ɘː AD ɾ u AE kʰ a̠ AF d a̠ AF
거류	k ʌ̹ ɾ j AB u AE
거르다	k ʌ̹ ɾ ɯ AD d a̠ AF
거리	k ʌ̹ ɾ i AD
거리다	k ʌ̹ ɾ i AD d a̠ AF
거릿모테이	k ʌ̹ ɾ i AD n m o̞ AE tʰ e̞ AD i AD
거릿모티이	k ʌ̹ ɾ i AD n m o̞ AE tʰ i AD i AD
거만	k ɘː AD m a̠ AF n
거만하다	k ɘː AD m a̠ AF n ɦ AA a̠ AF d a̠ AF
거머리	k ɘː AD m ʌ̹ ɾ i AD
거무스름하다	k ʌ̹ m u AE sʰ ɯ AD ɾ ɯ AD m ɦ AA a̠ AF d a̠ AF
거문고	k ʌ̹ m u AE n ɡ o̞ AE
거미	k ʌ̹ m i AD
거미줄	k ʌ̹ m i AD d ʑ u AE ɭ
거부감	k ɘː AD b u AE ɡ a̠ AF m
거부하다	k ɘː AD b u AE ɦ AA a̠ AF d a̠ AF
거북	k ʌ̹ b u AE k̚
거북선	k ʌ̹ b u AE k s͈ ʌ̹ n
거북이	k ʌ̹ b u AE ɡ i AD
거서간	k ʌ̹ sʰ ʌ̹ ɡ a̠ AF n
거성	k ɘː AD sʰ ʌ̹ ŋ
거성불연삼	k ɘː AD sʰ ʌ̹ ŋ b u AE ɾ j AB ʌ̹ n sʰ a̠ AF m
거세	k ɘː AD sʰ e̞ AD
거세다	k ʌ̹ sʰ e̞ AD d a̠ AF
거스러미	k ʌ̹ sʰ ɯ AD ɾ ʌ̹ m i AD
거스르다	k ʌ̹ sʰ ɯ AD ɾ ɯ AD d a̠ AF
거스름돈	k ʌ̹ sʰ ɯ AD ɾ ɯ AD m t͈ o̞ AE n
거슬리다	k ʌ̹ sʰ ɯ AD ʎ ʎ i AD d a̠ AF
거시기	k ʌ̹ ɕʰ i AD ɡ i AD
거실	k ʌ̹ ɕʰ i AD ɭ
거야	k ɘː AD j AB a̠ AF
거역	k ɘː AD j AB ʌ̹ k̚
거역하다	k ɘː AD j AB ʌ̹ kʰ a̠ AF d a̠ AF
거울	k ʌ̹ u AE ɭ
거웃	k ʌ̹ u AE t̚
거위	k ʌ̹ ɥ AC i AD
거유	k ɘː AD j AB u AE
거의	k ʌ̹ ɰ AB i AD
거인	k ɘː AD i AD n
거절	k ɘː AD d ʑ ʌ̹ ɭ
거절하다	k ɘː AD d ʑ ʌ̹ ɾ ɦ AA a̠ AF d a̠ AF
거주	k ʌ̹ d ʑ u AE
거주하다	k ʌ̹ d ʑ u AE ɦ AA a̠ AF d a̠ AF
거즈	k ʌ̹ d ʑ ɯ AD
거지	k ɘː AD d ʑ i AD
거짓	k ɘː AD d ʑ i AD t̚
거짓말	k ɘː AD d ʑ i AD n m a̠ AF ɭ
거짓말하다	k ɘː AD d ʑ i AD n m a̠ AF ɾ ɦ AA a̠ AF d a̠ AF
거치다	k ʌ̹ t ɕʰ i AD d a̠ AF
거치적거리다	k ʌ̹ t ɕʰ i AD d ʑ ʌ̹ k̚ k͈ ʌ̹ ɾ i AD d a̠ AF
거칠다	k ʌ̹ t ɕʰ i AD ɭ d a̠ AF
거품	k ʌ̹ pʰ u AE m
걱정	k ʌ̹ k̚ t ɕ͈ ʌ̹ ŋ
걱정되다	k ʌ̹ k̚ t ɕ͈ ʌ̹ ŋ d w AC e̞ AD d a̠ AF
걱정하다	k ʌ̹ k̚ t ɕ͈ ʌ̹ ŋ ɦ AA a̠ AF d a̠ AF
건강	k ɘː AD n ɡ a̠ AF ŋ
건강하다	k ɘː AD n ɡ a̠ AF ŋ ɦ AA a̠ AF d a̠ AF
건강히	k ɘː AD n ɡ a̠ AF ŋ ʝ i AD
건너가다	k ɘː AD n n ʌ̹ ɡ a̠ AF d a̠ AF
건너다	k ɘː AD n n ʌ̹ d a̠ AF
건너오다	k ɘː AD n n ʌ̹ o̞ AE d a̠ AF
건너편	k ɘː AD n n ʌ̹ pʰ j AB ʌ̹ n
건넌편	k ɘː AD n n ʌ̹ n pʰ j AB ʌ̹ n
건널목	k ɘː AD n n ʌ̹ ɭ m o̞ AE k̚
건네다	k ɘː AD n n e̞ AD d a̠ AF
건달	k ʌ̹ n d a̠ AF ɭ
건답	k ʌ̹ n d a̠ AF p̚
건더기	k ʌ̹ n d ʌ̹ ɡ i AD
건드리다	k ɘː AD n d ɯ AD ɾ i AD d a̠ AF
건망증	k ɘː AD n m a̠ AF ŋ t ɕ͈ ɯ AD ŋ
건물	k ɘː AD n m u AE ɭ
건반	k ʌ̹ n b a̠ AF n
건발기	k ʌ̹ n b a̠ AF ɭ ɡ i AD
건설	k ɘː AD n sʰ ʌ̹ ɭ
건설하다	k ɘː AD n sʰ ʌ̹ ɾ ɦ AA a̠ AF d a̠ AF
건의	k ɘː AD n ɰ AB i AD
건전하다	k ʌ̹ ɲ d ʑ ʌ̹ n ɦ AA a̠ AF d a̠ AF
건조	k ʌ̹ ɲ d ʑ o̞ AE
건조기	k ʌ̹ ɲ d ʑ o̞ AE ɡ i AD
건조하다	k ʌ̹ ɲ d ʑ o̞ AE ɦ AA a̠ AF d a̠ AF
건지다	k ʌ̹ ɲ d ʑ i AD d a̠ AF
건초	k ʌ̹ ɲ t ɕʰ o̞ AE
건축	k ɘː AD ɲ t ɕʰ u AE k̚
건축가	k ɘː AD ɲ t ɕʰ u AE k̚ k͈ a̠ AF
건축물	k ɘː AD ɲ t ɕʰ u AE ŋ m u AE ɭ
건축학	k ɘː AD ɲ t ɕʰ u AE kʰ a̠ AF k̚
걷기	k ɘː AD t̚ k͈ i AD
걷다	k ʌ̹ t̚ t͈ a̠ AF
걸	k ʌ̹ ɭ
걸다	k ɘː AD ɭ d a̠ AF
걸레	k ʌ̹ ɭ ɭ e̞ AD
걸리다	k ʌ̹ ʎ ʎ i AD d a̠ AF
걸림씨	k ʌ̹ ʎ ʎ i AD m ɕ͈ i AD
걸신	k ʌ̹ ɭ ɕ͈ i AD n
걸어	k ʌ̹ ɾ ʌ̹
걸어가다	k ʌ̹ ɾ ʌ̹ ɡ a̠ AF d a̠ AF
걸음	k ʌ̹ ɾ ɯ AD m
걸음걸이	k ʌ̹ ɾ ɯ AD m ɡ ʌ̹ ɾ i AD
걸음마	k ʌ̹ ɾ ɯ AD m m a̠ AF
걸인	k ʌ̹ ɾ i AD n
걸작	k ʌ̹ ʎ t ɕ͈ a̠ AF k̚
걸쭉하다	k ʌ̹ ʎ t ɕ͈ u AE kʰ a̠ AF d a̠ AF
걸치다	k ɘː AD ʎ t ɕʰ i AD d a̠ AF
걸프렌드	k ʌ̹ ɭ pʰ ɯ AD ɾ e̞ AD n d ɯ AD
걸핏	k ʌ̹ ɭ pʰ i AD t̚
걸핏걸핏	k ʌ̹ ɭ pʰ i AD t̚ k͈ ʌ̹ ɭ pʰ i AD t̚
검	k ɘː AD m
검다	k ɘː AD m t͈ a̠ AF
검도	k ɘː AD m d o̞ AE
검독수리	k ʌ̹ m d o̞ AE k s͈ u AE ɾ i AD
검둥오리	k ʌ̹ m d u AE ŋ o̞ AE ɾ i AD
검둥오리사촌	k ʌ̹ m d u AE ŋ o̞ AE ɾ i AD sʰ a̠ AF t ɕʰ o̞ AE n
검둥이	k ʌ̹ m d u AE ŋ i AD
검사	k ɘː AD m sʰ a̠ AF
검소하다	k ɘː AD m sʰ o̞ AE ɦ AA a̠ AF d a̠ AF
검술	k ɘː AD m sʰ u AE ɭ
검역	k ɘː AD m j AB ʌ̹ k̚
검열	k ɘː AD m ɲ j AB ʌ̹ ɭ
검열하다	k ʌ̹ m j AB ʌ̹ ɾ ɦ AA a̠ AF d a̠ AF
검은금	k ʌ̹ m ɯ AD n ɡ ɯ AD m
검은담비	k ʌ̹ m ɯ AD n d a̠ AF m b i AD
검은딸기	k ʌ̹ m ɯ AD n t͈ a̠ AF ɭ ɡ i AD
검은머리흰따오기	k ʌ̹ m ɯ AD n m ʌ̹ ɾ i AD ʝ i AD n t͈ a̠ AF o̞ AE ɡ i AD
검은머리흰죽지	k ʌ̹ m ɯ AD n m ʌ̹ ɾ i AD ʝ i AD ɲ d ʑ u AE k̚ t ɕ͈ i AD
검은목논병아리	k ʌ̹ m ɯ AD n m o̞ AE ŋ n o̞ AE n b j AB ʌ̹ ŋ a̠ AF ɾ i AD
검은무리	k ʌ̹ m ɯ AD n m u AE ɾ i AD
검정	k ʌ̹ m d ʑ ʌ̹ ŋ
검정망둑	k ʌ̹ m d ʑ ʌ̹ ŋ m a̠ AF ŋ d u AE k̚
검증	k ɘː AD m d ʑ ɯ AD ŋ
검질기다	k ɘː AD m d ʑ i AD ɭ ɡ i AD d a̠ AF
검찰	k ɘː AD m t ɕʰ a̠ AF ɭ
검찰청	k ɘː AD m t ɕʰ a̠ AF ʎ t ɕʰ ʌ̹ ŋ
검출	k ɘː AD m t ɕʰ u AE ɭ
검토	k ɘː AD m tʰ o̞ AE
검푸르다	k ɘː AD m pʰ u AE ɾ ɯ AD d a̠ AF
겁	k ʌ̹ p̚
겁나다	k ʌ̹ m n a̠ AF d a̠ AF
겁먹다	k ʌ̹ m m ʌ̹ k̚ t͈ a̠ AF
겁박	k ʌ̹ p̚ p͈ a̠ AF k̚
것	k ʌ̹ t̚
겉	k ʌ̹ t̚
겉핥다	k ʌ̹ tʰ a̠ AF ɭ t͈ a̠ AF
게	k e̞ː AD
게놈	k e̞ AD n o̞ AE m
게다가	k e̞ AD d a̠ AF ɡ a̠ AF
게르마늄	k e̞ AD ɾ ɯ AD m a̠ AF ɲ j AB u AE m
게르만	k e̞ AD ɾ ɯ AD m a̠ AF n
게릴라	k e̞ AD ɾ i AD ɭ ɭ a̠ AF
게사니	k e̞ AD sʰ a̠ AF n i AD
게스트하우스	k e̞ AD sʰ ɯ AD tʰ ɯ AD ɦ AA a̠ AF u AE sʰ ɯ AD
게시	k e̞ː AD ɕʰ i AD
게시판	k e̞ː AD ɕʰ i AD pʰ a̠ AF n
게시하다	k e̞ː AD ɕʰ i AD ɦ AA a̠ AF d a̠ AF
게양	k e̞ː AD j AB a̠ AF ŋ
게우다	k e̞ AD u AE d a̠ AF
게으르다	k e̞ AD ɯ AD ɾ ɯ AD d a̠ AF
게으름	k e̞ AD ɯ AD ɾ ɯ AD m
게이	k e̞ AD i AD
게이기	k e̞ AD i AD ɡ i AD
게이샤	k e̞ AD i AD ɕʰ a̠ AF
게이트	k e̞ AD i AD tʰ ɯ AD
게임	k͈ e̞ AD i AD m
게임기	k͈ e̞ AD i AD m ɡ i AD
게임성	k͈ e̞ AD i AD m sʰ ʌ̹ ŋ
게장	k e̞ AD d ʑ a̠ AF ŋ
게타	k͈ e̞ AD tʰ a̠ AF
게톱치	k e̞ AD tʰ o̞ AE p̚ t ɕʰ i AD
겐	k e̞ AD n
겠	k e̞ AD t̚
겨누다	k j AB ʌ̹ n u AE d a̠ AF
겨드랑이	k j AB ʌ̹ d ɯ AD ɾ a̠ AF ŋ i AD
겨레	k j AB ʌ̹ ɾ e̞ AD
겨루다	k j AB ʌ̹ ɾ u AE d a̠ AF
겨르	k j AB ʌ̹ ɾ ɯ AD
겨를	k j AB ʌ̹ ɾ ɯ AD ɭ
겨리	k j AB ʌ̹ ɾ i AD
겨우	k j AB ʌ̹ u AE
겨우살이	k j AB ʌ̹ u AE sʰ a̠ AF ɾ i AD
겨울	k j AB ʌ̹ u AE ɭ
겨울철	k j AB ʌ̹ u AE ʎ t ɕʰ ʌ̹ ɭ
겨자	k j AB ʌ̹ d ʑ a̠ AF
격	k j AB ʌ̹ k̚
격납고	k j AB ʌ̹ ŋ n a̠ AF p̚ k͈ o̞ AE
격려	k j AB ʌ̹ ŋ ɲ j AB ʌ̹
격리	k j AB ʌ̹ ŋ n i AD
격언	k j AB ʌ̹ ɡ ʌ̹ n
격차	k j AB ʌ̹ k̚ t ɕʰ a̠ AF
격화하다	k j AB ʌ̹ kʰ w AC a̠ AF ɦ AA a̠ AF d a̠ AF
겪다	k j AB ʌ̹ k̚ t͈ a̠ AF
견과	k j AB ʌ̹ n ɡ w AC a̠ AF
견디다	k j AB ʌ̹ n d i AD d a̠ AF
견문발검	k j AB ɘː AD n m u AE n b a̠ AF ɭ ɡ ʌ̹ m
견본	k j AB ɘː AD n b o̞ AE n
견성	k j AB ʌ̹ n sʰ ʌ̹ ŋ
견실	k j AB ʌ̹ n ɕʰ i AD ɭ
견실하다	k j AB ʌ̹ n ɕʰ i AD ɾ ɦ AA a̠ AF d a̠ AF
견유	k j AB ʌ̹ ɲ j AB u AE
견주다	k j AB ʌ̹ ɲ d ʑ u AE d a̠ AF
결	k j AB ʌ̹ ɭ
결과	k j AB ʌ̹ ɭ ɡ w AC a̠ AF
결과적	k j AB ʌ̹ ɭ ɡ w AC a̠ AF d ʑ ʌ̹ k̚
결국	k j AB ʌ̹ ɭ ɡ u AE k̚
결론	k j AB ʌ̹ ɭ ɭ o̞ AE n
결사옹위	k j AB ʌ̹ ɭ s͈ a̠ AF o̞ AE ŋ ɥ AC i AD
결석	k j AB ʌ̹ ɭ s͈ ʌ̹ k̚
결석하다	k j AB ʌ̹ ɭ s͈ ʌ̹ kʰ a̠ AF d a̠ AF
결심	k j AB ʌ̹ ɭ ɕ͈ i AD m
결심하다	k j AB ʌ̹ ɭ ɕ͈ i AD m ɦ AA a̠ AF d a̠ AF
결장	k j AB ʌ̹ ʎ t ɕ͈ a̠ AF ŋ
결점	k j AB ʌ̹ ʎ t ɕ͈ ʌ̹ m
결정	k j AB ʌ̹ ʎ t ɕ͈ ʌ̹ ŋ
결정되다	k j AB ʌ̹ ʎ t ɕ͈ ʌ̹ ŋ d w AC e̞ AD d a̠ AF
결정론	k j AB ʌ̹ ʎ t ɕ͈ ʌ̹ ŋ n o̞ AE n
결정수	k j AB ʌ̹ ʎ t ɕ͈ ʌ̹ ŋ sʰ u AE
결정짓다	k j AB ʌ̹ ʎ t ɕ͈ ʌ̹ ŋ d ʑ i AD t̚ t͈ a̠ AF
결정하다	k j AB ʌ̹ ʎ t ɕ͈ ʌ̹ ŋ ɦ AA a̠ AF d a̠ AF
결정화	k j AB ʌ̹ ʎ t ɕ͈ ʌ̹ ŋ β w AC a̠ AF
결코	k j AB ʌ̹ ɭ kʰ o̞ AE
결핍	k j AB ʌ̹ ɭ pʰ i AD p̚
결함	k j AB ʌ̹ ɾ ɦ AA a̠ AF m
결합	k j AB ʌ̹ ɾ ɦ AA a̠ AF p̚
결합되다	k j AB ʌ̹ ɾ ɦ AA a̠ AF p̚ t͈ w AC e̞ AD d a̠ AF
결합하다	k j AB ʌ̹ ɾ ɦ AA a̠ AF pʰ a̠ AF d a̠ AF
결혼	k j AB ʌ̹ ɾ β o̞ AE n
결혼식	k j AB ʌ̹ ɾ β o̞ AE n ɕʰ i AD k̚
결혼하다	k j AB ʌ̹ ɾ β o̞ AE n ɦ AA a̠ AF d a̠ AF
겸	k j AB ʌ̹ m
겸손	k j AB ʌ̹ m sʰ o̞ AE n
겸손하다	k j AB ʌ̹ m sʰ o̞ AE n ɦ AA a̠ AF d a̠ AF
겸하다	k j AB ʌ̹ m ɦ AA a̠ AF d a̠ AF
겹	k j AB ʌ̹ p̚
겹놓다	k j AB ʌ̹ m n o̞ AE tʰ a̠ AF
겹다	k j AB ɘː AD p̚ t͈ a̠ AF
겹빵이	k j AB ʌ̹ p̚ p͈ a̠ AF ŋ i AD
겹치다	k j AB ʌ̹ p̚ t ɕʰ i AD d a̠ AF
경	k j AB ɘː AD ŋ
경계	k j AB ʌ̹ ŋ ɡ j AB e̞ AD
경계하다	k j AB ɘː AD ŋ ɡ j AB e̞ AD ɦ AA a̠ AF d a̠ AF
경고	k j AB ɘː AD ŋ ɡ o̞ AE
경고창	k j AB ɘː AD ŋ ɡ o̞ AE t ɕʰ a̠ AF ŋ
경고하다	k j AB ɘː AD ŋ ɡ o̞ AE ɦ AA a̠ AF d a̠ AF
경관	k j AB ʌ̹ ŋ ɡ w AC a̠ AF n
경구	k j AB ɘː AD ŋ k͈ u AE
경기	k j AB ʌ̹ ŋ ɡ i AD
경기관	k j AB ɘː AD ŋ ɡ i AD ɡ w AC a̠ AF n
경기도	k j AB ʌ̹ ŋ ɡ i AD d o̞ AE
경기장	k j AB ɘː AD ŋ ɡ i AD d ʑ a̠ AF ŋ
경기충청도방언	k j AB ʌ̹ ŋ ɡ i AD t ɕʰ u AE ŋ t ɕʰ ʌ̹ ŋ d o̞ AE b a̠ AF ŋ ʌ̹ n
경도	k j AB ɘː AD ŋ d o̞ AE
경력	k j AB ʌ̹ ŋ ɲ j AB ʌ̹ k̚
경련	k j AB ʌ̹ ŋ ɲ j AB ʌ̹ n
경로	k j AB ʌ̹ ŋ n o̞ AE
경마	k j AB ɘː AD ŋ m a̠ AF
경멸감	k j AB ʌ̹ ŋ m j AB ʌ̹ ɭ ɡ a̠ AF m
경멸적	k j AB ʌ̹ ŋ m j AB ʌ̹ ʎ t ɕ͈ ʌ̹ k̚
경보기	k j AB ɘː AD ŋ b o̞ AE ɡ i AD
경비원	k j AB ɘː AD ŋ b i AD w AC ʌ̹ n
경사	k j AB ʌ̹ ŋ sʰ a̠ AF
경상남도	k j AB ɘː AD ŋ sʰ a̠ AF ŋ n a̠ AF m d o̞ AE
경상도	k j AB ɘː AD ŋ sʰ a̠ AF ŋ d o̞ AE
경상북도	k j AB ɘː AD ŋ sʰ a̠ AF ŋ b u AE k̚ t͈ o̞ AE
경성	k j AB ʌ̹ ŋ sʰ ʌ̹ ŋ
경시	k j AB ʌ̹ ŋ ɕʰ i AD
경악	k j AB ʌ̹ ŋ a̠ AF k̚
경어	k j AB ɘː AD ŋ ʌ̹
경영	k j AB ʌ̹ ŋ j AB ʌ̹ ŋ
경영자	k j AB ʌ̹ ŋ j AB ʌ̹ ŋ d ʑ a̠ AF
경영하다	k j AB ʌ̹ ŋ j AB ʌ̹ ŋ ɦ AA a̠ AF d a̠ AF
경옥	k j AB ʌ̹ ŋ o̞ AE k̚
경외	k j AB ɘː AD ŋ w AC e̞ AD
경우	k j AB ʌ̹ ŋ u AE
경음기	k j AB ʌ̹ ŋ ɯ AD m ɡ i AD
경이롭다	k j AB ʌ̹ ŋ i AD ɾ o̞ AE p̚ t͈ a̠ AF
경이원지	k j AB ɘː AD ŋ i AD w AC ʌ̹ ɲ d ʑ i AD
경제	k j AB ʌ̹ ŋ d ʑ e̞ AD
경제과학	k j AB ʌ̹ ŋ d ʑ e̞ AD ɡ w AC a̠ AF ɦ AA a̠ AF k̚
경제적	k j AB ʌ̹ ŋ d ʑ e̞ AD d ʑ ʌ̹ k̚
경제학	k j AB ʌ̹ ŋ d ʑ e̞ AD ɦ AA a̠ AF k̚
경죄	k j AB ʌ̹ ŋ d ʑ w AC e̞ AD
경주	k j AB ɘː AD ŋ d ʑ u AE
경찰	k j AB ɘː AD ŋ t ɕʰ a̠ AF ɭ
경찰견	k j AB ɘː AD ŋ t ɕʰ a̠ AF ɭ ɡ j AB ʌ̹ n
경찰관	k j AB ɘː AD ŋ t ɕʰ a̠ AF ɭ ɡ w AC a̠ AF n
경찰서	k j AB ɘː AD ŋ t ɕʰ a̠ AF ɭ s͈ ʌ̹
경청	k j AB ʌ̹ ŋ t ɕʰ ʌ̹ ŋ
경축	k j AB ɘː AD ŋ t ɕʰ u AE k̚
경치	k j AB ʌ̹ ŋ t ɕʰ i AD
경향	k j AB ʌ̹ ŋ ʝ j AB a̠ AF ŋ
경험	k j AB ʌ̹ ŋ ɦ AA ʌ̹ m
경험치	k j AB ʌ̹ ŋ ɦ AA ʌ̹ m t ɕʰ i AD
경험하다	k j AB ʌ̹ ŋ ɦ AA ʌ̹ m ɦ AA a̠ AF d a̠ AF
곁	k j AB ʌ̹ t̚
계	k j AB e̞ AD
계간	k j AB e̞ AD ɡ a̠ AF n
계곡	k j AB e̞ AD ɡ o̞ AE k̚
계급	k j AB e̞ AD ɡ ɯ AD p̚
계단	k j AB e̞ AD d a̠ AF n
계란	k j AB e̞ AD ɾ a̠ AF n
계란찜	k j AB e̞ AD ɾ a̠ AF ɲ t ɕ͈ i AD m
계량경제학	k j AB e̞ː AD ɾ j AB a̠ AF ŋ ɡ j AB ʌ̹ ŋ d ʑ e̞ AD ɦ AA a̠ AF k̚
계량기	k j AB e̞ː AD ɾ j AB a̠ AF ŋ ɡ i AD
계렬	k j AB e̞ AD ɾ j AB ʌ̹ ɭ
계명	k j AB e̞ AD m j AB ʌ̹ ŋ
계모	k j AB e̞ː AD m o̞ AE
계부	k j AB e̞ː AD b u AE
계사	k j AB e̞ː AD sʰ a̠ AF
계산	k j AB e̞ː AD sʰ a̠ AF n
계산기	k j AB e̞ː AD sʰ a̠ AF n ɡ i AD
계산서	k j AB e̞ː AD sʰ a̠ AF n sʰ ʌ̹
계산원	k j AB e̞ː AD sʰ a̠ AF n w AC ʌ̹ n
계산하다	k j AB e̞ː AD sʰ a̠ AF n ɦ AA a̠ AF d a̠ AF
계속	k j AB e̞ː AD sʰ o̞ AE k̚
계속되다	k j AB e̞ː AD sʰ o̞ AE k̚ t͈ w AC e̞ AD d a̠ AF
계속하다	k j AB e̞ː AD sʰ o̞ AE kʰ a̠ AF d a̠ AF
계수	k j AB e̞ː AD sʰ u AE
계승	k j AB e̞ AD sʰ ɯ AD ŋ
계시	k j AB e̞ː AD ɕʰ i AD
계시다	k j AB e̞ː AD ɕʰ i AD d a̠ AF
계시판	k j AB e̞ː AD ɕʰ i AD pʰ a̠ AF n
계약	k j AB e̞ː AD j AB a̠ AF k̚
계약하다	k j AB e̞ː AD j AB a̠ AF kʰ a̠ AF d a̠ AF
계열	k j AB e̞ AD j AB ʌ̹ ɭ
계절	k j AB e̞ː AD d ʑ ʌ̹ ɭ
계절적	k j AB e̞ː AD d ʑ ʌ̹ ʎ t ɕ͈ ʌ̹ k̚
계정	k j AB e̞ː AD d ʑ ʌ̹ ŋ
계좌	k j AB e̞ː AD d ʑ w AC a̠ AF
계집	k j AB e̞ː AD d ʑ i AD p̚
계집년	k j AB e̞ː AD d ʑ i AD m ɲ j AB ʌ̹ n
계집아이	k j AB e̞ː AD d ʑ i AD b a̠ AF i AD
계층	k j AB e̞ AD t ɕʰ ɯ AD ŋ
계통	k j AB e̞ː AD tʰ o̞ AE ŋ
계획	k j AB e̞ː AD β w AC e̞ AD k̚
계획하다	k j AB e̞ː AD β w AC e̞ AD kʰ a̠ AF d a̠ AF
곈	k j AB e̞ AD n
곊	k j AB e̞ AD n
고가교	k o̞ AE ɡ a̠ AF ɡ j AB o AE
고고학	k o̞ː AE ɡ o̞ AE ɦ AA a̠ AF k̚
고관	k o̞ AE ɡ w AC a̠ AF n
고구려	k o̞ AE ɡ u AE ɾ j AB ʌ̹
고구마	k o̞ː AE ɡ u AE m a̠ AF
고국	k o̞ː AE ɡ u AE k̚
고급	k o̞ AE ɡ ɯ AD p̚
고기	k o̞ː AE ɡ i AD
고기겹빵	k o̞ AE ɡ i AD ɡ j AB ʌ̹ p̚ p͈ a̠ AF ŋ
고기떡	k o̞ AE ɡ i AD t͈ ʌ̹ k̚
고기숨구멍	k o̞ AE ɡ i AD sʰ u AE m ɡ u AE m ʌ̹ ŋ
고기후학	k o̞ AE ɡ i AD β u AE ɦ AA a̠ AF k̚
고난	k o̞ AE n a̠ AF n
고니	k o̞ AE n i AD
고달피다	k o̞ AE d a̠ AF ɭ pʰ i AD d a̠ AF
고독	k o̞ AE d o̞ AE k̚
고독하다	k o̞ AE d o̞ AE kʰ a̠ AF d a̠ AF
고동물학	k o̞ː AE d o̞ AE ŋ m u AE ɾ ɦ AA a̠ AF k̚
고두	k o̞ː AE d u AE
고드름	k o̞ AE d ɯ AD ɾ ɯ AD m
고등어	k o̞ AE d ɯ AD ŋ ʌ̹
고등학교	k o̞ AE d ɯ AD ŋ ɦ AA a̠ AF k̚ k͈ j AB o AE
고라니	k o̞ AE ɾ a̠ AF n i AD
고량주	k o̞ AE ɾ j AB a̠ AF ŋ d ʑ u AE
고레말	k o̞ AE ɾ e̞ AD m a̠ AF ɭ
고려	k o̞ AE ɾ j AB ʌ̹
고려말	k o̞ AE ɾ j AB ʌ̹ m a̠ AF ɭ
고려하다	k o̞ AE ɾ j AB ʌ̹ ɦ AA a̠ AF d a̠ AF
고로케	k o̞ AE ɾ o̞ AE kʰ e̞ AD
고루	k o̞ AE ɾ u AE
고르다	k o̞ AE ɾ ɯ AD d a̠ AF
고리	k o̞ AE ɾ i AD
고리도롱뇽	k o̞ AE ɾ i AD d o̞ AE ɾ o̞ AE ŋ ɲ j AB o AE ŋ
고리짝	k o̞ AE ɾ i AD t ɕ͈ a̠ AF k̚
고릴라	k o̞ AE ɾ i AD ɭ ɭ a̠ AF
고립지	k o̞ AE ɾ i AD p̚ t ɕ͈ i AD
고마워	k o̞ AE m a̠ AF w AC ʌ̹
고맙다	k o̞ː AE m a̠ AF p̚ t͈ a̠ AF
고맙습니다	k o̞ AE m a̠ AF p s͈ ɯ AD m n i AD d a̠ AF
고명	k o̞ː AE m j AB ʌ̹ ŋ
고모	k o̞ AE m o̞ AE
고모부	k o̞ AE m o̞ AE b u AE
고무	k o̞ AE m u AE
고무락고무락	k o̞ AE m u AE ɾ a̠ AF k̚ k͈ o̞ AE m u AE ɾ a̠ AF k̚
고무신	k o̞ AE m u AE ɕʰ i AD n
고문	k o̞ AE m u AE n
고문관	k o̞ AE m u AE n ɡ w AC a̠ AF n
고물	k o̞ː AE m u AE ɭ
고물고물	k o̞ AE m u AE ɭ ɡ o̞ AE m u AE ɭ
고민	k o̞ AE m i AD n
고민하다	k o̞ AE m i AD n ɦ AA a̠ AF d a̠ AF
고바야시박쥐	k o̞ AE b a̠ AF j AB a̠ AF ɕʰ i AD b a̠ AF k̚ t ɕ͈ ɥ AC i AD
고발	k o̞ː AE b a̠ AF ɭ
고방	k o̞ AE b a̠ AF ŋ
고방오리	k o̞ AE b a̠ AF ŋ o̞ AE ɾ i AD
고뿌	k o̞ AE p͈ u AE
고삐	k o̞ AE p͈ i AD
고사기	k o̞ː AE sʰ a̠ AF ɡ i AD
고사리	k o̞ AE sʰ a̠ AF ɾ i AD
