'y	ɪ AM
post	p AG o BA ʊ BA s AH t AI
prado	p AG ɾ BE ɐ BA d AI o BA
praning	p AG ɾ BE ɐ BA n AF ɪ AM ŋ AK
prayoridad	p AG ɾ BE ɐ BA j AB o BA ɾ BE ɪ AM d AI ɐ BA d AI
proklamasyon	p AG ɾ BE o BA k AC l AD ɐ BA m AE ɐ BA ʃ AH o BA n AF
prudente	p AG ɾ BE ʊ BA d AI ɛ AM n AF t AI ɛ AM
pudpod	p AG ʊ BA d AI p AG o BA d AI
pugad	p AG u BA ɰ AB ɐ BA d AI
pugo	p AG ʊ BA ɰ AB o BA ʔ AL
pugot	p AG ʊ BA ɰ AB o BA t AI
pugutan	p AG ʊ BA ɰ AB ʊ BA t AI ɐ BA n AF
puhunan	p AG ʊ BA h AA ʊ BA n AF ɐ BA n AF
pukyutan	p AG ʊ BA k AC j AB ʊ BA t AI ɐ BA n AF
pulahan	p AG ʊ BA l AD ɐ BA h AA a AM n AF
pulgada	p AG ʊ BA l AD ɡ AC ɐ BA d AI ɐ BA
pulgas	p AG ʊ BA l AD ɡ AC a AM s AH
pulikat	p AG ʊ BA l AD i AM x BC ɐ BA t AI
pulmonya	p AG ʊ BA l AD m AE o BA ɲ AK a AM
pulo	p AG ʊ BA l AD o BA ʔ AL
pulot	p AG ʊ BA l AD o BA t AI
pulubi	p AG ʊ BA l AD ʊ BA b AG ɪ AM
pulutan	p AG ʊ BA l AD ʊ BA t AI ɐ BA n AF
pumula	p AG ʊ BA m AE ʊ BA l AD a AM
pumutok	p AG ʊ BA m AE ʊ BA t AI o BA k AC
pundido	p AG ʊ BA n AF d AI i AM d AI o BA
punongbayan	p AG ʊ BA n AF o BA ŋ AK b AG ɐ BA j AB ɐ BA n AF
punsalang	p AG ʊ BA n AF s AH ɐ BA l AD ɐ BA ŋ AK
puntahan	p AG ʊ BA n AF t AI ɐ BA h AA a AM n AF
puntirya	p AG ʊ BA n AF t AI ɪ AM ɾ BE j AB a AM
punzalan	p AG ʊ BA n AF s AH ɐ BA l AD ɐ BA n AF
puson	p AG ʊ BA s AH o BA n AF
pusta	p AG ʊ BA s AH t AI a AM
pustiso	p AG ʊ BA s AH t AI i AM s AH o BA
pusyaw	p AG ʊ BA ʃ AH a AM u BA
putakti	p AG ʊ BA t AI ɐ BA k AC t AI i AM
puyod	p AG ʊ BA j AB o BA d AI
quezon	k AC x BC ɛ AM s AH o BA n AF
quiambao	k AC j AB ɐ BA m AE b AG a AM ʊ̯ AJ
quimpo	k AC x BC ɪ AM m AE p AG o BA
quintos	k AC x BC ɪ AM n AF t AI o BA s AH
quirante	k AC x BC ɪ AM ɾ BE ɐ BA n AF t AI ɛ AM
quisumbing	k AC x BC ɪ AM s AH u BA m AE b AG ɪ AM ŋ AK
quitain	k AC x BC ɪ AM t AI a AM ɪ̯ AB n AF
quiñones	k AC x BC ɪ AM ɲ AK o BA n AF ɛ AM s AH
racelis	ɾ BE ɐ BA s AH ɛ AM l AD ɪ AM s AH
ragas	ɾ BE ɐ BA ɰ AB ɐ BA s AH
ragudo	ɾ BE ɐ BA ɰ AB ʊ BA d AI o BA
rali	ɾ BE a AM l AD ɪ AM
raliyista	ɾ BE ɐ BA l AD ɪ AM j AB i AM s AH t AI ɐ BA
rambol	ɾ BE ɐ BA m AE b AG o BA l AD
rambulan	ɾ BE ɐ BA m AE b AG ʊ BA l AD ɐ BA n AF
rantso	ɾ BE ɐ BA n AF t AI ʃ AH o BA
rason	ɾ BE ɐ BA s AH o BA n AF
rayos	ɾ BE ɐ BA j AB o BA s AH
razon	ɾ BE ɐ BA s AH o BA n AF
reaño	ɾ BE ɛ AM ɐ BA ɲ AK o BA
regala	ɾ BE ɛ AM ɰ AB ɐ BA l AD ɐ BA
regidor	ɾ BE ɛ AM h AA ɪ AM d AI o BA ɾ BE
rehas	ɾ BE ɛ AM h AA ɐ BA s AH
rekisito	ɾ BE ɛ AM x BC ɪ AM s AH ɪ AM t AI o BA
rekisitos	ɾ BE ɛ AM x BC ɪ AM s AH ɪ AM t AI o BA s AH
remigio	ɾ BE ɛ AM m AE ɪ AM h AA j AB o BA
remulla	ɾ BE ɛ AM m AE ʊ BA l AD l AD ɐ BA
reodica	ɾ BE ɛ AM o BA d AI ɪ AM x BC ɐ BA
resistensya	ɾ BE ɛ AM s AH ɪ AM s AH t AI ɛ AM n AF ʃ AH ɐ BA
resurreccion	ɾ BE ɛ AM s AH ʊ BA ɾ BE ɛ AM k AC ʃ AH o BA n AF
ricafort	ɾ BE ɪ AM x BC ɐ BA p AG o BA ɾ BE t AI
ricarte	ɾ BE ɪ AM x BC ɐ BA ɾ BE t AI ɛ AM
riles	ɾ BE ɪ AM l AD ɛ AM s AH
rivero	ɾ BE ɪ AM b AG ɛ AM ɾ BE o BA
riñon	ɾ BE ɪ AM ɲ AK o BA n AF
rombaoa	ɾ BE u BA m AE b AG ɐ BA w AJ ɐ BA
romualdez	ɾ BE o BA m AE w AJ ɐ BA l AD d AI ɛ AM s AH
romualdo	ɾ BE o BA m AE w AJ ɐ BA l AD d AI o BA
roxas	ɾ BE o BA d AI ʒ AH ɐ BA s AH
rulloda	ɾ BE ʊ BA l AD l AD o BA d AI ɐ BA
rumupok	ɾ BE ʊ BA m AE ʊ BA p AG o BA k AC
sabana	s AH ɐ BA b AG ɐ BA n AF ɐ BA
sabangan	s AH ɐ BA b AG ɐ BA ŋ AK ɐ BA n AF
sabon	s AH ɐ BA b AG o BA n AF
saboy	s AH a AM b AG o BA ɪ̯ AB
sabunin	s AH ɐ BA b AG ʊ BA n AF i AM n AF
sabunot	s AH ɐ BA b AG u BA n AF o BA t AI
sabunutan	s AH ɐ BA b AG ʊ BA n AF ʊ BA t AI ɐ BA n AF
sacdalan	s AH ɐ BA k AC d AI ɐ BA l AD ɐ BA n AF
sadya	s AH ɐ BA d AI ʒ AH a AM ʔ AL
sagimuymoy	s AH a AM ɰ AB i AM m AE u BA j AB m AE o BA j AB
saguinsin	s AH ɐ BA ɰ AB ɪ AM n AF s AH ɪ AM n AF
sagun	s AH ɐ BA ɰ AB ʊ BA n AF
saha	s AH ɐ BA h AA ɐ BA ʔ AL
sahagun	s AH ɐ BA h AA ɐ BA ɰ AB ʊ BA n AF
sahog	s AH ɐ BA h AA o BA ɡ AC
sais	s AH ɐ BA ʔ AL i AM s AH
sakal	s AH ɐ BA x BC a AM l AD
sakit	s AH ɐ BA x BC i AM t AI
sakitin	s AH ɐ BA x BC ɪ AM t AI ɪ AM n AF
saksi	s AH ɐ BA k AC s AH i AM
saksihan	s AH ɐ BA k AC s AH ɪ AM h AA a AM n AF
sakuna	s AH ɐ BA x BC ʊ BA n AF a AM
sala	s AH a AM l AD ɐ BA
salagubang	s AH ɐ BA l AD ɐ BA ɰ AB ʊ BA b AG ɐ BA ŋ AK
salarin	s AH ɐ BA l AD ɐ BA ɾ BE i AM n AF
salaula	s AH ɐ BA l AD ɐ BA ʔ AL ʊ BA l AD ɐ BA ʔ AL
salawal	s AH ɐ BA l AD ɐ BA w AJ a AM l AD
saldaña	s AH ɐ BA l AD d AI ɐ BA ɲ AK ɐ BA
sales	s AH ɐ BA l AD ɛ AM s AH
salitre	s AH ɐ BA l AD i AM t AI ɾ BE ɛ AM
salonga	s AH ɐ BA l AD o BA ŋ AK ɡ AC ɐ BA
salud	s AH ɐ BA l AD ʊ BA d AI
salumbides	s AH ɐ BA l AD u BA m AE b AG ɪ AM d AI ɛ AM s AH
salvacion	s AH ɐ BA l AD b AG ɐ BA s AH ɪ AM o BA n AF
salvatierra	s AH ɐ BA l AD b AG ɐ BA t AI ɪ AM ɛ AM ɾ BE ɾ BE ɐ BA
samaniego	s AH ɐ BA m AE ɐ BA ɲ AK ɛ AM ɰ AB o BA
samantala	s AH ɐ BA m AE ɐ BA n AF t AI a AM l AD ɐ BA ʔ AL
samid	s AH ɐ BA m AE i AM d AI
samonte	s AH ɐ BA m AE o BA n AF t AI ɛ AM
sampaloc	s AH ɐ BA m AE p AG ɐ BA l AD o BA k AC
sampalok	s AH ɐ BA m AE p AG a AM l AD o BA k AC
sangalang	s AH ɐ BA ŋ AK ɡ AC ɐ BA l AD ɐ BA ŋ AK
sangco	s AH ɐ BA ŋ AK k AC o BA
sanggol	s AH ɐ BA ŋ AK ɡ AC o BA l AD
sangkot	s AH ɐ BA ŋ AK k AC o BA t AI
sapa	s AH ɐ BA p AG ɐ BA ʔ AL
sapak	s AH ɐ BA p AG a AM k AC
sapok	s AH ɐ BA p AG o BA k AC
sapot	s AH ɐ BA p AG o BA t AI
saquing	s AH ɐ BA x BC ɪ AM ŋ AK
sawa	s AH ɐ BA w AJ a AM ʔ AL
saway	s AH ɐ BA w AJ a AM ɪ̯ AB
sawayin	s AH ɐ BA w AJ ɐ BA j AB i AM n AF
sayson	s AH a AM ɪ̯ AB s AH o BA n AF
segismundo	s AH ɛ AM ɰ AB ɪ AM s AH m AE ʊ BA n AF d AI o BA
segui	s AH ɛ AM ɰ AB ɪ AM
semantika	s AH ɛ AM m AE a AM n AF t AI ɪ AM x BC ɐ BA
semaña	s AH ɛ AM m AE ɐ BA ɲ AK ɐ BA
sentenaryo	s AH ɛ AM n AF t AI ɛ AM n AF ɐ BA ɾ BE j AB o BA
sentensiya	s AH ɛ AM n AF t AI ɛ AM n AF ʃ AH ɐ BA
sentensiyahan	s AH ɛ AM n AF t AI ɛ AM n AF ʃ AH ɐ BA h AA a AM n AF
sentido	s AH ɛ AM n AF t AI ɪ AM d AI o BA
seremonya	s AH ɛ AM ɾ BE ɛ AM m AE o BA ɲ AK ɐ BA
serna	s AH ɛ AM ɾ BE n AF ɐ BA
shabu	ʃ AH ɐ BA b AG u BA
siason	ʃ AH ɐ BA s AH o BA n AF
sibayan	s AH ɪ AM b AG ɐ BA j AB ɐ BA n AF
sibug	s AH ɪ AM b AG ʊ BA ɡ AC
sibuyas	s AH ɪ AM b AG ʊ BA j AB ɐ BA s AH
siga	s AH ɪ AM ɰ AB a AM ʔ AL
sigarilyas	s AH ɪ AM ɰ AB ɐ BA ɾ BE ɪ AM l AD j AB ɐ BA s AH
sige	s AH ɪ AM ɰ AB ɛ AM
siguraduhin	s AH ɪ AM ɰ AB ʊ BA ɾ BE ɐ BA d AI ʊ BA h AA ɪ AM n AF
siko	s AH i AM x BC o BA
silayan	s AH ɪ AM l AD ɐ BA j AB ɐ BA n AF
silindro	s AH ɪ AM l AD ɪ AM n AF d AI ɾ BE o BA
simbulan	s AH ɪ AM m AE b AG ʊ BA l AD ɐ BA n AF
sinapupunan	s AH ɪ AM n AF ɐ BA p AG ʊ BA p AG ʊ BA n AF ɐ BA n AF
sinat	s AH i AM n AF ɐ BA t AI
sinauna	s AH ɪ AM n AF a AM ʊ̯ AJ n AF ɐ BA
sinco	s AH ɪ AM ŋ AK k AC o BA
singil	s AH ɪ AM ŋ AK i AM l AD
sioson	ʃ AH o BA s AH o BA n AF
siping	s AH i AM p AG ɪ AM ŋ AK
sipon	s AH ɪ AM p AG ʔ AL o BA n AF
sipsip	s AH ɪ AM p AG s AH ɪ AM p AG
sira	s AH ɪ AM ɾ BE a AM ʔ AL
sirain	s AH ɪ AM ɾ BE a AM ʔ AL ɪ AM n AF
sisi	s AH i AM s AH ɪ AM
sisid	s AH i AM s AH ɪ AM d AI
sisihan	s AH ɪ AM s AH ɪ AM h AA a AM n AF
sitwasyon	s AH ɪ AM t AI w AJ ɐ BA ʃ AH o BA n AF
siya	ʃ AH a AM
sobrepeña	s AH o BA b AG ɾ BE ɛ AM p AG ɛ AM ɲ AK ɐ BA
soledad	s AH o BA l AD ɛ AM d AI ɐ BA d AI
solis	s AH o BA l AD ɪ AM s AH
sosa	s AH o BA s AH ɐ BA
suazo	s AH w AJ ɐ BA s AH o BA
sucgang	s AH ʊ BA k AC ɡ AC ɐ BA ŋ AK
sugal	s AH ʊ BA ɰ AB a AM l AD
suico	s AH ʊ BA ɪ AM x BC o BA
suka	s AH u BA x BC ɐ BA ʔ AL
sukal	s AH u BA x BC ɐ BA l AD
sulsol	s AH ʊ BA l AD s AH o BA l AD
sumadsad	s AH ʊ BA m AE ɐ BA d AI s AH ɐ BA d AI
sumemplang	s AH ʊ BA m AE ɛ AM m AE p AG l AD ɐ BA ŋ AK
suntok	s AH ʊ BA n AF t AI o BA k AC
suntukan	s AH ʊ BA n AF t AI ʊ BA x BC ɐ BA n AF
suntukin	s AH ʊ BA n AF t AI ʊ BA x BC i AM n AF
supling	s AH ʊ BA p AG l AD i AM ŋ AK
surot	s AH ʊ BA ɾ BE o BA t AI
sustento	s AH ʊ BA s AH t AI ɛ AM n AF t AI o BA
taduran	t AI ɐ BA d AI ʊ BA ɾ BE ɐ BA n AF
tagapagmana	t AI ɐ BA ɰ AB ɐ BA p AG ɐ BA ɡ AC m AE ɐ BA n AF ɐ BA
tagas	t AI ɐ BA ɰ AB ɐ BA s AH
tagiktik	t AI ɐ BA ɰ AB ɪ AM k AC t AI i AM k AC
tagtuyot	t AI ɐ BA ɡ AC t AI ʊ BA j AB o BA t AI
taguba	t AI ɐ BA ɰ AB ʊ BA b AG ɐ BA
tagubilin	t AI ɐ BA ɰ AB ʊ BA b AG ɪ AM l AD ɪ AM n AF
taguinod	t AI ɐ BA ɰ AB ɪ AM n AF o BA d AI
tagupa	t AI ɐ BA ɰ AB ʊ BA p AG ɐ BA
takahashi	t AI ɐ BA x BC ɐ BA h AA ɐ BA ʃ AH ɪ AM
talag	t AI ɐ BA l AD ɐ BA ɡ AC
talampas	t AI ɐ BA l AD ɐ BA m AE p AG ɐ BA s AH
talavera	t AI ɐ BA l AD ɐ BA b AG ɛ AM ɾ BE ɐ BA
talento	t AI ɐ BA l AD ɛ AM n AF t AI o BA
talo	t AI ɐ BA l AD o BA
talong	t AI ɐ BA l AD o BA ŋ AK
talukbong	t AI ɐ BA l AD ʊ BA k AC b AG o BA ŋ AK
talunan	t AI ɐ BA l AD ʊ BA n AF a AM n AF
tamban	t AI ɐ BA m AE b AG a AM n AF
tamis	t AI ɐ BA m AE i AM s AH
tampal	t AI ɐ BA m AE p AG a AM l AD
tanauan	t AI ɐ BA n AF ʔ AL ɐ BA w AJ ɐ BA n AF
tancinco	t AI ɐ BA n AF s AH ɪ AM ŋ AK k AC o BA
tangco	t AI ɐ BA ŋ AK k AC o BA
tanghalian	t AI ɐ BA ŋ AK h AA ɐ BA l AD ɪ AM ʔ AL ɐ BA n AF
tanikala	t AI ɐ BA n AF ɪ AM x BC ɐ BA l AD a AM ʔ AL
tanso	t AI ɐ BA n AF s AH o BA ʔ AL
tantiya	t AI ɐ BA n AF t AI ʃ AH ɐ BA
taon	t AI ɐ BA ʔ AL o BA n AF
tapales	t AI ɐ BA p AG ɐ BA l AD ɛ AM s AH
tapilok	t AI ɐ BA p AG ɪ AM l AD o BA k AC
tarik	t AI ɐ BA ɾ BE i AM k AC
taruc	t AI ɐ BA ɾ BE ʊ BA k AC
tasa	t AI ɐ BA s AH a AM
tatlonghari	t AI ɐ BA t AI l AD o BA ŋ AK h AA ɐ BA ɾ BE ɪ AM
tato	t AI ɐ BA t AI o BA ʔ AL
tañada	t AI ɐ BA ɲ AK ɐ BA d AI ɐ BA
tenyente	t AI ɛ AM ɲ AK ɛ AM n AF t AI ɛ AM
teoriya	t AI ɛ AM o BA ɾ BE i AM ɐ BA
teritoryo	t AI ɛ AM ɾ BE ɪ AM t AI o BA ɾ BE j AB o BA
tiamson	t AI ʃ AH ɐ BA m AE s AH o BA n AF
tiangco	t AI ʃ AH ɐ BA ŋ AK k AC o BA
tibay	t AI i AM b AG a AM ɪ̯ AB
tiburcio	t AI ɪ AM b AG ʊ BA ɾ BE ʃ AH o BA
ticzon	t AI ɪ AM k AC s AH o BA n AF
tigang	t AI ɪ AM ɰ AB a AM ŋ AK
tigas	t AI ɪ AM ɰ AB a AM s AH
tiis	t AI ɪ AM ʔ AL i AM s AH
tikbalang	t AI ɪ AM k AC b AG a AM l AD ɐ BA ŋ AK
tiklop	t AI ɪ AM k AC l AD o BA p AG
tiktik	t AI ɪ AM k AC t AI i AM k AC
timbang	t AI ɪ AM m AE b AG a AM ŋ AK
tindero	t AI ɪ AM n AF d AI ɛ AM ɾ BE o BA
tindig	t AI ɪ AM n AF d AI i AM ɡ AC
tinga	t AI ɪ AM ŋ AK a AM
tingala	t AI ɪ AM ŋ AK ɐ BA l AD a AM ʔ AL
tingalaan	t AI ɪ AM ŋ AK ɐ BA l AD ɐ BA a AM n AF
tingin	t AI ɪ AM ŋ AK i AM n AF
tinidor	t AI ɪ AM n AF ɪ AM d AI o BA ɾ BE
tinik	t AI ɪ AM n AF i AM k AC
tinta	t AI ɪ AM n AF t AI a AM
tio	t AI ʃ AH o BA
tiongco	t AI ɪ AM o BA ŋ AK k AC o BA
tiozon	t AI ʃ AH o BA s AH o BA n AF
tipaklong	t AI ɪ AM p AG a AM k AC l AD o BA ŋ AK
tira	t AI ɪ AM ɾ BE a AM
tiraniya	t AI ɪ AM ɾ BE ɐ BA n AF i AM ɐ BA
tirik	t AI ɪ AM ɾ BE i AM k AC
tiris	t AI ɪ AM ɾ BE i AM s AH
tirona	t AI ɪ AM ɾ BE o BA n AF ɐ BA
tiwali	t AI ɪ AM w AJ ɐ BA l AD i AM ʔ AL
tiya	t AI ɪ AM ɐ BA
tiyaga	t AI ɪ AM ɐ BA ɰ AB a AM ʔ AL
tiyahin	t AI ʃ AH ɐ BA h AA ɪ AM n AF
tiyan	t AI ʃ AH a AM n AF
tiyanak	t AI ʃ AH a AM n AF ɐ BA k AC
tiyangge	t AI ʃ AH a AM ŋ AK ɡ AC ɛ AM ʔ AL
tiyo	t AI ɪ AM o BA
tiyuhin	t AI ʃ AH ʊ BA h AA ɪ AM n AF
tonelada	t AI o BA n AF ɛ AM l AD ɐ BA d AI ɐ BA
topacio	t AI o BA p AG ɐ BA ʃ AH o BA
torrecampo	t AI o BA ɾ BE ɾ BE ɛ AM x BC ɐ BA m AE p AG o BA
totanes	t AI o BA t AI ɐ BA n AF ɛ AM s AH
trangkaso	t AI ɾ BE ɐ BA ŋ AK k AC a AM s AH o BA
trapik	t AI ɾ BE a AM p AG ɪ AM k AC
traqueña	t AI ɾ BE ɐ BA x BC ɛ AM ɲ AK ɐ BA
tratado	t AI ɾ BE ɐ BA t AI a AM d AI o BA
traydor	t AI ɾ BE a AM ɪ̯ AB d AI o BA ɾ BE
tren	t AI ɾ BE ɛ AM n AF
tria	t AI ɾ BE ɪ AM ɐ BA
trillanes	t AI ɾ BE ɪ AM l AD l AD ɐ BA n AF ɛ AM s AH
trip	t AI ɾ BE ɪ AM p AG
tsikinini	t AI ʃ AH ɪ AM x BC ɪ AM n AF i AM n AF ɪ AM ʔ AL
tsikot	t AI ʃ AH ɪ AM x BC o BA t AI
tuason	t AI w AJ ɐ BA s AH o BA n AF
tuba	t AI ʊ BA b AG a AM
tubero	t AI ʊ BA b AG ɛ AM ɾ BE o BA
tubo	t AI ʊ BA b AG o BA
tubuhan	t AI ʊ BA b AG ʊ BA h AA a AM n AF
tugade	t AI ʊ BA ɰ AB ɐ BA d AI ɛ AM
tugtog	t AI ʊ BA ɡ AC t AI o BA ɡ AC
tukod	t AI u BA x BC o BA d AI
tukso	t AI ʊ BA k AC s AH o BA
tulad	t AI u BA l AD ɐ BA d AI
tulak	t AI u BA l AD ɐ BA k AC
tulay	t AI ʊ BA l AD a AM ɪ̯ AB
tulingan	t AI ʊ BA l AD ɪ AM ŋ AK ɐ BA n AF
tullao	t AI ʊ BA l AD j AB a AM ʊ̯ AJ
tuloy	t AI ʊ BA l AD o BA ɪ̯ AB
tumacder	t AI ʊ BA m AE ɐ BA k AC d AI ɛ AM ɾ BE
tumae	t AI ʊ BA m AE ɐ BA ʔ AL ɛ AM
tumbaga	t AI u BA m AE b AG ɐ BA ɰ AB ɐ BA
tumbalik	t AI u BA m AE b AG ɐ BA l AD ɪ AM k AC
tumingala	t AI ʊ BA m AE ɪ AM ŋ AK ɐ BA l AD a AM ʔ AL
tumira	t AI ʊ BA m AE ɪ AM ɾ BE ɐ BA
tumukso	t AI ʊ BA m AE ʊ BA k AC s AH o BA
tunay	t AI u BA n AF a AM ɪ̯ AB
tungaw	t AI ʊ BA ŋ AK a AM ʊ̯ AJ
tungkab	t AI ʊ BA ŋ AK k AC a AM b AG
tungkod	t AI ʊ BA ŋ AK k AC o BA d AI
tungkol	t AI ʊ BA ŋ AK k AC o BA l AD
tungkos	t AI ʊ BA ŋ AK k AC o BA s AH
tunton	t AI ʊ BA n AF t AI o BA n AF
tupad	t AI ʊ BA p AG a AM d AI
tupi	t AI ʊ BA p AG i AM ʔ AL
turnilyo	t AI ʊ BA ɾ BE n AF i AM l AD j AB o BA
turok	t AI ʊ BA ɾ BE o BA k AC
tutol	t AI ʊ BA t AI o BA l AD
tuwa	t AI w AJ a AM ʔ AL
tuwad	t AI w AJ a AM d AI
tuwalya	t AI w AJ ɐ BA l AD j AB ɐ BA
tuwang	t AI w AJ a AM ŋ AK
ubas	ʔ AL ʊ BA b AG ɐ BA s AH
ubasan	ʔ AL ʊ BA b AG ɐ BA s AH a AM n AF
udyukan	ʔ AL ʊ BA d AI ʒ AH ʊ BA x BC a AM n AF
ugat	ʔ AL ʊ BA ɰ AB a AM t AI
ulep	ʔ AL ʊ BA l AD ɛ AM p AG
ulila	ʔ AL ʊ BA l AD i AM l AD ɐ BA
uling	ʔ AL u BA l AD ɪ AM ŋ AK
umasinta	ʔ AL ʊ BA m AE ɐ BA s AH ɪ AM n AF t AI a AM
umawat	ʔ AL ʊ BA m AE a AM w AJ ɐ BA t AI
umpisa	ʔ AL u BA m AE p AG ɪ AM s AH a AM
umutot	ʔ AL ʊ BA m AE ʊ BA t AI o BA t AI
untalan	ʔ AL ʊ BA n AF t AI ɐ BA l AD ɐ BA n AF
upa	ʔ AL ʊ BA p AG ɐ BA
uriarte	ʔ AL ʊ BA ɾ BE j AB ɐ BA ɾ BE t AI ɛ AM
ursua	ʔ AL ʊ BA ɾ BE s AH ʊ BA ɐ BA
usap	ʔ AL u BA s AH ɐ BA p AG
usisero	ʔ AL ʊ BA s AH ɪ AM s AH ɛ AM ɾ BE o BA
utot	ʔ AL ʊ BA t AI o BA t AI
uwak	ʔ AL ʊ BA a AM k AC
uwi	ʔ AL ʊ BA i AM ʔ AL
valera	b AG ɐ BA l AD ɛ AM ɾ BE ɐ BA
valle	b AG ɐ BA l AD l AD ɛ AM
valmores	b AG ɐ BA l AD m AE o BA ɾ BE ɛ AM s AH
varias	b AG ɐ BA ɾ BE ɪ AM ɐ BA s AH
varona	b AG ɐ BA ɾ BE o BA n AF ɐ BA
vecino	b AG ɛ AM s AH ɪ AM n AF o BA
velarde	b AG ɛ AM l AD ɐ BA ɾ BE d AI ɛ AM
velasquez	b AG ɛ AM l AD ɐ BA s AH k AC ɛ AM s AH
veloria	b AG ɛ AM l AD o BA ɾ BE j AB ɐ BA
veneracion	b AG ɛ AM n AF ɛ AM ɾ BE ɐ BA ʃ AH o BA n AF
venturina	b AG ɛ AM n AF t AI ʊ BA ɾ BE ɪ AM n AF ɐ BA
versoza	b AG ɛ AM ɾ BE s AH o BA s AH ɐ BA
villablanca	b AG ɪ AM l AD l AD ɐ BA b AG l AD ɐ BA ŋ AK k AC ɐ BA
villacarlos	b AG ɪ AM l AD l AD ɐ BA x BC ɐ BA ɾ BE l AD o BA s AH
villafranca	b AG ɪ AM l AD l AD ɐ BA p AG ɾ BE ɐ BA ŋ AK k AC ɐ BA
villafuerte	b AG ɪ AM l AD l AD ɐ BA p AG w AJ ɛ AM ɾ BE t AI ɛ AM
villagracia	b AG ɪ AM l AD l AD ɐ BA ɡ AC ɾ BE ɐ BA ʃ AH ɐ BA
villamater	b AG ɪ AM l AD l AD ɐ BA m AE ɐ BA t AI ɛ AM ɾ BE
villamin	b AG ɪ AM l AD l AD ɐ BA m AE ɪ AM n AF
villamor	b AG ɪ AM l AD l AD ɐ BA m AE o BA ɾ BE
villapando	b AG ɪ AM l AD l AD ɐ BA p AG ɐ BA n AF d AI o BA
villareal	b AG ɪ AM l AD l AD ɐ BA ɾ BE ɛ AM ɐ BA l AD
villarino	b AG ɪ AM l AD l AD ɐ BA ɾ BE ɪ AM n AF o BA
villaruz	b AG ɪ AM l AD l AD ɐ BA ɾ BE ʊ BA s AH
villaseñor	b AG ɪ AM l AD l AD ɐ BA s AH ɛ AM ɲ AK o BA ɾ BE
villasis	b AG ɪ AM l AD l AD ɐ BA s AH ɪ AM s AH
villaverde	b AG ɪ AM l AD l AD ɐ BA b AG ɛ AM ɾ BE d AI ɛ AM
villavicencio	b AG ɪ AM l AD l AD ɐ BA b AG ɪ AM s AH ɛ AM n AF ʃ AH o BA
villegas	b AG ɪ AM l AD l AD ɛ AM ɰ AB ɐ BA s AH
vinoya	b AG ɪ AM n AF o BA j AB ɐ BA
virata	b AG ɪ AM ɾ BE ɐ BA t AI ɐ BA
virrey	b AG ɪ AM ɾ BE ɾ BE ɛ AM ɪ̯ AB
visaya	b AG ɪ AM s AH ɐ BA j AB ɐ BA ʔ AL
volante	b AG o BA l AD ɐ BA n AF t AI ɛ AM
wang	w AJ ɐ BA ŋ AK
wangis	w AJ a AM ŋ AK ɪ AM s AH
yalung	j AB ɐ BA l AD ʊ BA ŋ AK
yarda	j AB ɐ BA ɾ BE d AI ɐ BA
yasay	j AB ɐ BA s AH a AM ɪ̯ AB
yatco	j AB ɐ BA t AI k AC o BA
ybañez	ʔ AL ɪ AM b AG ɐ BA ɲ AK ɛ AM s AH
yuvienco	j AB ʊ BA b AG ɪ AM ɛ AM ŋ AK k AC o BA
yñiguez	j AB ɲ AK ɪ AM ɰ AB ɛ AM s AH
zafra	s AH ɐ BA p AG ɾ BE ɐ BA
zaide	s AH a AM ɪ̯ AB d AI ɛ AM
zapanta	s AH ɐ BA p AG ɐ BA n AF t AI ɐ BA
zavalla	s AH ɐ BA b AG ɐ BA l AD l AD ɐ BA
zoleta	s AH o BA l AD ɛ AM t AI ɐ BA
zuñiga	s AH ʊ BA ɲ AK ɪ AM ɰ AB ɐ BA
