aa	ɑː AE
ahtautua	ɑ AD x t̪ ɑ AD u AF t̪ u AF ɑ AD ʔ
ahtautuminen	ɑ AD x t̪ ɑ AD u AF t̪ u AF m i AD n e̞ AD n
ahtera	ɑ AD x t̪ e̞ AD r ɑ AD
ahteri	ɑ AD x t̪ e̞ AD r i AD
ahti	ɑ AD x t̪ i AD
ahto	ɑ AD x t̪ o̞ AF
ahtojää	ɑ AD x t̪ o̞ AF j AB æː AE
ahtoutuminen	ɑ AD x t̪ o̞ AF u AF t̪ u AF m i AD n e̞ AD n
ahven	ɑ AD x ʋ AC e̞ AD n
ahvenanmaa	ɑ AD x ʋ AC e̞ AD n ɑ AD m m ɑː AE
ahvenanmaanlammas	ɑ AD x ʋ AC e̞ AD n ɑ AD m m ɑː AE n l ɑ AD mː ɑ AD s̠
ahvenanmeri	ɑ AD x ʋ AC e̞ AD n ɑ AD m m e̞ AD r i AD
ahvenkala	ɑ AD x ʋ AC e̞ AD ŋ k ɑ AD l ɑ AD
ahvenkalat	ɑ AD x ʋ AC e̞ AD ŋ k ɑ AD l ɑ AD t̪
ahvenmuhennos	ɑ AD x ʋ AC e̞ AD m m u AF ɦ AA e̞ AD nː o̞ AF s̠
ahvo	ɑ AD x ʋ AC o̞ AF
ai	ɑ AD i̯ AB
aiai	ɑ AD i̯ AB ɑ AD i̯ AB
aidanteko	ɑ AD i̯ AB d ɑ AD n t̪ e̞ AD k o̞ AF
aidas	ɑ AD i̯ AB d ɑ AD s̠
aidata	ɑ AD i̯ AB d ɑ AD t̪ ɑ AD ʔ
aidattu	ɑ AD i̯ AB d ɑ AD t̪ː u AF
aidoittaminen	ɑ AD i̯ AB d o̞ AF i̯ AB t̪ t̪ ɑ AD m i AD n e̞ AD n
aids	ɑ AD i̯ AB d s̠
aie	ɑ AD i̯ AB e̞ AD ʔ
aientaa	ɑ AD i̯ AB e̞ AD n̪ t̪ ɑː AE ʔ
aientaminen	ɑ AD i̯ AB e̞ AD n t̪ ɑ AD m i AD n e̞ AD n
aihe	ɑ AD i̯ AB ɦ AA e̞ AD ʔ
aiheellistaa	ɑ AD i̯ AB ɦ AA e̞ː AE l l i AD s̠ t̪ ɑː AE ʔ
aiheellistaminen	ɑ AD i̯ AB ɦ AA e̞ː AE l l i AD s̠ t̪ ɑ AD m i AD n e̞ AD n
aiheellistuminen	ɑ AD i̯ AB ɦ AA e̞ː AE l l i AD s̠ t̪ u AF m i AD n e̞ AD n
aiheeton	ɑ AD i̯ AB ɦ AA e̞ː AE t̪ o̞ AF n
aihekokonaisuus	ɑ AD i̯ AB ɦ AA e̞ AD k̚ k o̞ AF k o̞ AF n ɑ AD i̯ AB s̠ uː AG s̠
aihetodiste	ɑ AD i̯ AB ɦ AA e̞ AD t̪̚ t̪ o̞ AF d i AD s̠ t̪ e̞ AD ʔ
aiheuttaa	ɑ AD i̯ AB ɦ AA e̞ AD u AF t̪ː ɑː AE ʔ
aiheuttaminen	ɑ AD i̯ AB ɦ AA e̞ AD u AF t̪ː ɑ AD m i AD n e̞ AD n
aiheutua	ɑ AD i̯ AB ɦ AA e̞ AD u AF t̪ u AF ɑ AD ʔ
aiheutuminen	ɑ AD i̯ AB ɦ AA e̞ AD u AF t̪ u AF m i AD n e̞ AD n
aihio	ɑ AD i̯ AB ɦ AA i AD o̞ AF
aija	ɑ AD i̯ AB jː AH ɑ AD
aijai	ɑ AD i̯ AB jː AH ɑ AD i̯ AB
aika	ɑ AD i̯ AB k ɑ AD
aikaan	ɑ AD i̯ AB k ɑː AE n
aikaansaada	ɑ AD i̯ AB k ɑː AE n s̠ ɑː AE d ɑ AD ʔ
aikaansaaminen	ɑ AD i̯ AB k ɑː AE n s̠ ɑː AE m i AD n e̞ AD n
aikaansaavuus	ɑ AD i̯ AB k ɑː AE n s̠ ɑː AE ʋ AC uː AG s̠
aikaerotteinen	ɑ AD i̯ AB k ɑ AD e̞ AD r o̞ AF t̪ t̪ e̞ AD i̯ AB n e̞ AD n
aikaikkuna	ɑ AD i̯ AB k ɑ AD i AD kː u AF n ɑ AD
aikaileminen	ɑ AD i̯ AB k ɑ AD i̯ AB l e̞ AD m i AD n e̞ AD n
aikailla	ɑ AD i̯ AB k ɑ AD i̯ AB lː ɑ AD ʔ
aikaillen	ɑ AD i̯ AB k ɑ AD i̯ AB lː e̞ AD n
aikainen	ɑ AD i̯ AB k ɑ AD i̯ AB n e̞ AD n
aikaisemmin	ɑ AD i̯ AB k ɑ AD i̯ AB s̠ e̞ AD mː i AD n
aikaisheteisyys	ɑ AD i̯ AB k ɑ AD i̯ AB s̠ h AA e̞ AD t̪ e̞ AD i̯ AB s̠ yː AG s̠
aikaisimmin	ɑ AD i̯ AB k ɑ AD i̯ AB s̠ i AD mː i AD n
aikaistaa	ɑ AD i̯ AB k ɑ AD i̯ AB s̠ t̪ ɑː AE ʔ
aikaistaminen	ɑ AD i̯ AB k ɑ AD i̯ AB s̠ t̪ ɑ AD m i AD n e̞ AD n
aikaistua	ɑ AD i̯ AB k ɑ AD i̯ AB s̠ t̪ u AF ɑ AD ʔ
aikaistuminen	ɑ AD i̯ AB k ɑ AD i̯ AB s̠ t̪ u AF m i AD n e̞ AD n
aikajakso	ɑ AD i̯ AB k ɑ AD j AB ɑ AD k s̠ o̞ AF
aikakatkaista	ɑ AD i̯ AB k ɑ AD k ɑ AD t̪ k ɑ AD i̯ AB s̠ t̪ ɑ AD ʔ
aikakatkaisu	ɑ AD i̯ AB k ɑ AD k ɑ AD t̪ k ɑ AD i̯ AB s̠ u AF
aikakausi	ɑ AD i̯ AB k ɑ AD k ɑ AD u̯ AC s̠ i AD
aikakauslehtipaperi	ɑ AD i̯ AB k ɑ AD k ɑ AD u̯ AC s̠ l e̞ AD h AA t̪ i AD p ɑ AD p e̞ AD r i AD
aikakoodi	ɑ AD i̯ AB k ɑ AD k o̞ː AG d i AD
aikalainen	ɑ AD i̯ AB k ɑ AD l ɑ AD i̯ AB n e̞ AD n
aikalaskelma	ɑ AD i̯ AB k ɑ AD l ɑ AD s̠ k e̞ AD l m ɑ AD
aikamatka	ɑ AD i̯ AB k ɑ AD m ɑ AD t̪ k ɑ AD
aikamatkaaja	ɑ AD i̯ AB k ɑ AD m ɑ AD t̪ k ɑː AE j AB ɑ AD
aikamatkailu	ɑ AD i̯ AB k ɑ AD m ɑ AD t̪ k ɑ AD i̯ AB l u AF
aikamoinen	ɑ AD i̯ AB k ɑ AD m o̞ AF i̯ AB n e̞ AD n
aikamuoto	ɑ AD i̯ AB k ɑ AD m u AF o̞̯ t̪ o̞ AF
aikana	ɑ AD i̯ AB k ɑ AD n ɑ AD
aikanaan	ɑ AD i̯ AB k ɑ AD n ɑː AE n
aikaohjaus	ɑ AD i̯ AB k ɑ AD o̞ AF x j AB ɑ AD u AF s̠
aikapallo	ɑ AD i̯ AB k ɑ AD p ɑ AD lː o̞ AF
aikapula	ɑ AD i̯ AB k ɑ AD p u AF l ɑ AD
aikaraja	ɑ AD i̯ AB k ɑ AD r ɑ AD j AB ɑ AD
aikasakko	ɑ AD i̯ AB k ɑ AD s̠ ɑ AD kː o̞ AF
aikasarja	ɑ AD i̯ AB k ɑ AD s̠ ɑ AD r j AB ɑ AD
aikatauluttaa	ɑ AD i̯ AB k ɑ AD t̪ ɑ AD u̯ AC l u AF t̪ː ɑː AE ʔ
aikatauluttaminen	ɑ AD i̯ AB k ɑ AD t̪ ɑ AD u AF l u AF t̪ː ɑ AD m i AD n e̞ AD n
aikatyö	ɑ AD i̯ AB k ɑ AD t̪ y AF ø̞̯
aikaväli	ɑ AD i̯ AB k ɑ AD ʋ AC æ AD l i AD
aikeissa	ɑ AD i̯ AB k e̞ AD i̯ AB s̠ː ɑ AD
aikido	ɑ AD i̯ AB k i AD d o̞ AF
aikoa	ɑ AD i̯ AB k o̞ AF ɑ AD ʔ
aikoinaan	ɑ AD i̯ AB k o̞ AF i̯ AB n ɑː AE n
aikominen	ɑ AD i̯ AB k o̞ AF m i AD n e̞ AD n
aikuinen	ɑ AD i̯ AB k u AF i̯ AB n e̞ AD n
aikuislapsi	ɑ AD i̯ AB k u AF i̯ AB s̠ l ɑ AD p s̠ i AD
aikuistua	ɑ AD i̯ AB k u AF i̯ AB s̠ t̪ u AF ɑ AD ʔ
aikuistuminen	ɑ AD i̯ AB k u AF i̯ AB s̠ t̪ u AF m i AD n e̞ AD n
aikuistuttava	ɑ AD i̯ AB k u AF i̯ AB s̠ t̪ u AF t̪ː ɑ AD ʋ AC ɑ AD
aikuistuttu	ɑ AD i̯ AB k u AF i̯ AB s̠ t̪ u AF t̪ː u AF
aila	ɑ AD i̯ AB l ɑ AD
ailahdella	ɑ AD i̯ AB l ɑ AD h AA d e̞ AD lː ɑ AD ʔ
ailahdellen	ɑ AD i̯ AB l ɑ AD h AA d e̞ AD lː e̞ AD n
ailahtaa	ɑ AD i̯ AB l ɑ AD x t̪ ɑː AE ʔ
ailahtaminen	ɑ AD i̯ AB l ɑ AD h AA t̪ ɑ AD m i AD n e̞ AD n
ailahteleminen	ɑ AD i̯ AB l ɑ AD h AA t̪ e̞ AD l e̞ AD m i AD n e̞ AD n
aili	ɑ AD i̯ AB l i AD
ailurofobia	ɑ AD i̯ AB l u AF r o̞ AF f o̞ AF b i AD ɑ AD
aimo	ɑ AD i̯ AB m o̞ AF
aina	ɑ AD i̯ AB n ɑ AD
aine	ɑ AD i̯ AB n e̞ AD ʔ
aineellinen	ɑ AD i̯ AB n e̞ː AE l l i AD n e̞ AD n
aineellistaa	ɑ AD i̯ AB n e̞ː AE l l i AD s̠ t̪ ɑː AE ʔ
aineellistaminen	ɑ AD i̯ AB n e̞ː AE l l i AD s̠ t̪ ɑ AD m i AD n e̞ AD n
aineellistuminen	ɑ AD i̯ AB n e̞ː AE l l i AD s̠ t̪ u AF m i AD n e̞ AD n
aineenvaihdunta	ɑ AD i̯ AB n e̞ː AE n ʋ AC ɑ AD i̯ AB ç d u AF n̪ t̪ ɑ AD
aineet	ɑ AD i̯ AB n e̞ː AE t̪
aineeton	ɑ AD i̯ AB n e̞ː AE t̪ o̞ AF n
ainehiukkanen	ɑ AD i̯ AB n e̞ AD h AA h AA i AD u̯ AC kː ɑ AD n e̞ AD n
aineisto	ɑ AD i̯ AB n e̞ AD i̯ AB s̠ t̪ o̞ AF
aineistotietokanta	ɑ AD i̯ AB n e̞ AD i̯ AB s̠ t̪ o̞ AF t̪ i AD e̞̯ t̪ o̞ AF k ɑ AD n̪ t̪ ɑ AD
aineistua	ɑ AD i̯ AB n e̞ AD i̯ AB s̠ t̪ u AF ɑ AD ʔ
aineistuminen	ɑ AD i̯ AB n e̞ AD i̯ AB s̠ t̪ u AF m i AD n e̞ AD n
ainemäärä	ɑ AD i̯ AB n e̞ AD m m æː AE r æ AD
aineoppi	ɑ AD i̯ AB n e̞ AD ʔ o̞ AF pː i AD
aineryhmä	ɑ AD i̯ AB n e̞ AD r r y AF ç m æ AD
aines	ɑ AD i̯ AB n e̞ AD s̠
ainesana	ɑ AD i̯ AB n e̞ AD s̠ s̠ ɑ AD n ɑ AD
ainesosa	ɑ AD i̯ AB n e̞ AD s̠ o̞ AF s̠ ɑ AD
aini	ɑ AD i̯ AB n i AD
ainikki	ɑ AD i̯ AB n i AD kː i AD
aino	ɑ AD i̯ AB n o̞ AF
ainoa	ɑ AD i̯ AB n o̞ AF ɑ AD
ainokainen	ɑ AD i̯ AB n o̞ AF k ɑ AD i̯ AB n e̞ AD n
ainuntaa	ɑ AD i̯ AB n u AF n̪ t̪ ɑː AE ʔ
ainut	ɑ AD i̯ AB n u AF t̪
aio	ɑ AD i̯ AB o̞ AF ʔ
aioli	ɑ AD i̯ AB o̞ AF l i AD
aiolinen	ɑ AD i̯ AB o̞ AF l i AD n e̞ AD n
aion	ɑ AD i̯ AB o̞ AF n
aioni	ɑ AD i̯ AB o̞ AF n i AD
aira	ɑ AD i̯ AB r ɑ AD
airi	ɑ AD i̯ AB r i AD
airo	ɑ AD i̯ AB r o̞ AF
airut	ɑ AD i̯ AB r u AF t̪
ais	ɑ AD i̯ AB s̠
aisa	ɑ AD i̯ AB s̠ ɑ AD
aisaaminen	ɑ AD i̯ AB s̠ ɑː AE m i AD n e̞ AD n
aisakeinu	ɑ AD i̯ AB s̠ ɑ AD k e̞ AD i̯ AB n u AF
aisankannatin	ɑ AD i̯ AB s̠ ɑ AD ŋ k ɑ AD nː ɑ AD t̪ i AD n
aisti	ɑ AD i̯ AB s̠ t̪ i AD ʔ
aistia	ɑ AD i̯ AB s̠ t̪ i AD ɑ AD ʔ
aistielämys	ɑ AD i̯ AB s̠ t̪ i AD e̞ AD l æ AD m y AF s̠
aistiharha	ɑ AD i̯ AB s̠ t̪ i AD h AA ɑ AD r h AA ɑ AD
aistikas	ɑ AD i̯ AB s̠ t̪ i AD k ɑ AD s̠
aistin	ɑ AD i̯ AB s̠ t̪ i AD n
aistinelin	ɑ AD i̯ AB s̠ t̪ i AD n e̞ AD l i AD n
aistinsisältö	ɑ AD i̯ AB s̠ t̪ i AD n s̠ i AD s̠ æ AD l t̪ ø̞ AF
aita	ɑ AD i̯ AB t̪ ɑ AD
aitaa	ɑ AD i̯ AB t̪ ɑː AE ʔ
aitaamaton	ɑ AD i̯ AB t̪ ɑː AE m ɑ AD t̪ o̞ AF n
aitaaminen	ɑ AD i̯ AB t̪ ɑː AE m i AD n e̞ AD n
aitio	ɑ AD i̯ AB t̪ i AD o̞ AF
aito	ɑ AD i̯ AB t̪ o̞ AF
aitoa	ɑ AD i̯ AB t̪ o̞ AF ɑ AD ʔ
aitoakseen	ɑ AD i̯ AB t̪ o̞ AF ɑ AD k s̠ e̞ː AE n
aitoja	ɑ AD i̯ AB t̪ o̞ AF j AB ɑ AD
aitolehti	ɑ AD i̯ AB t̪ o̞ AF l e̞ AD h AA t̪ i AD
aitomaksasammal	ɑ AD i̯ AB t̪ o̞ AF m ɑ AD k s̠ ɑ AD s̠ ɑ AD mː ɑ AD l
aitominen	ɑ AD i̯ AB t̪ o̞ AF m i AD n e̞ AD n
aitosammal	ɑ AD i̯ AB t̪ o̞ AF s̠ ɑ AD mː ɑ AD l
aitotumainen	ɑ AD i̯ AB t̪ o̞ AF t̪ u AF m ɑ AD i̯ AB n e̞ AD n
aitovirna	ɑ AD i̯ AB t̪ o̞ AF ʋ AC i AD r n ɑ AD
aitta	ɑ AD i̯ AB t̪ː ɑ AD
aivan	ɑ AD i̯ AB ʋ AC ɑ AD n
aivastaa	ɑ AD i̯ AB ʋ AC ɑ AD s̠ t̪ ɑː AE ʔ
aivastava	ɑ AD i̯ AB ʋ AC ɑ AD s̠ t̪ ɑ AD ʋ AC ɑ AD
aivasteleminen	ɑ AD i̯ AB ʋ AC ɑ AD s̠ t̪ e̞ AD l e̞ AD m i AD n e̞ AD n
aivastuttaminen	ɑ AD i̯ AB ʋ AC ɑ AD s̠ t̪ u AF t̪ː ɑ AD m i AD n e̞ AD n
aivojumppa	ɑ AD i̯ AB ʋ AC o̞ AF j AB u AF m pː ɑ AD
aivokalvontulehdus	ɑ AD i̯ AB ʋ AC o̞ AF k ɑ AD l ʋ AC o̞ AF n t̪ u AF l e̞ AD h AA d u AF s̠
aivokirurgi	ɑ AD i̯ AB ʋ AC o̞ AF k i AD r u AF r ɡ i AD
aivokuolema	ɑ AD i̯ AB ʋ AC o̞ AF k u AF o̞̯ l e̞ AD m ɑ AD
aivokuorenalainen	ɑ AD i̯ AB ʋ AC o̞ AF k u AF o̞̯ r e̞ AD n ɑ AD l ɑ AD i̯ AB n e̞ AD n
aivokuori	ɑ AD i̯ AB ʋ AC o̞ AF k u AF o̞̯ r i AD
aivokurkiainen	ɑ AD i̯ AB ʋ AC o̞ AF k u AF r k i AD ɑ AD i̯ AB n e̞ AD n
aivokuume	ɑ AD i̯ AB ʋ AC o̞ AF k uː AG m e̞ AD ʔ
aivokäyrä	ɑ AD i̯ AB ʋ AC o̞ AF k æ AD y̯ r æ AD
aivolisäke	ɑ AD i̯ AB ʋ AC o̞ AF l i AD s̠ æ AD k e̞ AD ʔ
aivolohko	ɑ AD i̯ AB ʋ AC o̞ AF l o̞ AF x k o̞ AF
aivolymfooma	ɑ AD i̯ AB ʋ AC o̞ AF l y AF m f o̞ː AG m ɑ AD
aivomato	ɑ AD i̯ AB ʋ AC o̞ AF m ɑ AD t̪ o̞ AF
aivopestä	ɑ AD i̯ AB ʋ AC o̞ AF p e̞ AD s̠ t̪ æ AD ʔ
aivosähkökäyrä	ɑ AD i̯ AB ʋ AC o̞ AF s̠ æ AD h AA k ø̞ AF k æ AD y̯ r æ AD
aivot	ɑ AD i̯ AB ʋ AC o̞ AF t̪
aivotoiminta	ɑ AD i̯ AB ʋ AC o̞ AF t̪ o̞ AF i̯ AB m i AD n̪ t̪ ɑ AD
aivotrusti	ɑ AD i̯ AB ʋ AC o̞ AF t̪ r u AF s̠ t̪ i AD
aivotyrä	ɑ AD i̯ AB ʋ AC o̞ AF t̪ y AF r æ AD
aivotärähdys	ɑ AD i̯ AB ʋ AC o̞ AF t̪ æ AD r æ AD h AA d y AF s̠
aivovamma	ɑ AD i̯ AB ʋ AC o̞ AF ʋ AC ɑ AD mː ɑ AD
aivovaurio	ɑ AD i̯ AB ʋ AC o̞ AF ʋ AC ɑ AD u̯ AC r i AD o̞ AF
aivoverenkiertohäiriö	ɑ AD i̯ AB ʋ AC o̞ AF ʋ AC e̞ AD r e̞ AD ŋ k i AD e̞̯ r t̪ o̞ AF h AA æ AD i̯ AB r i AD ø̞ AF
aja	ɑ AD j AB ɑ AD ʔ
ajaa	ɑ AD j AB ɑː AE ʔ
ajaantuminen	ɑ AD j AB ɑː AE n t̪ u AF m i AD n e̞ AD n
ajallaan	ɑ AD j AB ɑ AD lː ɑː AE n
ajallinen	ɑ AD j AB ɑ AD l l i AD n e̞ AD n
ajamaan	ɑ AD j AB ɑ AD m ɑː AE n
ajaminen	ɑ AD j AB ɑ AD m i AD n e̞ AD n
ajan	ɑ AD j AB ɑ AD n
ajanhetki	ɑ AD j AB ɑ AD n h AA e̞ AD t̪ k i AD
ajankohtaistaminen	ɑ AD j AB ɑ AD ŋ k o̞ AF x t̪ ɑ AD i̯ AB s̠ t̪ ɑ AD m i AD n e̞ AD n
ajankohtaistuminen	ɑ AD j AB ɑ AD ŋ k o̞ AF x t̪ ɑ AD i̯ AB s̠ t̪ u AF m i AD n e̞ AD n
ajanlasku	ɑ AD j AB ɑ AD n l ɑ AD s̠ k u AF
ajanmukainen	ɑ AD j AB ɑ AD m m u AF k ɑ AD i̯ AB n e̞ AD n
ajanmukaistuminen	ɑ AD j AB ɑ AD m m u AF k ɑ AD i̯ AB s̠ t̪ u AF m i AD n e̞ AD n
ajantasaistaminen	ɑ AD j AB ɑ AD n̪ t̪ ɑ AD s̠ ɑ AD i̯ AB s̠ t̪ ɑ AD m i AD n e̞ AD n
ajanviete	ɑ AD j AB ɑ AD n ʋ AC i AD e̞̯ t̪ e̞ AD ʔ
ajanvietematematiikka	ɑ AD j AB ɑ AD n ʋ AC i AD e̞̯ t̪ e̞ AD m m ɑ AD t̪ e̞ AD m ɑ AD t̪ iː AE kː ɑ AD
ajastaminen	ɑ AD j AB ɑ AD s̠ t̪ ɑ AD m i AD n e̞ AD n
ajastin	ɑ AD j AB ɑ AD s̠ t̪ i AD n
ajatella	ɑ AD j AB ɑ AD t̪ e̞ AD lː ɑ AD ʔ
ajatellen	ɑ AD j AB ɑ AD t̪ e̞ AD lː e̞ AD n
ajateltavissa	ɑ AD j AB ɑ AD t̪ e̞ AD l t̪ ɑ AD ʋ AC i AD s̠ː ɑ AD
ajatollah	ɑ AD j AB ɑ AD t̪ o̞ AF lː ɑ AD h AA
ajaton	ɑ AD j AB ɑ AD t̪ o̞ AF n
ajattaja	ɑ AD j AB ɑ AD t̪ t̪ ɑ AD j AB ɑ AD
ajattaminen	ɑ AD j AB ɑ AD t̪ t̪ ɑ AD m i AD n e̞ AD n
ajatteleminen	ɑ AD j AB ɑ AD t̪ t̪ e̞ AD l e̞ AD m i AD n e̞ AD n
ajatteluttaminen	ɑ AD j AB ɑ AD t̪ː e̞ AD l u AF t̪ː ɑ AD m i AD n e̞ AD n
ajatuksekas	ɑ AD j AB ɑ AD t̪ u AF k s̠ e̞ AD k ɑ AD s̠
ajatusharha	ɑ AD j AB ɑ AD t̪ u AF s̠ h AA ɑ AD r h AA ɑ AD
ajatuskoe	ɑ AD j AB ɑ AD t̪ u AF s̠ k o̞ AF e̞ AD ʔ
ajatusrikos	ɑ AD j AB ɑ AD t̪ u AF s̠ r i AD k o̞ AF s̠
ajatusviiva	ɑ AD j AB ɑ AD t̪ u AF s̠ ʋ AC iː AE ʋ AC ɑ AD
ajautua	ɑ AD j AB ɑ AD u AF t̪ u AF ɑ AD ʔ
ajautuminen	ɑ AD j AB ɑ AD u AF t̪ u AF m i AD n e̞ AD n
ajelehtia	ɑ AD j AB e̞ AD l e̞ AD h AA t̪ i AD ɑ AD ʔ
ajelehtiminen	ɑ AD j AB e̞ AD l e̞ AD h AA t̪ i AD m i AD n e̞ AD n
ajeleminen	ɑ AD j AB e̞ AD l e̞ AD m i AD n e̞ AD n
ajella	ɑ AD j AB e̞ AD lː ɑ AD ʔ
ajelu	ɑ AD j AB e̞ AD l u AF
ajelureki	ɑ AD j AB e̞ AD l u AF r e̞ AD k i AD
ajeluttaminen	ɑ AD j AB e̞ AD l u AF t̪ː ɑ AD m i AD n e̞ AD n
ajettuminen	ɑ AD j AB e̞ AD t̪ t̪ u AF m i AD n e̞ AD n
ajetuksissa	ɑ AD j AB e̞ AD t̪ u AF k s̠ i AD s̠ː ɑ AD
ajo	ɑ AD j AB o̞ AF
ajoaikainen	ɑ AD j AB o̞ AF ɑ AD i̯ AB k ɑ AD i̯ AB n e̞ AD n
ajoeste	ɑ AD j AB o̞ AF e̞ AD s̠ t̪ e̞ AD ʔ
ajoissa	ɑ AD j AB o̞ AF i̯ AB s̠ː ɑ AD
ajoittaa	ɑ AD j AB o̞ AF i̯ AB t̪ː ɑː AE ʔ
ajoittaminen	ɑ AD j AB o̞ AF i̯ AB t̪ t̪ ɑ AD m i AD n e̞ AD n
ajoittua	ɑ AD j AB o̞ AF i̯ AB t̪ t̪ u AF ɑ AD ʔ
ajoittuminen	ɑ AD j AB o̞ AF i̯ AB t̪ t̪ u AF m i AD n e̞ AD n
ajokaluseppä	ɑ AD j AB o̞ AF k ɑ AD l u AF s̠ e̞ AD pː æ AD
ajokaskasvi	ɑ AD j AB o̞ AF k ɑ AD s̠ k ɑ AD s̠ ʋ AC i AD
ajokeppi	ɑ AD j AB o̞ AF k e̞ AD pː i AD
ajokoe	ɑ AD j AB o̞ AF k o̞ AF e̞ AD ʔ
ajokoirat	ɑ AD j AB o̞ AF k o̞ AF i̯ AB r ɑ AD t̪
ajokone	ɑ AD j AB o̞ AF k o̞ AF n e̞ AD ʔ
ajokortti	ɑ AD j AB o̞ AF k o̞ AF r t̪ː i AD
ajoluiska	ɑ AD j AB o̞ AF l u AF i̯ AB s̠ k ɑ AD
ajolumi	ɑ AD j AB o̞ AF l u AF m i AD
ajomies	ɑ AD j AB o̞ AF m i AD e̞̯ s̠
ajonaikainen	ɑ AD j AB o̞ AF n ɑ AD i̯ AB k ɑ AD i̯ AB n e̞ AD n
ajoneuvotekniikka	ɑ AD j AB o̞ AF n e̞ AD u̯ AC ʋː AJ o̞ AF t̪ e̞ AD k n iː AE kː ɑ AD
ajonopeus	ɑ AD j AB o̞ AF n o̞ AF p e̞ AD u AF s̠
ajopurje	ɑ AD j AB o̞ AF p u AF r j AB e̞ AD ʔ
ajorata	ɑ AD j AB o̞ AF r ɑ AD t̪ ɑ AD
ajoreki	ɑ AD j AB o̞ AF r e̞ AD k i AD
ajos	ɑ AD j AB o̞ AF s̠
ajosuorite	ɑ AD j AB o̞ AF s̠ u AF o̞̯ r i AD t̪ e̞ AD ʔ
ajotunti	ɑ AD j AB o̞ AF t̪ u AF n̪ t̪ i AD
aju	ɑ AD j AB u AF
akaa	ɑ AD k ɑː AE
akaalainen	ɑ AD k ɑː AE l ɑ AD i̯ AB n e̞ AD n
akaasia	ɑ AD k ɑː AE s̠ i AD ɑ AD
akan	ɑ AD k ɑ AD n
akana	ɑ AD k ɑ AD n ɑ AD
akanvirta	ɑ AD k ɑ AD n ʋ AC i AD r t̪ ɑ AD
akasia	ɑ AD k ɑː AE s̠ i AD ɑ AD
akateemikko	ɑ AD k ɑ AD t̪ e̞ː AE m i AD kː o̞ AF
akateeminen	ɑ AD k ɑ AD t̪ e̞ː AE m i AD n e̞ AD n
aki	ɑ AD k i AD
akka	ɑ AD kː ɑ AD
akkadi	ɑ AD kː ɑ AD d i AD
akkaihminen	ɑ AD kː ɑ AD i AD ç m i AD n e̞ AD n
akkautua	ɑ AD kː ɑ AD u AF t̪ u AF ɑ AD ʔ
akkautuminen	ɑ AD kː ɑ AD u AF t̪ u AF m i AD n e̞ AD n
akklimatisoiminen	ɑ AD kː l i AD m ɑ AD t̪ i AD s̠ o̞ AF i̯ AB m i AD n e̞ AD n
akklimatisoitua	ɑ AD kː l i AD m ɑ AD t̪ i AD s̠ o̞ AF i̯ AB t̪ u AF ɑ AD ʔ
akklimatisoituminen	ɑ AD k k l i AD m ɑ AD t̪ i AD s̠ o̞ AF i̯ AB t̪ u AF m i AD n e̞ AD n
akkreditoiminen	ɑ AD kː r e̞ AD d i AD t̪ o̞ AF i̯ AB m i AD n e̞ AD n
akku	ɑ AD kː u AF
akkujännite	ɑ AD kː u AF j AB æ AD nː i AD t̪ e̞ AD ʔ
akkukenno	ɑ AD kː u AF k e̞ AD nː o̞ AF
akkukone	ɑ AD kː u AF k o̞ AF n e̞ AD ʔ
akkukonesetti	ɑ AD kː u AF k o̞ AF n e̞ AD s̠ s̠ e̞ AD t̪ː i AD
akkuna	ɑ AD kː u AF n ɑ AD
akkusatiivi	ɑ AD kː u AF s̠ ɑ AD t̪ iː AE ʋ AC i AD
akkusatorinen	ɑ AD kː u AF s̠ ɑ AD t̪ o̞ AF r i AD n e̞ AD n
akkuvesi	ɑ AD kː u AF ʋ AC e̞ AD s̠ i AD
akkuvirta	ɑ AD kː u AF ʋ AC i AD r t̪ ɑ AD
akne	ɑ AD k n e̞ AD
akoittuminen	ɑ AD k o̞ AF i̯ AB t̪ t̪ u AF m i AD n e̞ AD n
akromatopsia	ɑ AD k r o̞ AF m ɑ AD t̪ o̞ AF p s̠ i AD ɑ AD
akrylaatti	ɑ AD k r y AF l ɑː AE t̪ː i AD
akryyli	ɑ AD k r yː AG l i AD
akryyliamidi	ɑ AD k r yː AG l i AD ɑ AD m i AD d i AD
akryylikuitu	ɑ AD k r yː AG l i AD k u AF i̯ AB t̪ u AF
akryylikynsi	ɑ AD k r yː AG l i AD k y AF n s̠ i AD
akryylimaali	ɑ AD k r yː AG l i AD m ɑː AE l i AD
akseli	ɑ AD k s̠ e̞ AD l i AD
akselikiila	ɑ AD k s̠ e̞ AD l i AD k iː AE l ɑ AD
akselinlaskija	ɑ AD k s̠ e̞ AD l i AD n l ɑ AD s̠ k i AD j AB ɑ AD
akselitaso	ɑ AD k s̠ e̞ AD l i AD t̪ ɑ AD s̠ o̞ AF
akselivarmistin	ɑ AD k s̠ e̞ AD l i AD ʋ AC ɑ AD r m i AD s̠ t̪ i AD n
aksentoida	ɑ AD k s̠ e̞ AD n t̪ o̞ AF i̯ AB d ɑ AD ʔ
aksentti	ɑ AD k s̠ e̞ AD n̪ t̪ː i AD
aksidenssi	ɑ AD k s̠ i AD d e̞ AD n s̠ː i AD
aksiomi	ɑ AD k s̠ i AD o̞ AF m i AD
