ᆜ	j AB ɯ AJ
감자	k AC a̠ː AJ m AE d AC ʑ AL a̠ AJ
감자튀김	k AC a̠ AJ m AE d AC ʑ AL a̠ AJ tʰ AD ɥ AI i AJ ɡ AC i AJ m AE
감전	k AC a̠ː AJ m AE d AC ʑ AL ʌ̹ n AF
감정	k AC a̠ː AJ m AE d AC ʑ AL ʌ̹ ŋ AF
감정아이	k AC a̠ AJ m AE d AC ʑ AL ʌ̹ ŋ AF a̠ AJ i AJ
감초	k AC a̠ AJ m AE t AC ɕʰ BB o̞ AK
감추다	k AC a̠ AJ m AE t AC ɕʰ BB u AK d AC a̠ AJ
감칠맛	k AC a̠ː AJ m AE t AC ɕʰ BB i AJ ɭ AN m AE a̠ AJ t̚
감탄	k AC a̠ː AJ m AE tʰ AD a̠ AJ n AF
감탄사	k AC a̠ː AJ m AE tʰ AD a̠ AJ n AF sʰ BB a̠ AJ
감히	k AC a̠ː AJ m AE ʝ AL i AJ
갑	k AC a̠ AJ p̚
갑각	k AC a̠ AJ p̚ k͈ AC a̠ AJ k̚
갑분싸	k AC a̠ AJ p̚ p͈ AG u AK n AF s͈ AL a̠ AJ
갑옷	k AC a̠ AJ b AG o̞ AK t̚
갑자기	k AC a̠ AJ p̚ t AC ɕ͈ a̠ AJ ɡ AC i AJ
갑작스럽다	k AC a̠ AJ p̚ t AC ɕ͈ a̠ AJ k AC s͈ AL ɯ AJ ɾ BA ʌ̹ p̚ t͈ AC a̠ AJ
갑작스레	k AC a̠ AJ p̚ t AC ɕ͈ a̠ AJ k AC s͈ AL ɯ AJ ɾ BA e̞ AJ
갑충	k AC a̠ AJ p̚ t AC ɕʰ BB u AK ŋ AF
갑판	k AC a̠ AJ p̚ pʰ AH a̠ AJ n AF
값	k AC a̠ AJ p̚
값어치	k AC a̠ AJ b AG ʌ̹ t AC ɕʰ BB i AJ
갓	k AC a̠ː AJ t̚
강	k AC a̠ AJ ŋ AF
강가	k AC a̠ AJ ŋ AF k͈ AC a̠ AJ
강간	k AC a̠ː AJ ŋ AF ɡ AC a̠ AJ n AF
강간하다	k AC a̠ː AJ ŋ AF ɡ AC a̠ AJ n AF ɦ AA a̠ AJ d AC a̠ AJ
강경	k AC a̠ AJ ŋ AF ɡ AC j AB ʌ̹ ŋ AF
강계	k AC a̠ AJ ŋ AF ɡ AC j AB e̞ AJ
강구다	k AC a̠ AJ ŋ AF ɡ AC u AK d AC a̠ AJ
강국	k AC a̠ AJ ŋ AF ɡ AC u AK k̚
강권	k AC a̠ː AJ ŋ AF ɡ AC w AI ʌ̹ n AF
강남천자국	k AC a̠ AJ ŋ AF n AF a̠ AJ m AE t AC ɕʰ BB ʌ̹ ɲ AF d AC ʑ AL a̠ AJ ɡ AC u AK k̚
강당	k AC a̠ː AJ ŋ AF d AC a̠ AJ ŋ AF
강도	k AC a̠ː AJ ŋ AF d AC o̞ AK
강도다리	k AC a̠ AJ ŋ AF d AC o̞ AK d AC a̠ AJ ɾ BA i AJ
강력	k AC a̠ AJ ŋ AF ɲ AF j AB ʌ̹ k̚
강력하다	k AC a̠ AJ ŋ AF ɲ AF j AB ʌ̹ kʰ AD a̠ AJ d AC a̠ AJ
강렬하다	k AC a̠ AJ ŋ AF ɲ AF j AB ʌ̹ ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
강림	k AC a̠ː AJ ŋ AF n AF i AJ m AE
강물	k AC a̠ AJ ŋ AF m AE u AK ɭ AN
강변	k AC a̠ AJ ŋ AF b AG j AB ʌ̹ n AF
강사	k AC a̠ː AJ ŋ AF sʰ BB a̠ AJ
강서	k AC a̠ AJ ŋ AF sʰ BB ʌ̹
강설	k AC a̠ː AJ ŋ AF sʰ BB ʌ̹ ɭ AN
강세	k AC a̠ AJ ŋ AF sʰ BB e̞ AJ
강소	k AC a̠ AJ ŋ AF sʰ BB o̞ AK
강수	k AC a̠ː AJ ŋ AF sʰ BB u AK
강수량	k AC a̠ː AJ ŋ AF sʰ BB u AK ɾ BA j AB a̠ AJ ŋ AF
강아지	k AC a̠ AJ ŋ AF a̠ AJ d AC ʑ AL i AJ
강아지풀	k AC a̠ AJ ŋ AF a̠ AJ d AC ʑ AL i AJ pʰ AH u AK ɭ AN
강요	k AC a̠ː AJ ŋ AF j AB o AK
강요하다	k AC a̠ː AJ ŋ AF j AB o AK ɦ AA a̠ AJ d AC a̠ AJ
강원도	k AC a̠ AJ ŋ AF w AI ʌ̹ n AF d AC o̞ AK
강의	k AC a̠ː AJ ŋ AF ɰ AB i AJ
강점	k AC a̠ː AJ ŋ AF d AC ʑ AL ʌ̹ m AE
강점기	k AC a̠ː AJ ŋ AF d AC ʑ AL ʌ̹ m AE ɡ AC i AJ
강정	k AC a̠ AJ ŋ AF d AC ʑ AL ʌ̹ ŋ AF
강제	k AC a̠ː AJ ŋ AF d AC ʑ AL e̞ AJ
강조하다	k AC a̠ AJ ŋ AF d AC ʑ AL o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
강좌	k AC a̠ː AJ ŋ AF d AC ʑ AL w AI a̠ AJ
강준치	k AC a̠ AJ ŋ AF d AC ʑ AL u AK ɲ AF t AC ɕʰ BB i AJ
강철	k AC a̠ AJ ŋ AF t AC ɕʰ BB ʌ̹ ɭ AN
강추	k AC a̠ AJ ŋ AF t AC ɕʰ BB u AK
강판	k AC a̠ AJ ŋ AF pʰ AH a̠ AJ n AF
강퍅	k AC a̠ AJ ŋ AF pʰ AH j AB a̠ AJ k̚
강퍅하다	k AC a̠ AJ ŋ AF pʰ AH j AB a̠ AJ kʰ AD a̠ AJ d AC a̠ AJ
강하다	k AC a̠ AJ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
강화도	k AC a̠ AJ ŋ AF β AM w AI a̠ AJ d AC o̞ AK
강화하다	k AC a̠ AJ ŋ AF β AM w AI a̠ AJ ɦ AA a̠ AJ d AC a̠ AJ
갖	k AC a̠ AJ t̚
갖가지	k AC a̠ AJ t̚ k͈ AC a̠ AJ d AC ʑ AL i AJ
갖다	k AC a̠ AJ t̚ t͈ AC a̠ AJ
갖추다	k AC a̠ AJ t̚ t AC ɕʰ BB u AK d AC a̠ AJ
갗	k AC a̠ AJ t̚
갘	k AC a̠ AJ k̚
같	k AC a̠ AJ t̚
같다	k AC a̠ AJ t̚ t͈ AC a̠ AJ
같은	k AC a̠ AJ tʰ AD ɯ AJ n AF
같이	k AC a̠ AJ t AC ɕʰ BB i AJ
같이하다	k AC a̠ AJ t AC ɕʰ BB i AJ ɦ AA a̠ AJ d AC a̠ AJ
같잖다	k AC a̠ AJ t̚ t AC ɕ͈ a̠ AJ n AF tʰ AD a̠ AJ
갚	k AC a̠ AJ p̚
갚다	k AC a̠ AJ p̚ t͈ AC a̠ AJ
갛	k AC a̠ AJ t̚
개	k AC ɛː AJ
개가하다	k AC ɛː AJ ɡ AC a̠ AJ ɦ AA a̠ AJ d AC a̠ AJ
개고기	k AC ɛː AJ ɡ AC o̞ AK ɡ AC i AJ
개꿈	k AC ɛː AJ k͈ AC u AK m AE
개꿩	k AC ɛː AJ k͈ AC w AI ʌ̹ ŋ AF
개나리	k AC ɛː AJ n AF a̠ AJ ɾ BA i AJ
개나리꽃	k AC ɛː AJ n AF a̠ AJ ɾ BA i AJ k͈ AC o̞ AK t̚
개념	k AC ɛː AJ ɲ AF j AB ʌ̹ m AE
개다	k AC ɛː AJ d AC a̠ AJ
개량	k AC ɛː AJ ɾ BA j AB a̠ AJ ŋ AF
개미	k AC ɛː AJ m AE i AJ
개별자	k AC ɛː AJ b AG j AB ʌ̹ ʎ AN t AC ɕ͈ a̠ AJ
개선	k AC ɛː AJ sʰ BB ʌ̹ n AF
개선하다	k AC ɛː AJ sʰ BB ʌ̹ n AF ɦ AA a̠ AJ d AC a̠ AJ
개성	k AC ɛː AJ sʰ BB ʌ̹ ŋ AF
개소리	k AC ɛː AJ sʰ BB o̞ AK ɾ BA i AJ
개수	k AC ɛː AJ s͈ AL u AK
개요	k AC ɛː AJ j AB o AK
개인	k AC ɛː AJ i AJ n AF
개인적	k AC ɛː AJ i AJ ɲ AF d AC ʑ AL ʌ̹ k̚
개자식	k AC ɛː AJ d AC ʑ AL a̠ AJ ɕʰ BB i AJ k̚
개장	k AC ɛː AJ d AC ʑ AL a̠ AJ ŋ AF
개장국	k AC ɛː AJ d AC ʑ AL a̠ AJ ŋ AF k͈ AC u AK k̚
개정	k AC ɛː AJ d AC ʑ AL ʌ̹ ŋ AF
개정판	k AC ɛː AJ d AC ʑ AL ʌ̹ ŋ AF pʰ AH a̠ AJ n AF
개지랄	k AC ɛː AJ d AC ʑ AL i AJ ɾ BA a̠ AJ ɭ AN
개지랄하다	k AC ɛː AJ d AC ʑ AL i AJ ɾ BA a̠ AJ ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
개집	k AC ɛː AJ d AC ʑ AL i AJ p̚
개천	k AC ɛː AJ t AC ɕʰ BB ʌ̹ n AF
개체	k AC ɛː AJ t AC ɕʰ BB e̞ AJ
개판	k AC ɛː AJ pʰ AH a̠ AJ n AF
개혁	k AC ɛː AJ ʝ AL j AB ʌ̹ k̚
갯과	k AC ɛː AJ t̚ k͈ AC w AI a̠ AJ
갸름하다	k AC j AB a̠ AJ ɾ BA ɯ AJ m AE ɦ AA a̠ AJ d AC a̠ AJ
갸울다	k AC j AB a̠ AJ u AK ɭ AN d AC a̠ AJ
갸웃	k AC j AB a̠ AJ u AK t̚
갸웃거리다	k AC j AB a̠ AJ u AK t̚ k͈ AC ʌ̹ ɾ BA i AJ d AC a̠ AJ
갹출	k AC j AB a̠ AJ k̚ t AC ɕʰ BB u AK ɭ AN
거	k AC ʌ̹
거기	k AC ʌ̹ ɡ AC i AJ
거꾸로	k AC ʌ̹ k͈ AC u AK ɾ BA o̞ AK
거두다	k AC ʌ̹ d AC u AK d AC a̠ AJ
거드름	k AC ɘː AJ d AC ɯ AJ ɾ BA ɯ AJ m AE
거든	k AC ʌ̹ d AC ɯ AJ n AF
거듭	k AC ʌ̹ d AC ɯ AJ p̚
거듭씨	k AC ʌ̹ d AC ɯ AJ p AG ɕ͈ i AJ
거듭홀소리	k AC ʌ̹ d AC ɯ AJ pʰ AH o̞ AK ɭ AN sʰ BB o̞ AK ɾ BA i AJ
거뜨다	k AC ʌ̹ t͈ AC ɯ AJ d AC a̠ AJ
거룩하다	k AC ɘː AJ ɾ BA u AK kʰ AD a̠ AJ d AC a̠ AJ
거류	k AC ʌ̹ ɾ BA j AB u AK
거르다	k AC ʌ̹ ɾ BA ɯ AJ d AC a̠ AJ
거리	k AC ʌ̹ ɾ BA i AJ
거리다	k AC ʌ̹ ɾ BA i AJ d AC a̠ AJ
거릿모테이	k AC ʌ̹ ɾ BA i AJ n AF m AE o̞ AK tʰ AD e̞ AJ i AJ
거릿모티이	k AC ʌ̹ ɾ BA i AJ n AF m AE o̞ AK tʰ AD i AJ i AJ
거만	k AC ɘː AJ m AE a̠ AJ n AF
거만하다	k AC ɘː AJ m AE a̠ AJ n AF ɦ AA a̠ AJ d AC a̠ AJ
거머리	k AC ɘː AJ m AE ʌ̹ ɾ BA i AJ
거무스름하다	k AC ʌ̹ m AE u AK sʰ BB ɯ AJ ɾ BA ɯ AJ m AE ɦ AA a̠ AJ d AC a̠ AJ
거문고	k AC ʌ̹ m AE u AK n AF ɡ AC o̞ AK
거미	k AC ʌ̹ m AE i AJ
거미줄	k AC ʌ̹ m AE i AJ d AC ʑ AL u AK ɭ AN
거부감	k AC ɘː AJ b AG u AK ɡ AC a̠ AJ m AE
거부하다	k AC ɘː AJ b AG u AK ɦ AA a̠ AJ d AC a̠ AJ
거북	k AC ʌ̹ b AG u AK k̚
거북선	k AC ʌ̹ b AG u AK k AC s͈ AL ʌ̹ n AF
거북이	k AC ʌ̹ b AG u AK ɡ AC i AJ
거서간	k AC ʌ̹ sʰ BB ʌ̹ ɡ AC a̠ AJ n AF
거성	k AC ɘː AJ sʰ BB ʌ̹ ŋ AF
거성불연삼	k AC ɘː AJ sʰ BB ʌ̹ ŋ AF b AG u AK ɾ BA j AB ʌ̹ n AF sʰ BB a̠ AJ m AE
거세	k AC ɘː AJ sʰ BB e̞ AJ
거세다	k AC ʌ̹ sʰ BB e̞ AJ d AC a̠ AJ
거스러미	k AC ʌ̹ sʰ BB ɯ AJ ɾ BA ʌ̹ m AE i AJ
거스르다	k AC ʌ̹ sʰ BB ɯ AJ ɾ BA ɯ AJ d AC a̠ AJ
거스름돈	k AC ʌ̹ sʰ BB ɯ AJ ɾ BA ɯ AJ m AE t͈ AC o̞ AK n AF
거슬리다	k AC ʌ̹ sʰ BB ɯ AJ ʎ AN ʎ AN i AJ d AC a̠ AJ
거시기	k AC ʌ̹ ɕʰ BB i AJ ɡ AC i AJ
거실	k AC ʌ̹ ɕʰ BB i AJ ɭ AN
거야	k AC ɘː AJ j AB a̠ AJ
거역	k AC ɘː AJ j AB ʌ̹ k̚
거역하다	k AC ɘː AJ j AB ʌ̹ kʰ AD a̠ AJ d AC a̠ AJ
거울	k AC ʌ̹ u AK ɭ AN
거웃	k AC ʌ̹ u AK t̚
거위	k AC ʌ̹ ɥ AI i AJ
거유	k AC ɘː AJ j AB u AK
거의	k AC ʌ̹ ɰ AB i AJ
거인	k AC ɘː AJ i AJ n AF
거절	k AC ɘː AJ d AC ʑ AL ʌ̹ ɭ AN
거절하다	k AC ɘː AJ d AC ʑ AL ʌ̹ ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
거주	k AC ʌ̹ d AC ʑ AL u AK
거주하다	k AC ʌ̹ d AC ʑ AL u AK ɦ AA a̠ AJ d AC a̠ AJ
거즈	k AC ʌ̹ d AC ʑ AL ɯ AJ
거지	k AC ɘː AJ d AC ʑ AL i AJ
거짓	k AC ɘː AJ d AC ʑ AL i AJ t̚
거짓말	k AC ɘː AJ d AC ʑ AL i AJ n AF m AE a̠ AJ ɭ AN
거짓말하다	k AC ɘː AJ d AC ʑ AL i AJ n AF m AE a̠ AJ ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
거치다	k AC ʌ̹ t AC ɕʰ BB i AJ d AC a̠ AJ
거치적거리다	k AC ʌ̹ t AC ɕʰ BB i AJ d AC ʑ AL ʌ̹ k̚ k͈ AC ʌ̹ ɾ BA i AJ d AC a̠ AJ
거칠다	k AC ʌ̹ t AC ɕʰ BB i AJ ɭ AN d AC a̠ AJ
거품	k AC ʌ̹ pʰ AH u AK m AE
걱정	k AC ʌ̹ k̚ t AC ɕ͈ ʌ̹ ŋ AF
걱정되다	k AC ʌ̹ k̚ t AC ɕ͈ ʌ̹ ŋ AF d AC w AI e̞ AJ d AC a̠ AJ
걱정하다	k AC ʌ̹ k̚ t AC ɕ͈ ʌ̹ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
건강	k AC ɘː AJ n AF ɡ AC a̠ AJ ŋ AF
건강하다	k AC ɘː AJ n AF ɡ AC a̠ AJ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
건강히	k AC ɘː AJ n AF ɡ AC a̠ AJ ŋ AF ʝ AL i AJ
건너가다	k AC ɘː AJ n AF n AF ʌ̹ ɡ AC a̠ AJ d AC a̠ AJ
건너다	k AC ɘː AJ n AF n AF ʌ̹ d AC a̠ AJ
건너오다	k AC ɘː AJ n AF n AF ʌ̹ o̞ AK d AC a̠ AJ
건너편	k AC ɘː AJ n AF n AF ʌ̹ pʰ AH j AB ʌ̹ n AF
건넌편	k AC ɘː AJ n AF n AF ʌ̹ n AF pʰ AH j AB ʌ̹ n AF
건널목	k AC ɘː AJ n AF n AF ʌ̹ ɭ AN m AE o̞ AK k̚
건네다	k AC ɘː AJ n AF n AF e̞ AJ d AC a̠ AJ
건달	k AC ʌ̹ n AF d AC a̠ AJ ɭ AN
건답	k AC ʌ̹ n AF d AC a̠ AJ p̚
건더기	k AC ʌ̹ n AF d AC ʌ̹ ɡ AC i AJ
건드리다	k AC ɘː AJ n AF d AC ɯ AJ ɾ BA i AJ d AC a̠ AJ
건망증	k AC ɘː AJ n AF m AE a̠ AJ ŋ AF t AC ɕ͈ ɯ AJ ŋ AF
건물	k AC ɘː AJ n AF m AE u AK ɭ AN
건반	k AC ʌ̹ n AF b AG a̠ AJ n AF
건발기	k AC ʌ̹ n AF b AG a̠ AJ ɭ AN ɡ AC i AJ
건설	k AC ɘː AJ n AF sʰ BB ʌ̹ ɭ AN
건설하다	k AC ɘː AJ n AF sʰ BB ʌ̹ ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
건의	k AC ɘː AJ n AF ɰ AB i AJ
건전하다	k AC ʌ̹ ɲ AF d AC ʑ AL ʌ̹ n AF ɦ AA a̠ AJ d AC a̠ AJ
건조	k AC ʌ̹ ɲ AF d AC ʑ AL o̞ AK
건조기	k AC ʌ̹ ɲ AF d AC ʑ AL o̞ AK ɡ AC i AJ
건조하다	k AC ʌ̹ ɲ AF d AC ʑ AL o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
건지다	k AC ʌ̹ ɲ AF d AC ʑ AL i AJ d AC a̠ AJ
건초	k AC ʌ̹ ɲ AF t AC ɕʰ BB o̞ AK
건축	k AC ɘː AJ ɲ AF t AC ɕʰ BB u AK k̚
건축가	k AC ɘː AJ ɲ AF t AC ɕʰ BB u AK k̚ k͈ AC a̠ AJ
건축물	k AC ɘː AJ ɲ AF t AC ɕʰ BB u AK ŋ AF m AE u AK ɭ AN
건축학	k AC ɘː AJ ɲ AF t AC ɕʰ BB u AK kʰ AD a̠ AJ k̚
걷기	k AC ɘː AJ t̚ k͈ AC i AJ
걷다	k AC ʌ̹ t̚ t͈ AC a̠ AJ
걸	k AC ʌ̹ ɭ AN
걸다	k AC ɘː AJ ɭ AN d AC a̠ AJ
걸레	k AC ʌ̹ ɭ AN ɭ AN e̞ AJ
걸리다	k AC ʌ̹ ʎ AN ʎ AN i AJ d AC a̠ AJ
걸림씨	k AC ʌ̹ ʎ AN ʎ AN i AJ m AE ɕ͈ i AJ
걸신	k AC ʌ̹ ɭ AN ɕ͈ i AJ n AF
걸어	k AC ʌ̹ ɾ BA ʌ̹
걸어가다	k AC ʌ̹ ɾ BA ʌ̹ ɡ AC a̠ AJ d AC a̠ AJ
걸음	k AC ʌ̹ ɾ BA ɯ AJ m AE
걸음걸이	k AC ʌ̹ ɾ BA ɯ AJ m AE ɡ AC ʌ̹ ɾ BA i AJ
걸음마	k AC ʌ̹ ɾ BA ɯ AJ m AE m AE a̠ AJ
걸인	k AC ʌ̹ ɾ BA i AJ n AF
걸작	k AC ʌ̹ ʎ AN t AC ɕ͈ a̠ AJ k̚
걸쭉하다	k AC ʌ̹ ʎ AN t AC ɕ͈ u AK kʰ AD a̠ AJ d AC a̠ AJ
걸치다	k AC ɘː AJ ʎ AN t AC ɕʰ BB i AJ d AC a̠ AJ
걸프렌드	k AC ʌ̹ ɭ AN pʰ AH ɯ AJ ɾ BA e̞ AJ n AF d AC ɯ AJ
걸핏	k AC ʌ̹ ɭ AN pʰ AH i AJ t̚
걸핏걸핏	k AC ʌ̹ ɭ AN pʰ AH i AJ t̚ k͈ AC ʌ̹ ɭ AN pʰ AH i AJ t̚
검	k AC ɘː AJ m AE
검다	k AC ɘː AJ m AE t͈ AC a̠ AJ
검도	k AC ɘː AJ m AE d AC o̞ AK
검독수리	k AC ʌ̹ m AE d AC o̞ AK k AC s͈ AL u AK ɾ BA i AJ
검둥오리	k AC ʌ̹ m AE d AC u AK ŋ AF o̞ AK ɾ BA i AJ
검둥오리사촌	k AC ʌ̹ m AE d AC u AK ŋ AF o̞ AK ɾ BA i AJ sʰ BB a̠ AJ t AC ɕʰ BB o̞ AK n AF
검둥이	k AC ʌ̹ m AE d AC u AK ŋ AF i AJ
검사	k AC ɘː AJ m AE sʰ BB a̠ AJ
검소하다	k AC ɘː AJ m AE sʰ BB o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
검술	k AC ɘː AJ m AE sʰ BB u AK ɭ AN
검역	k AC ɘː AJ m AE j AB ʌ̹ k̚
검열	k AC ɘː AJ m AE ɲ AF j AB ʌ̹ ɭ AN
검열하다	k AC ʌ̹ m AE j AB ʌ̹ ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
검은금	k AC ʌ̹ m AE ɯ AJ n AF ɡ AC ɯ AJ m AE
검은담비	k AC ʌ̹ m AE ɯ AJ n AF d AC a̠ AJ m AE b AG i AJ
검은딸기	k AC ʌ̹ m AE ɯ AJ n AF t͈ AC a̠ AJ ɭ AN ɡ AC i AJ
검은머리흰따오기	k AC ʌ̹ m AE ɯ AJ n AF m AE ʌ̹ ɾ BA i AJ ʝ AL i AJ n AF t͈ AC a̠ AJ o̞ AK ɡ AC i AJ
검은머리흰죽지	k AC ʌ̹ m AE ɯ AJ n AF m AE ʌ̹ ɾ BA i AJ ʝ AL i AJ ɲ AF d AC ʑ AL u AK k̚ t AC ɕ͈ i AJ
검은목논병아리	k AC ʌ̹ m AE ɯ AJ n AF m AE o̞ AK ŋ AF n AF o̞ AK n AF b AG j AB ʌ̹ ŋ AF a̠ AJ ɾ BA i AJ
검은무리	k AC ʌ̹ m AE ɯ AJ n AF m AE u AK ɾ BA i AJ
검정	k AC ʌ̹ m AE d AC ʑ AL ʌ̹ ŋ AF
검정망둑	k AC ʌ̹ m AE d AC ʑ AL ʌ̹ ŋ AF m AE a̠ AJ ŋ AF d AC u AK k̚
검증	k AC ɘː AJ m AE d AC ʑ AL ɯ AJ ŋ AF
검질기다	k AC ɘː AJ m AE d AC ʑ AL i AJ ɭ AN ɡ AC i AJ d AC a̠ AJ
검찰	k AC ɘː AJ m AE t AC ɕʰ BB a̠ AJ ɭ AN
검찰청	k AC ɘː AJ m AE t AC ɕʰ BB a̠ AJ ʎ AN t AC ɕʰ BB ʌ̹ ŋ AF
검출	k AC ɘː AJ m AE t AC ɕʰ BB u AK ɭ AN
검토	k AC ɘː AJ m AE tʰ AD o̞ AK
검푸르다	k AC ɘː AJ m AE pʰ AH u AK ɾ BA ɯ AJ d AC a̠ AJ
겁	k AC ʌ̹ p̚
겁나다	k AC ʌ̹ m AE n AF a̠ AJ d AC a̠ AJ
겁먹다	k AC ʌ̹ m AE m AE ʌ̹ k̚ t͈ AC a̠ AJ
겁박	k AC ʌ̹ p̚ p͈ AG a̠ AJ k̚
것	k AC ʌ̹ t̚
겉	k AC ʌ̹ t̚
겉핥다	k AC ʌ̹ tʰ AD a̠ AJ ɭ AN t͈ AC a̠ AJ
게	k AC e̞ː AJ
게놈	k AC e̞ AJ n AF o̞ AK m AE
게다가	k AC e̞ AJ d AC a̠ AJ ɡ AC a̠ AJ
게르마늄	k AC e̞ AJ ɾ BA ɯ AJ m AE a̠ AJ ɲ AF j AB u AK m AE
게르만	k AC e̞ AJ ɾ BA ɯ AJ m AE a̠ AJ n AF
게릴라	k AC e̞ AJ ɾ BA i AJ ɭ AN ɭ AN a̠ AJ
게사니	k AC e̞ AJ sʰ BB a̠ AJ n AF i AJ
게스트하우스	k AC e̞ AJ sʰ BB ɯ AJ tʰ AD ɯ AJ ɦ AA a̠ AJ u AK sʰ BB ɯ AJ
게시	k AC e̞ː AJ ɕʰ BB i AJ
게시판	k AC e̞ː AJ ɕʰ BB i AJ pʰ AH a̠ AJ n AF
게시하다	k AC e̞ː AJ ɕʰ BB i AJ ɦ AA a̠ AJ d AC a̠ AJ
게양	k AC e̞ː AJ j AB a̠ AJ ŋ AF
게우다	k AC e̞ AJ u AK d AC a̠ AJ
게으르다	k AC e̞ AJ ɯ AJ ɾ BA ɯ AJ d AC a̠ AJ
게으름	k AC e̞ AJ ɯ AJ ɾ BA ɯ AJ m AE
게이	k AC e̞ AJ i AJ
게이기	k AC e̞ AJ i AJ ɡ AC i AJ
게이샤	k AC e̞ AJ i AJ ɕʰ BB a̠ AJ
게이트	k AC e̞ AJ i AJ tʰ AD ɯ AJ
게임	k͈ AC e̞ AJ i AJ m AE
게임기	k͈ AC e̞ AJ i AJ m AE ɡ AC i AJ
게임성	k͈ AC e̞ AJ i AJ m AE sʰ BB ʌ̹ ŋ AF
게장	k AC e̞ AJ d AC ʑ AL a̠ AJ ŋ AF
게타	k͈ AC e̞ AJ tʰ AD a̠ AJ
게톱치	k AC e̞ AJ tʰ AD o̞ AK p̚ t AC ɕʰ BB i AJ
겐	k AC e̞ AJ n AF
겠	k AC e̞ AJ t̚
겨누다	k AC j AB ʌ̹ n AF u AK d AC a̠ AJ
겨드랑이	k AC j AB ʌ̹ d AC ɯ AJ ɾ BA a̠ AJ ŋ AF i AJ
겨레	k AC j AB ʌ̹ ɾ BA e̞ AJ
겨루다	k AC j AB ʌ̹ ɾ BA u AK d AC a̠ AJ
겨르	k AC j AB ʌ̹ ɾ BA ɯ AJ
겨를	k AC j AB ʌ̹ ɾ BA ɯ AJ ɭ AN
겨리	k AC j AB ʌ̹ ɾ BA i AJ
겨우	k AC j AB ʌ̹ u AK
겨우살이	k AC j AB ʌ̹ u AK sʰ BB a̠ AJ ɾ BA i AJ
겨울	k AC j AB ʌ̹ u AK ɭ AN
겨울철	k AC j AB ʌ̹ u AK ʎ AN t AC ɕʰ BB ʌ̹ ɭ AN
겨자	k AC j AB ʌ̹ d AC ʑ AL a̠ AJ
격	k AC j AB ʌ̹ k̚
격납고	k AC j AB ʌ̹ ŋ AF n AF a̠ AJ p̚ k͈ AC o̞ AK
격려	k AC j AB ʌ̹ ŋ AF ɲ AF j AB ʌ̹
격리	k AC j AB ʌ̹ ŋ AF n AF i AJ
격언	k AC j AB ʌ̹ ɡ AC ʌ̹ n AF
격차	k AC j AB ʌ̹ k̚ t AC ɕʰ BB a̠ AJ
격화하다	k AC j AB ʌ̹ kʰ AD w AI a̠ AJ ɦ AA a̠ AJ d AC a̠ AJ
겪다	k AC j AB ʌ̹ k̚ t͈ AC a̠ AJ
견과	k AC j AB ʌ̹ n AF ɡ AC w AI a̠ AJ
견디다	k AC j AB ʌ̹ n AF d AC i AJ d AC a̠ AJ
견문발검	k AC j AB ɘː AJ n AF m AE u AK n AF b AG a̠ AJ ɭ AN ɡ AC ʌ̹ m AE
견본	k AC j AB ɘː AJ n AF b AG o̞ AK n AF
견성	k AC j AB ʌ̹ n AF sʰ BB ʌ̹ ŋ AF
견실	k AC j AB ʌ̹ n AF ɕʰ BB i AJ ɭ AN
견실하다	k AC j AB ʌ̹ n AF ɕʰ BB i AJ ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
견유	k AC j AB ʌ̹ ɲ AF j AB u AK
견주다	k AC j AB ʌ̹ ɲ AF d AC ʑ AL u AK d AC a̠ AJ
결	k AC j AB ʌ̹ ɭ AN
결과	k AC j AB ʌ̹ ɭ AN ɡ AC w AI a̠ AJ
결과적	k AC j AB ʌ̹ ɭ AN ɡ AC w AI a̠ AJ d AC ʑ AL ʌ̹ k̚
결국	k AC j AB ʌ̹ ɭ AN ɡ AC u AK k̚
결론	k AC j AB ʌ̹ ɭ AN ɭ AN o̞ AK n AF
결사옹위	k AC j AB ʌ̹ ɭ AN s͈ AL a̠ AJ o̞ AK ŋ AF ɥ AI i AJ
결석	k AC j AB ʌ̹ ɭ AN s͈ AL ʌ̹ k̚
결석하다	k AC j AB ʌ̹ ɭ AN s͈ AL ʌ̹ kʰ AD a̠ AJ d AC a̠ AJ
결심	k AC j AB ʌ̹ ɭ AN ɕ͈ i AJ m AE
결심하다	k AC j AB ʌ̹ ɭ AN ɕ͈ i AJ m AE ɦ AA a̠ AJ d AC a̠ AJ
결장	k AC j AB ʌ̹ ʎ AN t AC ɕ͈ a̠ AJ ŋ AF
결점	k AC j AB ʌ̹ ʎ AN t AC ɕ͈ ʌ̹ m AE
