'tain	t ɛ̃ AM
abréviez	a AC b ʁ e AD v j AA e AD
abs	a AC b e AD ɛ AD s
abscisse	a AC p s i AE s
abscission	a AC p s i AE s j AA ɔ̃ BA
abscondre	a AC p s k ɔ̃ BA d ʁ
abscons	a AC p s k ɔ̃ BA
absconse	a AC p s k ɔ̃ BA s
absence	a AC p s ɑ̃ BB s
absent	a AC p s ɑ̃ BB
absenter	a AC p s ɑ̃ BB t e AD
absents	a AC p s ɑ̃ BB
abside	a AC p s i AE d
absidial	a AC p s i AE d j AA a AC l
absidiale	a AC p s i AE d j AA a AC l
absinthe	a AC p s ɛ̃ AM t
absinthée	a AC p s ɛ̃ AM t e AD
absolu	a AC p s ɔ AF l y AH
absolue	a AC p s ɔ AF l y AH
absolues	a AC p s ɔ AF l y AH
absolument	a AC p s ɔ AF l y AH m ɑ̃ BB
absolus	a AC p s ɔ AF l y AH
absolution	a AC p s ɔ AF l y AH s j AA ɔ̃ BA
absolutisme	a AC p s ɔ AF l y AH t i AE s m
absolutrice	a AC p s ɔ AF l y AH t ʁ i AE s
absorbable	a AC p s ɔ AF ʁ b a AC b l
absorbant	a AC p s ɔ AF ʁ b ɑ̃ BB
absorbent	a AC p s ɔ AF ʁ b ɑ̃ BB
absorber	a AC p s ɔ AF ʁ b e AD
absorption	a AC p s ɔ AF ʁ p s j AA ɔ̃ BA
absorptivité	a AC p s ɔ AF ʁ p t i AE v i AE t e AD
absoudre	a AC p s u AG d ʁ
absous	a AC p s u AG
absout	a AC p s u AG
abstenir	a AC p s t ə AJ n i AE ʁ
abstention	a AC p s t ɑ̃ BB s j AA ɔ̃ BA
abstinent	a AC p s t i AE n ɑ̃ BB
abstraction	a AC p s t ʁ a AC k s j AA ɔ̃ BA
abstractionnisme	a AC p s t ʁ a AC k s j AA ɔ AF n i AE s m
abstractionnismes	a AC p s t ʁ a AC k s j AA ɔ AF n i AE s m
abstractions	a AC p s t ʁ a AC k s j AA ɔ̃ BA
abstraire	a AC p s t ʁ ɛ AD ʁ
abstrait	a AC p s t ʁ ɛ AD
abstrus	a AC p s t ʁ y AH
abstème	a AC p s t ɛ AD m
absurde	a AC p s y AH ʁ d
absurdement	a AC p s y AH ʁ d ə AJ m ɑ̃ BB
absurdie	a AC p s y AH ʁ d i AE
absurdité	a AC p s y AH ʁ d i AE t e AD
abus	a AC b y AH
abusa	a AC b y AH z a AC
abusai	a AC b y AH z e AD
abusaient	a AC b y AH z ɛ AD
abusais	a AC b y AH z ɛ AD
abusait	a AC b y AH z ɛ AD
abusant	a AC b y AH z ɑ̃ BB
abusas	a AC b y AH z ɑ AK
abusasse	a AC b y AH z a AC s
abusassent	a AC b y AH z a AC s
abusasses	a AC b y AH z a AC s
abusassiez	a AC b y AH z a AC s j AA e AD
abusassions	a AC b y AH z a AC s j AA ɔ̃ BA
abusent	a AC b y AH z
abuser	a AC b y AH z e AD
abusera	a AC b y AH z ʁ a AC
abuserai	a AC b y AH z ʁ e AD
abuseraient	a AC b y AH z ʁ ɛ AD
abuserais	a AC b y AH z ʁ ɛ AD
abuserait	a AC b y AH z ʁ ɛ AD
abuseras	a AC b y AH z ʁ ɑ AK
abuserez	a AC b y AH z ʁ e AD
abuseriez	a AC b y AH z ə AJ ʁ j AA e AD
abuserions	a AC b y AH z ə AJ ʁ j AA ɔ̃ BA
abuserons	a AC b y AH z ʁ ɔ̃ BA
abuseront	a AC b y AH z ʁ ɔ̃ BA
abuses	a AC b y AH z
abusez	a AC b y AH z e AD
abusiez	a AC b y AH z j AA e AD
abusif	a AC b y AH z i AE f
abusions	a AC b y AH z j AA ɔ̃ BA
abusivement	a AC b y AH z i AE v m ɑ̃ BB
abusons	a AC b y AH z ɔ̃ BA
abusâmes	a AC b y AH z ɑ AK m
abusât	a AC b y AH z ɑ AK
abusâtes	a AC b y AH z ɑ AK t
abusèrent	a AC b y AH z ɛ AD ʁ
abyme	a AC b i AE m
abyssal	a AC b i AE s a AC l
abyssin	a AC b i AE s ɛ̃ AM
abyssinie	a AC b i AE s i AE n i AE
abyssinien	a AC b i AE s i AE n j AA ɛ̃ AM
abâtardissement	a AC b ɑ AK t a AC ʁ d i AE s m ɑ̃ BB
abécédaire	a AC b e AD s e AD d ɛ AD ʁ
abée	a AC b e AD
abélard	a AC b e AD l a AC ʁ
abélia	a AC b e AD l j AA a AC
abélianiser	a AC b e AD l j AA a AC n i AE z e AD
abélien	a AC b e AD l j AA ɛ̃ AM
abéliser	a AC b e AD l i AE z e AD
abérier	a AC b e AD ʁ j AA e AD
abêtifier	a AC b e AD t i AE f j AA e AD
abêtir	a AC b ɛ AD t i AE ʁ
abêtissement	a AC b ɛ AD t i AE s m ɑ̃ BB
abêtissements	a AC b ɛ AD t i AE s m ɑ̃ BB
abîme	a AC b i AE m
abîmer	a AC b i AE m e AD
acabit	a AC k a AC b i AE
acacia	a AC k a AC s j AA a AC
académicien	a AC k a AC d e AD m i AE s j AA ɛ̃ AM
académicienne	a AC k a AC d e AD m i AE s j AA ɛ AD n
académie	a AC k a AC d e AD m i AE
académique	a AC k a AC d e AD m i AE k
académiste	a AC k a AC d e AD m i AE s t
acafalée	a AC k a AC f a AC l e AD
acajou	a AC k a AC ʒ u AG
acalifourchonnée	a AC k a AC l i AE f u AG ʁ ʃ ɔ AF n e AD
acanthe	a AC k ɑ̃ BB t
acanthure	a AC k ɑ̃ BB t y AH ʁ
acapsulée	a AC k a AC p s y AH l e AD
acarien	a AC k a AC ʁ j AA ɛ̃ AM
acariâtre	a AC k a AC ʁ j AA ɑ AK t ʁ
acastilleur	a AC k a AC s t i AE j AA œ AI ʁ
accabler	a AC k ɑ AK b l e AD
accadienne	a AC k a AC d j AA ɛ AD n
accalminée	a AC k a AC l m i AE n e AD
accaparer	a AC k a AC p a AC ʁ e AD
accent	a AC k s ɑ̃ BB
accentuelle	a AC k s ɑ̃ BB t ɥ AN ɛ AD l
accentuer	a AC k s ɑ̃ BB t ɥ AN e AD
acceptable	a AC k s ɛ AD p t a AC b l
acceptables	a AC k s ɛ AD p t a AC b l
acceptant	a AC k s ɛ AD p t ɑ̃ BB
acceptante	a AC k s ɛ AD p t ɑ̃ BB t
acceptation	a AC k s ɛ AD p t a AC s j AA ɔ̃ BA
acceptative	a AC k s ɛ AD p t a AC t i AE v
accepter	a AC k s ɛ AD p t e AD
acception	a AC k s ɛ AD p s j AA ɔ̃ BA
acceptions	a AC k s ɛ AD p t j AA ɔ̃ BA
accepté	a AC k s ɛ AD p t e AD
accesseur	a AC k s ɛ AD s œ AI ʁ
accessible	a AC k s ɛ AD s i AE b l
accessibles	a AC k s ɛ AD s i AE b l
accessit	a AC k s ɛ AD s i AE t
accessoire	a AC k s e AD s w AB a AC ʁ
accessoiriser	a AC k s ɛ AD s w AB a AC ʁ i AE z e AD
accident	a AC k s i AE d ɑ̃ BB
accidentel	a AC k s i AE d ɑ̃ BB t ɛ AD l
accidentellement	a AC k s i AE d ɑ̃ BB t ɛ AD l m ɑ̃ BB
accidenté	a AC k s i AE d ɑ̃ BB t e AD
accipitrin	a AC k s i AE p i AE t ʁ ɛ̃ AM
accipitrine	a AC k s i AE p i AE t ʁ i AE n
accipitrines	a AC k s i AE p i AE t ʁ i AE n
accipitrins	a AC k s i AE p i AE t ʁ ɛ̃ AM
accisien	a AC k s i AE z j AA ɛ̃ AM
accisienne	a AC k s i AE z j AA ɛ AD n
acclama	a AC k l a AC m a AC
acclamai	a AC k l a AC m e AD
acclamaient	a AC k l a AC m ɛ AD
acclamais	a AC k l a AC m ɛ AD
acclamait	a AC k l a AC m ɛ AD
acclamant	a AC k l a AC m ɑ̃ BB
acclamas	a AC k l a AC m ɑ AK
acclamasse	a AC k l a AC m a AC s
acclamassent	a AC k l a AC m a AC s
acclamasses	a AC k l a AC m a AC s
acclamassiez	a AC k l a AC m a AC s j AA e AD
acclamassions	a AC k l a AC m a AC s j AA ɔ̃ BA
acclamation	a AC k l a AC m a AC s j AA ɔ̃ BA
acclamative	a AC k l a AC m a AC t i AE v
acclame	a AC k l a AC m
acclament	a AC k l a AC m
acclamer	a AC k l a AC m e AD
acclamera	a AC k l a AC m ʁ a AC
acclamerai	a AC k l a AC m ʁ e AD
acclameraient	a AC k l a AC m ʁ ɛ AD
acclamerais	a AC k l a AC m ʁ ɛ AD
acclamerait	a AC k l a AC m ʁ ɛ AD
acclameras	a AC k l a AC m ʁ ɑ AK
acclamerez	a AC k l a AC m ʁ e AD
acclameriez	a AC k l a AC m ə AJ ʁ j AA e AD
acclamerions	a AC k l a AC m ə AJ ʁ j AA ɔ̃ BA
acclamerons	a AC k l a AC m ʁ ɔ̃ BA
acclameront	a AC k l a AC m ʁ ɔ̃ BA
acclames	a AC k l a AC m
acclamez	a AC k l a AC m e AD
acclamiez	a AC k l a AC m j AA e AD
acclamions	a AC k l a AC m j AA ɔ̃ BA
acclamons	a AC k l a AC m ɔ̃ BA
acclamâmes	a AC k l a AC m ɑ AK m
acclamât	a AC k l a AC m ɑ AK
acclamâtes	a AC k l a AC m ɑ AK t
acclamèrent	a AC k l a AC m ɛ AD ʁ
acclamé	a AC k l a AC m e AD
acclimatation	a AC k l i AE m a AC t a AC s j AA ɔ̃ BA
acclimatement	a AC k l i AE m a AC t m ɑ̃ BB
acclimater	a AC k l i AE m a AC t e AD
accointer	a AC k w AB ɛ̃ AM t e AD
accolade	a AC k ɔ AF l a AC d
accolades	a AC k ɔ AF l a AC d
accoler	a AC k ɔ AF l e AD
accolé	a AC k ɔ AF l e AD
accombante	a AC k ɔ̃ BA b ɑ̃ BB t
accommodant	a AC k ɔ AF m ɔ AF d ɑ̃ BB
accommodation	a AC k ɔ AF m ɔ AF d a AC s j AA ɔ̃ BA
accommodatrice	a AC k ɔ AF m ɔ AF d a AC t ʁ i AE s
accommodement	a AC k ɔ AF m ɔ AF d m ɑ̃ BB
accommoder	a AC k ɔ AF m ɔ AF d e AD
accompagnateur	a AC k ɔ̃ BA p a AC ɲ a AC t œ AI ʁ
accompagnateurs	a AC k ɔ̃ BA p a AC ɲ a AC t œ AI ʁ
accompagnatrice	a AC k ɔ̃ BA p a AC ɲ a AC t ʁ i AE s
accompagnatrices	a AC k ɔ̃ BA p a AC ɲ a AC t ʁ i AE s
accompagnement	a AC k ɔ̃ BA p a AC ɲ m ɑ̃ BB
accompagner	a AC k ɔ̃ BA p a AC ɲ e AD
accompagné	a AC k ɔ̃ BA p a AC ɲ e AD
accompli	a AC k ɔ̃ BA p l i AE
accomplir	a AC k ɔ̃ BA p l i AE ʁ
accomplira	a AC k ɔ̃ BA p l i AE ʁ a AC
accomplirai	a AC k ɔ̃ BA p l i AE ʁ e AD
accompliraient	a AC k ɔ̃ BA p l i AE ʁ ɛ AD
accomplirais	a AC k ɔ̃ BA p l i AE ʁ ɛ AD
accomplirait	a AC k ɔ̃ BA p l i AE ʁ ɛ AD
accompliras	a AC k ɔ̃ BA p l i AE ʁ ɑ AK
accomplirent	a AC k ɔ̃ BA p l i AE ʁ
accomplirez	a AC k ɔ̃ BA p l i AE ʁ e AD
accompliriez	a AC k ɔ̃ BA p l i AE ʁ j AA e AD
accomplirions	a AC k ɔ̃ BA p l i AE ʁ j AA ɔ̃ BA
accomplirons	a AC k ɔ̃ BA p l i AE ʁ ɔ̃ BA
accompliront	a AC k ɔ̃ BA p l i AE ʁ ɔ̃ BA
accomplissaient	a AC k ɔ̃ BA p l i AE s ɛ AD
accomplissais	a AC k ɔ̃ BA p l i AE s ɛ AD
accomplissait	a AC k ɔ̃ BA p l i AE s ɛ AD
accomplissant	a AC k ɔ̃ BA p l i AE s ɑ̃ BB
accomplisse	a AC k ɔ̃ BA p l i AE s
accomplissement	a AC k ɔ̃ BA p l i AE s m ɑ̃ BB
accomplissent	a AC k ɔ̃ BA p l i AE s
accomplisses	a AC k ɔ̃ BA p l i AE s
accomplissez	a AC k ɔ̃ BA p l i AE s e AD
accomplissiez	a AC k ɔ̃ BA p l i AE s j AA e AD
accomplissions	a AC k ɔ̃ BA p l i AE s j AA ɔ̃ BA
accomplissons	a AC k ɔ̃ BA p l i AE s ɔ̃ BA
accomplit	a AC k ɔ̃ BA p l i AE
accomplîmes	a AC k ɔ̃ BA p l i AE m
accomplît	a AC k ɔ̃ BA p l i AE
accomplîtes	a AC k ɔ̃ BA p l i AE t
accord	a AC k ɔ AF ʁ
accordailles	a AC k ɔ AF ʁ d a AC j AA
accorder	a AC k ɔ AF ʁ d e AD
accordé	a AC k ɔ AF ʁ d e AD
accordée	a AC k ɔ AF ʁ d e AD
accordéon	a AC k ɔ AF ʁ d e AD ɔ̃ BA
accordéoniste	a AC k ɔ AF ʁ d e AD ɔ AF n i AE s t
accordéonistes	a AC k ɔ AF ʁ d e AD ɔ AF n i AE s t
accordéons	a AC k ɔ AF ʁ d e AD ɔ̃ BA
accornée	a AC k ɔ AF ʁ n e AD
accort	a AC k ɔ AF ʁ
accosta	a AC k ɔ AF s t a AC
accostai	a AC k ɔ AF s t e AD
accostaient	a AC k ɔ AF s t ɛ AD
accostais	a AC k ɔ AF s t ɛ AD
accostait	a AC k ɔ AF s t ɛ AD
accostant	a AC k ɔ AF s t ɑ̃ BB
accostas	a AC k ɔ AF s t ɑ AK
accostasse	a AC k ɔ AF s t a AC s
accostassent	a AC k ɔ AF s t a AC s
accostasses	a AC k ɔ AF s t a AC s
accostassiez	a AC k ɔ AF s t a AC s j AA e AD
accostassions	a AC k ɔ AF s t a AC s j AA ɔ̃ BA
accoste	a AC k ɔ AF s t
accostent	a AC k ɔ AF s t
accoster	a AC k ɔ AF s t e AD
accostera	a AC k ɔ AF s t ə AJ ʁ a AC
accosterai	a AC k ɔ AF s t ə AJ ʁ e AD
accosteraient	a AC k ɔ AF s t ə AJ ʁ ɛ AD
accosterais	a AC k ɔ AF s t ə AJ ʁ ɛ AD
accosterait	a AC k ɔ AF s t ə AJ ʁ ɛ AD
accosteras	a AC k ɔ AF s t ə AJ ʁ ɑ AK
accosterez	a AC k ɔ AF s t ə AJ ʁ e AD
accosteriez	a AC k ɔ AF s t ə AJ ʁ j AA e AD
accosterions	a AC k ɔ AF s t ə AJ ʁ j AA ɔ̃ BA
accosterons	a AC k ɔ AF s t ə AJ ʁ ɔ̃ BA
accosteront	a AC k ɔ AF s t ə AJ ʁ ɔ̃ BA
accostes	a AC k ɔ AF s t
accostez	a AC k ɔ AF s t e AD
accostiez	a AC k ɔ AF s t j AA e AD
accostions	a AC k ɔ AF s t j AA ɔ̃ BA
accostons	a AC k ɔ AF s t ɔ̃ BA
accostâmes	a AC k ɔ AF s t ɑ AK m
accostât	a AC k ɔ AF s t ɑ AK
accostâtes	a AC k ɔ AF s t ɑ AK t
accostèrent	a AC k ɔ AF s t ɛ AD ʁ
accosté	a AC k ɔ AF s t e AD
accoter	a AC k ɔ AF t e AD
accouchement	a AC k u AG ʃ m ɑ̃ BB
accoucher	a AC k u AG ʃ e AD
accoucheur	a AC k u AG ʃ œ AI ʁ
accoucheurs	a AC k u AG ʃ œ AI ʁ
accoucheuse	a AC k u AG ʃ ø AI z
accoucheuses	a AC k u AG ʃ ø AI z
accouder	a AC k u AG d e AD
accoudoir	a AC k u AG d w AB a AC ʁ
accouplement	a AC k u AG p l ə AJ m ɑ̃ BB
accoupler	a AC k u AG p l e AD
accourcir	a AC k u AG ʁ s i AE ʁ
accourcissement	a AC k u AG ʁ s i AE s m ɑ̃ BB
accourir	a AC k u AG ʁ i AE ʁ
accoutrement	a AC k u AG t ʁ ə AJ m ɑ̃ BB
accoutrer	a AC k u AG t ʁ e AD
accoutumance	a AC k u AG t y AH m ɑ̃ BB s
accoutumer	a AC k u AG t y AH m e AD
accoutumé	a AC k u AG t y AH m e AD
accrescent	a AC k ʁ ɛ AD s ɑ̃ BB
accrescente	a AC k ʁ ɛ AD s ɑ̃ BB t
accro	a AC k ʁ o AF
accroc	a AC k ʁ o AF
accrocher	a AC k ʁ ɔ AF ʃ e AD
accrocheur	a AC k ʁ ɔ AF ʃ œ AI ʁ
accroissement	a AC k ʁ w AB a AC s m ɑ̃ BB
accroupi	a AC k ʁ u AG p i AE
accroupir	a AC k ʁ u AG p i AE ʁ
accroître	a AC k ʁ w AB a AC t ʁ
accrue	a AC k ʁ y AH
accréditation	a AC k ʁ e AD d i AE t a AC s j AA ɔ̃ BA
accréditer	a AC k ʁ e AD d i AE t e AD
accréditrice	a AC k ʁ e AD d i AE t ʁ i AE s
accrédité	a AC k ʁ e AD d i AE t e AD
accréditée	a AC k ʁ e AD d i AE t e AD
accrémentitielle	a AC k ʁ e AD m ɑ̃ BB t i AE s j AA ɛ AD l
accrétion	a AC k ʁ e AD s j AA ɔ̃ BA
accrétions	a AC k ʁ e AD s j AA ɔ̃ BA
accu	a AC k y AH
accueil	a AC k œ AI j AA
accueillir	a AC k œ AI j AA i AE ʁ
accula	a AC k y AH l a AC
acculai	a AC k y AH l e AD
acculaient	a AC k y AH l ɛ AD
acculais	a AC k y AH l ɛ AD
acculait	a AC k y AH l ɛ AD
acculant	a AC k y AH l ɑ̃ BB
acculas	a AC k y AH l ɑ AK
acculasse	a AC k y AH l a AC s
acculassent	a AC k y AH l a AC s
acculasses	a AC k y AH l a AC s
acculassiez	a AC k y AH l a AC s j AA e AD
acculassions	a AC k y AH l a AC s j AA ɔ̃ BA
accule	a AC k y AH l
acculent	a AC k y AH l
acculer	a AC k y AH l e AD
acculera	a AC k y AH l ʁ a AC
acculerai	a AC k y AH l ʁ e AD
acculeraient	a AC k y AH l ʁ ɛ AD
acculerais	a AC k y AH l ʁ ɛ AD
acculerait	a AC k y AH l ʁ ɛ AD
acculeras	a AC k y AH l ʁ ɑ AK
acculerez	a AC k y AH l ʁ e AD
acculeriez	a AC k y AH l ə AJ ʁ j AA e AD
acculerions	a AC k y AH l ə AJ ʁ j AA ɔ̃ BA
acculerons	a AC k y AH l ʁ ɔ̃ BA
acculeront	a AC k y AH l ʁ ɔ̃ BA
accules	a AC k y AH l
acculez	a AC k y AH l e AD
acculiez	a AC k y AH l j AA e AD
acculions	a AC k y AH l j AA ɔ̃ BA
acculons	a AC k y AH l ɔ̃ BA
acculturation	a AC k y AH l t y AH ʁ a AC s j AA ɔ̃ BA
acculturer	a AC k y AH l t y AH ʁ e AD
acculâmes	a AC k y AH l ɑ AK m
acculât	a AC k y AH l ɑ AK
acculâtes	a AC k y AH l ɑ AK t
acculèrent	a AC k y AH l ɛ AD ʁ
acculé	a AC k y AH l e AD
accumulateur	a AC k y AH m y AH l a AC t œ AI ʁ
accumulation	a AC k y AH m y AH l a AC s j AA ɔ̃ BA
accumuler	a AC k y AH m y AH l e AD
accusatif	a AC k y AH z a AC t i AE f
accusation	a AC k y AH z a AC s j AA ɔ̃ BA
accuser	a AC k y AH z e AD
accusé	a AC k y AH z e AD
accès	a AC k s ɛ AD
accéder	a AC k s e AD d e AD
accélère	a AC k s e AD l ɛ AD ʁ
accélèrent	a AC k s e AD l ɛ AD ʁ
accélères	a AC k s e AD l ɛ AD ʁ
accéléra	a AC k s e AD l e AD ʁ a AC
accélérai	a AC k s e AD l e AD ʁ e AD
accélérateur	a AC k s e AD l e AD ʁ a AC t œ AI ʁ
accélération	a AC k s e AD l e AD ʁ a AC s j AA ɔ̃ BA
accélérer	a AC k s e AD l e AD ʁ e AD
accélérez	a AC k s e AD l e AD ʁ e AD
accélérons	a AC k s e AD l e AD ʁ ɔ̃ BA
accélérèrent	a AC k s e AD l e AD ʁ ɛ AD ʁ
ace	ɛ AD s
acentrée	a AC s ɑ̃ BB t ʁ e AD
acerbe	a AC s ɛ AD ʁ b
acescent	a AC s ɛ AD s ɑ̃ BB
acescente	a AC s ɛ AD s ɑ̃ BB t
acescentes	a AC s ɛ AD s ɑ̃ BB t
achalander	a AC ʃ a AC l ɑ̃ BB d e AD
achalandé	a AC ʃ a AC l ɑ̃ BB d e AD
achaler	a AC ʃ a AC l e AD
achard	a AC ʃ a AC ʁ
acharner	a AC ʃ a AC ʁ n e AD
achat	a AC ʃ a AC
achaïe	a AC k a AC i AE
ache	a AC ʃ
acheminement	a AC ʃ m i AE n m ɑ̃ BB
acheminer	a AC ʃ m i AE n e AD
acheter	a AC ʃ t e AD
acheteur	a AC ʃ t œ AI ʁ
acheuléenne	a AC ʃ ø AI l e AD ɛ AD n
achever	a AC ʃ v e AD
achevé	a AC ʃ v e AD
achigan	a AC ʃ i AE ɡ ɑ̃ BB
achille	a AC ʃ i AE l
achillée	a AC k i AE l e AD
achiléenne	a AC ʃ i AE l e AD ɛ AD n
acholie	a AC k ɔ AF l i AE
achondroplasie	a AC k ɔ̃ BA d ʁ ɔ AF p l a AC z i AE
achoppa	a AC ʃ ɔ AF p a AC
achoppai	a AC ʃ ɔ AF p e AD
achoppaient	a AC ʃ ɔ AF p ɛ AD
achoppais	a AC ʃ ɔ AF p ɛ AD
achoppait	a AC ʃ ɔ AF p ɛ AD
achoppant	a AC ʃ ɔ AF p ɑ̃ BB
achoppas	a AC ʃ ɔ AF p ɑ AK
achoppasse	a AC ʃ ɔ AF p a AC s
achoppassent	a AC ʃ ɔ AF p a AC s
achoppasses	a AC ʃ ɔ AF p a AC s
achoppassiez	a AC ʃ ɔ AF p a AC s j AA e AD
achoppassions	a AC ʃ ɔ AF p a AC s j AA ɔ̃ BA
achoppe	a AC ʃ ɔ AF p
achoppent	a AC ʃ ɔ AF p
achoppera	a AC ʃ ɔ AF p ʁ a AC
achopperai	a AC ʃ ɔ AF p ʁ e AD
achopperaient	a AC ʃ ɔ AF p ʁ ɛ AD
achopperais	a AC ʃ ɔ AF p ʁ ɛ AD
achopperait	a AC ʃ ɔ AF p ʁ ɛ AD
achopperas	a AC ʃ ɔ AF p ʁ ɑ AK
achopperez	a AC ʃ ɔ AF p ʁ e AD
achopperiez	a AC ʃ ɔ AF p ə AJ ʁ j AA e AD
achopperions	a AC ʃ ɔ AF p ə AJ ʁ j AA ɔ̃ BA
achopperons	a AC ʃ ɔ AF p ʁ ɔ̃ BA
achopperont	a AC ʃ ɔ AF p ʁ ɔ̃ BA
achoppes	a AC ʃ ɔ AF p
achoppez	a AC ʃ ɔ AF p e AD
achoppiez	a AC ʃ ɔ AF p j AA e AD
achoppions	a AC ʃ ɔ AF p j AA ɔ̃ BA
achoppons	a AC ʃ ɔ AF p ɔ̃ BA
achoppâmes	a AC ʃ ɔ AF p ɑ AK m
achoppât	a AC ʃ ɔ AF p ɑ AK
achoppâtes	a AC ʃ ɔ AF p ɑ AK t
achoppèrent	a AC ʃ ɔ AF p ɛ AD ʁ
achoppé	a AC ʃ ɔ AF p e AD
achromaticité	a AC k ʁ ɔ AF m a AC t i AE s i AE t e AD
achromaticités	a AC k ʁ ɔ AF m a AC t i AE s i AE t e AD
achèvement	a AC ʃ ɛ AD v m ɑ̃ BB
achèvements	a AC ʃ ɛ AD v m ɑ̃ BB
achéen	a AC k e AD ɛ̃ AM
achéenne	a AC k e AD ɛ AD n
achéron	a AC ʃ e AD ʁ ɔ̃ BA
acide	a AC s i AE d
acides	a AC s i AE d
acidifia	a AC s i AE d i AE f j AA a AC
acidifiai	a AC s i AE d i AE f j AA e AD
acidifiaient	a AC s i AE d i AE f j AA ɛ AD
acidifiais	a AC s i AE d i AE f j AA ɛ AD
acidifiait	a AC s i AE d i AE f j AA ɛ AD
acidifiant	a AC s i AE d i AE f j AA ɑ̃ BB
acidifias	a AC s i AE d i AE f j AA ɑ AK
acidifiasse	a AC s i AE d i AE f j AA a AC s
acidifiassent	a AC s i AE d i AE f j AA a AC s
acidifiasses	a AC s i AE d i AE f j AA a AC s
acidifiassiez	a AC s i AE d i AE f j AA a AC s j AA e AD
acidifiassions	a AC s i AE d i AE f j AA a AC s j AA ɔ̃ BA
acidification	a AC s i AE d i AE f i AE k a AC s j AA ɔ̃ BA
acidifie	a AC s i AE d i AE f i AE
acidifient	a AC s i AE d i AE f i AE
acidifier	a AC s i AE d i AE f j AA e AD
acidifiera	a AC s i AE d i AE f i AE ʁ a AC
acidifierai	a AC s i AE d i AE f i AE ʁ e AD
acidifieraient	a AC s i AE d i AE f i AE ʁ ɛ AD
acidifierais	a AC s i AE d i AE f i AE ʁ ɛ AD
acidifierait	a AC s i AE d i AE f i AE ʁ ɛ AD
acidifieras	a AC s i AE d i AE f i AE ʁ ɑ AK
acidifierez	a AC s i AE d i AE f i AE ʁ e AD
acidifieriez	a AC s i AE d i AE f i AE ʁ j AA e AD
acidifierions	a AC s i AE d i AE f i AE ʁ j AA ɔ̃ BA
acidifierons	a AC s i AE d i AE f i AE ʁ ɔ̃ BA
acidifieront	a AC s i AE d i AE f i AE ʁ ɔ̃ BA
acidifies	a AC s i AE d i AE f i AE
acidifiez	a AC s i AE d i AE f j AA e AD
acidifiiez	a AC s i AE d i AE f i AE j AA e AD
acidifiions	a AC s i AE d i AE f i AE j AA ɔ̃ BA
acidifions	a AC s i AE d i AE f j AA ɔ̃ BA
acidifiâmes	a AC s i AE d i AE f j AA ɑ AK m
acidifiât	a AC s i AE d i AE f j AA ɑ AK
acidifiâtes	a AC s i AE d i AE f j AA ɑ AK t
acidifièrent	a AC s i AE d i AE f j AA ɛ AD ʁ
acidifié	a AC s i AE d i AE f j AA e AD
acidité	a AC s i AE d i AE t e AD
acidose	a AC s i AE d o AF z
acidula	a AC s i AE d y AH l a AC
acidulai	a AC s i AE d y AH l e AD
acidulaient	a AC s i AE d y AH l ɛ AD
acidulais	a AC s i AE d y AH l ɛ AD
acidulait	a AC s i AE d y AH l ɛ AD
acidulas	a AC s i AE d y AH l ɑ AK
acidulasse	a AC s i AE d y AH l a AC s
acidulassent	a AC s i AE d y AH l a AC s
acidulasses	a AC s i AE d y AH l a AC s
acidulassiez	a AC s i AE d y AH l a AC s j AA e AD
acidulassions	a AC s i AE d y AH l a AC s j AA ɔ̃ BA
acidule	a AC s i AE d y AH l
acidulent	a AC s i AE d y AH l
aciduler	a AC s i AE d y AH l e AD
acidulera	a AC s i AE d y AH l ʁ a AC
acidulerai	a AC s i AE d y AH l ʁ e AD
aciduleraient	a AC s i AE d y AH l ʁ ɛ AD
acidulerais	a AC s i AE d y AH l ʁ ɛ AD
acidulerait	a AC s i AE d y AH l ʁ ɛ AD
aciduleras	a AC s i AE d y AH l ʁ ɑ AK
acidulerez	a AC s i AE d y AH l ʁ e AD
aciduleriez	a AC s i AE d y AH l ə AJ ʁ j AA e AD
acidulerions	a AC s i AE d y AH l ə AJ ʁ j AA ɔ̃ BA
acidulerons	a AC s i AE d y AH l ʁ ɔ̃ BA
aciduleront	a AC s i AE d y AH l ʁ ɔ̃ BA
acidules	a AC s i AE d y AH l
acidulez	a AC s i AE d y AH l e AD
aciduliez	a AC s i AE d y AH l j AA e AD
acidulions	a AC s i AE d y AH l j AA ɔ̃ BA
acidulons	a AC s i AE d y AH l ɔ̃ BA
acidulâmes	a AC s i AE d y AH l ɑ AK m
acidulât	a AC s i AE d y AH l ɑ AK
acidulâtes	a AC s i AE d y AH l ɑ AK t
acidulèrent	a AC s i AE d y AH l ɛ AD ʁ
acidulé	a AC s i AE d y AH l e AD
acier	a AC s j AA e AD
acineuse	a AC s i AE n ø AI z
aciéreuse	a AC s j AA e AD ʁ ø AI z
aciérie	a AC s j AA e AD ʁ i AE
aclaste	a AC k l a AC s t
aclinale	a AC k l i AE n a AC l
acnodale	a AC k n ɔ AF d a AC l
acné	a AC k n e AD
acolyte	a AC k ɔ AF l i AE t
acommerciale	a AC k ɔ AF m ɛ AD ʁ s j AA a AC l
acompte	a AC k ɔ̃ BA t
aconit	a AC k ɔ AF n i AE
acoquiner	a AC k ɔ AF k i AE n e AD
acouphène	a AC k u AG f ɛ AD n
acoustique	a AC k u AG s t i AE k
