ँ	ə̃ AJ
अफसर	ə AD pʰ s̪ ə AD ɾ
अफ़लातून	ə AD pʰ l̪ äː t̪ ũː n̪
अफ़वाह	ə AD pʰ ʋ AB äː ɦ AG
अफ़सर	ə AD pʰ s̪ ə AD ɾ
अफ़साना	ə AD pʰ s̪ äː n̪ äː
अफ़सोसजनक	ə AD pʰ s̪ oː AE s̪ d ʒ ə AD n̪ ə AD k
अफ़ीम	ə AD pʰ ĩː m
अफ़ीमची	ə AD pʰ ĩː m t ʃ iː AC
अफ़्ग़ानिस्तान	ə AD pʰ ɡ äː n̪ ɪ AD s̪ t̪ ä̃ː n̪
अफ़्रीका	ə AD pʰ ɾ iː AC k äː
अफ़्साना	ə AD pʰ s̪ äː n̪ äː
अफीम	ə AD pʰ ĩː m
अबटाबाद	ə AD b ʈ äː b äː d̪
अबाबील	ə AD b äː b iː AC l̪
अबिचल	ə AD b ɪ AD t ʃ ə AD l̪
अबिवात्त	ə AD b ɪ AD ʋ AB äː t̪ t̪
अब्बा	ə AD b̚ b äː
अभयारण्य	ə AD bʱ j AA äː ɾ ə̃ AJ ɳ j AA
अभागा	ə AD bʱ äː ɡ äː
अभाव	ə AD bʱ äː ʋ AB
अभिकथन	ə AD bʱ ɪ AD k ə AD t̪ʰ ə̃ AJ n̪
अभिकलित्र	ə AD bʱ ɪ AD k ə AD l̪ ɪ AD t̪ ɾ
अभिकारक	ə AD bʱ ɪ AD k äː ɾ ə AD k
अभिक्रिया	ə AD bʱ ɪ AD k ɾ i AD j AA äː
अभिगम	ə AD bʱ ɪ AD ɡ ə̃ AJ m
अभिनंदन	ə AD bʱ ɪ AD n̪ ə̃ AJ n̪ d̪ ə̃ AJ n̪
अभिनय	ə AD bʱ ɪ AD n̪ ə AD j AA
अभिनेता	ə AD bʱ ɪ AD n̪ eː AC t̪ äː
अभिनेत्री	ə AD bʱ ɪ AD n̪ eː AC t̪ ɾ iː AC
अभिप्राय	ə AD bʱ ɪ AD p ɾ äː j AA
अभिभावक	ə AD bʱ ɪ AD bʱ äː ʋ AB ə AD k
अभिमानी	ə AD bʱ ɪ AD m äː n̪ iː AC
अभियंता	ə AD bʱ i AD j AA ə̃ AJ n̪ t̪ äː
अभियंत्रण	ə AD bʱ i AD j AA ə̃ AJ n̪ t̪ ɾ ə̃ AJ ɳ
अभियंत्रिकी	ə AD bʱ i AD j AA ə̃ AJ n̪ t̪ ɾ ɪ AD k iː AC
अभियन्ता	ə AD bʱ i AD j AA ə̃ AJ n̪ t̪ äː
अभियांत्रिकी	ə AD bʱ i AD j AA ä̃ː n̪ t̪ ɾ ɪ AD k iː AC
अभियान	ə AD bʱ i AD j AA ä̃ː n̪
अभियुक्त	ə AD bʱ i AD j AA ʊ AF k t̪
अभियोक्ता	ə AD bʱ i AD j AA oː AE k t̪ äː
अभियोग	ə AD bʱ i AD j AA oː AE ɡ
अभियोजक	ə AD bʱ i AD j AA oː AE d ʒ ə AD k
अभिलाषा	ə AD bʱ ɪ AD l̪ äː ʃ äː
अभिलेख	ə AD bʱ ɪ AD l̪ eː AC kʰ
अभिवादन	ə AD bʱ ɪ AD ʋ AB äː d̪ ə̃ AJ n̪
अभ्यंग	ə AD bʱ j AA ə̃ AJ ŋ ɡ
अभ्यस्त	ə AD bʱ j AA ə AD s̪ t̪
अभ्यागत	ə AD bʱ j AA äː ɡ ə AD t̪
अभ्यास	ə AD bʱ j AA äː s̪
अभ्यासक्रम	ə AD bʱ j AA äː s̪ k ɾ ə̃ AJ m
अभ्यासवश	ə AD bʱ j AA äː s̪ ʋ AB ə AD ʃ
अमचूर	ə̃ AJ m t ʃ uː AE ɾ
अमन	ə AD m ə̃ AJ n̪
अमरावती	ə̃ AJ m ɾ äː ʋ AB ə AD t̪ iː AC
अमरीका	ə̃ AJ m ɾ iː AC k äː
अमरूद	ə̃ AJ m ɾ uː AE d̪
अमल	ə AD m ə AD l̪
अमानत	ə AD m äː n̪ ə AD t̪
अमानती	ə AD m äː n̪ ə AD t̪ iː AC
अमानवीय	ə AD m äː n̪ ə AD ʋ AB iː AC j AA
अमानवीयता	ə AD m äː n̪ ə AD ʋ AB iː AC j AA ə AD t̪ äː
अमान्य	ə AD m ä̃ː n̪ j AA
अमावस	ə AD m äː ʋ AB ə AD s̪
अमाशय	ə AD m äː ʃ ə AD j AA
अमूल्य	ə AD m uː AE l̪ j AA
अमृत	ə̃ AJ m ɾ ɪ AD t̪
अमृतसर	ə̃ AJ m ɾ ɪ AD t̪ s̪ ə AD ɾ
अमेरिकन	ə AD m eː AC ɾ ɪ AD k ə̃ AJ n̪
अमेरिका	ə AD m eː AC ɾ ɪ AD k äː
अम्बर	ə̃ AJ m b ə AD ɾ
अम्मा	ə̃ AJ m m äː
अम्माँ	ə̃ AJ m m ä̃ː
अम्मी	ə̃ AJ m m iː AC
अम्ल	ə̃ AJ m l̪
अम्लता	ə̃ AJ m l̪ t̪ äː
अम्लपित्त	ə̃ AJ m l̪ p ɪ AD t̪ t̪
अम्लीय	ə̃ AJ m l̪ iː AC j AA
अयनांत	ə AD j AA ə AD n̪ ä̃ː n̪ t̪
अयस्	ə AD j AA ə AD s̪
अयस्क	ə AD j AA ə AD s̪ k
अयोग्यता	ə AD j AA oː AE ɡ j AA ə AD t̪ äː
अयोध्या	ə AD j AA oː AE d̪ʱ j AA äː
अरंडी	ə AD ɾ ə̃ AJ ɳ ɖ iː AC
अरक्तता	ə AD ɾ ə AD k t̪̚ t̪ äː
अरगनी	ə AD ɾ ə AD ɡ n̪ iː AC
अरदली	ə AD ɾ d̪ ə AD l̪ iː AC
अरबिंद	ə AD ɾ b ɪ̃ AJ n̪ d̪
अरमान	ə AD ɾ m ä̃ː n̪
अरविंद	ə AD ɾ ʋ AB ɪ̃ AJ n̪ d̪
अरसा	ə AD ɾ s̪ äː
अरस्तू	ə AD ɾ ə AD s̪ t̪ uː AE
अराजक	ə AD ɾ äː d ʒ ə AD k
अराजकता	ə AD ɾ äː d ʒ ə AD k t̪ äː
अराजकवाद	ə AD ɾ äː d ʒ ə AD k w AB äː d̪
अराजकवादी	ə AD ɾ äː d ʒ ə AD k w AB äː d̪ iː AC
अरारोट	ə AD ɾ äː ɾ oː AE ʈ
अरिहंत	ə AD ɾ ɪ AD ɦ AG ə̃ AJ n̪ t̪
अरोरा	ə AD ɾ oː AE ɾ äː
अर्जन	ə AD ɾ d ʒ ə̃ AJ n̪
अर्जुन	ə AD ɾ d ʒ ʊ̃ AL n̪
अर्जेंटीना	ə AD ɾ d ʒ ẽː ɳ ʈ iː AC n̪ äː
अर्जेण्टीना	ə AD ɾ d ʒ ẽː ɳ ʈ iː AC n̪ äː
अर्जेन्टीना	äː ɾ d ʒ ẽː ɳ ʈ iː AC n̪ äː
अर्थव्यवस्था	ə AD ɾ t̪ʰ ə AD ʋ AB j AA ə AD ʋ AB ə AD s̪ t̪ʰ äː
अर्थशास्त्री	ə AD ɾ t̪ʰ ə AD ʃ äː s̪ t̪ ɾ iː AC
अर्थहीन	ə AD ɾ t̪ʰ ɦ AG ĩː n̪
अर्थात	ə AD ɾ t̪ʰ äː t̪
अर्थात्	ə AD ɾ t̪ʰ äː t̪
अर्थालंकार	ə AD ɾ t̪ʰ äː l̪ ə̃ AJ ŋ k äː ɾ
अर्दली	ə AD ɾ d̪ ə AD l̪ iː AC
अर्धकुशल	ə AD ɾ d̪ʱ k ʊ AF ʃ ə AD l̪
अर्धतत्सम	ə AD ɾ d̪ʱ ə AD t̪ ə AD t̪ s̪ ə̃ AJ m
अर्धवार्षिक	ə AD ɾ d̪ʱ ʋ AB äː ɾ ʃ ɪ AD k
अर्धविकसित	ə AD ɾ d̪ʱ ʋ AB ɪ AD k s̪ ɪ AD t̪
अर्धशिक्षित	ə AD ɾ d̪ʱ ʃ ɪ AD k ʃ ɪ AD t̪
अर्धसरकारी	ə AD ɾ d̪ʱ s̪ ə AD ɾ k äː ɾ iː AC
अर्धसाप्ताहिक	ə AD ɾ d̪ʱ s̪ äː p t̪ äː ɦ AG ɪ AD k
अर्धांगिनी	ə AD ɾ d̪ʱ ä̃ː ŋ ɡ ɪ AD n̪ iː AC
अर्धायु	ə AD ɾ d̪ʱ äː j AA uː AE
अर्पण	ə AD ɾ p ə̃ AJ ɳ
अर्यमा	ə AD ɾ j AA ə AD m äː
अलंकार	ə AD l̪ ə̃ AJ ŋ k äː ɾ
अलंकृत	ə AD l̪ ə̃ AJ ŋ k ɾ ɪ AD t̪
अलक़तरा	ə AD l̪ q ə AD t̪ ɾ äː
अलगाना	ə AD l̪ ɡ äː n̪ äː
अलगाव	ə AD l̪ ɡ äː ʋ AB
अलगाववाद	ə AD l̪ ɡ äː ʋ AB ʋ AB äː d̪
अलगाववादी	ə AD l̪ ɡ äː ʋ AB ʋ AB äː d̪ iː AC
अलबता	ə AD l̪ b ə AD t̪ äː
अलबत्ता	ə AD l̪ b ə AD t̪̚ t̪ äː
अलबम	ə AD l̪ b ə̃ AJ m
अलम	ə AD l̪ ə̃ AJ m
अलमारी	ə AD l̪ m äː ɾ iː AC
अलम्	ə AD l̪ ə̃ AJ m
अलविदा	ə AD l̪ ʋ AB ɪ AD d̪ äː
अलसाना	ə AD l̪ s̪ äː n̪ äː
अलहदा	ə AD l̪ ɛ AD ɦ AG d̪ äː
अलादीन	ə AD l̪ äː d̪ ĩː n̪
अलापना	ə AD l̪ äː p n̪ äː
अलार्म	ə AD l̪ ɑː AC ɾ ə AD m
अलाव	ə AD l̪ äː ʋ AB
अलि	ə AD l̪ iː AC
अलिखित	ə AD l̪ ɪ AD kʰ ɪ AD t̪
अलीगढ	ə AD l̪ iː AC ɡ ə AD ɽʱ
अलीगढ़	ə AD l̪ iː AC ɡ ə AD ɽʱ
अलोना	ə AD l̪ oː AE n̪ äː
अल्जीरिया	ə AD l̪ d ʒ iː AC ɾ i AD j AA äː
अल्टीमेटम	ə AD l̪ ʈ iː AC m eː AC ʈ ə̃ AJ m
अल्पकारी	ə AD l̪ p ə AD k äː ɾ iː AC
अल्पसंख्यक	ə AD l̪ p s̪ ə̃ AJ ŋ kʰ j AA ə AD k
अल्पावस्था	ə AD l̪ p äː ʋ AB ə AD s̪ t̪ʰ äː
अल्पाहार	ə AD l̪ p äː ɦ AG äː ɾ
अल्फ़ा	ə AD l̪ pʰ äː
अल्फ़ाज़	ə AD l̪ pʰ äː d ʒ
अल्बम	ə AD l̪ b ə̃ AJ m
अल्बानियन	ə AD l̪ b äː n̪ i AD j AA ə̃ AJ n̪
अल्बानिया	ə AD l̪ b äː n̪ i AD j AA äː
अल्लाह	ə AD l̪ l̪ äː ɦ AG
अल्हड़	ə AD l̪ ɦ AG ə AD ɽ
अवकलज	ə AD ʋ AB k ə AD l̪ ə AD d ʒ
अवकलन	ə AD ʋ AB k ə AD l̪ ə̃ AJ n̪
अवकलनीय	ə AD ʋ AB k ə AD l̪ ə AD n̪ iː AC j AA
अवक्षयण	ə AD ʋ AB k ʃ ə AD j AA ə̃ AJ ɳ
अवक्षेपण	ə AD ʋ AB k ʃ eː AC p ə̃ AJ ɳ
अवगुण	ə AD ʋ AB ɡ ʊ̃ AL ɳ
अवज्ञा	ə AD ʋ AB ə AD ɡ j AA äː
अवतल	ə AD ʋ AB t̪ ə AD l̪
अवतार	ə AD ʋ AB t̪ äː ɾ
अवधारण	ə AD ʋ AB d̪ʱ äː ɾ ə̃ AJ ɳ
अवधारणा	ə AD ʋ AB d̪ʱ äː ɾ ɳ äː
अवनति	ə AD ʋ AB n̪ ə AD t̪ iː AC
अवपंक	ə AD ʋ AB p ə̃ AJ ŋ k
अवयस्क	ə AD ʋ AB ə AD j AA ə AD s̪ k
अवलंब	ə AD ʋ AB l̪ ə̃ AJ m b
अवलोकन	ə AD ʋ AB l̪ oː AE k ə̃ AJ n̪
अवशोषण	ə AD ʋ AB ʃ oː AE ʃ ə̃ AJ ɳ
अवशोषित	ə AD ʋ AB ʃ oː AE ʃ ɪ AD t̪
अवसंरचना	ə AD ʋ AB s̪ ə̃ AJ ɾ ə AD t ʃ n̪ äː
अवसर	ə AD ʋ AB s̪ ə AD ɾ
अवस्था	ə AD ʋ AB ə AD s̪ t̪ʰ äː
अवहेलना	ə AD ʋ AB ɦ AG eː AC l̪ n̪ äː
अवांछित	ə AD ʋ AB ä̃ː n̪ t ʃʰ ɪ AD t̪
अवाई	ə AD ʋ AB äː iː AC
अवाक्	ə AD ʋ AB äː k
अवाम	ə AD ʋ AB ä̃ː m
अवार्ड	ə AD ʋ AB äː ɾ ɖ
अविकसित	ə AD ʋ AB ɪ AD k s̪ ɪ AD t̪
अविकारी	ə AD ʋ AB ɪ AD k äː ɾ iː AC
अविचल	ə AD ʋ AB ɪ AD t ʃ ə AD l̪
अविच्छिन्न	ə AD ʋ AB ɪ AD t̚ t ʃʰ ɪ̃ AJ n̪ n̪
अविनय	ə AD ʋ AB ɪ AD n̪ ə AD j AA
अविनीत	ə AD ʋ AB ɪ AD n̪ iː AC t̪
अविलंब	ə AD ʋ AB ɪ AD l̪ ə̃ AJ m b
अविवाहित	ə AD ʋ AB ɪ AD ʋ AB äː ɦ AG ɪ AD t̪
अविश्वास	ə AD ʋ AB ɪ AD ʃ ʋ AB äː s̪
अविश्वासनीय	ə AD ʋ AB ɪ AD ʃ ʋ AB äː s̪ n̪ iː AC j AA
अविस्मरणीय	ə AD ʋ AB ɪ AD s̪ m ə AD ɾ ə AD ɳ iː AC j AA
अवैतनिक	ʋ AB ɛː AC t̪ ə AD n̪ ɪ AD k
अवोकाडो	ə AD ʋ AB oː AE k äː ɖ oː AE
अव्यवस्था	ə AD ʋ AB j AA ə AD ʋ AB ə AD s̪ t̪ʰ äː
अव्यावहारिक	ə AD ʋ AB j AA äː ʋ AB ɦ AG äː ɾ ɪ AD k
अव्वल	ə AD ʋ AB ʋ AB ə AD l̪
अशांत	ə AD ʃ ä̃ː n̪ t̪
अशांति	ə AD ʃ ä̃ː n̪ t̪ iː AC
अशान्ति	ə AD ʃ ä̃ː n̪ t̪ iː AC
अशिष्टता	ə AD ʃ ɪ AD ʃ ʈ t̪ äː
अशुद्धि	ə AD ʃ ʊ AF d̪̚ d̪ʱ iː AC
अश्लील	ə AD ʃ l̪ iː AC l̪
अश्लीलता	ə AD ʃ l̪ iː AC l̪ t̪ äː
अश्विनी	ə AD ʃ ʋ AB ɪ AD n̪ iː AC
अष्टकोण	ə AD ʂ ʈ k õː ɳ
असंख्य	ə AD s̪ ə̃ AJ ŋ kʰ j AA
असंगत	ə AD s̪ ə̃ AJ ŋ ɡ ə AD t̪
असंगति	ə AD s̪ ə̃ AJ ŋ ɡ ə AD t̪ iː AC
असंतुष्ट	ə AD s̪ ə̃ AJ n̪ t̪ ʊ AF ʂ ʈ
असंतोष	ə AD s̪ ə̃ AJ n̪ t̪ oː AE ʃ
असंतोषजनक	ə AD s̪ ə̃ AJ n̪ t̪ oː AE ʃ d ʒ ə AD n̪ ə AD k
असंभव	ə AD s̪ ə̃ AJ m bʱ ə AD ʋ AB
असंभावित	ə AD s̪ ə̃ AJ m bʱ äː ʋ AB ɪ AD t̪
असंवेदनशील	ə AD s̪ ə̃ AJ m w AB eː AC d̪ ə̃ AJ n̪ ʃ iː AC l̪
असंवैधानिक	ə AD s̪ ə̃ AJ m w AB ɛː AC d̪ʱ äː n̪ ɪ AD k
असत्य	ə AD s̪ ə AD t̪ j AA
असत्याभास	ə AD s̪ ə AD t̪ j AA äː bʱ äː s̪
असफल	ə AD s̪ ə AD pʰ ə AD l̪
असफलता	ə AD s̪ ə AD pʰ ə AD l̪ t̪ äː
असबाब	ə AD s̪ b äː b
असभ्य	ə AD s̪ ə AD bʱ j AA
असभ्यता	ə AD s̪ ə AD bʱ j AA ə AD t̪ äː
असम	ə AD s̪ ə̃ AJ m
असमंजस	ə AD s̪ ə AD m ə̃ AJ n̪ d ʒ ə AD s̪
असमय	ə AD s̪ ə AD m ə AD j AA
असमर्थ	ə AD s̪ ə AD m ə AD ɾ t̪ʰ
असमर्थता	ə AD s̪ ə AD m ə AD ɾ t̪ʰ t̪ äː
असमान	ə AD s̪ ə AD m ä̃ː n̪
असमानता	ə AD s̪ ə AD m ä̃ː n̪ t̪ äː
असमाप्त	ə AD s̪ ə AD m äː p t̪
असमीकरण	ə AD s̪ ə AD m iː AC k ə AD ɾ ə̃ AJ ɳ
असम्भव	ə AD s̪ ə̃ AJ m bʱ ə AD ʋ AB
असर	ə AD s̪ ə AD ɾ
असल	ə AD s̪ ə AD l̪
असलियत	ə AD s̪ l̪ i AD j AA ə AD t̪
असली	ə AD s̪ l̪ iː AC
असहमत	ə AD s̪ ɛ AD ɦ AG m ə AD t̪
असहमति	ə AD s̪ ɛ AD ɦ AG m ə AD t̪ iː AC
असहयोग	ə AD s̪ ɛ AD ɦ AG j AA oː AE ɡ
असहाय	ə AD s̪ ɦ AG äː j AA
असहिष्णु	ə AD s̪ ə AD ɦ AG ɪ AD ʃ ɳ uː AE
असहिष्णुता	ə AD s̪ ə AD ɦ AG ɪ AD ʃ ɳ ʊ AF t̪ äː
असह्य	ə AD s̪ ɛ AD ɦ AG j AA
असाढ़	ə AD s̪ äː ɽʱ
असाधारण	ə AD s̪ äː d̪ʱ äː ɾ ə̃ AJ ɳ
असाध्य	ə AD s̪ äː d̪ʱ j AA
असामयिक	ə AD s̪ äː m ə AD j AA ɪ AD k
असामाजिक	ə AD s̪ äː m äː d ʒ ɪ AD k
असामान्य	ə AD s̪ äː m ä̃ː n̪ j AA
असार	ə AD s̪ äː ɾ
असावधान	ə AD s̪ äː ʋ AB d̪ʱ ä̃ː n̪
असावधानता	ə AD s̪ äː ʋ AB d̪ʱ ä̃ː n̪ t̪ äː
असिस्टेंट	ə AD s̪ ɪ AD s̪ ʈ ẽː ɳ ʈ
असीम	ə AD s̪ ĩː m
असीस	ə AD s̪ iː AC s̪
असुंदर	ə AD s ʊ̃ AL n̪ d̪ ə AD ɾ
असुरक्षित	ə AD s̪ ʊ AF ɾ ə AD k ʃ ɪ AD t̪
असुविधा	ə AD s̪ ʊ AF ʋ AB ɪ AD d̪ʱ äː
असुविधाजनक	ə AD s̪ ʊ AF ʋ AB ɪ AD d̪ʱ äː d ʒ ə AD n̪ ə AD k
असेंबली	ə AD s̪ ẽː m b l̪ iː AC
असैनिक	ə AD s̪ ɛː AC n̪ ɪ AD k
अस्तबल	ə AD s̪ t̪ ə AD b ə AD l̪
अस्तर	ə AD s̪ t̪ ə AD ɾ
अस्तव्यस्त	ə AD s̪ t̪ w AB j AA ə AD s̪ t̪
अस्तित्व	ə AD s̪ t̪ ɪ AD t̪ w AB
अस्थमा	ə AD s̪ t̪ʰ ə AD m äː
अस्थायी	ə AD s̪ t̪ʰ äː j AA iː AC
अस्थि	ə AD s̪ t̪ʰ iː AC
अस्थिपंजर	ə AD s̪ t̪ʰ ɪ AD p ə̃ AJ n̪ d ʒ ə AD ɾ
अस्थिर	ə AD s̪ t̪ʰ ɪ AD ɾ
अस्थिरता	ə AD s̪ t̪ʰ ɪ AD ɾ t̪ äː
अस्पताल	ə AD s̪ p ə AD t̪ äː l̪
अस्पताली	ə AD s̪ p ə AD t̪ äː l̪ iː AC
अस्पष्ट	ə AD s̪ p ə AD ʂ ʈ
अस्पष्टता	ə AD s̪ p ə AD ʃ ʈ ə AD t̪ äː
अस्पृश्य	ə AD s̪ p ɾ ɪ AD ʃ j AA
अस्पृश्यता	ə AD s̪ p ɾ ɪ AD ʃ j AA ə AD t̪ äː
अस्मिता	ə AD s̪ m ɪ AD t̪ äː
अस्वस्थ	ə AD s̪ ʋ AB ə AD s̪ t̪ʰ
अस्वस्थता	ə AD s̪ ʋ AB ə AD s̪ t̪ʰ ə AD t̪ äː
अस्वाभाविक	ə AD s̪ ʋ AB äː bʱ äː ʋ AB ɪ AD k
अस्वीकार	ə AD s̪ ʋ AB iː AC k äː ɾ
अस्वीकृत	ə AD s̪ ʋ AB iː AC k ɾ ɪ AD t̪
अस्वीकृति	ə AD s̪ ʋ AB iː AC k ɾ ɪ AD t̪ iː AC
अस्सी	ə AD s̪ s̪ iː AC
अहं	ɛ AD ɦ AG ɛ̃ AJ m
अहंकार	ɛ AD ɦ AG ɛ̃ AJ ŋ k äː ɾ
अहबाब	ɛ AD ɦ AG b äː b
अहम	ɛ AD ɦ AG ɛ̃ AJ m
अहमदाबाद	ɛ AD ɦ AG m ə AD d̪ äː b äː d̪
अहमियत	ɛ AD ɦ AG m i AD j AA ə AD t̪
अहवाल	ɛ AD ɦ AG ʋ AB äː l̪
अहसास	ɛ AD ɦ AG s̪ äː s̪
अहाता	ə AD ɦ AG äː t̪ äː
अहिंदी	ə AD ɦ AG ɪ̃ AJ n̪ d̪ iː AC
अहिंसक	ə AD ɦ AG ɪ̃ AJ n̪ s̪ ə AD k
अहिंसा	ə AD ɦ AG ɪ̃ AJ n̪ s̪ äː
अहिंसात्मक	ə AD ɦ AG ɪ̃ AJ n̪ s̪ äː t̪ m ə AD k
अहिच्छत्र	ə AD ɦ AG ɪ AD t̚ t ʃʰ ə AD t̪ ɾ
अहिनाह	ə AD ɦ AG ɪ AD n̪ äː ɦ AG
अहिर्बुश्न	ə AD ɦ AG ɪ AD ɾ b ʊ AF ʃ n̪
अहिवात	ə AD ɦ AG ɪ AD ʋ AB äː t̪
अहिवाद	ə AD ɦ AG ɪ AD ʋ AB äː d̪
अहेरन	ə AD ɦ AG eː AC ɾ ə̃ AJ n̪
अहोभाग्य	ə AD ɦ AG oː AE bʱ äː ɡ j AA
आ	äː
आँकड़ा	ä̃ː k ɽ äː
आँख	ä̃ː kʰ
आँगन	ä̃ː ɡ ə̃ AJ n̪
आँगनवाड़ी	ä̃ː ŋ ɡ ə̃ AJ n̪ w AB äː ɽ iː AC
आँच	ä̃ː t ʃ
आँचलिक	ä̃ː t ʃ l̪ ɪ AD k
आँत	ä̃ː t̪
आँधी	ä̃ː n̪ d̪ʱ iː AC
आँसू	ä̃ː s̪ uː AE
आंगन	ä̃ː ɡ ə̃ AJ n̪
आंग्ल	ä̃ː ŋ ɡ l̪
आंत	ä̃ː n̪ t̪
आंतरिक	ä̃ː n̪ t̪ ɾ ɪ AD k
आंदोलन	ä̃ː n̪ d̪ oː AE l̪ ə̃ AJ n̪
आंधी	ä̃ː n̪ d̪ʱ iː AC
आंवला	ä̃ː m w AB l̪ äː
आंशिक	ä̃ː n̪ ʃ ɪ AD k
आंसू	ä̃ː n̪ s̪ uː AE
आइंदा	äː ɪ̃ AJ n̪ d̪ äː
आइंस्टीनियम	äː ɪ̃ AJ n̪ s̪ ʈ iː AC n̪ i AD j AA ə̃ AJ m
आइज़ोल	äː ɪ AD z oː AE l̪
आइसक्रीम	äː ɪ AD s̪ k ɾ ĩː m
आइसलैंड	äː ɪ AD s̪ l̪ ɛ̃ː AI ɳ ɖ
आइस्ड	äː ɪ AD s̪ ɖ
आई	äː iː AC
आईना	aː AC iː AC n aː AC
आईला	äː iː AC l̪ äː
आउट	äː ʊ AF ʈ
आक	äː k
आकर्षक	äː k ə AD ɾ ʃ ə AD k
आकर्षण	äː k ə AD ɾ ʃ ə̃ AJ ɳ
आकर्षित	äː k ə AD ɾ ʃ ɪ AD t̪
आकर्षी	äː k ə AD ɾ ʃ iː AC
आकलन	äː k ə AD l̪ ə̃ AJ n̪
आकस्मिक	äː k ə AD s̪ m ɪ AD k
आक़ा	äː q äː
आकांक्षा	äː k ä̃ː k ʃ äː
आकांक्षी	äː k ä̃ː k ʃ iː AC
आकार	äː k äː ɾ
आकाश	äː k äː ʃ
आकाशगंगा	äː k äː ʃ ɡ ə̃ AJ ŋ ɡ äː
आकाशवाणी	äː k äː ʃ ʋ AB äː ɳ iː AC
आकाशी	äː k äː ʃ iː AC
आकृत	äː k ɾ ɪ AD t̪
आकृति	äː k ɾ ɪ AD t̪ iː AC
आकृष्ट	äː k ɾ ɪ AD ʂ ʈ
आक्रमण	äː k ɾ ə AD m ə̃ AJ ɳ
आक्रमणकारी	äː k ɾ ə AD m ə̃ AJ ɳ k äː ɾ iː AC
आक्रामक	äː k ɾ äː m ə AD k
आक्रामकता	äː k ɾ äː m ə AD k t̪ äː
आक्रोश	äː k ɾ oː AE ʃ
आक्षेप	äː k ʃ eː AC p
आखरी	äː x ɾ iː AC
आख़िर	äː x ɪ AD ɾ
आख़िरकार	äː x ɪ AD ɾ k äː ɾ
आख़िरत	äː x ɪ AD ɾ ə AD t̪
आख़िरी	äː x ɾ iː AC
आखातीज	äː kʰ äː t̪ iː AC d ʒ
आखिर	äː x ɪ AD ɾ
आखिरी	äː kʰ ɪ AD ɾ iː AC
आखेट	äː kʰ eː AC ʈ
आखेटक	äː kʰ eː AC ʈ ə AD k
आग	äː ɡ
आगंतुक	äː ɡ ə̃ AJ n̪ t̪ ʊ AF k
आगजनी	äː ɡ d ʒ ə AD n̪ iː AC
आगज़नी	äː ɡ z ə AD n̪ iː AC
आगमन	äː ɡ ə AD m ə̃ AJ n̪
आगरा	äː ɡ ɾ äː
आग़ा	äː ɣ äː
आग़ाज़	äː ɣ äː z
आग़ोश	äː ɣ oː AE ʃ
आगा	äː ɡ äː
आगार	äː ɡ äː ɾ
आगाह	äː ɡ äː ɦ AG
आगाही	äː ɡ äː ɦ AG iː AC
आगे	äː ɡ eː AC
आग्नेय	äː ɡ n̪ eː AC j AA
आग्नेयास्त्र	äː ɡ n̪ eː AC j AA äː s̪ t̪ ɾ
आग्रह	äː ɡ ɾ ə AD ɦ AG
आग्रहपूर्वक	äː ɡ ɾ ɛ AD ɦ AG p uː AE ɾ ʋ AB ə AD k
आघ	äː ɡʱ
आघात	äː ɡʱ äː t̪
आघातपूर्ण	äː ɡʱ äː t̪ p uː AE ɾ ɳ
आचरण	äː t ʃ ə AD ɾ ə̃ AJ ɳ
आचार	äː t ʃ äː ɾ
आचार्य	äː t ʃ äː ɾ j AA
आछा	äː t ʃʰ äː
आज	äː d ʒ
आजमाइश	äː d ʒ m äː ɪ AD ʃ
आजमाना	äː z m äː n̪ äː
आज़माइश	äː z m äː ɪ AD ʃ
आज़माना	äː z m äː n̪ äː
आज़र्बैजान	äː z ə AD ɾ b ɛː AC d ʒ ä̃ː n̪
आज़ाद	äː z äː d̪
आज़ार	äː z äː ɾ
आजाद	äː d ʒ äː d̪
आजादी	äː d ʒ äː d̪ iː AC
आजीवन	äː d ʒ iː AC ʋ AB ə̃ AJ n̪
आजीविका	äː d ʒ iː AC ʋ AB ɪ AD k äː
आज्ञा	äː ɡ j AA äː
आटा	äː ʈ äː
आटिचोक	äː ʈ ɪ AD t ʃ oː AE k
आठ	äː ʈʰ
आठवाँ	äː ʈʰ ʋ AB ä̃ː
आडंबर	äː ɖ ə̃ AJ m b ə AD ɾ
आडवाणी	äː ɖ w AB äː ɳ iː AC
आड़	äː ɽ
आड़ा	äː ɽ äː
आड़ू	äː ɽ uː AE
आण्विक	ä̃ː ɳ w AB ɪ AD k
आतंकमय	äː t̪ ə̃ AJ ŋ k m ə AD j AA
आतंकवाद	äː t̪ ə̃ AJ ŋ k w AB äː d̪
आतंकवादी	äː t̪ ə̃ AJ ŋ k w AB äː d̪ iː AC
आतंकित	äː t̪ ə̃ AJ ŋ k ɪ AD t̪
आततायी	äː t̪ ə AD t̪ äː j AA iː AC
आतमीयता	äː t̪ m iː AC j AA t̪ äː
आतिश	äː t̪ ɪ AD ʃ
आतिशबाज़ी	äː t̪ ɪ AD ʃ b äː z iː AC
आतिशबाजी	äː t̪ ɪ AD ʃ b äː z iː AC
आतुर	äː t̪ ʊ AF ɾ
आतुरता	äː t̪ ʊ AF ɾ t̪ äː
आत्मकथा	äː t̪ m k ə AD t̪ʰ äː
आत्मघात	äː t̪ m ə AD ɡʱ äː t̪
