က	k AC a̰ AL
ကြက်သွန်မြိတ်	t AC ɕ AJ ɛ AL ʔ AC θ AJ ʊ AM ɴ AG m AF j AB e AL ɪ AL ʔ AC
ကြက်ဟင်းခါးသီး	t AC ɕ AJ ɛ AL ʔ AC h AA ɪ AL ɴ AG ɡ AC a AL ð AJ i AL
ကြက်အူချောင်း	t AC ɕ AJ ɛ AL ʔ AC ʔ AC u AM d AC ʑ AJ a AL ʊ AM ɴ AG
ကြခတ်ဝါး	t AC ɕ AJ ə AL kʰ AD a AL ʔ AC w AK a AL
ကြငှန်း	t AC ɕ AJ ə AL ŋ̊ AG a AL ɴ AG
ကြဉ်	t AC ɕ AJ ɪ AL ɴ AG
ကြည့်	t AC ɕ AJ ḭ
ကြည့်မြင်တိုင်	t AC ɕ AJ ḭ m AF j AB ɪ AL ɴ AG d AC a AL ɪ AL ɴ AG
ကြည်	t AC ɕ AJ ɪ AL ɴ AG
ကြည်းတပ်	t AC ɕ AJ i AL d AC a AL ʔ AC
ကြမ္မာ	t AC ɕ AJ ə AL m AF a AL
ကြမ်း	t AC ɕ AJ a AL ɴ AG
ကြယ်	t AC ɕ AJ ɛ AL
ကြယ်စု	t AC ɕ AJ ɛ AL z AJ ṵ
ကြယ်တံခွန်	t AC ɕ AJ ɛ AL d AC ə AL ɡ AC ʊ AM ɴ AG
ကြယ်သီး	t AC ɕ AJ ɛ AL θ AJ i AL
ကြာ	t AC ɕ AJ a AL
ကြာကြာ	t AC ɕ AJ a AL d AC ʑ AJ a AL
ကြာချည်	t AC ɕ AJ a AL t AC ɕʰ BA i AL
ကြာဆံ	t AC ɕ AJ a AL z AJ a AL ɴ AG
ကြာဆံသုပ်	t AC ɕ AJ a AL z AJ a AL ɴ AG θ AJ o AM ʊ AM ʔ AC
ကြာညို့	t AC ɕ AJ a AL ɲ AG o̰ AM
ကြာသပတေး	t AC ɕ AJ a AL θ AJ a̰ AL p AH a̰ AL d AC e AL
ကြား	t AC ɕ AJ a AL
ကြိမ်	t AC ɕ AJ e AL ɪ AL ɴ AG
ကြိယာ	k AC ə AL ɹ AB ḭ j AB a AL
ကြိယာဝိသေသန	k AC ə AL ɹ AB ḭ j AB a AL w AK ḭ θ AJ e AL θ AJ ə AL n AG a̰ AL
ကြိုက်	t AC ɕ AJ a AL ɪ AL ʔ AC
ကြိုဆိုပါ၏	t AC ɕ AJ o AM z AJ o AM b AH a AL ʔ AC ɛ̰ AL
ကြို့	t AC ɕ AJ o̰ AM
ကြိုး	t AC ɕ AJ o AM
ကြိုးကြာ	d AC ʑ AJ o AM d AC ʑ AJ a AL
ကြိုးစင်	t AC ɕ AJ o AM z AJ ɪ AL ɴ AG
ကြိုးစား	t AC ɕ AJ o AM z AJ a AL
ကြီး	t AC ɕ AJ i AL
ကြီးကြီး	t AC ɕ AJ i AL d AC ʑ AJ i AL
ကြီးမား	t AC ɕ AJ i AL m AF a AL
ကြောက်	t AC ɕ AJ a AL ʊ AM ʔ AC
ကြောင့်	d AC ʑ AJ a̰ AL ʊ AM ɴ AG
ကြောင်	t AC ɕ AJ a AL ʊ AM ɴ AG
ကြောင်ကလေး	t AC ɕ AJ a AL ʊ AM ɴ AG ɡ AC ə AL l AE e AL
ကြောင်ထီး	t AC ɕ AJ a AL ʊ AM ɴ AG d AC i AL
ကြောင်မ	t AC ɕ AJ a AL ʊ AM ɴ AG m AF a̰ AL
ကြောင်လိမ်လှေကား	t AC ɕ AJ a AL ʊ AM ɴ AG l AE e AL ɪ AL ɴ AG l̥ AE e AL ɡ AC a AL
ကြောင်အိမ်	t AC ɕ AJ a AL ʊ AM ɴ AG ʔ AC e AL ɪ AL ɴ AG
ကြော်	t AC ɕ AJ ɔ AM
ကြော်ငြာ	t AC ɕ AJ ɔ AM ɲ AG a AL
ကြော်ငြာစာ	t AC ɕ AJ ɔ AM ɲ AG a AL z AJ a AL
ကြေး	t AC ɕ AJ e AL
ကြေးကြီး	t AC ɕ AJ e AL t AC ɕ AJ i AL
ကြေးငွေ	t AC ɕ AJ e AL ŋ AG w AK e AL
ကြေးစည်	t AC ɕ AJ e AL z AJ i AL
ကြေးနန်း	t AC ɕ AJ e AL n AG a AL ɴ AG
ကြေးနီ	t AC ɕ AJ e AL n AG i AL
ကြေးမုံ	t AC ɕ AJ e AL m AF o AM ʊ AM ɴ AG
ကြေးဝါ	t AC ɕ AJ e AL w AK a AL
ကြေးအိုး	t AC ɕ AJ e AL ʔ AC o AM
ကြံ	t AC ɕ AJ a AL ɴ AG
ကြံ့	t AC ɕ AJ a̰ AL ɴ AG
ကြံ့လျော်	t AC ɕ AJ a̰ AL ɴ AG ʃ AJ ɔ AM
ကြွ	t AC ɕ AJ w AK a̰ AL
ကြွက်	t AC ɕ AJ w AK ɛ AL ʔ AC
ကြွက်နို့	t AC ɕ AJ w AK ɛ AL ʔ AC n AG o̰ AM
ကြွက်သား	t AC ɕ AJ w AK ɛ AL ʔ AC θ AJ a AL
ကြွင်း	t AC ɕ AJ w AK ɪ AL ɴ AG
ကြွပ်	t AC ɕ AJ ʊ AM ʔ AC
ကြွယ်	t AC ɕ AJ w AK ɛ AL
ကြွေ	t AC ɕ AJ w AK e AL
ကြွေး	t AC ɕ AJ w AK e AL
ကွင်း	k AC w AK ɪ AL ɴ AG
ကွင်းထိုးဖိနပ်	ɡ AC w AK ɪ AL ɴ AG d AC o AM pʰ AI ə AL n AG a AL ʔ AC
ကွတ်	k AC ʊ AM ʔ AC
ကွန်	k AC ʊ AM ɴ AG
ကွန်ကရစ်	k AC ʊ AM ɴ AG ɡ AC ə AL ɹ AB ɪ AL ʔ AC
ကွန်ဂို	k AC ʊ AM ɴ AG ɡ AC o AM
ကွန်ဒုံး	k AC ʊ AM ɴ AG d AC o AM ʊ AM ɴ AG
ကွန်ပါ	k AC ʊ AM ɴ AG p AH a AL
ကွန်ပျူတာ	k AC ʊ AM ɴ AG p AH j AB u AM t AC a AL
ကွန်ဖရင့်	k AC ʊ AM ɴ AG pʰ AI ə AL ɹ AB ɪ̰ AL ɴ AG
ကွန်ဖြူးရှပ်	k AC ʊ AM ɴ AG pʰ AI j AB u AM ʃ AJ a AL ʔ AC
ကွန်ရက်	k AC ʊ AM ɴ AG j AB ɛ AL ʔ AC
ကွမ်ရင်	k AC w AK a AL ɴ AG j AB ɪ AL ɴ AG
ကွမ်ရင်မယ်တော်	k AC w AK a AL ɴ AG j AB ɪ AL ɴ AG m AF ɛ AL d AC ɔ AM
ကွမ်းတောင်	k AC ʊ AM ɴ AG d AC a AL ʊ AM ɴ AG
ကွမ်းမွှေး	k AC ʊ AM ɴ AG m̥ AF w AK e AL
ကွမ်းယာ	k AC ʊ AM ɴ AG j AB a AL
ကွမ်းရွက်ပင်	k AC ʊ AM ɴ AG j AB w AK ɛ AL ʔ AC p AH ɪ AL ɴ AG
ကွယ်လွန်	k AC w AK ɛ AL l AE ʊ AM ɴ AG
ကွာစေ့	k AC w AK a AL s AJ ḭ
ကွာလာလမ်ပူ	k AC w AK a AL l AE a AL l AE a AL ɴ AG p AH u AM
ကွီး	k AC w AK i AL
ကွဲ	k AC w AK ɛ AL
ကဿပ	k AC a AL ʔ AC θ AJ ə AL p AH a̰ AL
ကဿပဘုရား	k AC a AL ʔ AC θ AJ ə AL p AH a̰ AL pʰ AI ə AL j AB a AL
ခ	kʰ AD a̰ AL
ခက်	kʰ AD ɛ AL ʔ AC
ခက်ရင်း	kʰ AD ə AL j AB ɪ AL ɴ AG
ခကွေး	kʰ AD a̰ AL ɡ AC w AK e AL
ခင်	kʰ AD ɪ AL ɴ AG
ခင်ပွန်း	kʰ AD ɪ AL ɴ AG b AH ʊ AM ɴ AG
ခင်ဗျာ	kʰ AD ə AL m AF j AB a AL
ခင်ဗျာ့	kʰ AD ɪ AL ɴ AG b AH j AB a̰ AL
ခင်ဗျား	kʰ AD ɪ AL ɴ AG b AH j AB a AL
ခင်ဗျားတို့	kʰ AD ɪ AL ɴ AG b AH j AB a AL d AC o̰ AM
ခင်မင်မှု	kʰ AD ɪ AL ɴ AG m AF ɪ AL ɴ AG m̥ AF ṵ
ခဏ	kʰ AD ə AL n AG a̰ AL
ခဏခဏ	kʰ AD ə AL n AG a̰ AL ɡ AC ə AL n AG a̰ AL
ခတ္တိယ	kʰ AD a AL ʔ AC t AC ḭ j AB a̰ AL
ခနုံထုပ်	kʰ AD ə AL n AG o AM ʊ AM ɴ AG d AC o AM ʊ AM ʔ AC
ခနုံအီ	kʰ AD ə AL n AG o AM ʊ AM ɴ AG ʔ AC i AL
ခန္တီ	kʰ AD a AL ɴ AG t AC i AL
ခန္ဓာ	kʰ AD a AL ɴ AG d AC a AL
ခန္ဓာငါးပါး	kʰ AD a AL ɴ AG d AC a AL ŋ AG a AL b AH a AL
ခန္ဓာဗေဒ	kʰ AD a AL ɴ AG d AC a AL b AH e AL d AC a̰ AL
ခန်တမာ	kʰ AD a AL ɴ AG t AC ə AL m AF a AL
ခန်း	kʰ AD a AL ɴ AG
ခပ်သိမ်း	kʰ AD a AL ʔ AC θ AJ e AL ɪ AL ɴ AG
ခမည်းတော်	kʰ AD ə AL m AF i AL d AC ɔ AM
ခမာ	kʰ AD ə AL m AF a AL
ခမောက်	kʰ AD ə AL m AF a AL ʊ AM ʔ AC
ခယ်မ	kʰ AD ɛ AL m AF a̰ AL
ခရင်း	kʰ AD ə AL j AB ɪ AL ɴ AG
ခရစ္စမတ်	kʰ AD ə AL ɹ AB ɪ AL ʔ AC s AJ ə AL m AF a AL ʔ AC
ခရစ်	kʰ AD ə AL ɹ AB ɪ AL ʔ AC
ခရစ်တော်	kʰ AD ə AL ɹ AB ɪ AL ʔ AC t AC ɔ AM
ခရစ်ယာန်	kʰ AD ə AL ɹ AB ɪ AL ʔ AC j AB a AL n AG
ခရမ်း	kʰ AD ə AL j AB a AL ɴ AG
ခရမ်းချဉ်	kʰ AD ə AL j AB a AL ɴ AG d AC ʑ AJ ɪ AL ɴ AG
ခရမ်းသီး	kʰ AD ə AL j AB a AL ɴ AG θ AJ i AL
ခရာမွှေး	kʰ AD ə AL j AB a AL m̥ AF w AK e AL
ခရိုင်	kʰ AD ə AL j AB a AL ɪ AL ɴ AG
ခရိုမီယမ်	kʰ AD ə AL ɹ AB o AM m AF i AL j AB a AL ɴ AG
ခရိုအေးရှား	kʰ AD ə AL ɹ AB o AM ʔ AC e AL ʃ AJ a AL
ခရီး	kʰ AD ə AL j AB i AL
ခရီးသည်	kʰ AD ə AL j AB i AL ð AJ e AL
ခရု	kʰ AD ə AL j AB ṵ
ခရုပက်ကျိ	kʰ AD ə AL j AB ṵ p AH ɛ AL ʔ AC t AC ɕ AJ ḭ
ခရေ	kʰ AD ə AL j AB e AL
ခလာသီ	kʰ AD ə AL l AE a AL θ AJ i AL
ခလုတ်	kʰ AD ə AL l AE o AM ʊ AM ʔ AC
ခလုတ်ခုံ	kʰ AD ə AL l AE o AM ʊ AM ʔ AC kʰ AD o AM ʊ AM ɴ AG
ခဝဲ	kʰ AD ə AL w AK ɛ AL
ခါ	kʰ AD a AL
ခါး	kʰ AD a AL
ခါးပတ်	ɡ AC ə AL b AH a AL ʔ AC
ခို	kʰ AD o AM
ခိုး	kʰ AD o AM
ခိုးစား	kʰ AD o AM s AJ a AL
ခု	kʰ AD ṵ
ခုခံအားကျရောဂါ	kʰ AD ṵ ɡ AC a AL ɴ AG ʔ AC a AL t AC ɕ AJ a̰ AL j AB ɔ AM ɡ AC a AL
ခုနစ်	kʰ AD ʊ AM ɴ AG n̥ AG ɪ AL ʔ AC
ခုနစ်လ	kʰ AD ʊ AM ɴ AG n̥ AG ə AL l AE a̰ AL
ခုန်	kʰ AD o AM ʊ AM ɴ AG
ခုံတန်းလျား	kʰ AD o AM ʊ AM ɴ AG t AC a AL ɴ AG j AB a AL
ခုံရှည်	kʰ AD o AM ʊ AM ɴ AG ʃ AJ e AL
ခေတ္တ	kʰ AD ɪ AL ʔ AC t AC a̰ AL
ခေတ်	kʰ AD ɪ AL ʔ AC
ခေမာရဋ္ဌ	kʰ AD e AL m AF a AL j AB ə AL tʰ AD a̰ AL
ခေါက်	kʰ AD a AL ʊ AM ʔ AC
ခေါက်ဆွဲ	kʰ AD a AL ʊ AM ʔ AC sʰ BA w AK ɛ AL
ခေါက်ဆွဲဆိုင်	kʰ AD a AL ʊ AM ʔ AC sʰ BA w AK ɛ AL z AJ a AL ɪ AL ɴ AG
ခေါက်ဆွဲသုပ်	kʰ AD a AL ʊ AM ʔ AC sʰ BA w AK ɛ AL θ AJ o AM ʊ AM ʔ AC
ခေါက်မုန့်	kʰ AD a AL ʊ AM ʔ AC m AF o̰ AM ʊ AM ɴ AG
ခေါင်း	ɡ AC a AL ʊ AM ɴ AG
ခေါင်းဆောင်	ɡ AC a AL ʊ AM ɴ AG z AJ a AL ʊ AM ɴ AG
ခေါင်းပေါင်း	ɡ AC a AL ʊ AM ɴ AG b AH a AL ʊ AM ɴ AG
ခေါင်းလောင်း	kʰ AD a AL ʊ AM ɴ AG l AE a AL ʊ AM ɴ AG
ခေါင်းလျှော်ရည်	ɡ AC a AL ʊ AM ɴ AG ʃ AJ ɔ AM j AB e AL
ခေါင်းအုံး	ɡ AC a AL ʊ AM ɴ AG ʔ AC o AM ʊ AM ɴ AG
ခေါပုတ်	kʰ AD ɔ AM b AH o AM ʊ AM ʔ AC
ခေါပျဉ်	kʰ AD ɔ AM b AH j AB ɪ AL ɴ AG
ခေါ်	kʰ AD ɔ AM
ခေး	kʰ AD e AL
ခဲ	kʰ AD ɛ AL
ခဲတံ	kʰ AD ɛ AL d AC a AL ɴ AG
ခဲဖျက်	kʰ AD ɛ AL b AH j AB ɛ AL ʔ AC
ခဲယဉ်း	kʰ AD ɛ AL j AB ɪ AL ɴ AG
ခဲအို	kʰ AD ɛ AL ʔ AC o AM
ခဲ့	ɡ AC ɛ̰ AL
ခံ	kʰ AD a AL ɴ AG
ခံစား	kʰ AD a AL ɴ AG z AJ a AL
ခံတပ်	kʰ AD a AL ɴ AG d AC a AL ʔ AC
ခံမြို့	kʰ AD a AL ɴ AG m AF j AB o̰ AM
ခံယူချက်	kʰ AD a AL ɴ AG j AB u AM d AC ʑ AJ ɛ AL ʔ AC
ချက်	t AC ɕʰ BA ɛ AL ʔ AC
ချက်ကြိုး	t AC ɕʰ BA ɛ AL ʔ AC t AC ɕ AJ o AM
ချက်သမ္မတ	t AC ɕʰ BA ɛ AL ʔ AC θ AJ ə AL m AF ə AL d AC a̰ AL
ချင်	t AC ɕʰ BA ɪ AL ɴ AG
ချင်း	t AC ɕʰ BA ɪ AL ɴ AG
ချင်းမိုင်	t AC ɕʰ BA ɪ AL ɴ AG m AF a AL ɪ AL ɴ AG
ချင်းသုပ်	d AC ʑ AJ ɪ AL ɴ AG ð AJ o AM ʊ AM ʔ AC
ချစ်	t AC ɕʰ BA ɪ AL ʔ AC
ချစ်ခင်	t AC ɕʰ BA ɪ AL ʔ AC kʰ AD ɪ AL ɴ AG
ချစ်တီး	t AC ɕʰ BA ɪ AL ʔ AC t AC i AL
ချစ်သူ	t AC ɕʰ BA ɪ AL ʔ AC θ AJ u AM
ချဉ်	t AC ɕʰ BA ɪ AL ɴ AG
ချဉ်ပေါင်	t AC ɕʰ BA ɪ AL ɴ AG b AH a AL ʊ AM ɴ AG
ချည်	t AC ɕʰ BA i AL
ချည်လုံး	t AC ɕʰ BA i AL l AE o AM ʊ AM ɴ AG
ချဒ်	t AC ɕʰ BA a AL d AC
ချပါတီ	t AC ɕʰ BA ə AL p AH a AL t AC i AL
ချပ်	d AC ʑ AJ a AL ʔ AC
ချမ်း	t AC ɕʰ BA a AL ɴ AG
ချယ်ရီ	t AC ɕʰ BA ɛ AL ɹ AB i AL
ချာတိတ်	t AC ɕʰ BA a AL t AC e AL ɪ AL ʔ AC
ချားလ်	t AC ɕʰ BA a AL l AE
ချိတ်	d AC ʑ AJ e AL ɪ AL ʔ AC
ချို	t AC ɕʰ BA o AM
ချိုချဉ်	t AC ɕʰ BA o AM t AC ɕʰ BA ɪ AL ɴ AG
ချိုး	t AC ɕʰ BA o AM
ချီလီ	t AC ɕʰ BA i AL l AE i AL
ချုပ်	t AC ɕʰ BA o AM ʊ AM ʔ AC
ချူးအင်းဂမ်း	t AC ɕʰ BA u AM ʔ AC ɪ AL ɴ AG ɡ AC a AL ɴ AG
ချေ	t AC ɕʰ BA i AL
ချော	t AC ɕʰ BA ɔ AM
ချောကလက်	t AC ɕʰ BA ɔ AM k AC ə AL l AE ɛ AL ʔ AC
ချောက်	t AC ɕʰ BA a AL ʊ AM ʔ AC
ချောင်	t AC ɕʰ BA a AL ʊ AM ɴ AG
ချောင်း	t AC ɕʰ BA a AL ʊ AM ɴ AG
ချော်	t AC ɕʰ BA ɔ AM
ချေး	t AC ɕʰ BA i AL
ချေးထုပ်	t AC ɕʰ BA e AL tʰ AD o AM ʊ AM ʔ AC
ချဲ့ချဲ့	t AC ɕʰ BA ɛ̰ AL d AC ʑ AJ ɛ̰ AL
ချွန်	t AC ɕʰ BA ʊ AM ɴ AG
ချွန်ထက်	t AC ɕʰ BA ʊ AM ɴ AG tʰ AD ɛ AL ʔ AC
ချွေး	t AC ɕʰ BA w AK e AL
ချွေးမ	t AC ɕʰ BA w AK e AL m AF a̰ AL
ချွံချွံ	t AC ɕʰ BA ʊ AM ɴ AG d AC ʑ AJ ʊ AM ɴ AG
ခြ	t AC ɕʰ BA a̰ AL
ခြင်	t AC ɕʰ BA ɪ AL ɴ AG
ခြင်း	t AC ɕʰ BA ɪ AL ɴ AG
ခြင်းလုံး	t AC ɕʰ BA ɪ AL ɴ AG l AE o AM ʊ AM ɴ AG
ခြင်္သေ့	t AC ɕʰ BA ɪ AL ɴ AG ð AJ ḛ
ခြင်္သေ့ကလေး	t AC ɕʰ BA ɪ AL ɴ AG ð AJ ḛ ɡ AC ə AL l AE e AL
ခြင်္သေ့မ	t AC ɕʰ BA ɪ AL ɴ AG ð AJ ḛ m AF a̰ AL
ခြည်	t AC ɕʰ BA i AL
ခြတောင်ပို့	t AC ɕʰ BA a̰ AL t AC a AL ʊ AM ɴ AG b AH o̰ AM
ခြမ်း	t AC ɕʰ BA a AL ɴ AG
ခြား	t AC ɕʰ BA a AL
ခြားနား	t AC ɕʰ BA a AL n AG a AL
ခြားနားချက်	t AC ɕʰ BA a AL n AG a AL d AC ʑ AJ ɛ AL ʔ AC
ခြေ	t AC ɕʰ BA e AL
ခြေစွပ်	t AC ɕʰ BA e AL z AJ ʊ AM ʔ AC
ခြေထောက်	t AC ɕʰ BA e AL d AC a AL ʊ AM ʔ AC
ခြေနင်း	t AC ɕʰ BA e AL n AG ɪ AL ɴ AG
ခြေဖနောင့်	t AC ɕʰ BA e AL b AH ə AL n AG a̰ AL ʊ AM ɴ AG
ခြေဖဝါး	t AC ɕʰ BA e AL b AH ə AL w AK a AL
ခြေသည်း	t AC ɕʰ BA e AL ð AJ e AL
ခြေအိတ်	t AC ɕʰ BA e AL ʔ AC e AL ɪ AL ʔ AC
ခြောက်	t AC ɕʰ BA a AL ʊ AM ʔ AC
ခြောက်လ	t AC ɕʰ BA a AL ʊ AM ʔ AC l AE a̰ AL
ခြံ	t AC ɕʰ BA a AL ɴ AG
ခွက်	kʰ AD w AK ɛ AL ʔ AC
ခွင့်လွှတ်	kʰ AD w AK ɪ̰ AL ɴ AG l̥ AE ʊ AM ʔ AC
ခွဆုံ	ɡ AC w AK a̰ AL z AJ o AM ʊ AM ɴ AG
ခွန်	kʰ AD ʊ AM ɴ AG
ခွန်း	kʰ AD ʊ AM ɴ AG
ခွာ	kʰ AD w AK a AL
ခွာနာလျှာနာ	kʰ AD w AK a AL n AG a AL ʃ AJ a AL n AG a AL
ခွေး	kʰ AD w AK e AL
ခွေးမ	kʰ AD w AK e AL m AF a̰ AL
ခွေးမသား	kʰ AD w AK e AL m AF a̰ AL ð AJ a AL
ခွေးရူးပြန်ရောဂါ	kʰ AD w AK e AL j AB u AM b AH j AB a AL ɴ AG j AB ɔ AM ɡ AC a AL
ခွေးသူတောင်းစား	kʰ AD w AK e AL ð AJ ə AL d AC a AL ʊ AM ɴ AG z AJ a AL
ခွေးအိမ်	kʰ AD w AK e AL ʔ AC e AL ɪ AL ɴ AG
ခွဲ	kʰ AD w AK ɛ AL
ခွံ	kʰ AD ʊ AM ɴ AG
ဂငယ်	ɡ AC a̰ AL ŋ AG ɛ AL
ဂငယ်ကွေ့	ɡ AC a̰ AL ŋ AG ɛ AL ɡ AC w AK ḛ
ဂင်းနီဗစ်ဆော	ɡ AC ɪ AL ɴ AG n AG i AL b AH ɪ AL ʔ AC sʰ BA ɔ AM
ဂင်္ဂါ	ɡ AC ɪ AL ɴ AG ɡ AC a AL
ဂဏန်း	ɡ AC ə AL n AG a AL ɴ AG
ဂဏန်းတွက်စက်	ɡ AC ə AL n AG a AL ɴ AG t AC w AK ɛ AL ʔ AC s AJ ɛ AL ʔ AC
ဂန္ထဗေဒ	ɡ AC a AL ɴ AG tʰ AD a̰ AL b AH e AL d AC a̰ AL
ဂန္ထဝင်	ɡ AC a AL ɴ AG d AC ə AL w AK ɪ AL ɴ AG
ဂန္ဒမာ	ɡ AC a AL ɴ AG d AC ə AL m AF a AL
ဂန်ဂျာ	ɡ AC a AL ɴ AG d AC ʑ AJ a AL
ဂန်ဒူး	ɡ AC a AL ɴ AG d AC u AM
ဂမ်ဘီယာ	ɡ AC a AL ɴ AG b AH i AL j AB a AL
ဂယ်လက်ဆီ	ɡ AC ɛ AL l AE ɛ AL ʔ AC sʰ BA i AL
ဂရပ်	ɡ AC ə AL ɹ AB a AL ʔ AC
ဂရမ်	ɡ AC ə AL ɹ AB a AL ɴ AG
ဂရိ	ɡ AC ə AL ɹ AB ḭ
ဂရိတ်ဗြိတိန်	ɡ AC ə AL ɹ AB e AL ɪ AL ʔ AC b AH j AB ḭ t AC e AL ɪ AL ɴ AG
ဂရု	ɡ AC ə AL j AB ṵ
ဂလင်း	ɡ AC ə AL l AE ɪ AL ɴ AG
ဂဠုန်	ɡ AC ə AL l AE o AM ʊ AM ɴ AG
ဂါထာ	ɡ AC a AL tʰ AD a AL
ဂါနာ	ɡ AC a AL n AG a AL
ဂါဘွန်	ɡ AC a AL b AH ʊ AM ɴ AG
ဂိတ်	ɡ AC e AL ɪ AL ʔ AC
ဂိတ်ဆုံး	ɡ AC e AL ɪ AL ʔ AC sʰ BA o AM ʊ AM ɴ AG
ဂိမှာန်	ɡ AC e AL ɪ AL ɴ AG m̥ AF a AL ɴ AG
ဂိရိမေခလာ	ɡ AC ḭ ɹ AB ḭ m AF e AL kʰ AD ə AL l AE a AL
ဂိုင်ယာနာ	ɡ AC a AL ɪ AL ɴ AG j AB a AL n AG a AL
ဂိုဏ်း	ɡ AC o AM n AG
ဂိုဏ်းချုပ်	ɡ AC a AL ɪ AL ɴ AG d AC ʑ AJ o AM ʊ AM ʔ AC
ဂိုဏ်းထောက်	ɡ AC o AM n AG d AC a AL ʊ AM ʔ AC
ဂိုဏ်းအုပ်	ɡ AC o AM n AG ʔ AC o AM ʊ AM ʔ AC
ဂိုဒေါင်	ɡ AC o AM d AC a AL ʊ AM ɴ AG
ဂီတ	ɡ AC i AL t AC a̰ AL
ဂီတပညာ	ɡ AC i AL t AC a̰ AL p AH a̰ AL ɲ AG a AL
ဂီတသမား	ɡ AC i AL t AC a̰ AL ð AJ ə AL m AF a AL
ဂီတာ	ɡ AC i AL t AC a AL
ဂီနီ	ɡ AC i AL n AG i AL
ဂုဏ်	ɡ AC o AM ʊ AM ɴ AG
ဂုန္တန်	ɡ AC o AM ʊ AM ɴ AG d AC a AL ɴ AG
ဂုရု	ɡ AC ṵ ɹ AB ṵ
ဂူ	ɡ AC u AM
ဂေဟဗေဒ	ɡ AC e AL h AA a̰ AL t AC a̰ AL b AH e AL d AC a̰ AL
ဂေါက်	ɡ AC a AL ʊ AM ʔ AC
ဂေါတမ	ɡ AC ɔ AM t AC ə AL m AF a̰ AL
ဂေါတမဘုရား	ɡ AC ɔ AM t AC ə AL m AF a̰ AL pʰ AI ə AL j AB a AL
ဂေါ်	ɡ AC ɔ AM
ဂေါ်ဖီထုပ်	ɡ AC ɔ AM b AH i AL d AC o AM ʊ AM ʔ AC
ဂေါ်ဖီပန်း	ɡ AC ɔ AM b AH i AL p AH a AL ɴ AG
ဂေါ်မိတ်	ɡ AC ɔ AM m AF e AL ɪ AL ʔ AC
ဂေါ်ရခါး	ɡ AC ɔ AM j AB ə AL kʰ AD a AL
ဂေါ်ရခါးသီး	ɡ AC ɔ AM j AB ə AL kʰ AD a AL θ AJ i AL
ဂျက်	d AC ʑ AJ ɛ AL ʔ AC
ဂျင်	d AC ʑ AJ ɪ AL ɴ AG
ဂျင်းဘောင်းဘီ	d AC ʑ AJ ɪ AL ɴ AG b AH a AL ʊ AM ɴ AG b AH i AL
ဂျပန်	d AC ʑ AJ ə AL p AH a AL ɴ AG
ဂျမေကာ	d AC ʑ AJ ə AL m AF e AL k AC a AL
ဂျလေဘီ	d AC ʑ AJ ə AL l AE e AL b AH i AL
ဂျာမနီ	d AC ʑ AJ a AL m AF ə AL n AG i AL
ဂျာမန်	d AC ʑ AJ a AL m AF a AL ɴ AG
ဂျီဘူတီ	d AC ʑ AJ i AL b AH u AM t AC i AL
ဂျုံ	d AC ʑ AJ o AM ʊ AM ɴ AG
ဂျုံမှုန့်	d AC ʑ AJ o AM ʊ AM ɴ AG m̥ AF o̰ AM ʊ AM ɴ AG
ဂျူး	d AC ʑ AJ u AM
ဂျေရုဆလင်	d AC ʑ AJ e AL ɹ AB ṵ sʰ BA a̰ AL l AE ɪ AL ɴ AG
ဂျော့ခ်ျ	d AC ʑ AJ ɔ̰ AM t AC ɕʰ BA ə AL
ဂျော်ဂျီယာ	d AC ʑ AJ ɔ AM d AC ʑ AJ i AL j AB a AL
ဂျော်ဒန်	d AC ʑ AJ ɔ AM d AC a AL ɴ AG
ဂျော်နီ	d AC ʑ AJ ɔ AM n AG i AL
ဂြိုဟ်	d AC ʑ AJ o AM
ဂြိုဟ်တု	d AC ʑ AJ o AM h AA d AC ṵ
ဂွမ်း	ɡ AC ʊ AM ɴ AG
ဂွါတီမာလာ	ɡ AC w AK a AL t AC i AL m AF a AL l AE a AL
ဂွေး	ɡ AC w AK e AL
ဃကြီး	ɡ AC a̰ AL d AC ʑ AJ i AL
င	ŋ AG a̰ AL
ငချိတ်	ŋ AG ə AL t AC ɕʰ BA e AL ɪ AL ʔ AC
ငတ်	ŋ AG a AL ʔ AC
ငန်	ŋ AG a AL ɴ AG
ငန်း	ŋ AG a AL ɴ AG
ငယ်	ŋ AG ɛ AL
ငရုတ်	ŋ AG ə AL j AB o AM ʊ AM ʔ AC
ငရုတ်ကောင်း	ŋ AG ə AL j AB o AM ʊ AM ʔ AC ɡ AC a AL ʊ AM ɴ AG
ငရဲ	ŋ AG ə AL j AB ɛ AL
ငရဲကြီးရှစ်ထပ်	ŋ AG ə AL j AB ɛ AL d AC ʑ AJ i AL ʃ AJ ɪ AL ʔ AC tʰ AD a AL ʔ AC
ငရဲမင်း	ŋ AG ə AL j AB ɛ AL m AF ɪ AL ɴ AG
ငရဲသား	ŋ AG ə AL j AB ɛ AL ð AJ a AL
ငလျင်	ŋ AG ə AL l AE j AB ɪ AL ɴ AG
ငါ	ŋ AG a AL
ငါတို့	ŋ AG a AL t AC o̰ AM
ငါ့	ŋ AG a̰ AL
ငါး	ŋ AG a AL
ငါးကျပ်တင်	ŋ AG a AL t AC ɕ AJ a AL ʔ AC t AC ɪ AL ɴ AG
ငါးကြင်း	ŋ AG a AL d AC ʑ AJ ɪ AL ɴ AG
