't	t
pultaon	p u AF l t a AD ʔ ɔ AF n
pulubi	p u AF l u AF b i AD
pulutan	p u AF l u AF t a AD n
pumalakpak	p u AF m a AD l a AD k p a AD k
pumasok	p u AF m a AD s o AF k
pumatay	p u AF m a AD t a AD j AB
pumayag	p u AF m a AD j AB a AD ɡ
pumila	p u AF m i AD l a AD
pumisik	p u AF m i AD s i AD k
pumula	p u AF m u AF l a AD
pumunta	p u AF m u AF n t a AD
pumuti	p u AF m u AF t i AD ʔ
pumutok	p u AF m u AF t o AF k
pundido	p u AF n d i AD d o AF
puno	p u AF n o AF ʔ
punongbayan	p u AF n o AF ŋ b a AD j AB a AD n
punsalang	p u AF n s a AD l a AD ŋ
punta	p u AF n t a AD ʔ
puntahan	p u AF n t a AD h AA a AD n
puntirya	p u AF n t i AD ɾ j AB a AD
punzalan	p u AF n s a AD l a AD n
pusit	p u AF s i AD t
puson	p u AF s o AF n
pusta	p u AF s t a AD
pustiso	p u AF s t i AD s o AF
pusyaw	p ʊ AF s j AB a AD u AF
putakti	p u AF t a AD k t i AD
puti	p u AF t ɪ AD
putik	p u AF t i AD k
putol	p u AF t o AF l
putulin	p u AF t u AF l i AD n
puyod	p u AF j AB o AF d
que	k ɛ AD
quezon	k ɛ AD s o AF n
quiambao	k j AB a AD m b a AD u AF
quimpo	k i AD m p o AF
quintos	k i AD n t o AF s
quirante	k i AD ɾ a AD n t ɛ AD
quisumbing	k i AD s u AF m b i AD ŋ
quitain	k i AD t a AD i AD n
quiñones	k i AD ɲ o AF n ɛ AD s
racelis	ɾ a AD s ɛ AD l i AD s
ragas	ɾ a AD ɡ a AD s
ragudo	ɾ a AD ɡ u AF d o AF
rajah	r a AD h AA a AD
rali	ɾ a AD l i AD
raliyista	ɾ a AD l i AD j AB i AD s t a AD
rambol	ɾ a AD m b o AF l
rambulan	ɾ a AD m b u AF l a AD n
rantso	ɾ a AD n t ʃ o AF
rason	ɾ a AD s o AF n
rayos	ɾ a AD j AB o AF s
razon	ɾ a AD s o AF n
reaño	ɾ ɛ AD a AD ɲ o AF
rebelde	ɾ e AD b e AD l d e AD
rebelyon	r ɛ AD b ɛ AD l j AB o AF n
redondo	ɾ ɛ AD d o AF n d o AF
regala	ɾ ɛ AD ɡ a AD l a AD
regidor	ɾ ɛ AD h AA i AD d o AF ɾ
rehas	ɾ ɛ AD h AA a AD s
rehistro	ɾ ɛ AD h AA i AD s t ɾ o AF
rekisito	ɾ ɛ AD k i AD s i AD t o AF
rekisitos	ɾ ɛ AD k i AD s i AD t o AF s
relo	ɾ ɛ AD l o AF
remigio	ɾ ɛ AD m i AD h AA j AB o AF
remulla	ɾ ɛ AD m u AF l l a AD
reodica	ɾ ɛ AD o AF d i AD k a AD
reperendum	ɾ ɛ AD p ɛ AD ɾ ɛ AD n d u AF m
resistensya	ɾ ɛ AD s i AD s t ɛ AD n s j AB a AD
responsable	ɾ ɛ AD s p o AF n s a AD b l ɛ AD
resurreccion	ɾ ɛ AD s u AF ɾ ɛ AD k s j AB o AF n
ricafort	ɾ i AD k a AD p o AF ɾ t
ricarte	ɾ i AD k a AD ɾ t ɛ AD
riles	ɾ i AD l ɛ AD s
rin	ɾ i AD n
rivero	ɾ i AD b ɛ AD ɾ o AF
riñon	ɾ i AD ɲ o AF n
rombaoa	ɾ o AF m b a AD w AC a AD
romualdez	ɾ o AF m w AC a AD l d ɛ AD s
romualdo	ɾ o AF m w AC a AD l d o AF
rosete	ɾ o AF s ɛ AD t ɛ AD
roxas	ɾ o AF d ʒ a AD s
rulloda	ɾ u AF l l o AF d a AD
rumupok	ɾ u AF m u AF p o AF k
ruta	r u AF t a AD
sa	s a AD
saan	s a AD a AD n
sabado	s a AD b a AD d o AF
sabana	s a AD b a AD n a AD
sabangan	s a AD b a AD ŋ a AD n
sabi	s a AD b i AD
sabon	s a AD b o AF n
saboy	s a AD b o AF i AD
sabunin	s a AD b u AF n i AD n
sabunot	s a AD b u AF n o AF t
sabunutan	s a AD b u AF n u AF t a AD n
sacdalan	s a AD k d a AD l a AD n
sadya	s a AD d j AB a AD ʔ
sagay	s a AD ɡ a AD j AB
sagilap	s ɐ AF ɡ i AD l a AD p
sagimuymoy	s a AD ɡ i AD m u AF j AB m o AF j AB
saglit	s a AD ɡ l i AD t
saguinsin	s a AD ɡ i AD n s i AD n
sagun	s a AD ɡ u AF n
saha	s a AD h AA a AD ʔ
sahagun	s a AD h AA a AD ɡ u AF n
sahog	s a AD h AA o AF ɡ
sais	s a AD ʔ i AD s
saka	s a AD k a AD
sakal	s a AD k a AD l
sakit	s a AD k i AD t
sakitin	s a AD k i AD t i AD n
saksi	s a AD k s i AD
saksihan	s a AD k s i AD h AA a AD n
saktan	s a AD k t a AD n
sakuna	s a AD k u AF n a AD
sakupbayan	s a AD k u AF p b a AD j AB a AD n
sakwa	s a AD k w AC a AD
sala	s a AD l a AD
salagubang	s a AD l a AD ɡ u AF b a AD ŋ
salarin	s a AD l a AD ɾ i AD n
salaula	s a AD l a AD ʔ u AF l a AD ʔ
salawal	s a AD l a AD w AC a AD l
saldaña	s a AD l d a AD ɲ a AD
sales	s a AD l ɛ AD s
salipawpaw	s a AD l i AD p a AD u AF p a AD u AF
salitre	s a AD l i AD t ɾ ɛ AD
salog	s a AD l o AF ɡ
salonga	s a AD l o AF ŋ ɡ a AD
salot	s a AD l o AF t
salud	s a AD l u AF d
salumbides	s a AD l u AF m b i AD d ɛ AD s
salvacion	s a AD l b a AD s i AD o AF n
salvatierra	s a AD l b a AD t i AD ɛ AD ɾ ɾ a AD
samaniego	s a AD m a AD n j AB ɛ AD ɡ o AF
samantala	s a AD m a AD n t a AD l a AD ʔ
samantha	s a AD m a AD n t a AD
samat	s a AD m a AD t
sambasamba	s a AD m b a AD s a AD m b a AD
samid	s a AD m i AD d
samonte	s a AD m o AF n t ɛ AD
sampaloc	s a AD m p a AD l o AF k
sampalok	s a AD m p a AD l o AF k
sampo	s a AD m p ɔ AF ʔ
sampu	s a AD m p u AF ʔ
sandali	s a AD n d ɐ AF l i AD ʔ
sangalang	s a AD ŋ ɡ a AD l a AD ŋ
sangat	s a AD ŋ a AD t
sangco	s a AD ŋ k o AF
sanggol	s a AD ŋ ɡ o AF l
sangkot	s a AD ŋ k o AF t
santo	s a AD n t o AF
sapa	s a AD p a AD ʔ
sapak	s a AD p a AD k
sapok	s a AD p o AF k
sapot	s a AD p o AF t
saquing	s a AD k i AD ŋ
sara	s ɐ AF ɾ a AD
sarabia	s a AD r a AD b j AB a AD
sarhento	s a AD ɾ h AA ɛ AD n t o AF
sawa	s a AD w AC a AD ʔ
saway	s a AD w AC a AD i AD
sawayin	s a AD w AC a AD j AB i AD n
saya	s a AD j AB a AD
sayari	s a AD j AB a AD ɾ i AD ʔ
sayson	s a AD i AD s o AF n
see	s iː AE
segismundo	s ɛ AD ɡ i AD s m u AF n d o AF
segui	s ɛ AD ɡ i AD
sekreto	s ɛ AD k ɾ ɛ AD t o AF
selepono	s e AD l e AD p o AF n o AF
selula	s ɛ AD l ʊ AF l ɐ AF
semantika	s ɛ AD m a AD n t i AD k a AD
semaña	s ɛ AD m a AD ɲ a AD
semilla	s e AD m i AD l j AB a AD
sentenaryo	s ɛ AD n t ɛ AD n a AD ɾ j AB o AF
sentensiya	s ɛ AD n t ɛ AD n s j AB a AD
sentensiyahan	s ɛ AD n t ɛ AD n s j AB a AD h AA a AD n
sentido	s ɛ AD n t i AD d o AF
seremonya	s ɛ AD ɾ ɛ AD m o AF n j AB a AD
serna	s ɛ AD ɾ n a AD
shabu	s j AB a AD b u AF
shao	ʃ a AD ʊ AF
shau	ʃ a AD ʊ AF
shaw	ʃ a AD ʊ AF
sia	s j AB a AD
siao	ʃ a AD ʊ AF
siason	s j AB a AD s o AF n
sibayan	s i AD b a AD j AB a AD n
sibog	s i AD b o AF ɡ
sibug	s i AD b u AF ɡ
sibuyas	s i AD b u AF j AB a AD s
siga	s i AD ɡ a AD ʔ
sigarilyas	s i AD ɡ a AD ɾ i AD l j AB a AD s
sige	s i AD ɡ ɛ AD
siglo	s i AD ɡ l o AF
sigmuan	s i AD ɡ m u AF a AD n
siguraduhin	s i AD ɡ u AF ɾ a AD d u AF h AA i AD n
sihay	s i AD h AA a AD j AB
sihayan	s i AD h AA a AD j AB a AD n
sikatsikat	s i AD k a AD t s i AD k a AD t
sikhay	s i AD k h AA a AD j AB
siko	s i AD k o AF
siksin	s i AD k s i AD n
silang	s i AD l a AD ŋ
silangan	s i AD l a AD ŋ a AD n
silayan	s i AD l a AD j AB a AD n
silid	s ɪ AD l ɪ AD d
silidkaphay	s i AD l i AD d k a AD p h AA a AD j AB
silidkapnayan	s i AD l i AD d k a AD p n a AD j AB a AD n
silidkatwan	s i AD l i AD d k a AD t w AC a AD n
silidkilos	s i AD l i AD d k i AD l o AF s
silidkulay	s i AD l i AD d k u AF l a AD j AB
silidlawas	s i AD l i AD d l a AD w AC a AD s
silidmanahan	s i AD l i AD d m a AD n a AD h AA a AD n
silindro	s i AD l i AD n d ɾ o AF
simbulan	s i AD m b u AF l a AD n
simoy	s i AD m o AF j AB
simple	s i AD m p l ɛ AD
sinapupunan	s i AD n a AD p u AF p u AF n a AD n
sinat	s i AD n a AD t
sinauna	s i AD n a AD u AF n a AD
sinco	s i AD n k o AF
singil	s i AD ŋ i AD l
singkal	s i AD ŋ k a AD l
singkamasan	o AF r a AD s a AD n
sioson	s j AB o AF s o AF n
siping	s i AD p i AD ŋ
sipnayan	s ɪ AD p n a AD i AD ɐ AF n
sipon	s i AD p ʔ o AF n
sipsip	s i AD p s i AD p
sira	s i AD ɾ a AD ʔ
sirain	s i AD ɾ a AD ʔ i AD n
sisi	s i AD s i AD
sisid	s i AD s i AD d
sisihan	s i AD s i AD h AA a AD n
sitwasyon	s i AD t w AC a AD s j AB o AF n
siya	s i AD j AB a AD
siyam	ʃ j AB a AD m
siyamnapu	s i AD j AB a AD m n a AD p u AF ʔ
siyamnaraan	s i AD j AB a AD m n a AD r a AD a AD n
so	s ɔ AF
sobrepeña	s o AF b ɾ ɛ AD p ɛ AD ɲ a AD
soledad	s o AF l ɛ AD d a AD d
solis	s o AF l i AD s
son	s o AF n
songco	s o AF ŋ k o AF
sosa	s o AF s a AD
sosyal	s o AF ʃ a AD l
suan	s w AC a AD n
suazo	s w AC a AD s o AF
subok	s u AF b ɔ AF k
sucgang	s u AF k ɡ a AD ŋ
sugaan	s u AF ɡ a AD ʔ a AD n
sugal	s u AF ɡ a AD l
suglaguman	s u AF ɡ l a AD ɡ u AF m a AD n
sugnay	s u AF ɡ n a AD j AB
sugnayan	s u AF ɡ n a AD j AB a AD n
sugnayanin	s u AF ɡ n a AD j AB a AD n i AD n
sugnayanon	s u AF ɡ n a AD j AB a AD n o AF n
sugnayin	s u AF ɡ n a AD j AB i AD n
suhi	s u AF h AA i AD ʔ
suhol	s u AF h AA o AF l
suico	s u AF i AD k o AF
suka	s u AF k a AD ʔ
sukal	s u AF k a AD l
sulidlawas	s u AF l i AD d l a AD w AC a AD s
sulsol	s u AF l s o AF l
sultan	s u AF l t a AD n
sultana	s u AF l t a AD n a AD
sultanato	s u AF l t a AD n a AD t o AF
sumabog	s u AF m a AD b o AF ɡ
sumadsad	s u AF m a AD d s a AD d
sumagot	s u AF m a AD ɡ o AF t
sumakit	s u AF m a AD k i AD t
sumalapang	s u AF m a AD l a AD p a AD ŋ
sumalapaw	s u AF m a AD l a AD p a AD u AF
sumama	s u AF m a AD m a AD ʔ
sumeksi	s u AF m ɛ AD k s i AD
sumemplang	s u AF m ɛ AD m p l a AD ŋ
sumikat	s u AF m i AD k a AD t
sumikip	s u AF m i AD k i AD p
sumimangot	s u AF m i AD m a AD ŋ o AF t
suminga	s u AF m i AD ŋ a AD
sumuka	s u AF m u AF k a AD
sumulat	s u AF m u AF l a AD t
suntok	s u AF n t o AF k
suntukan	s u AF n t u AF k a AD n
suntukin	s u AF n t u AF k i AD n
suplete	s u AF p l ɛ AD t ɛ AD
supling	s u AF p l i AD ŋ
surot	s u AF ɾ o AF t
susmaryosep	s u AF s m a AD ɾ i AD ɔː AG s e AD p
sustento	s u AF s t ɛ AD n t o AF
suweldo	s w AC ɛ AD l d o AF
suya	s u AF j AB a AD ʔ
swerte	s w AC e AD r t e AD
sy	s iː AE
syaw	ʃ a AD ʊ AF
sze	t ʃ e AD
tabigi	t a AD b i AD ɡ i AD ʔ
tablaw	t a AD b l a AD w AC
tabon	t a AD b o AF n
taduran	t a AD d u AF ɾ a AD n
tae	t aː AE ʔ eː AE
tagalog	t ɐ AF ɡ aː AE l o AF ɡ
tagapagmana	t a AD ɡ a AD p a AD ɡ m a AD n a AD
tagas	t a AD ɡ a AD s
tagiktik	t a AD ɡ i AD k t i AD k
taglagas	t a AD ɡ l a AD ɡ a AD s
tagtuyot	t a AD ɡ t u AF j AB o AF t
taguba	t a AD ɡ u AF b a AD
tagubilin	t a AD ɡ u AF b i AD l i AD n
taguinod	t a AD ɡ i AD n o AF d
tagupa	t a AD ɡ u AF p a AD
tahasik	t a AD h AA a AD s i AD k
taib	t a AD ʔ i AD b
taihan	t a AD i AD h AA a AD n
takahashi	t a AD k a AD h AA a AD s j AB i AD
takbo	t a AD k b ɔ AF
takilya	t a AD k i AD l j AB a AD
talag	t a AD l a AD ɡ
talampas	t a AD l a AD m p a AD s
talavera	t a AD l a AD b ɛ AD ɾ a AD
talento	t a AD l ɛ AD n t o AF
talo	t a AD l o AF
talon	t a AD l o AF n
talong	t a AD l o AF ŋ
talukbong	t a AD l u AF k b o AF ŋ
talulot	t a AD l u AF l o AF t
talunan	t a AD l u AF n a AD n
tam	t a AD m
tambakol	t a AD m b a AD k o AF l
tamban	t a AD m b a AD n
tambayan	t a AD m b a AD j AB a AD n
tamis	t a AD m i AD s
tampal	t a AD m p a AD l
tan	t a AD n
tanauan	t a AD n ʔ a AD w AC a AD n
tancinco	t a AD n s i AD n k o AF
tang	t a AD ŋ
tanga	t a AD ŋ a AD
tangco	t a AD ŋ k o AF
tanggal	t a AD ŋ ɡ a AD l
tanghalian	t a AD ŋ h AA a AD l i AD ʔ a AD n
tanghas	t a AD ŋ h AA a AD s
tanikala	t a AD n i AD k a AD l a AD ʔ
tanso	t a AD n s o AF ʔ
tantiya	t a AD n t ʃ a AD
tao	t a AD ʔ o AF
taog	t a AD ʔ o AF ɡ
taon	t a AD ʔ o AF n
tapales	t a AD p a AD l ɛ AD s
tapat	t a AD p a AD t
tapay	t a AD p a AD j AB
tapilok	t a AD p i AD l o AF k
tapos	t a AD p o AF s
tapunan	t a AD p u AF n a AD n
tapusin	t a AD p u AF s i AD n
tarik	t a AD ɾ i AD k
taruc	t a AD ɾ u AF k
tasa	t a AD s a AD
tataw	t a AD t a AD w AC
tatlo	t a AD t l ɔ AF
tatlonghari	t a AD t l o AF ŋ h AA a AD ɾ i AD
tatlumpu	t a AD t l u AF m p u AF ʔ
tatlundaan	t a AD t l u AF n d a AD a AD n
tato	t a AD t o AF ʔ
tatsulok	t ɐ AF t s u AF l ɔ AF k
tawag	t a AD w AC a AD ɡ
tayahan	t a AD j AB a AD h AA a AD n
tayo	t aː AE j AB ɔ AF
tañada	t a AD ɲ a AD d a AD
tecson	t ɛ AD k s o AF n
tee	t iː AE
teklado	t e AD k l a AD d o AF
telepono	t ɛ AD l ɛ AD p o AF n o AF
tenga	t ɛː AE ŋ a AD
tenorio	t ɛ AD n o AF ɾ j AB o AF
tenyente	t ɛ AD n j AB ɛ AD n t ɛ AD
teoriya	t ɛ AD o AF ɾ i AD a AD
teritoryo	t ɛ AD ɾ i AD t o AF ɾ j AB o AF
tiamson	t j AB a AD m s o AF n
tian	t j AB a AD n
tiangco	t j AB a AD ŋ k o AF
tibay	t i AD b a AD i AD
tibo	t ɪ AD b ɔ AF ʔ
tiburcio	t i AD b u AF ɾ s j AB o AF
ticzon	t i AD k s o AF n
tien	t j AB e AD n
tigang	t i AD ɡ a AD ŋ
tigas	t i AD ɡ a AD s
tigilan	t i AD ɡ i AD l a AD n
tiis	t i AD ʔ i AD s
tikbalang	t i AD k b a AD l a AD ŋ
tikling	t i AD k l i AD ŋ
tiklop	t i AD k l o AF p
tiktik	t i AD k t i AD k
timbang	t i AD m b a AD ŋ
timog	t i AD m o AF ɡ
tin	t ɪ AD n
tindero	t i AD n d ɛ AD ɾ o AF
tindig	t i AD n d i AD ɡ
ting	t ɪ AD ŋ
tinga	t i AD ŋ a AD
tingala	t i AD ŋ a AD l a AD ʔ
tingalaan	t i AD ŋ a AD l a AD a AD n
tingid	t i AD ŋ i AD d
tingin	t i AD ŋ i AD n
tinidor	t i AD n i AD d o AF ɾ
tinig	t i AD n i AD ɡ
tinik	t i AD n i AD k
tinikling	t i AD n i AD k l i AD ŋ
tinta	t i AD n t a AD
tio	t j AB o AF
tiongco	t i AD o AF ŋ k o AF
tiozon	t j AB o AF s o AF n
tipaklong	t i AD p a AD k l o AF ŋ
tipon	t i AD p o AF n
tira	t i AD ɾ a AD
tiraniya	t i AD ɾ a AD n i AD a AD
tirik	t i AD ɾ i AD k
tiris	t i AD ɾ i AD s
tirona	t i AD ɾ o AF n a AD
tisod	t i AD s o AF d
tita	t i AD t a AD
tito	t i AD t o AF ʔ
tiu	t j AB uː AG
tiwala	t i AD w AC a AD l a AD ʔ
tiwali	t i AD w AC a AD l i AD ʔ
tiya	t i AD a AD
tiyaga	t i AD a AD ɡ a AD ʔ
tiyahin	t ʃ a AD h AA i AD n
tiyan	t i AD a AD n
tiyanak	t i AD a AD n a AD k
tiyangge	t i AD a AD ŋ ɡ ɛ AD ʔ
tiyo	t i AD o AF
tiyubibo	t i AD j AB u AF b i AD b ɔ AF
tiyuhin	t ʃ u AF h AA i AD n
to	t o AF
tonelada	t o AF n ɛ AD l a AD d a AD
tong	t o AF ŋ
topacio	t o AF p a AD s j AB o AF
tore	t o AF ɾ ɛ AD
torotot	t o AF ɾ o AF t o AF t
torrecampo	t o AF ɾ ɾ ɛ AD k a AD m p o AF
totanes	t o AF t a AD n ɛ AD s
trabaho	t r a AD b a AD h AA o AF
trangkaso	t ɾ a AD ŋ k a AD s o AF
trapik	t ɾ a AD p i AD k
traqueña	t ɾ a AD k ɛ AD ɲ a AD
tratado	t ɾ a AD t a AD d o AF
trato	t ɾ a AD t o AF
traydor	t ɾ a AD i AD d o AF ɾ
tria	t ɾ i AD a AD
triguhan	t r ɪ AD ɡ ʊ AF h AA a AD n
trillanes	t ɾ i AD l l a AD n ɛ AD s
trip	t ɾ i AD p
tropatuts	t r o AF p a AD t u AF t s
tsaka	t ʃ a AD k a AD
tsikinini	t ʃ i AD k i AD n i AD n i AD ʔ
tsiklet	t ʃ i AD k l ɛ AD t
tsikot	t ʃ i AD k o AF t
tsina	t s i AD n a AD
tsinelas	t ʃ i AD n ɛ AD l a AD s
tsinoy	t s ɪ AD n ɔ AF ɪ AD
tsong	t ʃ o AF ŋ
tsonggo	t ʃ o AF ŋ ɡ o AF
tsugi	t ʃ u AF ɡ i AD
tsuper	t ʃ u AF p e AD ɾ
tuason	t w AC a AD s o AF n
tuba	t u AF b a AD
tubero	t u AF b ɛ AD ɾ o AF
tubig	t u AF b i AD ɡ
tubo	t u AF b o AF ʔ
tubuhan	t u AF b u AF h AA a AD n
tugade	t u AF ɡ a AD d ɛ AD
tugtog	t u AF ɡ t o AF ɡ
tugtugin	t u AF ɡ t u AF ɡ i AD n
tuhod	t u AF h AA o AF d
tuklaw	t u AF k l a AD u AF
tukod	t u AF k o AF d
tukso	t u AF k s o AF
tulad	t u AF l a AD d
tulak	t u AF l a AD k
tulatod	t u AF l a AD t o AF d
tulay	t u AF l a AD i AD
tulingan	t u AF l i AD ŋ a AD n
tullao	t u AF l j AB a AD u AF
tulo	t u AF l o AF ʔ
tulog	t u AF l o AF ɡ
tulong	t u AF l o AF ŋ
tuloy	t u AF l o AF i AD
tumaba	t u AF m a AD b a AD ʔ
tumacder	t u AF m a AD k d ɛ AD ɾ
tumae	t u AF m a AD ʔ ɛ AD
tumahimik	t u AF m a AD h AA i AD m i AD k
tumakbo	t u AF m a AD k b ɔ AF
tumalima	t u AF m a AD l i AD m a AD
tumalon	t u AF m a AD l o AF n
tumanggi	t u AF m a AD ŋ ɡ i AD
tumapon	t u AF m a AD p o AF n
tumawa	t u AF m a AD w AC a AD
tumayo	t u AF m a AD j AB o AF ʔ
tumbaga	t u AF m b a AD ɡ a AD
tumbalik	t u AF m b a AD l i AD k
tumbok	t u AF m b o AF k
tumbong	t u AF m b o AF ŋ
tumimos	t u AF m i AD m o AF s
tumingala	t u AF m i AD ŋ a AD l a AD ʔ
tumira	t u AF m i AD ɾ a AD
tumirik	t u AF m i AD r i AD k
tumpang	t u AF m p a AD ŋ
tumpok	t u AF m p o AF k
tumugtog	t u AF m u AF ɡ t o AF ɡ
tumukso	t u AF m u AF k s o AF
tumula	t u AF m u AF l a AD ʔ
tumulong	t u AF m u AF l o AF ŋ
tunaw	t u AF n a AD w AC
tunay	t u AF n a AD i AD
tung	t u AF ŋ
tungaw	t u AF ŋ a AD u AF
tungkab	t u AF ŋ k a AD b
tungkod	t u AF ŋ k o AF d
tungkol	t u AF ŋ k o AF l
tungkos	t u AF ŋ k o AF s
tunog	t u AF n o AF ɡ
tunton	t u AF n t o AF n
tunugan	t u AF n u AF ɡ a AD n
tupad	t u AF p a AD d
tupi	t u AF p i AD ʔ
turnilyo	t u AF ɾ n i AD l j AB o AF
turok	t u AF ɾ o AF k
tuso	t u AF s o AF
tutol	t u AF t o AF l
tutubi	t u AF t u AF b i AD
tuwa	t u AF w AC a AD ʔ
tuwad	t u AF a AD d
tuwalya	t u AF a AD l j AB a AD
tuwang	t u AF a AD ŋ
ty	t iː AE
uang	u AF ʔ a AD ŋ
ubad	ʔ u AF b a AD d
ubalde	u AF b a AD l d e AD
ubas	ʔ u AF b a AD s
ubasan	ʔ u AF b a AD s a AD n
ubo	ʔ u AF b o AF ʔ
udyukan	ʔ u AF d j AB u AF k a AD n
ugat	ʔ u AF ɡ a AD t
uhaw	ʔ u AF h AA a AD w AC
ulam	ʔ u AF l a AD m
ulep	ʔ u AF l ɛ AD p
ulila	ʔ u AF l i AD l a AD
uling	ʔ u AF l i AD ŋ
ulo	u AF l o AF
umabay	ʔ u AF m a AD b a AD j AB
umagahas	ʔ u AF m a AD ɡ a AD h AA a AD s
umakyat	ʔ u AF m a AD k j AB a AD t
umalis	ʔ u AF m a AD l i AD s
umang	ʔ u AF m a AD ŋ
umanta	ʔ u AF m a AD n t a AD
umaraw	u AF m a AD r a AD w AC
umasa	ʔ u AF m a AD s a AD
umasinta	ʔ u AF m a AD s i AD n t a AD
umawat	ʔ u AF m a AD w AC a AD t
umawit	ʔ u AF m a AD w AC i AD t
umibig	ʔ u AF m i AD b i AD ɡ
umihi	ʔ u AF m i AD h AA i AD ʔ
uminom	ʔ u AF m i AD n o AF m
umiwas	ʔ u AF m i AD w AC a AD s
umiyak	ʔ u AF m i AD j AB a AD k
umpisa	ʔ u AF m p i AD s a AD
umuha	ʔ u AF m u AF h AA a AD ʔ
umunlad	ʔ u AF m u AF n l a AD d
umupo	ʔ u AF m u AF p o AF ʔ
umutot	ʔ u AF m u AF t o AF t
umuwi	ʔ u AF m u AF w AC i AD ʔ
unan	u AF n a AD n
untalan	ʔ u AF n t a AD l a AD n
upa	ʔ u AF p a AD
upaw	ʔ u AF p a AD w AC
uriarte	ʔ u AF ɾ j AB a AD ɾ t ɛ AD
ursua	ʔ u AF ɾ s u AF a AD
usap	ʔ u AF s a AD p
usapan	u AF s a AD p a AD n
usisero	ʔ u AF s i AD s ɛ AD ɾ o AF
usog	u AF s o AF ɡ
utak	ʔ u AF t a AD k
utang	u AF t a AD ŋ
utong	ʔ u AF t o AF ŋ
utot	ʔ u AF t o AF t
uwak	ʔ u AF a AD k
uwang	u AF w AC a AD ŋ
uwi	ʔ u AF w AC i AD ʔ
uwian	u AF w AC i AD a AD n
uy	u AF i AD
uyaw	ʔ u AF j AB a AD w AC
valera	b a AD l ɛ AD ɾ a AD
valle	b a AD l l ɛ AD
valmores	b a AD l m o AF ɾ ɛ AD s
vangie	b a AD n d ʒ i AD
varias	b a AD ɾ i AD a AD s
varona	b a AD ɾ o AF n a AD
vecino	b ɛ AD s i AD n o AF
velarde	b ɛ AD l a AD ɾ d ɛ AD
velasquez	b ɛ AD l a AD s k ɛ AD s
velez	b ɛ AD l ɛ AD s
veloria	b ɛ AD l o AF ɾ j AB a AD
veneracion	b ɛ AD n ɛ AD ɾ a AD s j AB o AF n
venturina	b ɛ AD n t u AF ɾ i AD n a AD
versoza	b ɛ AD ɾ s o AF s a AD
viernes	b j AB ɛ AD ɾ n ɛ AD s
vigilante	b i AD d ʒ i AD l a AD n t e AD
villablanca	b i AD l l a AD b l a AD n k a AD
villacarlos	b i AD l l a AD k a AD ɾ l o AF s
villafranca	b i AD l l a AD p ɾ a AD n k a AD
villafuerte	b i AD l l a AD p w AC ɛ AD ɾ t ɛ AD
villagracia	b i AD l l a AD ɡ ɾ a AD s j AB a AD
villamater	b i AD l l a AD m a AD t ɛ AD ɾ
villamin	b i AD l l a AD m i AD n
villamor	b i AD l l a AD m o AF ɾ
villapando	b i AD l l a AD p a AD n d o AF
villareal	b i AD l l a AD ɾ ɛ AD a AD l
villarino	b i AD l l a AD ɾ i AD n o AF
villaruz	b i AD l l a AD ɾ u AF s
villaseñor	b i AD l l a AD s ɛ AD ɲ o AF ɾ
villasis	b i AD l l a AD s i AD s
villaverde	b i AD l l a AD b ɛ AD ɾ d ɛ AD
villavicencio	b i AD l l a AD b i AD s ɛ AD n s j AB o AF
villegas	b i AD l l ɛ AD ɡ a AD s
vinoya	b i AD n o AF j AB a AD
virata	b i AD ɾ a AD t a AD
virrey	b i AD ɾ ɾ ɛ AD i AD
visaya	b i AD s a AD j AB a AD ʔ
volante	b o AF l a AD n t ɛ AD
waag	w AC a AD ʔ a AD ɡ
waagan	w AC a AD ʔ a AD ɡ a AD n
waak	w AC a AD ʔ a AD k
waang	w AC a AD ʔ a AD ŋ
wadwad	w AC a AD d w AC a AD d
wagayway	w AC a AD ɡ a AD j AB w AC a AD j AB
wagaywayan	w AC a AD ɡ a AD j AB w AC a AD j AB a AD n
wagi	w AC a AD ɡ i AD
wagiswis	w AC a AD ɡ i AD s w AC i AD s
wagwag	w AC a AD ɡ w AC a AD ɡ
wakaak	w AC a AD k a AD ʔ a AD k
wakas	w AC a AD k a AD s
waklas	w AC a AD k l a AD s
wakwak	w AC a AD k w AC a AD k
wakya	w AC a AD k j AB a AD ʔ
wala	w AC a AD l a AD ʔ
walawad	w AC a AD l a AD w AC a AD d
waldas	w AC a AD l d a AD s
waley	w AC a AD l e AD ɪ AD
walidwid	w AC a AD l i AD d w AC i AD d
waling	w AC a AD l i AD ŋ
walingwaling	w AC a AD l i AD ŋ w AC a AD l i AD ŋ
waliswis	w AC a AD l i AD s w AC i AD s
waliwali	w AC a AD l i AD w AC a AD l i AD
walna	w AC a AD l n a AD ʔ
walo	w AC a AD l o AF
walumpu	w AC a AD l u AF m p u AF ʔ
walundaan	w AC a AD l u AF n d a AD ʔ a AD n
walunlibo	w AC a AD l u AF n l i AD b o AF
walwal	w AC a AD l w AC a AD l
wang	w AC a AD ŋ
wangis	w AC a AD ŋ i AD s
wani	w AC a AD n i AD ʔ
waray	w AC a AD ɾ a AD j AB
wardi	w AC a AD ɾ d i AD
wasak	w AC a AD s a AD k
watawat	w AC a AD t a AD w AC a AD t
wating	w AC a AD t i AD ŋ
wawa	w AC a AD w AC a AD ʔ
webera	w AC e AD b e AD ɾ a AD
wee	w AC i AD
welga	w AC e AD l ɡ a AD
