ँ	ə̃ AN
अनुमति	ə AJ n̪ AF ʊ AK m AE ə AJ t̪ AB iː AJ
अनुमान	ə AJ n̪ AF ʊ AK m AE ä̃ː n̪ AF
अनुमानतः	ə AJ n̪ AF ʊ AK m AE ä̃ː n̪ AF t̪ AB ə AJ ɦ AL
अनुमानित	ə AJ n̪ AF ʊ AK m AE äː n̪ AF ɪ AJ t̪ AB
अनुमेय	ə AJ n̪ AF ʊ AK m AE eː AJ j AA
अनुमोदन	ə AJ n̪ AF ʊ AK m AE oː AK d̪ AB ə̃ AN n̪ AF
अनुमोदित	ə AJ n̪ AF ʊ AK m AE oː AK d̪ AB ɪ AJ t̪ AB
अनुयायी	ə AJ n̪ AF ʊ AK j AA äː j AA iː AJ
अनुरक्षण	ə AJ n̪ AF ʊ AK ɾ BA ə AJ k AB ʃ AB ə̃ AN ɳ AF
अनुरागहीनता	ə AJ n̪ AF ʊ AK ɾ BA äː ɡ AB ɦ AL ĩː n̪ AF t̪ AB äː
अनुरूप	ə AJ n̪ AF ʊ AK ɾ BA uː AK p AG
अनुरोध	ə AJ n̪ AF ʊ AK ɾ BA oː AK d̪ʱ AC
अनुवांशिक	ə AJ n̪ AF ʊ AK ʋ AI ä̃ː n̪ AF ʃ AB ɪ AJ k AB
अनुवांशिकी	ə AJ n̪ AF ʊ AK ʋ AI ä̃ː n̪ AF ʃ AB ɪ AJ k AB iː AJ
अनुवाद	ə AJ n̪ AF ʊ AK ʋ AI äː d̪ AB
अनुवादक	ə AJ n̪ AF ʊ AK ʋ AI äː d̪ AB ə AJ k AB
अनुवादित	ə AJ n̪ AF ʊ AK ʋ AI äː d̪ AB ɪ AJ t̪ AB
अनुशासन	ə AJ n̪ AF ʊ AK ʃ AB äː s̪ AB ə̃ AN n̪ AF
अनुशासित	ə AJ n̪ AF ʊ AK ʃ AB äː s̪ AB ɪ AJ t̪ AB
अनुशीलन	ə AJ n̪ AF ʊ AK ʃ AB iː AJ l̪ AD ə̃ AN n̪ AF
अनुष्ठान	ə AJ n̪ AF ʊ AK ʃ AB ʈʰ AC ä̃ː n̪ AF
अनुसंधान	ə AJ n̪ AF ʊ AK s̪ AB ə̃ AN n̪ AF d̪ʱ AC ä̃ː n̪ AF
अनुसरण	ə AJ n̪ AF ʊ AK s̪ AB ə AJ ɾ BA ə̃ AN ɳ AF
अनुस्वार	ə AJ n̪ AF ʊ AK s̪ AB ʋ AI äː ɾ BA
अनूठा	ə AJ n̪ AF uː AK ʈʰ AC äː
अनूदित	ə AJ n̪ AF uː AK d̪ AB ɪ AJ t̪ AB
अनूप	ə AJ n̪ AF uː AK p AG
अनेक	ə AJ n̪ AF eː AJ k AB
अनेकता	ə AJ n̪ AF eː AJ k AB t̪ AB äː
अनेकानेक	ə AJ n̪ AF eː AJ k AB äː n̪ AF eː AJ k AB
अनौपचारिक	ə AJ n̪ AF ɔː AK p AG t AB ʃ AB äː ɾ BA ɪ AJ k AB
अन्त	ə̃ AN n̪ AF t̪ AB
अन्तरिक्ष	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA ɪ AJ k AB ʃ AB
अन्तर्गत	ə̃ AN n̪ AF t̪ AB ə AJ ɾ BA ɡ AB ə AJ t̪ AB
अन्दर	ə̃ AN n̪ AF d̪ AB ə AJ ɾ BA
अन्न	ə̃ AN n̪ AF n̪ AF
अन्य	ə̃ AN n̪ AF j AA ə AJ
अन्यथा	ə̃ AN n̪ AF j AA ə AJ t̪ʰ AC äː
अन्याय	ə̃ AN n̪ AF j AA äː j AA
अन्यायपूर्ण	ə̃ AN n̪ AF j AA äː j AA p AG uː AK ɾ BA ɳ AF
अन्यायी	ə̃ AN n̪ AF j AA äː j AA iː AJ
अपकार	ə AJ p AG k AB äː ɾ BA
अपक्व	ə AJ p AG ə AJ k AB w AI ə AJ
अपना	ə AJ p AG n̪ AF äː
अपमान	ə AJ p AG m AE ä̃ː n̪ AF
अपमानजनक	ə AJ p AG m AE ä̃ː n̪ AF d AB ʒ AB ə AJ n̪ AF ə AJ k AB
अपमानित	ə AJ p AG m AE äː n̪ AF ɪ AJ t̪ AB
अपराध	ə AJ p AG ɾ BA äː d̪ʱ AC
अपराधिनी	ə AJ p AG ɾ BA äː d̪ʱ AC ɪ AJ n̪ AF iː AJ
अपराधी	ə AJ p AG ɾ BA äː d̪ʱ AC iː AJ
अपरिपक्व	ə AJ p AG ɾ BA ɪ AJ p AG ə AJ k AB w AI
अपर्याप्त	ə AJ p AG ə AJ ɾ BA j AA äː p AG t̪ AB
अपलक	ə AJ p AG ə AJ l̪ AD ə AJ k AB
अपवाद	ə AJ p AG w AI äː d̪ AB
अपव्यय	ə AJ p AG w AI j AA ə AJ j AA
अपशकुन	ə AJ p AG ʃ AB ə AJ k AB ʊ̃ AM n̪ AF
अपसामान्य	ə AJ p AG s̪ AB äː m AE ä̃ː n̪ AF j AA
अपहरण	ə AJ p AG ɦ AL ə AJ ɾ BA ə̃ AN ɳ AF
अपहर्ता	ə AJ pʰ AH ə AJ ɾ BA t̪ AB äː
अपाहिज	ə AJ p AG äː ɦ AL ɪ AJ d AB ʒ AB
अपेक्षा	ə AJ p AG eː AJ k AB ʃ AB äː
अपेक्षाकृत	ə AJ p AG eː AJ k AB ʃ AB äː k AB ɾ BA ɪ AJ t̪ AB
अपेक्षित	ə AJ p AG eː AJ k AB ʃ AB ɪ AJ t̪ AB
अपॉइंटमेंट	ə AJ p AG ɔ AK ɪ̃ AN ɳ AF ʈ AB m AE ẽː ɳ AF ʈ AB
अप्रकाशित	ə AJ p AG ɾ BA ə AJ k AB äː ʃ AB ɪ AJ t̪ AB
अप्रचलित	ə AJ p AG ɾ BA ə AJ t AB ʃ AB ə AJ l̪ AD ɪ AJ t̪ AB
अप्रत्यक्ष	ə AJ p AG ɾ BA ə AJ t̪ AB j AA ə AJ k AB ʃ AB
अप्रत्याशित	ə AJ p AG ɾ BA ə AJ t̪ AB j AA äː ʃ AB ɪ AJ t̪ AB
अप्रसन्न	ə AJ p AG ɾ BA ə AJ s̪ AB ə̃ AN n̪ AF n̪ AF
अप्रैल	ə AJ p AG ɾ BA ɛː AJ l̪ AD
अप्सरा	ə AJ p AG s̪ AB ə AJ ɾ BA äː
अफगानिस्तान	ə AJ pʰ AH ɡ AB äː n̪ AF ɪ AJ s̪ AB t̪ AB ä̃ː n̪ AF
अफरना	ə AJ pʰ AH ə AJ ɾ BA n̪ AF äː
अफसर	ə AJ pʰ AH s̪ AB ə AJ ɾ BA
अफ़लातून	ə AJ pʰ AH l̪ AD äː t̪ AB ũː n̪ AF
अफ़वाह	ə AJ pʰ AH ʋ AI äː ɦ AL
अफ़सर	ə AJ pʰ AH s̪ AB ə AJ ɾ BA
अफ़साना	ə AJ pʰ AH s̪ AB äː n̪ AF äː
अफ़सोसजनक	ə AJ pʰ AH s̪ AB oː AK s̪ AB d AB ʒ AB ə AJ n̪ AF ə AJ k AB
अफ़ीम	ə AJ pʰ AH ĩː m AE
अफ़ीमची	ə AJ pʰ AH ĩː m AE t AB ʃ AB iː AJ
अफ़्ग़ानिस्तान	ə AJ pʰ AH ɡ AB äː n̪ AF ɪ AJ s̪ AB t̪ AB ä̃ː n̪ AF
अफ़्रीका	ə AJ pʰ AH ɾ BA iː AJ k AB äː
अफ़्साना	ə AJ pʰ AH s̪ AB äː n̪ AF äː
अफीम	ə AJ pʰ AH ĩː m AE
अबटाबाद	ə AJ b AG ʈ AB äː b AG äː d̪ AB
अबाबील	ə AJ b AG äː b AG iː AJ l̪ AD
अबिचल	ə AJ b AG ɪ AJ t AB ʃ AB ə AJ l̪ AD
अबिवात्त	ə AJ b AG ɪ AJ ʋ AI äː t̪ AB t̪ AB
अब्बा	ə AJ b̚ b AG äː
अभयारण्य	ə AJ bʱ AH j AA äː ɾ BA ə̃ AN ɳ AF j AA
अभागा	ə AJ bʱ AH äː ɡ AB äː
अभाव	ə AJ bʱ AH äː ʋ AI
अभिकथन	ə AJ bʱ AH ɪ AJ k AB ə AJ t̪ʰ AC ə̃ AN n̪ AF
अभिकलित्र	ə AJ bʱ AH ɪ AJ k AB ə AJ l̪ AD ɪ AJ t̪ AB ɾ BA
अभिकारक	ə AJ bʱ AH ɪ AJ k AB äː ɾ BA ə AJ k AB
अभिक्रिया	ə AJ bʱ AH ɪ AJ k AB ɾ BA i AJ j AA äː
अभिगम	ə AJ bʱ AH ɪ AJ ɡ AB ə̃ AN m AE
अभिनंदन	ə AJ bʱ AH ɪ AJ n̪ AF ə̃ AN n̪ AF d̪ AB ə̃ AN n̪ AF
अभिनय	ə AJ bʱ AH ɪ AJ n̪ AF ə AJ j AA
अभिनेता	ə AJ bʱ AH ɪ AJ n̪ AF eː AJ t̪ AB äː
अभिनेत्री	ə AJ bʱ AH ɪ AJ n̪ AF eː AJ t̪ AB ɾ BA iː AJ
अभिप्राय	ə AJ bʱ AH ɪ AJ p AG ɾ BA äː j AA
अभिभावक	ə AJ bʱ AH ɪ AJ bʱ AH äː ʋ AI ə AJ k AB
अभिमानी	ə AJ bʱ AH ɪ AJ m AE äː n̪ AF iː AJ
अभियंता	ə AJ bʱ AH i AJ j AA ə̃ AN n̪ AF t̪ AB äː
अभियंत्रण	ə AJ bʱ AH i AJ j AA ə̃ AN n̪ AF t̪ AB ɾ BA ə̃ AN ɳ AF
अभियंत्रिकी	ə AJ bʱ AH i AJ j AA ə̃ AN n̪ AF t̪ AB ɾ BA ɪ AJ k AB iː AJ
अभियन्ता	ə AJ bʱ AH i AJ j AA ə̃ AN n̪ AF t̪ AB äː
अभियांत्रिकी	ə AJ bʱ AH i AJ j AA ä̃ː n̪ AF t̪ AB ɾ BA ɪ AJ k AB iː AJ
अभियान	ə AJ bʱ AH i AJ j AA ä̃ː n̪ AF
अभियुक्त	ə AJ bʱ AH i AJ j AA ʊ AK k AB t̪ AB
अभियोक्ता	ə AJ bʱ AH i AJ j AA oː AK k AB t̪ AB äː
अभियोग	ə AJ bʱ AH i AJ j AA oː AK ɡ AB
अभियोजक	ə AJ bʱ AH i AJ j AA oː AK d AB ʒ AB ə AJ k AB
अभिलाषा	ə AJ bʱ AH ɪ AJ l̪ AD äː ʃ AB äː
अभिलेख	ə AJ bʱ AH ɪ AJ l̪ AD eː AJ kʰ AC
अभिवादन	ə AJ bʱ AH ɪ AJ ʋ AI äː d̪ AB ə̃ AN n̪ AF
अभ्यंग	ə AJ bʱ AH j AA ə̃ AN ŋ AF ɡ AB
अभ्यस्त	ə AJ bʱ AH j AA ə AJ s̪ AB t̪ AB
अभ्यागत	ə AJ bʱ AH j AA äː ɡ AB ə AJ t̪ AB
अभ्यास	ə AJ bʱ AH j AA äː s̪ AB
अभ्यासक्रम	ə AJ bʱ AH j AA äː s̪ AB k AB ɾ BA ə̃ AN m AE
अभ्यासवश	ə AJ bʱ AH j AA äː s̪ AB ʋ AI ə AJ ʃ AB
अमचूर	ə̃ AN m AE t AB ʃ AB uː AK ɾ BA
अमन	ə AJ m AE ə̃ AN n̪ AF
अमरावती	ə̃ AN m AE ɾ BA äː ʋ AI ə AJ t̪ AB iː AJ
अमरीका	ə̃ AN m AE ɾ BA iː AJ k AB äː
अमरूद	ə̃ AN m AE ɾ BA uː AK d̪ AB
अमल	ə AJ m AE ə AJ l̪ AD
अमानत	ə AJ m AE äː n̪ AF ə AJ t̪ AB
अमानती	ə AJ m AE äː n̪ AF ə AJ t̪ AB iː AJ
अमानवीय	ə AJ m AE äː n̪ AF ə AJ ʋ AI iː AJ j AA
अमानवीयता	ə AJ m AE äː n̪ AF ə AJ ʋ AI iː AJ j AA ə AJ t̪ AB äː
अमान्य	ə AJ m AE ä̃ː n̪ AF j AA
अमावस	ə AJ m AE äː ʋ AI ə AJ s̪ AB
अमाशय	ə AJ m AE äː ʃ AB ə AJ j AA
अमूल्य	ə AJ m AE uː AK l̪ AD j AA
अमृत	ə̃ AN m AE ɾ BA ɪ AJ t̪ AB
अमृतसर	ə̃ AN m AE ɾ BA ɪ AJ t̪ AB s̪ AB ə AJ ɾ BA
अमेरिकन	ə AJ m AE eː AJ ɾ BA ɪ AJ k AB ə̃ AN n̪ AF
अमेरिका	ə AJ m AE eː AJ ɾ BA ɪ AJ k AB äː
अम्बर	ə̃ AN m AE b AG ə AJ ɾ BA
अम्मा	ə̃ AN m AE m AE äː
अम्माँ	ə̃ AN m AE m AE ä̃ː
अम्मी	ə̃ AN m AE m AE iː AJ
अम्ल	ə̃ AN m AE l̪ AD
अम्लता	ə̃ AN m AE l̪ AD t̪ AB äː
अम्लपित्त	ə̃ AN m AE l̪ AD p AG ɪ AJ t̪ AB t̪ AB
अम्लीय	ə̃ AN m AE l̪ AD iː AJ j AA
अयनांत	ə AJ j AA ə AJ n̪ AF ä̃ː n̪ AF t̪ AB
अयस्	ə AJ j AA ə AJ s̪ AB
अयस्क	ə AJ j AA ə AJ s̪ AB k AB
अयोग्यता	ə AJ j AA oː AK ɡ AB j AA ə AJ t̪ AB äː
अयोध्या	ə AJ j AA oː AK d̪ʱ AC j AA äː
अरंडी	ə AJ ɾ BA ə̃ AN ɳ AF ɖ AB iː AJ
अरक्तता	ə AJ ɾ BA ə AJ k AB t̪̚ t̪ AB äː
अरगनी	ə AJ ɾ BA ə AJ ɡ AB n̪ AF iː AJ
अरदली	ə AJ ɾ BA d̪ AB ə AJ l̪ AD iː AJ
अरबिंद	ə AJ ɾ BA b AG ɪ̃ AN n̪ AF d̪ AB
अरमान	ə AJ ɾ BA m AE ä̃ː n̪ AF
अरविंद	ə AJ ɾ BA ʋ AI ɪ̃ AN n̪ AF d̪ AB
अरसा	ə AJ ɾ BA s̪ AB äː
अरस्तू	ə AJ ɾ BA ə AJ s̪ AB t̪ AB uː AK
अराजक	ə AJ ɾ BA äː d AB ʒ AB ə AJ k AB
अराजकता	ə AJ ɾ BA äː d AB ʒ AB ə AJ k AB t̪ AB äː
अराजकवाद	ə AJ ɾ BA äː d AB ʒ AB ə AJ k AB w AI äː d̪ AB
अराजकवादी	ə AJ ɾ BA äː d AB ʒ AB ə AJ k AB w AI äː d̪ AB iː AJ
अरारोट	ə AJ ɾ BA äː ɾ BA oː AK ʈ AB
अरिहंत	ə AJ ɾ BA ɪ AJ ɦ AL ə̃ AN n̪ AF t̪ AB
अरोरा	ə AJ ɾ BA oː AK ɾ BA äː
अर्जन	ə AJ ɾ BA d AB ʒ AB ə̃ AN n̪ AF
अर्जुन	ə AJ ɾ BA d AB ʒ AB ʊ̃ AM n̪ AF
अर्जेंटीना	ə AJ ɾ BA d AB ʒ AB ẽː ɳ AF ʈ AB iː AJ n̪ AF äː
अर्जेण्टीना	ə AJ ɾ BA d AB ʒ AB ẽː ɳ AF ʈ AB iː AJ n̪ AF äː
अर्जेन्टीना	äː ɾ BA d AB ʒ AB ẽː ɳ AF ʈ AB iː AJ n̪ AF äː
अर्थव्यवस्था	ə AJ ɾ BA t̪ʰ AC ə AJ ʋ AI j AA ə AJ ʋ AI ə AJ s̪ AB t̪ʰ AC äː
अर्थशास्त्री	ə AJ ɾ BA t̪ʰ AC ə AJ ʃ AB äː s̪ AB t̪ AB ɾ BA iː AJ
अर्थहीन	ə AJ ɾ BA t̪ʰ AC ɦ AL ĩː n̪ AF
अर्थात	ə AJ ɾ BA t̪ʰ AC äː t̪ AB
अर्थात्	ə AJ ɾ BA t̪ʰ AC äː t̪ AB
अर्थालंकार	ə AJ ɾ BA t̪ʰ AC äː l̪ AD ə̃ AN ŋ AF k AB äː ɾ BA
अर्दली	ə AJ ɾ BA d̪ AB ə AJ l̪ AD iː AJ
अर्धकुशल	ə AJ ɾ BA d̪ʱ AC k AB ʊ AK ʃ AB ə AJ l̪ AD
अर्धतत्सम	ə AJ ɾ BA d̪ʱ AC ə AJ t̪ AB ə AJ t̪ AB s̪ AB ə̃ AN m AE
अर्धवार्षिक	ə AJ ɾ BA d̪ʱ AC ʋ AI äː ɾ BA ʃ AB ɪ AJ k AB
अर्धविकसित	ə AJ ɾ BA d̪ʱ AC ʋ AI ɪ AJ k AB s̪ AB ɪ AJ t̪ AB
अर्धशिक्षित	ə AJ ɾ BA d̪ʱ AC ʃ AB ɪ AJ k AB ʃ AB ɪ AJ t̪ AB
अर्धसरकारी	ə AJ ɾ BA d̪ʱ AC s̪ AB ə AJ ɾ BA k AB äː ɾ BA iː AJ
अर्धसाप्ताहिक	ə AJ ɾ BA d̪ʱ AC s̪ AB äː p AG t̪ AB äː ɦ AL ɪ AJ k AB
अर्धांगिनी	ə AJ ɾ BA d̪ʱ AC ä̃ː ŋ AF ɡ AB ɪ AJ n̪ AF iː AJ
अर्धायु	ə AJ ɾ BA d̪ʱ AC äː j AA uː AK
अर्पण	ə AJ ɾ BA p AG ə̃ AN ɳ AF
अर्यमा	ə AJ ɾ BA j AA ə AJ m AE äː
अलंकार	ə AJ l̪ AD ə̃ AN ŋ AF k AB äː ɾ BA
अलंकृत	ə AJ l̪ AD ə̃ AN ŋ AF k AB ɾ BA ɪ AJ t̪ AB
अलक़तरा	ə AJ l̪ AD q AB ə AJ t̪ AB ɾ BA äː
अलगाना	ə AJ l̪ AD ɡ AB äː n̪ AF äː
अलगाव	ə AJ l̪ AD ɡ AB äː ʋ AI
अलगाववाद	ə AJ l̪ AD ɡ AB äː ʋ AI ʋ AI äː d̪ AB
अलगाववादी	ə AJ l̪ AD ɡ AB äː ʋ AI ʋ AI äː d̪ AB iː AJ
अलबता	ə AJ l̪ AD b AG ə AJ t̪ AB äː
अलबत्ता	ə AJ l̪ AD b AG ə AJ t̪̚ t̪ AB äː
अलबम	ə AJ l̪ AD b AG ə̃ AN m AE
अलम	ə AJ l̪ AD ə̃ AN m AE
अलमारी	ə AJ l̪ AD m AE äː ɾ BA iː AJ
अलम्	ə AJ l̪ AD ə̃ AN m AE
अलविदा	ə AJ l̪ AD ʋ AI ɪ AJ d̪ AB äː
अलसाना	ə AJ l̪ AD s̪ AB äː n̪ AF äː
अलहदा	ə AJ l̪ AD ɛ AJ ɦ AL d̪ AB äː
अलादीन	ə AJ l̪ AD äː d̪ AB ĩː n̪ AF
अलापना	ə AJ l̪ AD äː p AG n̪ AF äː
अलार्म	ə AJ l̪ AD ɑː AJ ɾ BA ə AJ m AE
अलाव	ə AJ l̪ AD äː ʋ AI
अलि	ə AJ l̪ AD iː AJ
अलिखित	ə AJ l̪ AD ɪ AJ kʰ AC ɪ AJ t̪ AB
अलीगढ	ə AJ l̪ AD iː AJ ɡ AB ə AJ ɽʱ BB
अलीगढ़	ə AJ l̪ AD iː AJ ɡ AB ə AJ ɽʱ BB
अलोना	ə AJ l̪ AD oː AK n̪ AF äː
अल्जीरिया	ə AJ l̪ AD d AB ʒ AB iː AJ ɾ BA i AJ j AA äː
अल्टीमेटम	ə AJ l̪ AD ʈ AB iː AJ m AE eː AJ ʈ AB ə̃ AN m AE
अल्पकारी	ə AJ l̪ AD p AG ə AJ k AB äː ɾ BA iː AJ
अल्पसंख्यक	ə AJ l̪ AD p AG s̪ AB ə̃ AN ŋ AF kʰ AC j AA ə AJ k AB
अल्पावस्था	ə AJ l̪ AD p AG äː ʋ AI ə AJ s̪ AB t̪ʰ AC äː
अल्पाहार	ə AJ l̪ AD p AG äː ɦ AL äː ɾ BA
अल्फ़ा	ə AJ l̪ AD pʰ AH äː
अल्फ़ाज़	ə AJ l̪ AD pʰ AH äː d AB ʒ AB
अल्बम	ə AJ l̪ AD b AG ə̃ AN m AE
अल्बानियन	ə AJ l̪ AD b AG äː n̪ AF i AJ j AA ə̃ AN n̪ AF
अल्बानिया	ə AJ l̪ AD b AG äː n̪ AF i AJ j AA äː
अल्लाह	ə AJ l̪ AD l̪ AD äː ɦ AL
अल्हड़	ə AJ l̪ AD ɦ AL ə AJ ɽ BA
अवकलज	ə AJ ʋ AI k AB ə AJ l̪ AD ə AJ d AB ʒ AB
अवकलन	ə AJ ʋ AI k AB ə AJ l̪ AD ə̃ AN n̪ AF
अवकलनीय	ə AJ ʋ AI k AB ə AJ l̪ AD ə AJ n̪ AF iː AJ j AA
अवक्षयण	ə AJ ʋ AI k AB ʃ AB ə AJ j AA ə̃ AN ɳ AF
अवक्षेपण	ə AJ ʋ AI k AB ʃ AB eː AJ p AG ə̃ AN ɳ AF
अवगुण	ə AJ ʋ AI ɡ AB ʊ̃ AM ɳ AF
अवज्ञा	ə AJ ʋ AI ə AJ ɡ AB j AA äː
अवतल	ə AJ ʋ AI t̪ AB ə AJ l̪ AD
अवतार	ə AJ ʋ AI t̪ AB äː ɾ BA
अवधारण	ə AJ ʋ AI d̪ʱ AC äː ɾ BA ə̃ AN ɳ AF
अवधारणा	ə AJ ʋ AI d̪ʱ AC äː ɾ BA ɳ AF äː
अवनति	ə AJ ʋ AI n̪ AF ə AJ t̪ AB iː AJ
अवपंक	ə AJ ʋ AI p AG ə̃ AN ŋ AF k AB
अवयस्क	ə AJ ʋ AI ə AJ j AA ə AJ s̪ AB k AB
अवलंब	ə AJ ʋ AI l̪ AD ə̃ AN m AE b AG
अवलोकन	ə AJ ʋ AI l̪ AD oː AK k AB ə̃ AN n̪ AF
अवशोषण	ə AJ ʋ AI ʃ AB oː AK ʃ AB ə̃ AN ɳ AF
अवशोषित	ə AJ ʋ AI ʃ AB oː AK ʃ AB ɪ AJ t̪ AB
अवसंरचना	ə AJ ʋ AI s̪ AB ə̃ AN ɾ BA ə AJ t AB ʃ AB n̪ AF äː
अवसर	ə AJ ʋ AI s̪ AB ə AJ ɾ BA
अवस्था	ə AJ ʋ AI ə AJ s̪ AB t̪ʰ AC äː
अवहेलना	ə AJ ʋ AI ɦ AL eː AJ l̪ AD n̪ AF äː
अवांछित	ə AJ ʋ AI ä̃ː n̪ AF t AB ʃʰ AC ɪ AJ t̪ AB
अवाई	ə AJ ʋ AI äː iː AJ
अवाक्	ə AJ ʋ AI äː k AB
अवाम	ə AJ ʋ AI ä̃ː m AE
अवार्ड	ə AJ ʋ AI äː ɾ BA ɖ AB
अविकसित	ə AJ ʋ AI ɪ AJ k AB s̪ AB ɪ AJ t̪ AB
अविकारी	ə AJ ʋ AI ɪ AJ k AB äː ɾ BA iː AJ
अविचल	ə AJ ʋ AI ɪ AJ t AB ʃ AB ə AJ l̪ AD
अविच्छिन्न	ə AJ ʋ AI ɪ AJ t̚ t AB ʃʰ AC ɪ̃ AN n̪ AF n̪ AF
अविनय	ə AJ ʋ AI ɪ AJ n̪ AF ə AJ j AA
अविनीत	ə AJ ʋ AI ɪ AJ n̪ AF iː AJ t̪ AB
अविलंब	ə AJ ʋ AI ɪ AJ l̪ AD ə̃ AN m AE b AG
अविवाहित	ə AJ ʋ AI ɪ AJ ʋ AI äː ɦ AL ɪ AJ t̪ AB
अविश्वास	ə AJ ʋ AI ɪ AJ ʃ AB ʋ AI äː s̪ AB
अविश्वासनीय	ə AJ ʋ AI ɪ AJ ʃ AB ʋ AI äː s̪ AB n̪ AF iː AJ j AA
अविस्मरणीय	ə AJ ʋ AI ɪ AJ s̪ AB m AE ə AJ ɾ BA ə AJ ɳ AF iː AJ j AA
अवैतनिक	ʋ AI ɛː AJ t̪ AB ə AJ n̪ AF ɪ AJ k AB
अवोकाडो	ə AJ ʋ AI oː AK k AB äː ɖ AB oː AK
अव्यवस्था	ə AJ ʋ AI j AA ə AJ ʋ AI ə AJ s̪ AB t̪ʰ AC äː
अव्यावहारिक	ə AJ ʋ AI j AA äː ʋ AI ɦ AL äː ɾ BA ɪ AJ k AB
अव्वल	ə AJ ʋ AI ʋ AI ə AJ l̪ AD
अशांत	ə AJ ʃ AB ä̃ː n̪ AF t̪ AB
अशांति	ə AJ ʃ AB ä̃ː n̪ AF t̪ AB iː AJ
अशान्ति	ə AJ ʃ AB ä̃ː n̪ AF t̪ AB iː AJ
अशिष्टता	ə AJ ʃ AB ɪ AJ ʃ AB ʈ AB t̪ AB äː
अशुद्धि	ə AJ ʃ AB ʊ AK d̪̚ AB d̪ʱ AC iː AJ
अश्लील	ə AJ ʃ AB l̪ AD iː AJ l̪ AD
अश्लीलता	ə AJ ʃ AB l̪ AD iː AJ l̪ AD t̪ AB äː
अश्विनी	ə AJ ʃ AB ʋ AI ɪ AJ n̪ AF iː AJ
अष्टकोण	ə AJ ʂ AB ʈ AB k AB õː ɳ AF
असंख्य	ə AJ s̪ AB ə̃ AN ŋ AF kʰ AC j AA
असंगत	ə AJ s̪ AB ə̃ AN ŋ AF ɡ AB ə AJ t̪ AB
असंगति	ə AJ s̪ AB ə̃ AN ŋ AF ɡ AB ə AJ t̪ AB iː AJ
असंतुष्ट	ə AJ s̪ AB ə̃ AN n̪ AF t̪ AB ʊ AK ʂ AB ʈ AB
असंतोष	ə AJ s̪ AB ə̃ AN n̪ AF t̪ AB oː AK ʃ AB
असंतोषजनक	ə AJ s̪ AB ə̃ AN n̪ AF t̪ AB oː AK ʃ AB d AB ʒ AB ə AJ n̪ AF ə AJ k AB
असंभव	ə AJ s̪ AB ə̃ AN m AE bʱ AH ə AJ ʋ AI
असंभावित	ə AJ s̪ AB ə̃ AN m AE bʱ AH äː ʋ AI ɪ AJ t̪ AB
असंवेदनशील	ə AJ s̪ AB ə̃ AN m AE w AI eː AJ d̪ AB ə̃ AN n̪ AF ʃ AB iː AJ l̪ AD
असंवैधानिक	ə AJ s̪ AB ə̃ AN m AE w AI ɛː AJ d̪ʱ AC äː n̪ AF ɪ AJ k AB
असत्य	ə AJ s̪ AB ə AJ t̪ AB j AA
असत्याभास	ə AJ s̪ AB ə AJ t̪ AB j AA äː bʱ AH äː s̪ AB
असफल	ə AJ s̪ AB ə AJ pʰ AH ə AJ l̪ AD
असफलता	ə AJ s̪ AB ə AJ pʰ AH ə AJ l̪ AD t̪ AB äː
असबाब	ə AJ s̪ AB b AG äː b AG
असभ्य	ə AJ s̪ AB ə AJ bʱ AH j AA
असभ्यता	ə AJ s̪ AB ə AJ bʱ AH j AA ə AJ t̪ AB äː
असम	ə AJ s̪ AB ə̃ AN m AE
असमंजस	ə AJ s̪ AB ə AJ m AE ə̃ AN n̪ AF d AB ʒ AB ə AJ s̪ AB
असमय	ə AJ s̪ AB ə AJ m AE ə AJ j AA
असमर्थ	ə AJ s̪ AB ə AJ m AE ə AJ ɾ BA t̪ʰ AC
असमर्थता	ə AJ s̪ AB ə AJ m AE ə AJ ɾ BA t̪ʰ AC t̪ AB äː
असमान	ə AJ s̪ AB ə AJ m AE ä̃ː n̪ AF
असमानता	ə AJ s̪ AB ə AJ m AE ä̃ː n̪ AF t̪ AB äː
असमाप्त	ə AJ s̪ AB ə AJ m AE äː p AG t̪ AB
असमीकरण	ə AJ s̪ AB ə AJ m AE iː AJ k AB ə AJ ɾ BA ə̃ AN ɳ AF
असम्भव	ə AJ s̪ AB ə̃ AN m AE bʱ AH ə AJ ʋ AI
असर	ə AJ s̪ AB ə AJ ɾ BA
असल	ə AJ s̪ AB ə AJ l̪ AD
असलियत	ə AJ s̪ AB l̪ AD i AJ j AA ə AJ t̪ AB
असली	ə AJ s̪ AB l̪ AD iː AJ
असहमत	ə AJ s̪ AB ɛ AJ ɦ AL m AE ə AJ t̪ AB
असहमति	ə AJ s̪ AB ɛ AJ ɦ AL m AE ə AJ t̪ AB iː AJ
असहयोग	ə AJ s̪ AB ɛ AJ ɦ AL j AA oː AK ɡ AB
असहाय	ə AJ s̪ AB ɦ AL äː j AA
असहिष्णु	ə AJ s̪ AB ə AJ ɦ AL ɪ AJ ʃ AB ɳ AF uː AK
असहिष्णुता	ə AJ s̪ AB ə AJ ɦ AL ɪ AJ ʃ AB ɳ AF ʊ AK t̪ AB äː
असह्य	ə AJ s̪ AB ɛ AJ ɦ AL j AA
असाढ़	ə AJ s̪ AB äː ɽʱ BB
