Ⴁ	b
ალბინოსი	ɑ AB l b i AB n ɔ AC s i AB
ალბომად	ɑ AB l b ɔ AC m ɑ AB d
ალბომი	ɑ AB l b ɔ AC m i AB
ალბომით	ɑ AB l b ɔ AC m i AB tʰ
ალბომის	ɑ AB l b ɔ AC m i AB s
ალბომმა	ɑ AB l b ɔ AC m m ɑ AB
ალბომს	ɑ AB l b ɔ AC m s
ალგებრა	ɑ AB l ɡ ɛ AB b r ɑ AB
ალგებრულად	ɑ AB l ɡ ɛ AB b r u AC l ɑ AB d
ალგებრული	ɑ AB l ɡ ɛ AB b r u AC l i AB
ალგორითმი	ɑ AB l ɡ ɔ AC r i AB tʰ m i AB
ალდატი	ɑ AB l d ɑ AB tʼ i AB
ალებასტრი	ɑ AB l ɛ AB b ɑ AB s tʼ r i AB
ალეგორია	ɑ AB l ɛ AB ɡ ɔ AC r i AB ɑ AB
ალეგორიული	ɑ AB l ɛ AB ɡ ɔ AC r i AB u AC l i AB
ალეპო	ɑ AB l ɛ AB pʼ ɔ AC
ალერგია	ɑ AB l ɛ AB r ɡ i AB ɑ AB
ალერგიული	ɑ AB l ɛ AB r ɡ i AB u AC l i AB
ალერსად	ɑ AB l ɛ AB r s ɑ AB d
ალერსი	ɑ AB l ɛ AB r s i AB
ალერსიანი	ɑ AB l ɛ AB r s i AB ɑ AB n i AB
ალერსით	ɑ AB l ɛ AB r s i AB tʰ
ალერსის	ɑ AB l ɛ AB r s i AB s
ალერსმა	ɑ AB l ɛ AB r s m ɑ AB
ალერსო	ɑ AB l ɛ AB r s ɔ AC
ალერსს	ɑ AB l ɛ AB r s s
ალექსანდრა	ɑ AB l ɛ AB kʰ s ɑ AB n d r ɑ AB
ალექსანდრე	ɑ AB l ɛ AB kʰ s ɑ AB n d r ɛ AB
ალექსანდრია	ɑ AB l ɛ AB kʰ s ɑ AB n d r i AB ɑ AB
ალვა	ɑ AB l v ɑ AB
ალვეოლური	ɑ AB l v ɛ AB ɔ AC l u AC r i AB
ალი	ɑ AB l i AB
ალიაქოთი	ɑ AB l i AB ɑ AB kʰ ɔ AC tʰ i AB
ალიბი	ɑ AB l i AB b i AB
ალიგატორი	ɑ AB l i AB ɡ ɑ AB tʼ ɔ AC r i AB
ალიზი	ɑ AB l i AB z i AB
ალიკაპი	ɑ AB l i AB kʼ ɑ AB pʼ i AB
ალიონი	ɑ AB l i AB ɔ AC n i AB
ალისფერი	ɑ AB l i AB s pʰ ɛ AB r i AB
ალიტერაცია	ɑ AB l i AB tʼ ɛ AB r ɑ AB t s i AB ɑ AB
ალიტერაციული	ɑ AB l i AB tʼ ɛ AB r ɑ AB t s i AB u AC l i AB
ალკოჰოლი	ɑ AB l kʼ ɔ AC h AA ɔ AC l i AB
ალკოჰოლიანი	ɑ AB l kʼ ɔ AC h AA ɔ AC l i AB ɑ AB n i AB
ალკოჰოლიზმი	ɑ AB l kʼ ɔ AC h AA ɔ AC l i AB z m i AB
ალკოჰოლური	ɑ AB l kʼ ɔ AC h AA ɔ AC l u AC r i AB
ალმანახი	ɑ AB l m ɑ AB n ɑ AB x i AB
ალმასი	ɑ AB l m ɑ AB s i AB
ალმატი	ɑ AB l m ɑ AB tʼ i AB
ალმოდებული	ɑ AB l m ɔ AC d ɛ AB b u AC l i AB
ალმური	ɑ AB l m u AC r i AB
ალო	ɑ AB l ɔ AC
ალოე	ɑ AB l ɔ AC ɛ AB
ალპინიზმი	ɑ AB l pʼ i AB n i AB z m i AB
ალპინისტი	ɑ AB l pʼ i AB n i AB s tʼ i AB
ალპური	ɑ AB l pʼ u AC r i AB
ალჟირი	ɑ AB l ʒ i AB r i AB
ალტერნატივა	ɑ AB l tʼ ɛ AB r n ɑ AB tʼ i AB v ɑ AB
ალტერნატიულად	ɑ AB l tʼ ɛ AB r n ɑ AB tʼ i AB u AC l ɑ AB d
ალტერნატიული	ɑ AB l tʼ ɛ AB r n ɑ AB tʼ i AB u AC l i AB
ალტი	ɑ AB l tʼ i AB
ალტიმეტრი	ɑ AB l tʼ i AB m ɛ AB tʼ r i AB
ალტრუიზმი	ɑ AB l tʼ r u AC i AB z m i AB
ალტრუისტი	ɑ AB l tʼ r u AC i AB s tʼ i AB
ალტრუისტულად	ɑ AB l tʼ r u AC i AB s tʼ u AC l ɑ AB d
ალტრუისტული	ɑ AB l tʼ r u AC i AB s tʼ u AC l i AB
ალუბალი	ɑ AB l u AC b ɑ AB l i AB
ალუვიური	ɑ AB l u AC v i AB u AC r i AB
ალუმინი	ɑ AB l u AC m i AB n i AB
ალუჩა	ɑ AB l u AC t ʃ ɑ AB
ალფა	ɑ AB l pʰ ɑ AB
ალქატი	ɑ AB l kʰ ɑ AB tʼ i AB
ალქიმია	ɑ AB l kʰ i AB m i AB ɑ AB
ალქიმიკოსი	ɑ AB l kʰ i AB m i AB kʼ ɔ AC s i AB
ალღო	ɑ AB l ɣ ɔ AC
ალყა	ɑ AB l qʼ ɑ AB
ამ	ɑ AB m
ამაგი	ɑ AB m ɑ AB ɡ i AB
ამაზე	ɑ AB m ɑ AB z ɛ AB
ამალა	ɑ AB m ɑ AB l ɑ AB
ამალგამა	ɑ AB m ɑ AB l ɡ ɑ AB m ɑ AB
ამანათი	ɑ AB m ɑ AB n ɑ AB tʰ i AB
ამაო	ɑ AB m ɑ AB ɔ AC
ამაოდ	ɑ AB m ɑ AB ɔ AC d
ამაოება	ɑ AB m ɑ AB ɔ AC ɛ AB b ɑ AB
ამართლებს	ɑ AB m ɑ AB r tʰ l ɛ AB b s
ამარილისი	ɑ AB m ɑ AB r i AB l i AB s i AB
ამას	ɑ AB m ɑ AB s
ამასთან	ɑ AB m ɑ AB s tʰ ɑ AB n
ამატებს	ɑ AB m ɑ AB tʼ ɛ AB b s
ამაღელვებელი	ɑ AB m ɑ AB ɣ ɛ AB l v ɛ AB b ɛ AB l i AB
ამაღელვებლად	ɑ AB m ɑ AB ɣ ɛ AB l v ɛ AB b l ɑ AB d
ამაღლებულად	ɑ AB m ɑ AB ɣ l ɛ AB b u AC l ɑ AB d
ამაღლებული	ɑ AB m ɑ AB ɣ l ɛ AB b u AC l i AB
ამაღლებულობა	ɑ AB m ɑ AB ɣ l ɛ AB b u AC l ɔ AC b ɑ AB
ამაყად	ɑ AB m ɑ AB qʼ ɑ AB d
ამაყი	ɑ AB m ɑ AB qʼ i AB
ამაში	ɑ AB m ɑ AB ʃ i AB
ამახინჯებს	ɑ AB m ɑ AB x i AB n d ʒ ɛ AB b s
ამბავი	ɑ AB m b ɑ AB v i AB
ამბიცია	ɑ AB m b i AB t s i AB ɑ AB
ამბობს	ɑ AB m b ɔ AC b s
ამბორი	ɑ AB m b ɔ AC r i AB
ამბოხება	ɑ AB m b ɔ AC x ɛ AB b ɑ AB
ამბოხებული	ɑ AB m b ɔ AC x ɛ AB b u AC l i AB
ამბოხი	ɑ AB m b ɔ AC x i AB
ამბრაზურა	ɑ AB m b r ɑ AB z u AC r ɑ AB
ამდენად	ɑ AB m d ɛ AB n ɑ AB d
ამეთვისტო	ɑ AB m ɛ AB tʰ v i AB s tʼ ɔ AC
ამერიკა	ɑ AB m ɛ AB r i AB kʼ ɑ AB
ამერიკად	ɑ AB m ɛ AB r i AB kʼ ɑ AB d
ამერიკამ	ɑ AB m ɛ AB r i AB kʼ ɑ AB m
ამერიკანიზმი	ɑ AB m ɛ AB r i AB kʼ ɑ AB n i AB z m i AB
ამერიკას	ɑ AB m ɛ AB r i AB kʼ ɑ AB s
ამერიკელი	ɑ AB m ɛ AB r i AB kʼ ɛ AB l i AB
ამერიკით	ɑ AB m ɛ AB r i AB kʼ i AB tʰ
ამერიკის	ɑ AB m ɛ AB r i AB kʼ i AB s
ამერიკული	ɑ AB m ɛ AB r i AB kʼ u AC l i AB
ამზადებს	ɑ AB m z ɑ AB d ɛ AB b s
ამთავრებს	ɑ AB m tʰ ɑ AB v r ɛ AB b s
ამთვისებელი	ɑ AB m tʰ v i AB s ɛ AB b ɛ AB l i AB
ამთქნარებს	ɑ AB m tʰ kʰ n ɑ AB r ɛ AB b s
ამიაკი	ɑ AB m i AB ɑ AB kʼ i AB
ამიერიდან	ɑ AB m i AB ɛ AB r i AB d ɑ AB n
ამიერკავკასია	ɑ AB m i AB ɛ AB r kʼ ɑ AB v kʼ ɑ AB s i AB ɑ AB
ამით	ɑ AB m i AB tʰ
ამინ	ɑ AB m i AB n
ამინდი	ɑ AB m i AB n d i AB
ამირა	ɑ AB m i AB r ɑ AB
ამირანი	ɑ AB m i AB r ɑ AB n i AB
ამირი	ɑ AB m i AB r i AB
ამისულაშვილი	ɑ AB m i AB s u AC l ɑ AB ʃ v i AB l i AB
ამიტომ	ɑ AB m i AB tʼ ɔ AC m
ამიტომაც	ɑ AB m i AB tʼ ɔ AC m ɑ AB t s
ამკობს	ɑ AB m kʼ ɔ AC b s
ამლევი	ɑ AB m l ɛ AB v i AB
ამნეზია	ɑ AB m n ɛ AB z i AB ɑ AB
ამნისტია	ɑ AB m n i AB s tʼ i AB ɑ AB
ამობურცული	ɑ AB m ɔ AC b u AC r t s u AC l i AB
ამოდის	ɑ AB m ɔ AC d i AB s
ამოზნექილად	ɑ AB m ɔ AC z n ɛ AB kʰ i AB l ɑ AB d
ამოზნექილი	ɑ AB m ɔ AC z n ɛ AB kʰ i AB l i AB
ამოზნექილობა	ɑ AB m ɔ AC z n ɛ AB kʰ i AB l ɔ AC b ɑ AB
ამოთითხნილი	ɑ AB m ɔ AC tʰ i AB tʰ x n i AB l i AB
ამოიდო	ɑ AB m ɔ AC i AB d ɔ AC
ამოკლებს	ɑ AB m ɔ AC kʼ l ɛ AB b s
ამომწურავად	ɑ AB m ɔ AC m t sʼ u AC r ɑ AB v ɑ AB d
ამომწურავი	ɑ AB m ɔ AC m t sʼ u AC r ɑ AB v i AB
ამომჭმელი	ɑ AB m ɔ AC m t ʃʼ m ɛ AB l i AB
ამორალური	ɑ AB m ɔ AC r ɑ AB l u AC r i AB
ამორტიზაცია	ɑ AB m ɔ AC r tʼ i AB z ɑ AB t s i AB ɑ AB
ამორფული	ɑ AB m ɔ AC r pʰ u AC l i AB
ამორჩეული	ɑ AB m ɔ AC r t ʃ ɛ AB u AC l i AB
ამორძალი	ɑ AB m ɔ AC r d z ɑ AB l i AB
ამოურჩეველი	ɑ AB m ɔ AC u AC r t ʃ ɛ AB v ɛ AB l i AB
ამოუწურავი	ɑ AB m ɔ AC u AC t sʼ u AC r ɑ AB v i AB
ამოყვანილი	ɑ AB m ɔ AC qʼ v ɑ AB n i AB l i AB
ამოშვერილი	ɑ AB m ɔ AC ʃ v ɛ AB r i AB l i AB
ამოცანა	ɑ AB m ɔ AC t s ɑ AB n ɑ AB
ამოცნობა	ɑ AB m ɔ AC t s n ɔ AC b ɑ AB
ამოძირკვავს	ɑ AB m ɔ AC d z i AB r kʼ v ɑ AB v s
ამოხველება	ɑ AB m ɔ AC x v ɛ AB l ɛ AB b ɑ AB
ამპარტავანი	ɑ AB m pʼ ɑ AB r tʼ ɑ AB v ɑ AB n i AB
ამპარტავნულად	ɑ AB m pʼ ɑ AB r tʼ ɑ AB v n u AC l ɑ AB d
ამპერი	ɑ AB m pʼ ɛ AB r i AB
ამპერმეტრი	ɑ AB m pʼ ɛ AB r m ɛ AB tʼ r i AB
ამპლიტუდა	ɑ AB m pʼ l i AB tʼ u AC d ɑ AB
ამპულა	ɑ AB m pʼ u AC l ɑ AB
ამპუტაცია	ɑ AB m pʼ u AC tʼ ɑ AB t s i AB ɑ AB
ამჟამად	ɑ AB m ʒ ɑ AB m ɑ AB d
ამრავლებს	ɑ AB m r ɑ AB v l ɛ AB b s
ამრგვალებს	ɑ AB m r ɡ v ɑ AB l ɛ AB b s
ამრეკლავად	ɑ AB m r ɛ AB kʼ l ɑ AB v ɑ AB d
ამრეკლავი	ɑ AB m r ɛ AB kʼ l ɑ AB v i AB
ამსგავსებს	ɑ AB m s ɡ ɑ AB v s ɛ AB b s
ამსტერდამი	ɑ AB m s tʼ ɛ AB r d ɑ AB m i AB
ამტანი	ɑ AB m tʼ ɑ AB n i AB
ამტანობა	ɑ AB m tʼ ɑ AB n ɔ AC b ɑ AB
ამტვრევს	ɑ AB m tʼ v r ɛ AB v s
ამუზია	ɑ AB m u AC z i AB ɑ AB
ამულეტი	ɑ AB m u AC l ɛ AB tʼ i AB
ამუშავებს	ɑ AB m u AC ʃ ɑ AB v ɛ AB b s
ამუხრუჭებს	ɑ AB m u AC x r u AC t ʃʼ ɛ AB b s
ამფიბია	ɑ AB m pʰ i AB b i AB ɑ AB
ამფითეატრი	ɑ AB m pʰ i AB tʰ ɛ AB ɑ AB tʼ r i AB
ამფორა	ɑ AB m pʰ ɔ AC r ɑ AB
ამღერებს	ɑ AB m ɣ ɛ AB r ɛ AB b s
ამღვრეულობა	ɑ AB m ɣ v r ɛ AB u AC l ɔ AC b ɑ AB
ამშვიდებს	ɑ AB m ʃ v i AB d ɛ AB b s
ამჩნევს	ɑ AB m t ʃ n ɛ AB v s
ამძვრალი	ɑ AB m d z v r ɑ AB l i AB
ამძიმებს	ɑ AB m d z i AB m ɛ AB b s
ამწარებს	ɑ AB m t sʼ ɑ AB r ɛ AB b s
ამწე	ɑ AB m t sʼ ɛ AB
ამწიფებს	ɑ AB m t sʼ i AB pʰ ɛ AB b s
ამწნილებს	ɑ AB m t sʼ n i AB l ɛ AB b s
ამხანაგი	ɑ AB m x ɑ AB n ɑ AB ɡ i AB
ამხანაგობა	ɑ AB m x ɑ AB n ɑ AB ɡ ɔ AC b ɑ AB
ამხედრებული	ɑ AB m x ɛ AB d r ɛ AB b u AC l i AB
ამჯობინებს	ɑ AB m d ʒ ɔ AC b i AB n ɛ AB b s
ან	ɑ AB n
ანა	ɑ AB n ɑ AB
ანაბარი	ɑ AB n ɑ AB b ɑ AB r i AB
ანაბეჭდი	ɑ AB n ɑ AB b ɛ AB t ʃʼ d i AB
ანაგვიანებს	ɑ AB n ɑ AB ɡ v i AB ɑ AB n ɛ AB b s
ანათემა	ɑ AB n ɑ AB tʰ ɛ AB m ɑ AB
ანაკონდა	ɑ AB n ɑ AB kʼ ɔ AC n d ɑ AB
ანალიზი	ɑ AB n ɑ AB l i AB z i AB
ანალიზური	ɑ AB n ɑ AB l i AB z u AC r i AB
ანალიტიკოსი	ɑ AB n ɑ AB l i AB tʼ i AB kʼ ɔ AC s i AB
ანალოგი	ɑ AB n ɑ AB l ɔ AC ɡ i AB
ანალოგია	ɑ AB n ɑ AB l ɔ AC ɡ i AB ɑ AB
ანალოგიურად	ɑ AB n ɑ AB l ɔ AC ɡ i AB u AC r ɑ AB d
ანალოგიური	ɑ AB n ɑ AB l ɔ AC ɡ i AB u AC r i AB
ანალური	ɑ AB n ɑ AB l u AC r i AB
ანანასი	ɑ AB n ɑ AB n ɑ AB s i AB
ანანიძე	ɑ AB n ɑ AB n i AB d z ɛ AB
ანაოჭებს	ɑ AB n ɑ AB ɔ AC t ʃʼ ɛ AB b s
ანარქია	ɑ AB n ɑ AB r kʰ i AB ɑ AB
ანარქიზმი	ɑ AB n ɑ AB r kʰ i AB z m i AB
ანარქისტი	ɑ AB n ɑ AB r kʰ i AB s tʼ i AB
ანარქიულად	ɑ AB n ɑ AB r kʰ i AB u AC l ɑ AB d
ანარქიული	ɑ AB n ɑ AB r kʰ i AB u AC l i AB
ანატოლი	ɑ AB n ɑ AB tʼ ɔ AC l i AB
ანატომი	ɑ AB n ɑ AB tʼ ɔ AC m i AB
ანატომიურად	ɑ AB n ɑ AB tʼ ɔ AC m i AB u AC r ɑ AB d
ანატომიური	ɑ AB n ɑ AB tʼ ɔ AC m i AB u AC r i AB
ანაფილაქსია	ɑ AB n ɑ AB pʰ i AB l ɑ AB kʰ s i AB ɑ AB
ანაფორა	ɑ AB n ɑ AB pʰ ɔ AC r ɑ AB
ანაქრონიზმი	ɑ AB n ɑ AB kʰ r ɔ AC n i AB z m i AB
ანაღდებს	ɑ AB n ɑ AB ɣ d ɛ AB b s
ანახვებს	ɑ AB n ɑ AB x v ɛ AB b s
ანახშირებს	ɑ AB n ɑ AB x ʃ i AB r ɛ AB b s
ანბანი	ɑ AB n b ɑ AB n i AB
ანბანურად	ɑ AB n b ɑ AB n u AC r ɑ AB d
ანბანური	ɑ AB n b ɑ AB n u AC r i AB
ანგარება	ɑ AB n ɡ ɑ AB r ɛ AB b ɑ AB
ანგარები	ɑ AB n ɡ ɑ AB r ɛ AB b i AB
ანგარებიანი	ɑ AB n ɡ ɑ AB r ɛ AB b i AB ɑ AB n i AB
ანგარი	ɑ AB n ɡ ɑ AB r i AB
ანგარიშვალდებულება	ɑ AB n ɡ ɑ AB r i AB ʃ v ɑ AB l d ɛ AB b u AC l ɛ AB b ɑ AB
ანგარიშვალდებული	ɑ AB n ɡ ɑ AB r i AB ʃ v ɑ AB l d ɛ AB b u AC l i AB
ანგარიში	ɑ AB n ɡ ɑ AB r i AB ʃ i AB
ანგარიშიანი	ɑ AB n ɡ ɑ AB r i AB ʃ i AB ɑ AB n i AB
ანგარიშმიუცემლად	ɑ AB n ɡ ɑ AB r i AB ʃ m i AB u AC t s ɛ AB m l ɑ AB d
ანგელოზა	ɑ AB n ɡ ɛ AB l ɔ AC z ɑ AB
ანგელოზი	ɑ AB n ɡ ɛ AB l ɔ AC z i AB
ანგელოზივით	ɑ AB n ɡ ɛ AB l ɔ AC z i AB v i AB tʰ
ანგია	ɑ AB n ɡ i AB ɑ AB
ანგინა	ɑ AB n ɡ i AB n ɑ AB
ანგლიკანური	ɑ AB n ɡ l i AB kʼ ɑ AB n u AC r i AB
ანგლიციზმი	ɑ AB n ɡ l i AB t s i AB z m i AB
ანგლოსაქსური	ɑ AB n ɡ l ɔ AC s ɑ AB kʰ s u AC r i AB
ანგლოფობი	ɑ AB n ɡ l ɔ AC pʰ ɔ AC b i AB
ანგოლა	ɑ AB n ɡ ɔ AC l ɑ AB
ანგორა	ɑ AB n ɡ ɔ AC r ɑ AB
ანგრევს	ɑ AB n ɡ r ɛ AB v s
ანდაზა	ɑ AB n d ɑ AB z ɑ AB
ანდამატი	ɑ AB n d ɑ AB m ɑ AB tʼ i AB
ანდობს	ɑ AB n d ɔ AC b s
ანდომებდა	ɑ AB n d ɔ AC m ɛ AB b d ɑ AB
ანდომებს	ɑ AB n d ɔ AC m ɛ AB b s
ანდორა	ɑ AB n d ɔ AC r ɑ AB
ანდრია	ɑ AB n d r i AB ɑ AB
ანეკდოტური	ɑ AB n ɛ AB kʼ d ɔ AC tʼ u AC r i AB
ანემია	ɑ AB n ɛ AB m i AB ɑ AB
ანემიურად	ɑ AB n ɛ AB m i AB u AC r ɑ AB d
ანესთეზია	ɑ AB n ɛ AB s tʰ ɛ AB z i AB ɑ AB
ანექსია	ɑ AB n ɛ AB kʰ s i AB ɑ AB
ანთება	ɑ AB n tʰ ɛ AB b ɑ AB
ანთებითი	ɑ AB n tʰ ɛ AB b i AB tʰ i AB
ანთებს	ɑ AB n tʰ ɛ AB b s
ანთებული	ɑ AB n tʰ ɛ AB b u AC l i AB
ანთოლოგია	ɑ AB n tʰ ɔ AC l ɔ AC ɡ i AB ɑ AB
ანთრაციტი	ɑ AB n tʰ r ɑ AB t s i AB tʼ i AB
ანთროპოიდი	ɑ AB n tʰ r ɔ AC pʼ ɔ AC i AB d i AB
ანთროპოიდული	ɑ AB n tʰ r ɔ AC pʼ ɔ AC i AB d u AC l i AB
ანთროპოლოგი	ɑ AB n tʰ r ɔ AC pʼ ɔ AC l ɔ AC ɡ i AB
ანიმაციური	ɑ AB n i AB m ɑ AB t s i AB u AC r i AB
ანიმიზმი	ɑ AB n i AB m i AB z m i AB
ანისი	ɑ AB n i AB s i AB
ანისული	ɑ AB n i AB s u AC l i AB
ანკესი	ɑ AB n kʼ ɛ AB s i AB
ანომალია	ɑ AB n ɔ AC m ɑ AB l i AB ɑ AB
ანომალიური	ɑ AB n ɔ AC m ɑ AB l i AB u AC r i AB
ანომალურად	ɑ AB n ɔ AC m ɑ AB l u AC r ɑ AB d
ანონიმურად	ɑ AB n ɔ AC n i AB m u AC r ɑ AB d
ანონიმური	ɑ AB n ɔ AC n i AB m u AC r i AB
ანონიმურობა	ɑ AB n ɔ AC n i AB m u AC r ɔ AC b ɑ AB
ანონსი	ɑ AB n ɔ AC n s i AB
ანოტაცია	ɑ AB n ɔ AC tʼ ɑ AB t s i AB ɑ AB
ანტაგონიზმი	ɑ AB n tʼ ɑ AB ɡ ɔ AC n i AB z m i AB
ანტაგონისტურად	ɑ AB n tʼ ɑ AB ɡ ɔ AC n i AB s tʼ u AC r ɑ AB d
ანტარქტიდა	ɑ AB n tʼ ɑ AB r kʰ tʼ i AB d ɑ AB
ანტარქტიკული	ɑ AB n tʼ ɑ AB r kʰ tʼ i AB kʼ u AC l i AB
ანტიბიოტიკი	ɑ AB n tʼ i AB b i AB ɔ AC tʼ i AB kʼ i AB
ანტიგმირი	ɑ AB n tʼ i AB ɡ m i AB r i AB
ანტივირუსი	ɑ AB n tʼ i AB v i AB r u AC s i AB
ანტიკვარი	ɑ AB n tʼ i AB kʼ v ɑ AB r i AB
ანტიკვარული	ɑ AB n tʼ i AB kʼ v ɑ AB r u AC l i AB
ანტიკური	ɑ AB n tʼ i AB kʼ u AC r i AB
ანტიკურობა	ɑ AB n tʼ i AB kʼ u AC r ɔ AC b ɑ AB
ანტილოპა	ɑ AB n tʼ i AB l ɔ AC pʼ ɑ AB
ანტიპათია	ɑ AB n tʼ i AB pʼ ɑ AB tʰ i AB ɑ AB
ანტიპათიური	ɑ AB n tʼ i AB pʼ ɑ AB tʰ i AB u AC r i AB
ანტისხეული	ɑ AB n tʼ i AB s x ɛ AB u AC l i AB
ანტიციკლონი	ɑ AB n tʼ i AB t s i AB kʼ l ɔ AC n i AB
ანტონი	ɑ AB n tʼ ɔ AC n i AB
ანტონიმი	ɑ AB n tʼ ɔ AC n i AB m i AB
ანტრაქტი	ɑ AB n tʼ r ɑ AB kʰ tʼ i AB
ანტრესოლი	ɑ AB n tʼ r ɛ AB s ɔ AC l i AB
ანტურაჟი	ɑ AB n tʼ u AC r ɑ AB ʒ i AB
ანუგეშებს	ɑ AB n u AC ɡ ɛ AB ʃ ɛ AB b s
ანძა	ɑ AB n d z ɑ AB
ანძრევს	ɑ AB n d z r ɛ AB v s
ანჯამა	ɑ AB n d ʒ ɑ AB m ɑ AB
აოთხმაგებს	ɑ AB ɔ AC tʰ x m ɑ AB ɡ ɛ AB b s
აორისტი	ɑ AB ɔ AC r i AB s tʼ i AB
აორტა	ɑ AB ɔ AC r tʼ ɑ AB
აპათია	ɑ AB pʼ ɑ AB tʰ i AB ɑ AB
აპათიურად	ɑ AB pʼ ɑ AB tʰ i AB u AC r ɑ AB d
აპათიური	ɑ AB pʼ ɑ AB tʰ i AB u AC r i AB
აპარატად	ɑ AB pʼ ɑ AB r ɑ AB tʼ ɑ AB d
აპარატი	ɑ AB pʼ ɑ AB r ɑ AB tʼ i AB
აპარატით	ɑ AB pʼ ɑ AB r ɑ AB tʼ i AB tʰ
აპარატის	ɑ AB pʼ ɑ AB r ɑ AB tʼ i AB s
აპარატმა	ɑ AB pʼ ɑ AB r ɑ AB tʼ m ɑ AB
აპარატო	ɑ AB pʼ ɑ AB r ɑ AB tʼ ɔ AC
აპარატს	ɑ AB pʼ ɑ AB r ɑ AB tʼ s
აპატიებს	ɑ AB pʼ ɑ AB tʼ i AB ɛ AB b s
აპენდიქსი	ɑ AB pʼ ɛ AB n d i AB kʰ s i AB
აპენდიციტი	ɑ AB pʼ ɛ AB n d i AB t s i AB tʼ i AB
აპირებს	ɑ AB pʼ i AB r ɛ AB b s
აპკოვანი	ɑ AB pʼ kʼ ɔ AC v ɑ AB n i AB
აპლიკაცია	ɑ AB pʼ l i AB kʼ ɑ AB t s i AB ɑ AB
აპლოდისმენტი	ɑ AB pʼ l ɔ AC d i AB s m ɛ AB n tʼ i AB
აპლომბი	ɑ AB pʼ l ɔ AC m b i AB
აპნისი	ɑ AB pʼ n i AB s i AB
აპოგეა	ɑ AB pʼ ɔ AC ɡ ɛ AB ɑ AB
აპოკალიფსი	ɑ AB pʼ ɔ AC kʼ ɑ AB l i AB pʰ s i AB
აპოკალიფსური	ɑ AB pʼ ɔ AC kʼ ɑ AB l i AB pʰ s u AC r i AB
აპოკრიფული	ɑ AB pʼ ɔ AC kʼ r i AB pʰ u AC l i AB
აპოლოგეტი	ɑ AB pʼ ɔ AC l ɔ AC ɡ ɛ AB tʼ i AB
აპოლოგეტიკა	ɑ AB pʼ ɔ AC l ɔ AC ɡ ɛ AB tʼ i AB kʼ ɑ AB
აპრილად	ɑ AB pʼ r i AB l ɑ AB d
აპრილი	ɑ AB pʼ r i AB l i AB
აპრილით	ɑ AB pʼ r i AB l i AB tʰ
აპრილის	ɑ AB pʼ r i AB l i AB s
აპრილმა	ɑ AB pʼ r i AB l m ɑ AB
აპრილს	ɑ AB pʼ r i AB l s
აპრიორი	ɑ AB pʼ r i AB ɔ AC r i AB
აპრიორული	ɑ AB pʼ r i AB ɔ AC r u AC l i AB
არ	ɑ AB r
არა	ɑ AB r ɑ AB
არაადეკვატურად	ɑ AB r ɑ AB ɑ AB d ɛ AB kʼ v ɑ AB tʼ u AC r ɑ AB d
არაადეკვატური	ɑ AB r ɑ AB ɑ AB d ɛ AB kʼ v ɑ AB tʼ u AC r i AB
არააკურატულად	ɑ AB r ɑ AB ɑ AB kʼ u AC r ɑ AB tʼ u AC l ɑ AB d
არაარსებითი	ɑ AB r ɑ AB ɑ AB r s ɛ AB b i AB tʰ i AB
არაბესკები	ɑ AB r ɑ AB b ɛ AB s kʼ ɛ AB b i AB
არაბი	ɑ AB r ɑ AB b i AB
არაბინარული	ɑ AB r ɑ AB b i AB n ɑ AB r u AC l i AB
არაბისტი	ɑ AB r ɑ AB b i AB s tʼ i AB
არაბიძე	ɑ AB r ɑ AB b i AB d z ɛ AB
არაბული	ɑ AB r ɑ AB b u AC l i AB
არაბუნებრივად	ɑ AB r ɑ AB b u AC n ɛ AB b r i AB v ɑ AB d
არაბუნებრივი	ɑ AB r ɑ AB b u AC n ɛ AB b r i AB v i AB
არაგონებამახვილურად	ɑ AB r ɑ AB ɡ ɔ AC n ɛ AB b ɑ AB m ɑ AB x v i AB l u AC r ɑ AB d
არაგონივრულად	ɑ AB r ɑ AB ɡ ɔ AC n i AB v r u AC l ɑ AB d
არაგონივრული	ɑ AB r ɑ AB ɡ ɔ AC n i AB v r u AC l i AB
არაგრამატიკულად	ɑ AB r ɑ AB ɡ r ɑ AB m ɑ AB tʼ i AB kʼ u AC l ɑ AB d
არაგულწრფელად	ɑ AB r ɑ AB ɡ u AC l t sʼ r pʰ ɛ AB l ɑ AB d
არაგულწრფელი	ɑ AB r ɑ AB ɡ u AC l t sʼ r pʰ ɛ AB l i AB
არადა	ɑ AB r ɑ AB d ɑ AB
არადამაკმაყოფილებლად	ɑ AB r ɑ AB d ɑ AB m ɑ AB kʼ m ɑ AB qʼ ɔ AC pʰ i AB l ɛ AB b l ɑ AB d
