ँ	ə̃
अरमान	ə ɾ m ä̃ː n̪
अरविंद	ə ɾ ʋ ɪ̃ n̪ d̪
अरसा	ə ɾ s̪ äː
अरस्तू	ə ɾ ə s̪ t̪ uː
अराजक	ə ɾ äː d ʒ ə k
अराजकता	ə ɾ äː d ʒ ə k t̪ äː
अराजकवाद	ə ɾ äː d ʒ ə k w äː d̪
अराजकवादी	ə ɾ äː d ʒ ə k w äː d̪ iː
अरारोट	ə ɾ äː ɾ oː ʈ
अरिहंत	ə ɾ ɪ ɦ ə̃ n̪ t̪
अरोरा	ə ɾ oː ɾ äː
अर्जन	ə ɾ d ʒ ə̃ n̪
अर्जुन	ə ɾ d ʒ ʊ̃ n̪
अर्जेंटीना	ə ɾ d ʒ ẽː ɳ ʈ iː n̪ äː
अर्जेण्टीना	ə ɾ d ʒ ẽː ɳ ʈ iː n̪ äː
अर्जेन्टीना	äː ɾ d ʒ ẽː ɳ ʈ iː n̪ äː
अर्थव्यवस्था	ə ɾ t̪ʰ ə ʋ j ə ʋ ə s̪ t̪ʰ äː
अर्थशास्त्री	ə ɾ t̪ʰ ə ʃ äː s̪ t̪ ɾ iː
अर्थहीन	ə ɾ t̪ʰ ɦ ĩː n̪
अर्थात	ə ɾ t̪ʰ äː t̪
अर्थात्	ə ɾ t̪ʰ äː t̪
अर्थालंकार	ə ɾ t̪ʰ äː l̪ ə̃ ŋ k äː ɾ
अर्दली	ə ɾ d̪ ə l̪ iː
अर्धकुशल	ə ɾ d̪ʱ k ʊ ʃ ə l̪
अर्धतत्सम	ə ɾ d̪ʱ ə t̪ ə t̪ s̪ ə̃ m
अर्धवार्षिक	ə ɾ d̪ʱ ʋ äː ɾ ʃ ɪ k
अर्धविकसित	ə ɾ d̪ʱ ʋ ɪ k s̪ ɪ t̪
अर्धशिक्षित	ə ɾ d̪ʱ ʃ ɪ k ʃ ɪ t̪
अर्धसरकारी	ə ɾ d̪ʱ s̪ ə ɾ k äː ɾ iː
अर्धसाप्ताहिक	ə ɾ d̪ʱ s̪ äː p t̪ äː ɦ ɪ k
अर्धांगिनी	ə ɾ d̪ʱ ä̃ː ŋ ɡ ɪ n̪ iː
अर्धायु	ə ɾ d̪ʱ äː j uː
अर्पण	ə ɾ p ə̃ ɳ
अर्यमा	ə ɾ j ə m äː
अलंकार	ə l̪ ə̃ ŋ k äː ɾ
अलंकृत	ə l̪ ə̃ ŋ k ɾ ɪ t̪
अलक़तरा	ə l̪ q ə t̪ ɾ äː
अलगाना	ə l̪ ɡ äː n̪ äː
अलगाव	ə l̪ ɡ äː ʋ
अलगाववाद	ə l̪ ɡ äː ʋ ʋ äː d̪
अलगाववादी	ə l̪ ɡ äː ʋ ʋ äː d̪ iː
अलबता	ə l̪ b ə t̪ äː
अलबत्ता	ə l̪ b ə t̪̚ t̪ äː
अलबम	ə l̪ b ə̃ m
अलम	ə l̪ ə̃ m
अलमारी	ə l̪ m äː ɾ iː
अलम्	ə l̪ ə̃ m
अलविदा	ə l̪ ʋ ɪ d̪ äː
अलसाना	ə l̪ s̪ äː n̪ äː
अलहदा	ə l̪ ɛ ɦ d̪ äː
अलादीन	ə l̪ äː d̪ ĩː n̪
अलापना	ə l̪ äː p n̪ äː
अलार्म	ə l̪ ɑː ɾ ə m
अलाव	ə l̪ äː ʋ
अलि	ə l̪ iː
अलिखित	ə l̪ ɪ kʰ ɪ t̪
अलीगढ	ə l̪ iː ɡ ə ɽʱ
अलीगढ़	ə l̪ iː ɡ ə ɽʱ
अलोना	ə l̪ oː n̪ äː
अल्जीरिया	ə l̪ d ʒ iː ɾ i j äː
अल्टीमेटम	ə l̪ ʈ iː m eː ʈ ə̃ m
अल्पकारी	ə l̪ p ə k äː ɾ iː
अल्पसंख्यक	ə l̪ p s̪ ə̃ ŋ kʰ j ə k
अल्पावस्था	ə l̪ p äː ʋ ə s̪ t̪ʰ äː
अल्पाहार	ə l̪ p äː ɦ äː ɾ
अल्फ़ा	ə l̪ pʰ äː
अल्फ़ाज़	ə l̪ pʰ äː d ʒ
अल्बम	ə l̪ b ə̃ m
अल्बानियन	ə l̪ b äː n̪ i j ə̃ n̪
अल्बानिया	ə l̪ b äː n̪ i j äː
अल्लाह	ə l̪ l̪ äː ɦ
अल्हड़	ə l̪ ɦ ə ɽ
अवकलज	ə ʋ k ə l̪ ə d ʒ
अवकलन	ə ʋ k ə l̪ ə̃ n̪
अवकलनीय	ə ʋ k ə l̪ ə n̪ iː j
अवक्षयण	ə ʋ k ʃ ə j ə̃ ɳ
अवक्षेपण	ə ʋ k ʃ eː p ə̃ ɳ
अवगुण	ə ʋ ɡ ʊ̃ ɳ
अवज्ञा	ə ʋ ə ɡ j äː
अवतल	ə ʋ t̪ ə l̪
अवतार	ə ʋ t̪ äː ɾ
अवधारण	ə ʋ d̪ʱ äː ɾ ə̃ ɳ
अवधारणा	ə ʋ d̪ʱ äː ɾ ɳ äː
अवनति	ə ʋ n̪ ə t̪ iː
अवपंक	ə ʋ p ə̃ ŋ k
अवयस्क	ə ʋ ə j ə s̪ k
अवलंब	ə ʋ l̪ ə̃ m b
अवलोकन	ə ʋ l̪ oː k ə̃ n̪
अवशोषण	ə ʋ ʃ oː ʃ ə̃ ɳ
अवशोषित	ə ʋ ʃ oː ʃ ɪ t̪
अवसंरचना	ə ʋ s̪ ə̃ ɾ ə t ʃ n̪ äː
अवसर	ə ʋ s̪ ə ɾ
अवस्था	ə ʋ ə s̪ t̪ʰ äː
अवहेलना	ə ʋ ɦ eː l̪ n̪ äː
अवांछित	ə ʋ ä̃ː n̪ t ʃʰ ɪ t̪
अवाई	ə ʋ äː iː
अवाक्	ə ʋ äː k
अवाम	ə ʋ ä̃ː m
अवार्ड	ə ʋ äː ɾ ɖ
अविकसित	ə ʋ ɪ k s̪ ɪ t̪
अविकारी	ə ʋ ɪ k äː ɾ iː
अविचल	ə ʋ ɪ t ʃ ə l̪
अविच्छिन्न	ə ʋ ɪ t̚ t ʃʰ ɪ̃ n̪ n̪
अविनय	ə ʋ ɪ n̪ ə j
अविनीत	ə ʋ ɪ n̪ iː t̪
अविलंब	ə ʋ ɪ l̪ ə̃ m b
अविवाहित	ə ʋ ɪ ʋ äː ɦ ɪ t̪
अविश्वास	ə ʋ ɪ ʃ ʋ äː s̪
अविश्वासनीय	ə ʋ ɪ ʃ ʋ äː s̪ n̪ iː j
अविस्मरणीय	ə ʋ ɪ s̪ m ə ɾ ə ɳ iː j
अवैतनिक	ʋ ɛː t̪ ə n̪ ɪ k
अवोकाडो	ə ʋ oː k äː ɖ oː
अव्यवस्था	ə ʋ j ə ʋ ə s̪ t̪ʰ äː
अव्यावहारिक	ə ʋ j äː ʋ ɦ äː ɾ ɪ k
अव्वल	ə ʋ ʋ ə l̪
अशांत	ə ʃ ä̃ː n̪ t̪
अशांति	ə ʃ ä̃ː n̪ t̪ iː
अशान्ति	ə ʃ ä̃ː n̪ t̪ iː
अशिष्टता	ə ʃ ɪ ʃ ʈ t̪ äː
अशुद्धि	ə ʃ ʊ d̪̚ d̪ʱ iː
अश्लील	ə ʃ l̪ iː l̪
अश्लीलता	ə ʃ l̪ iː l̪ t̪ äː
अश्विनी	ə ʃ ʋ ɪ n̪ iː
अष्टकोण	ə ʂ ʈ k õː ɳ
असंख्य	ə s̪ ə̃ ŋ kʰ j
असंगत	ə s̪ ə̃ ŋ ɡ ə t̪
असंगति	ə s̪ ə̃ ŋ ɡ ə t̪ iː
असंतुष्ट	ə s̪ ə̃ n̪ t̪ ʊ ʂ ʈ
असंतोष	ə s̪ ə̃ n̪ t̪ oː ʃ
असंतोषजनक	ə s̪ ə̃ n̪ t̪ oː ʃ d ʒ ə n̪ ə k
असंभव	ə s̪ ə̃ m bʱ ə ʋ
असंभावित	ə s̪ ə̃ m bʱ äː ʋ ɪ t̪
असंवेदनशील	ə s̪ ə̃ m w eː d̪ ə̃ n̪ ʃ iː l̪
असंवैधानिक	ə s̪ ə̃ m w ɛː d̪ʱ äː n̪ ɪ k
असत्य	ə s̪ ə t̪ j
असत्याभास	ə s̪ ə t̪ j äː bʱ äː s̪
असफल	ə s̪ ə pʰ ə l̪
असफलता	ə s̪ ə pʰ ə l̪ t̪ äː
असबाब	ə s̪ b äː b
असभ्य	ə s̪ ə bʱ j
असभ्यता	ə s̪ ə bʱ j ə t̪ äː
असम	ə s̪ ə̃ m
असमंजस	ə s̪ ə m ə̃ n̪ d ʒ ə s̪
असमय	ə s̪ ə m ə j
असमर्थ	ə s̪ ə m ə ɾ t̪ʰ
असमर्थता	ə s̪ ə m ə ɾ t̪ʰ t̪ äː
असमान	ə s̪ ə m ä̃ː n̪
असमानता	ə s̪ ə m ä̃ː n̪ t̪ äː
असमाप्त	ə s̪ ə m äː p t̪
असमीकरण	ə s̪ ə m iː k ə ɾ ə̃ ɳ
असम्भव	ə s̪ ə̃ m bʱ ə ʋ
असर	ə s̪ ə ɾ
असल	ə s̪ ə l̪
असलियत	ə s̪ l̪ i j ə t̪
असली	ə s̪ l̪ iː
असहमत	ə s̪ ɛ ɦ m ə t̪
असहमति	ə s̪ ɛ ɦ m ə t̪ iː
असहयोग	ə s̪ ɛ ɦ j oː ɡ
असहाय	ə s̪ ɦ äː j
असहिष्णु	ə s̪ ə ɦ ɪ ʃ ɳ uː
असहिष्णुता	ə s̪ ə ɦ ɪ ʃ ɳ ʊ t̪ äː
असह्य	ə s̪ ɛ ɦ j
असाढ़	ə s̪ äː ɽʱ
असाधारण	ə s̪ äː d̪ʱ äː ɾ ə̃ ɳ
असाध्य	ə s̪ äː d̪ʱ j
असामयिक	ə s̪ äː m ə j ɪ k
असामाजिक	ə s̪ äː m äː d ʒ ɪ k
असामान्य	ə s̪ äː m ä̃ː n̪ j
असार	ə s̪ äː ɾ
असावधान	ə s̪ äː ʋ d̪ʱ ä̃ː n̪
असावधानता	ə s̪ äː ʋ d̪ʱ ä̃ː n̪ t̪ äː
असिस्टेंट	ə s̪ ɪ s̪ ʈ ẽː ɳ ʈ
असीम	ə s̪ ĩː m
असीस	ə s̪ iː s̪
असुंदर	ə s ʊ̃ n̪ d̪ ə ɾ
असुरक्षित	ə s̪ ʊ ɾ ə k ʃ ɪ t̪
असुविधा	ə s̪ ʊ ʋ ɪ d̪ʱ äː
असुविधाजनक	ə s̪ ʊ ʋ ɪ d̪ʱ äː d ʒ ə n̪ ə k
असेंबली	ə s̪ ẽː m b l̪ iː
असैनिक	ə s̪ ɛː n̪ ɪ k
अस्तबल	ə s̪ t̪ ə b ə l̪
अस्तर	ə s̪ t̪ ə ɾ
अस्तव्यस्त	ə s̪ t̪ w j ə s̪ t̪
अस्तित्व	ə s̪ t̪ ɪ t̪ w
अस्थमा	ə s̪ t̪ʰ ə m äː
अस्थायी	ə s̪ t̪ʰ äː j iː
अस्थि	ə s̪ t̪ʰ iː
अस्थिपंजर	ə s̪ t̪ʰ ɪ p ə̃ n̪ d ʒ ə ɾ
अस्थिर	ə s̪ t̪ʰ ɪ ɾ
अस्थिरता	ə s̪ t̪ʰ ɪ ɾ t̪ äː
अस्पताल	ə s̪ p ə t̪ äː l̪
अस्पताली	ə s̪ p ə t̪ äː l̪ iː
अस्पष्ट	ə s̪ p ə ʂ ʈ
अस्पष्टता	ə s̪ p ə ʃ ʈ ə t̪ äː
अस्पृश्य	ə s̪ p ɾ ɪ ʃ j
अस्पृश्यता	ə s̪ p ɾ ɪ ʃ j ə t̪ äː
अस्मिता	ə s̪ m ɪ t̪ äː
अस्वस्थ	ə s̪ ʋ ə s̪ t̪ʰ
अस्वस्थता	ə s̪ ʋ ə s̪ t̪ʰ ə t̪ äː
अस्वाभाविक	ə s̪ ʋ äː bʱ äː ʋ ɪ k
अस्वीकार	ə s̪ ʋ iː k äː ɾ
अस्वीकृत	ə s̪ ʋ iː k ɾ ɪ t̪
अस्वीकृति	ə s̪ ʋ iː k ɾ ɪ t̪ iː
अस्सी	ə s̪ s̪ iː
अहं	ɛ ɦ ɛ̃ m
अहंकार	ɛ ɦ ɛ̃ ŋ k äː ɾ
अहबाब	ɛ ɦ b äː b
अहम	ɛ ɦ ɛ̃ m
अहमदाबाद	ɛ ɦ m ə d̪ äː b äː d̪
अहमियत	ɛ ɦ m i j ə t̪
अहवाल	ɛ ɦ ʋ äː l̪
अहसास	ɛ ɦ s̪ äː s̪
अहाता	ə ɦ äː t̪ äː
अहिंदी	ə ɦ ɪ̃ n̪ d̪ iː
अहिंसक	ə ɦ ɪ̃ n̪ s̪ ə k
अहिंसा	ə ɦ ɪ̃ n̪ s̪ äː
अहिंसात्मक	ə ɦ ɪ̃ n̪ s̪ äː t̪ m ə k
अहिच्छत्र	ə ɦ ɪ t̚ t ʃʰ ə t̪ ɾ
अहिनाह	ə ɦ ɪ n̪ äː ɦ
अहिर्बुश्न	ə ɦ ɪ ɾ b ʊ ʃ n̪
अहिवात	ə ɦ ɪ ʋ äː t̪
अहिवाद	ə ɦ ɪ ʋ äː d̪
अहेरन	ə ɦ eː ɾ ə̃ n̪
अहोभाग्य	ə ɦ oː bʱ äː ɡ j
आ	äː
आँकड़ा	ä̃ː k ɽ äː
आँख	ä̃ː kʰ
आँगन	ä̃ː ɡ ə̃ n̪
आँगनवाड़ी	ä̃ː ŋ ɡ ə̃ n̪ w äː ɽ iː
आँच	ä̃ː t ʃ
आँचलिक	ä̃ː t ʃ l̪ ɪ k
आँत	ä̃ː t̪
आँधी	ä̃ː n̪ d̪ʱ iː
आँसू	ä̃ː s̪ uː
आंगन	ä̃ː ɡ ə̃ n̪
आंग्ल	ä̃ː ŋ ɡ l̪
आंत	ä̃ː n̪ t̪
आंतरिक	ä̃ː n̪ t̪ ɾ ɪ k
आंदोलन	ä̃ː n̪ d̪ oː l̪ ə̃ n̪
आंधी	ä̃ː n̪ d̪ʱ iː
आंवला	ä̃ː m w l̪ äː
आंशिक	ä̃ː n̪ ʃ ɪ k
आंसू	ä̃ː n̪ s̪ uː
आइंदा	äː ɪ̃ n̪ d̪ äː
आइंस्टीनियम	äː ɪ̃ n̪ s̪ ʈ iː n̪ i j ə̃ m
आइज़ोल	äː ɪ z oː l̪
आइसक्रीम	äː ɪ s̪ k ɾ ĩː m
आइसलैंड	äː ɪ s̪ l̪ ɛ̃ː ɳ ɖ
आइस्ड	äː ɪ s̪ ɖ
आई	äː iː
आईना	aː iː n aː
आईला	äː iː l̪ äː
आउट	äː ʊ ʈ
आक	äː k
आकर्षक	äː k ə ɾ ʃ ə k
आकर्षण	äː k ə ɾ ʃ ə̃ ɳ
आकर्षित	äː k ə ɾ ʃ ɪ t̪
आकर्षी	äː k ə ɾ ʃ iː
आकलन	äː k ə l̪ ə̃ n̪
आकस्मिक	äː k ə s̪ m ɪ k
आक़ा	äː q äː
आकांक्षा	äː k ä̃ː k ʃ äː
आकांक्षी	äː k ä̃ː k ʃ iː
आकार	äː k äː ɾ
आकाश	äː k äː ʃ
आकाशगंगा	äː k äː ʃ ɡ ə̃ ŋ ɡ äː
आकाशवाणी	äː k äː ʃ ʋ äː ɳ iː
आकाशी	äː k äː ʃ iː
आकृत	äː k ɾ ɪ t̪
आकृति	äː k ɾ ɪ t̪ iː
आकृष्ट	äː k ɾ ɪ ʂ ʈ
आक्रमण	äː k ɾ ə m ə̃ ɳ
आक्रमणकारी	äː k ɾ ə m ə̃ ɳ k äː ɾ iː
आक्रामक	äː k ɾ äː m ə k
आक्रामकता	äː k ɾ äː m ə k t̪ äː
आक्रोश	äː k ɾ oː ʃ
आक्षेप	äː k ʃ eː p
आखरी	äː x ɾ iː
आख़िर	äː x ɪ ɾ
आख़िरकार	äː x ɪ ɾ k äː ɾ
आख़िरत	äː x ɪ ɾ ə t̪
आख़िरी	äː x ɾ iː
आखातीज	äː kʰ äː t̪ iː d ʒ
आखिर	äː x ɪ ɾ
आखिरी	äː kʰ ɪ ɾ iː
आखेट	äː kʰ eː ʈ
आखेटक	äː kʰ eː ʈ ə k
आग	äː ɡ
आगंतुक	äː ɡ ə̃ n̪ t̪ ʊ k
आगजनी	äː ɡ d ʒ ə n̪ iː
आगज़नी	äː ɡ z ə n̪ iː
आगमन	äː ɡ ə m ə̃ n̪
आगरा	äː ɡ ɾ äː
आग़ा	äː ɣ äː
आग़ाज़	äː ɣ äː z
आग़ोश	äː ɣ oː ʃ
आगा	äː ɡ äː
आगार	äː ɡ äː ɾ
आगाह	äː ɡ äː ɦ
आगाही	äː ɡ äː ɦ iː
आगे	äː ɡ eː
आग्नेय	äː ɡ n̪ eː j
आग्नेयास्त्र	äː ɡ n̪ eː j äː s̪ t̪ ɾ
आग्रह	äː ɡ ɾ ə ɦ
आग्रहपूर्वक	äː ɡ ɾ ɛ ɦ p uː ɾ ʋ ə k
आघ	äː ɡʱ
आघात	äː ɡʱ äː t̪
आघातपूर्ण	äː ɡʱ äː t̪ p uː ɾ ɳ
आचरण	äː t ʃ ə ɾ ə̃ ɳ
आचार	äː t ʃ äː ɾ
आचार्य	äː t ʃ äː ɾ j
आछा	äː t ʃʰ äː
आज	äː d ʒ
आजमाइश	äː d ʒ m äː ɪ ʃ
आजमाना	äː z m äː n̪ äː
आज़माइश	äː z m äː ɪ ʃ
आज़माना	äː z m äː n̪ äː
आज़र्बैजान	äː z ə ɾ b ɛː d ʒ ä̃ː n̪
आज़ाद	äː z äː d̪
आज़ार	äː z äː ɾ
आजाद	äː d ʒ äː d̪
आजादी	äː d ʒ äː d̪ iː
आजीवन	äː d ʒ iː ʋ ə̃ n̪
आजीविका	äː d ʒ iː ʋ ɪ k äː
आज्ञा	äː ɡ j äː
आटा	äː ʈ äː
आटिचोक	äː ʈ ɪ t ʃ oː k
आठ	äː ʈʰ
आठवाँ	äː ʈʰ ʋ ä̃ː
आडंबर	äː ɖ ə̃ m b ə ɾ
आडवाणी	äː ɖ w äː ɳ iː
आड़	äː ɽ
आड़ा	äː ɽ äː
आड़ू	äː ɽ uː
आण्विक	ä̃ː ɳ w ɪ k
आतंकमय	äː t̪ ə̃ ŋ k m ə j
आतंकवाद	äː t̪ ə̃ ŋ k w äː d̪
आतंकवादी	äː t̪ ə̃ ŋ k w äː d̪ iː
आतंकित	äː t̪ ə̃ ŋ k ɪ t̪
आततायी	äː t̪ ə t̪ äː j iː
आतमीयता	äː t̪ m iː j t̪ äː
आतिश	äː t̪ ɪ ʃ
आतिशबाज़ी	äː t̪ ɪ ʃ b äː z iː
आतिशबाजी	äː t̪ ɪ ʃ b äː z iː
आतुर	äː t̪ ʊ ɾ
आतुरता	äː t̪ ʊ ɾ t̪ äː
आत्मकथा	äː t̪ m k ə t̪ʰ äː
आत्मघात	äː t̪ m ə ɡʱ äː t̪
आत्मघाती	äː t̪ m ə ɡʱ äː t̪ iː
आत्मज्ञान	äː t̪ m ə ɡ j ä̃ː n̪
आत्मत्याग	äː t̪ m ə t̪ j äː ɡ
आत्मनिंदा	äː t̪ m ə n̪ ɪ̃ n̪ d̪ äː
आत्मनिर्णय	äː t̪ m ə n̪ ɪ ɾ ɳ ə j
आत्मनिर्भर	äː t̪ m ə n̪ ɪ ɾ bʱ ə ɾ
आत्मनिर्भरता	äː t̪ m ə n̪ ɪ ɾ bʱ ə ɾ t̪ äː
आत्मप्रशंसा	äː t̪ m ə p ɾ ə ʃ ə̃ n̪ s̪ äː
आत्मबलिदान	äː t̪ m ə b ə l̪ ɪ d̪ ä̃ː n̪
आत्मबोध	äː t̪ m ə b oː d̪ʱ
आत्मरक्षा	äː t̪ m ə ɾ ə k ʃ äː
आत्मविश्वास	äː t̪ m ə ʋ ɪ ʃ ʋ äː s̪
आत्मसंतोष	äː t̪ m ə s̪ ə̃ n̪ t̪ oː ʃ
आत्मसंमान	äː t̪ m ə s̪ ə̃ m m ä̃ː n̪
आत्मसमर्पण	äː t̪ m s̪ ə m ə ɾ p ə̃ ɳ
आत्मसात	äː t̪ m ə s̪ äː t̪
आत्मसात्	äː t̪ m ə s̪ äː t̪
आत्मस्तुति	äː t̪ m ə s̪ t̪ ʊ t̪ iː
आत्महत्या	äː t̪ m ɦ ə t̪ j äː
आत्मा	äː t̪ m äː
आत्माभिमान	äː t̪ m äː bʱ ɪ m ä̃ː n̪
आत्मिक	äː t̪ m ɪ k
आत्मीय	äː t̪ m iː j
आत्मीयता	äː t̪ m iː j t̪ äː
आत्मोद्धार	äː t̪ m oː d̪̚ d̪ʱ äː ɾ
आदत	äː d̪ ə t̪
आदतन	äː d̪ ə t̪ ə̃ n̪
आदम	äː d̪ ə̃ m
आदमी	äː d̪ m iː
आदर	äː d̪ ə ɾ
आदरणीय	äː d̪ ə ɾ ɳ iː j
आदरपूर्वक	äː d̪ ə ɾ p uː ɾ ʋ ə k
आदर्श	äː d̪ ə ɾ ʃ
आदा	äː d̪ äː
आदान	äː d̪ ä̃ː n̪
आदाब	äː d̪ äː b
आदि	äː d̪ iː
आदिभाषा	äː d̪ ɪ bʱ äː ʃ äː
आदिम	äː d̪ ɪ̃ m
आदिवासी	äː d̪ ɪ ʋ äː s̪ iː
आदी	äː d̪ iː
आदेश	äː d̪ eː ʃ
आध	äː d̪ʱ
आधा	äː d̪ʱ äː
आधार	äː d̪ʱ äː ɾ
आधारभूत	äː d̪ʱ äː ɾ bʱ uː t̪
आधारित	äː d̪ʱ äː ɾ ɪ t̪
आधिक	äː d̪ʱ ɪ k
आधिकारिक	äː d̪ʱ ɪ k äː ɾ ɪ k
आधिक्य	äː d̪ʱ ɪ k j
आधिपत्य	äː d̪ʱ ɪ p ə t̪ j
आधुनिक	äː d̪ʱ ʊ n̪ ɪ k
आधुनिकतम	äː d̪ʱ ʊ n̪ ɪ k t̪ ə̃ m
आधुनिकता	äː d̪ʱ ʊ n̪ ɪ k t̪ äː
आधुनिकीकरण	äː d̪ʱ ʊ n̪ ɪ k iː k ə ɾ ə̃ ɳ
आध्यात्मिक	äː d̪ʱ j äː t̪ m ɪ k
आन	ä̃ː n̪
आनंद	äː n̪ ə̃ n̪ d̪
आनंददायी	äː n̪ ə̃ n̪ d̪ d̪ äː j iː
आनंदमय	äː n̪ ə̃ n̪ d̪ m ə j
आनन	äː n̪ ə̃ n̪
आनरेरी	ä̃ː n̪ ɾ eː ɾ iː
आना	äː n̪ äː
आनुवंशिकी	äː n̪ ʊ ʋ ə̃ n̪ ʃ ɪ k iː
आन्दोलन	ä̃ː n̪ d̪ oː l̪ ə̃ n̪
आप	äː p
आपका	äː p k äː
आपत्ति	äː p ə t̪̚ t̪ iː
आपत्तिजनक	äː p ə t̪̚ t̪ iː d ʒ ə n̪ ə k
आपदा	äː p d̪ äː
आपबीती	äː p̚ b iː t̪ iː
आपस	äː p ə s̪
आपसदारी	äː p ə s̪ d̪ äː ɾ iː
आपसी	äː p s̪ iː
आपा	äː p äː
आपात	äː p äː t̪
आपातकाल	äː p äː t̪ k äː l̪
आपाधापी	äː p äː d̪ʱ äː p iː
आपूर्ति	äː p uː ɾ t̪ iː
आपेक्षिक	äː p eː k ʃ ɪ k
आप्रवास	äː p ɾ ə ʋ äː s̪
आप्रवासी	äː p ɾ ə ʋ äː s̪ iː
आफत	äː pʰ ə t̪
आफताब	äː pʰ t̪ äː b
आफ़त	äː pʰ ə t̪
आफ़ताब	äː pʰ t̪ äː b
आफ़रीन	äː pʰ ɾ ĩː n̪
आफ़्रीदी	äː pʰ ɾ iː d̪ iː
आफिस	äː pʰ ɪ s̪
आब	äː b
आबकारी	äː b k äː ɾ iː
आबदस्त	äː b d̪ ə s̪ t̪
आबरू	äː b ɾ uː
आबला	äː b l̪ äː
आभास	äː bʱ äː s̪
आभूषण	äː bʱ uː ʃ ə̃ ɳ
आम	ä̃ː m
आमंत्रण	äː m ə̃ n̪ t̪ ɾ ə̃ ɳ
आमंत्रित	äː m ə̃ n̪ t̪ ɾ ɪ t̪
आमदनी	äː m ə d̪̚ n̪ iː
आमवात	ä̃ː m w äː t̪
आमाशय	äː m äː ʃ ə j
आमिक्षा	äː m ɪ k ʃ äː
आमुख	äː m ʊ kʰ
आय	äː j
आयत	äː j ə t̪
आयतन	äː j t̪ ə̃ n̪
आयन	äː j ə̃ n̪
आयरलैंड	äː j ə ɾ l̪ ɛ̃ː ɳ ɖ
आया	äː j äː
आयात	äː j äː t̪
आयातक	äː j äː t̪ ə k
आयातकर्ता	äː j äː t̪ k ə ɾ t̪ äː
आयाम	äː j ä̃ː m
आयु	äː j uː
आयुक्त	äː j ʊ k t̪
आयुर्विज्ञान	äː j ʊ ɾ ʋ ɪ ɡ j ä̃ː n̪
आयुर्वेद	äː j ʊ ɾ ʋ eː d̪
आयोग	äː j oː ɡ
आयोजन	äː j oː d ʒ ə̃ n̪
आयोजित	äː j oː d ʒ ɪ t̪
आरंभिक	äː ɾ ə̃ m bʱ ɪ k
आरक्षण	äː ɾ ə k ʃ ə̃ ɳ
आरज़ू	äː ɾ z uː
आरा	äː ɾ äː
आराम	ɑː ɾ ɑː m
आरामगाह	äː ɾ ä̃ː m ɡ äː ɦ
आरामदेह	äː ɾ ä̃ː m d̪ eː ɦ
आरोग्य	äː ɾ oː ɡ j
आरोप	äː ɾ oː p
आर्जेंटीना	äː ɾ d ʒ ẽː ɳ ʈ iː n̪ äː
आर्थिक	äː ɾ t̪ʰ ɪ k
आर्थिकी	äː ɾ t̪ʰ ɪ k iː
आर्द्र	äː ɾ d̪ ɾ
आर्मीनिया	äː ɾ m iː n̪ i j äː
आर्मेनियन	äː ɾ m eː n̪ i j ə̃ n̪
आर्मेनिया	äː ɾ m eː n̪ i j äː
आर्य	äː ɾ j
आर्यन	äː ɾ j ə̃ n̪
आर्यमन	äː ɾ j ə m ə̃ n̪
आलपीन	äː l̪ p ĩː n̪
आलप्पुष़ा	äː l̪ ə p̚ p ʊ ɭ äː
आलम	äː l̪ ə̃ m
आलय	äː l̪ ə j
आलस	äː l̪ ə s̪
आलसी	äː l̪ s̪ iː
आलस्य	äː l̪ ə s̪ j
आला	äː l̪ äː
आलिम	äː l̪ ɪ̃ m
आलीशान	äː l̪ iː ʃ ä̃ː n̪
आलु	äː l̪ uː
आलुक	äː l̪ ʊ k
आलू	äː l̪ uː
आलेख	äː l̪ eː kʰ
आलोचना	äː l̪ oː t ʃ n̪ äː
आवंटन	äː ʋ ə̃ ɳ ʈ ə̃ n̪
आवंटित	äː ʋ ə̃ ɳ ʈ ɪ t̪
आवक	äː ʋ ə k
आवर्त	äː ʋ ə ɾ t̪
आवर्धन	äː ʋ ə ɾ d̪ʱ ə̃ n̪
आवश्यक	äː ʋ ə ʃ j ə k
आवश्यकता	äː ʋ ə ʃ j ə k t̪ äː
आवाज	äː ʋ äː z
आवाज़	äː ʋ äː z
आवाजाही	äː ʋ äː d ʒ äː ɦ iː
आवारा	äː ʋ äː ɾ äː
आवाहन	äː ʋ äː ɦ ə̃ n̪
आविष्कार	äː ʋ ɪ ʃ k äː ɾ
आवृत्ति	äː ʋ ɾ ɪ t̪̚ t̪ iː
आवेग	äː ʋ eː ɡ
आवेदन	äː ʋ eː d̪ ə̃ n̪
आवेदनकर्ता	äː ʋ eː d̪ ə̃ n̪ k ə ɾ t̪ äː
आवेश	äː ʋ eː ʃ
आवेशित	äː ʋ eː ʃ ɪ t̪
आव्यूह	äː ʋ j uː ɦ
आशंका	äː ʃ ə̃ ŋ k äː
आशना	äː ʃ n̪ äː
आशय	äː ʃ ə j
आशा	äː ʃ äː
आशावाद	äː ʃ äː ʋ äː d̪
आशिक़	äː ʃ ɪ q
आशिक़मिज़ाज	äː ʃ ɪ q m ɪ z äː d ʒ
आशिक़ी	äː ʃ ɪ q iː
आशियाना	äː ʃ i j äː n̪ äː
